,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,TREACHERY IN DEATH;by J. D. Robb;New this week,TREACHERY IN DEATH;by J. D. Robb;New this week,WATER FOR ELEPHANTS;by Sara Gruen;109 weeks on the list,,,TREACHERY IN DEATH;by J. D. Robb;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;5 weeks on the list,UNBROKEN;by Laura Hillenbrand;15 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;15 weeks on the list,UNBROKEN;by Laura Hillenbrand;5 weeks on the list,PEACE FROM BROKEN PIECES;by Iyanla Vanzant;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;187 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;3 weeks on the list,DAYTRIPPER;by Fabio Moon and Gabriel Ba;2 weeks on the list,"NARUTO, VOL. 50;by Masashi Kishimoto;4 weeks on the list",I AM NUMBER FOUR;by Pittacus Lore;12 weeks on the list,BEASTLY;by Alex Flinn;3 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;111 weeks on the list
2,ALONE;by Lisa Gardner;3 weeks on the list,PALE DEMON;by Kim Harrison;New this week,CUTTING FOR STONE;by Abraham Verghese;57 weeks on the list,,,PALE DEMON;by Kim Harrison;,UNBROKEN;by Laura Hillenbrand;5 weeks on the list,KNOWN AND UNKNOWN;by Donald Rumsfeld;3 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;21 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;5 weeks on the list,A SIMPLE GOVERNMENT;by Mike Huckabee;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;500 weeks on the list,UNBROKEN;by Laura Hillenbrand;,TRUE BLOOD: ALL TOGETHER NOW;by Alan Ball and others;2 weeks on the list,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;51 weeks on the list,"SOUL EATER, VOL. 5;by Atsushi Ohkubo;New this week",THE LOST HERO;by Rick Riordan;20 weeks on the list,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;17 weeks on the list,LEGO STAR WARS;by Simon Beecroft;62 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;27 weeks on the list
3,WATER FOR ELEPHANTS;by Sara Gruen;5 weeks on the list,GIDEON’S SWORD;by Douglas Preston and Lincoln Child;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;88 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,DECISION POINTS;by George W. Bush;5 weeks on the list,DECISION POINTS;by George W. Bush;16 weeks on the list,THE BIG SHORT;by Michael Lewis;4 weeks on the list,DECISION POINTS;by George W. Bush;5 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;11 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;19 weeks on the list,KNOWN AND UNKNOWN;by Donald Rumsfeld;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;12 weeks on the list","DMZ, VOL. 9;by Brian Wood and Riccardo Burchielli;New this week","BLACK BUTLER, VOL. 4;by Yana Toboso;5 weeks on the list","JUSTIN BIEBER, FIRST STEP 2 FOREVER;by Justin Bieber;13 weeks on the list",RED RIDING HOOD;by Sarah Blakley-Cartwright;5 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;7 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;190 weeks on the list
4,PALE DEMON;by Kim Harrison;New this week,A DISCOVERY OF WITCHES;by Deborah Harkness;3 weeks on the list,THE POSTMISTRESS;by Sarah Blake;4 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,CLEOPATRA;by Stacy Schiff;5 weeks on the list,AGAINST ALL ODDS;by Scott Brown;New this week,COMMITTED;by Elizabeth Gilbert;4 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;5 weeks on the list,DISCIPLINED DREAMING;by Josh Linkner;New this week,RADICAL;by David Platt;38 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;18 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;67 weeks on the list","FULLMETAL ALCHEMIST, VOL. 24;by Hiromu Arakawa;6 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;43 weeks on the list",THE BOOK THIEF;by Markus Zusak;181 weeks on the list,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;15 weeks on the list,MAXIMUM RIDE;by James Patterson;67 weeks on the list
5,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;5 weeks on the list,TICK TOCK;by James Patterson and Michael Ledwidge;5 weeks on the list,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;New this week,,,GIDEON’S SWORD;by Douglas Preston and Lincoln Child;,AGAINST ALL ODDS;by Scott Brown;New this week,CLEOPATRA;by Stacy Schiff;17 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;208 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;5 weeks on the list,TRUE YOU;by Janet Jackson with David Ritz;2 weeks on the list,MADE TO CRAVE;by Lysa TerKeurst;7 weeks on the list,DECISION POINTS;by George W. Bush;,THE ADVENTURES OF OOK AND GLUK;by George Beard and Harold Hutchins;23 weeks on the list,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;47 weeks on the list,"BLACK BIRD, VOL. 7;by Kanoko Sakurakoji;4 weeks on the list",THE GIFT;by James Patterson and Ned Rust;11 weeks on the list,FALLEN;by Lauren Kate;22 weeks on the list,DAVE THE POTTER;by Laban Carrick Hill. Illustrated by Bryan Collier;3 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;117 weeks on the list
6,TICK TOCK;by James Patterson and Michael Ledwidge;5 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;40 weeks on the list,LITTLE BEE;by Chris Cleave;54 weeks on the list,,,A DISCOVERY OF WITCHES;by Deborah Harkness;,KNOWN AND UNKNOWN;by Donald Rumsfeld;3 weeks on the list,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;7 weeks on the list,THE KING’S SPEECH;by Mark Logue and Peter Conradi;6 weeks on the list,CLEOPATRA;by Stacy Schiff;5 weeks on the list,"STRAIGHT TALK, NO CHASER;by Steve Harvey with Denene Millner;10 weeks on the list","THE NEW ATKINS FOR A NEW YOU;by Eric C. Westman, Stephen D. Phinney and Jeff S. Volek;24 weeks on the list",AGAINST ALL ODDS;by Scott Brown;,BUFFY THE VAMPIRE SLAYER: TALES;by Joss Whedon and others;5 weeks on the list,"THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;13 weeks on the list","VAMPIRE KNIGHT, VOL. 11;by Matsuri Hino;12 weeks on the list",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;31 weeks on the list,"HUSH, HUSH;by Becca Fitzpatrick;22 weeks on the list",INTERRUPTING CHICKEN;written and illustrated by David Ezra Stein;6 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;39 weeks on the list
7,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;5 weeks on the list,THE UNION QUILTERS;by Jennifer Chiaverini;New this week,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;49 weeks on the list,,,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;,THE BIG SHORT;by Michael Lewis;5 weeks on the list,I BEAT THE ODDS;by Michael Oher with Don Yaeger;3 weeks on the list,WHAT THE DOG SAW;by Malcolm Gladwell;11 weeks on the list,AGAINST ALL ODDS;by Scott Brown;New this week,WEIGHT WATCHERS NEW COMPLETE COOKBOOK;by the Weight Watchers staff;3 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;116 weeks on the list,CLEOPATRA;by Stacy Schiff;,DARK TOWER: TREACHERY;by Robin Furth and Peter David;3 weeks on the list,SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;39 weeks on the list,"HETALIA AXIS POWERS, VOL. 2;by Hidekaz Himaruya;9 weeks on the list",DORK DIARIES;written and illustrated by Rachel Renée Russell;34 weeks on the list,"NERDS (BOOK ONE: NATIONAL ESPIONAGE, RESCUE, AND DEFENSE SOCIETY);by Michael Buckley;6 weeks on the list",WHEN I GROW UP;by Al Yankovic. Illustrated by Wes Hargis;4 weeks on the list,WICKED LOVELY;by Melissa Marr;4 weeks on the list
8,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;5 weeks on the list,THE HELP;by Kathryn Stockett;100 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;90 weeks on the list,,,A CREED IN STONE CREEK;by Linda Lael Miller;,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;5 weeks on the list,A WIDOW'S STORY;by Joyce Carol Oates;2 weeks on the list,JUST KIDS;by Patti Smith;17 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;5 weeks on the list,THE INVESTMENT ANSWER;by Daniel C. Goldie and Gordon S. Murray;6 weeks on the list,"EAT THIS, NOT THAT! 2011;David Zinczenko with Matt Goulding;19 weeks on the list",THE BIG SHORT;by Michael Lewis;,NEMESIS;by Mark Millar and Steve McNiven;New this week,BONE: QUEST FOR THE SPARK;by Tom Sniegoski and Jeff Smith;New this week,"PANDORA HEARTS, VOL. 4;by Jun Mochizuki;2 weeks on the list",MOON OVER MANIFEST;by Clare Vanderpool;7 weeks on the list,WHEN YOU REACH ME;by Rebecca Stead;9 weeks on the list,MADELINE AT THE WHITE HOUSE;written and illustrated by John Bemelmans Marciano;4 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;186 weeks on the list
9,GIDEON’S SWORD;by Douglas Preston and Lincoln Child;New this week,THE PARIS WIFE;by Paula McLain;New this week,TRUE GRIT;by Charles Portis;11 weeks on the list,,,TICK TOCK;by James Patterson and Michael Ledwidge;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;5 weeks on the list,UNDISPUTED;by Chris Jericho with Peter Thomas Fornatale;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;213 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;5 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;New this week,WOMEN FOOD AND GOD;by Geneen Roth;New this week,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;23 weeks on the list",SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;32 weeks on the list,"HETALIA AXIS POWERS, VOL. 1;by Hidekaz Himaruya;21 weeks on the list",MATCHED;by Ally Condie;13 weeks on the list,INCARCERON;by Catherine Fisher;3 weeks on the list,PONYELLA;written by Laura Numeroff and Nate Evans. Illustrated by Lynn Munsinger;3 weeks on the list,FABLEHAVEN;by Brandon Mull;14 weeks on the list
10,A DISCOVERY OF WITCHES;by Deborah Harkness;3 weeks on the list,NIGHT VISION;by Randy Wayne White;New this week,HOTEL ON THE CORNER OF BITTER AND SWEET;by Jamie Ford;40 weeks on the list,,,THIS SIDE OF THE GRAVE;by Jeaniene Frost;,INSIDE OF A DOG;by Alexandra Horowitz;5 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;43 weeks on the list,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;61 weeks on the list",THE GLASS CASTLE;by Jeannette Walls;5 weeks on the list,VEGANIST;by Kathy Freston;4 weeks on the list,THE BOOK OF AWAKENING;by Mark Nepo;8 weeks on the list,I BEAT THE ODDS;by Michael Oher with Don Yaeger;,BLACKEST NIGHT;by Geoff Johns and Ivan Reis;25 weeks on the list,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;43 weeks on the list,"BLACK BUTLER, VOL. 1;by Yana Toboso;24 weeks on the list",DELIRIUM;by Lauren Oliver;4 weeks on the list,THE EVOLUTION OF CALPURNIA TATE;by Jacqueline Kelly;4 weeks on the list,I BROKE MY TRUNK!;by Mo Willems;3 weeks on the list,THE CLIQUE;by Lisi Harrison;23 weeks on the list
