,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,GONE GIRL;by Gillian Flynn;28 weeks on the list,THE RACKETEER;by John Grisham;8 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;40 weeks on the list,,,THE RACKETEER;by John Grisham;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;11 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;11 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;8 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;8 weeks on the list,BAREFOOT CONTESSA FOOLPROOF;by Ina Garten;7 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;10 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,"TOTALLY MAD: 60 YEARS OF HUMOR, SATIRE, STUPIDITY AND STUPIDITY;by various;7 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;70 weeks on the list","MAXIMUM RIDE, VOL. 6;by James Patterson;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;63 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;205 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,MASTERY;by Robert Greene;,OUTLIERS;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
2,THE RACKETEER;by John Grisham;8 weeks on the list,GONE GIRL;by Gillian Flynn;28 weeks on the list,LIFE OF PI;by Yann Martel;11 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,PROOF OF HEAVEN;by Eben Alexander;8 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;5 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;45 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;11 weeks on the list,GUINNESS WORLD RECORDS 2013;;14 weeks on the list,"THE CHEW;by the staff of ""The Chew"";12 weeks on the list",PROOF OF HEAVEN;by Eben Alexander;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;73 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;10 weeks on the list","YU-GI-OH! ZEXAL, VOL. 2;by Kazuki Takahashi;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;12 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;121 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,CUSTOM NATION;by Anthony Flynn and Emily Flynn Vencat;,THOMAS JEFFERSON;by Jon Meacham;
3,TWO GRAVES;by Douglas Preston and Lincoln Child;New this week,THREAT VECTOR;by Tom Clancy with Mark Greaney;2 weeks on the list,FIFTY SHADES DARKER;by E. L. James;37 weeks on the list,,,GONE GIRL;by Gillian Flynn;,THOMAS JEFFERSON;by Jon Meacham;5 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;64 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;109 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;64 weeks on the list,"HELP, THANKS, WOW;by Anne Lamott;5 weeks on the list",EAT TO LIVE;by Joel Fuhrman;74 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;,BUILDING STORIES;by Chris Ware;11 weeks on the list,"THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;3 weeks on the list","ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 1;by Quinrose;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;42 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;11 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BOOMERANG;by Michael Lewis;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
4,THE FORGOTTEN;by David Baldacci;4 weeks on the list,NOTORIOUS NINETEEN;by Janet Evanovich;4 weeks on the list,FIFTY SHADES FREED;by E. L. James;37 weeks on the list,,,THREAT VECTOR;by Tom Clancy with Mark Greaney;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;63 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;11 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;65 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;5 weeks on the list,FIFTY SHADES OF CHICKEN;by F.L. Fowler;5 weeks on the list,TO HEAVEN AND BACK;by Mary C. Neal;29 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"POGO, VOL. 2;by Walt Kelly;New this week",THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;5 weeks on the list,"PUELLA MAGI MADOKA MAGICA, VOL. 3;by Magica Quartet;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;70 weeks on the list,DORK DIARIES;by Rachel Renée Russell;63 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,STEVE JOBS;by Walter Isaacson;,TIPPING POINT;by Malcolm Gladwell;,NO EASY DAY;by Mark Owen with Kevin Maurer;
5,FIFTY SHADES OF GREY;by E. L. James;42 weeks on the list,THE FORGOTTEN;by David Baldacci;4 weeks on the list,THE PARIS WIFE;by Paula McLain;3 weeks on the list,,,LIFE OF PI;by Yann Martel;,NO EASY DAY;by Mark Owen with Kevin Maurer;15 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;15 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;33 weeks on the list,DAMAGED;by Cathy Glass;5 weeks on the list,THE SMITTEN KITCHEN COOKBOOK;by Deb Perelman;7 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;281 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;11 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;137 weeks on the list","PANDORA HEARTS, VOL. 13;by Jun Mochizuki;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,LLAMA LLAMA TIME TO SHARE;by Anna Dewdney;15 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;212 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,WHY I LEFT GOLDMAN SACHS;by Greg Smith;,DRIVE;by Daniel H. Pink;,LAST LION;by William Manchester and Paul Reid;
6,THREAT VECTOR;by Tom Clancy with Mark Greaney;2 weeks on the list,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;5 weeks on the list",CLOUD ATLAS;by David Mitchell;20 weeks on the list,,,NOTORIOUS NINETEEN;by Janet Evanovich;,TEAM OF RIVALS;by Doris Kearns Goodwin;6 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;11 weeks on the list,UNLIKELY FRIENDSHIPS;by Jennifer Holland;44 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;15 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;26 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;592 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;12 weeks on the list",SMILE;by Raina Telgemeier;44 weeks on the list,"BATTLE ANGEL ALITA: LAST ORDER, VOL. 16;by Yukito Kishiro;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;32 weeks on the list,MATCHED TRILOGY;by Ally Condie;5 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THE CHECKLIST MANIFESTO;by Atul Gawande;,AMERICA AGAIN;by Stephen Colbert and others;
7,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;5 weeks on the list",THE CASUAL VACANCY;by J. K. Rowling;12 weeks on the list,WORLD WAR Z;by Max Brooks;25 weeks on the list,,,THE FORGOTTEN;by David Baldacci;,AMERICA AGAIN;by Stephen Colbert and others;6 weeks on the list,UNBROKEN;by Laura Hillenbrand;109 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;13 weeks on the list,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;12 weeks on the list,DARTH VADER AND SON;by Jeffrey Brown;6 weeks on the list,F IN EXAMS;by Richard Benson;10 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,ARE YOU MY MOTHER?;by Alison Bechdel;28 weeks on the list,DRAMA;by Raina Telgemeier;14 weeks on the list,"BAKUMAN, VOL. 17;by Tsugumi Ohba;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;42 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;273 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,UNBROKEN;by Laura Hillenbrand;
8,NOTORIOUS NINETEEN;by Janet Evanovich;4 weeks on the list,TWO GRAVES;by Douglas Preston and Lincoln Child;New this week,THE PERFECT HOPE;by Nora Roberts;6 weeks on the list,,,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;",THE SIGNAL AND THE NOISE;by Nate Silver;10 weeks on the list,TAP DANCING TO WORK;by Carol J. Loomis;2 weeks on the list,"FATAL FRIENDS, DEADLY NEIGHBORS;by Ann Rule;3 weeks on the list",I SHOULDN'T EVEN BE DOING THIS!;by Bob Newhart;New this week,WHEAT BELLY;by William Davis;34 weeks on the list,HUNGRY GIRL TO THE MAX!;by Lisa Lillien;9 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;,THE BEST AMERICAN COMICS 2012;by Françoise Mouly;3 weeks on the list,"THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;31 weeks on the list","BLACK BIRD, VOL. 15;by Kanoko Sakurakouji;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,OLIVIA AND THE FAIRY PRINCESSES;by Ian Falconer;11 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;67 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,MONEYBALL;by Michael Lewis;,GENERALS;by Thomas E. Ricks;
9,THE BLACK BOX;by Michael Connelly;3 weeks on the list,THE BLACK BOX;by Michael Connelly;3 weeks on the list,PRIVATE LONDON;by James Patterson and Mark Pearson;2 weeks on the list,,,THE CASUAL VACANCY;by J. K. Rowling;,UNBROKEN;by Laura Hillenbrand;99 weeks on the list,BRUCE;by Peter Ames Carlin;7 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;93 weeks on the list,HEADS IN BEDS;by Jacob Tomsky;3 weeks on the list,THE SCIENCE OF GOOD COOKING;by the editors of America's Test Kitchen and Guy Crosby;7 weeks on the list,F FOR EFFORT!;by Richard Benson;New this week,UNBROKEN;by Laura Hillenbrand;,NEW YORK DRAWINGS;by Adrian Tomine;4 weeks on the list,"FAIREST, VOL. 1;by Bill Willingham and Phil Jimenez;2 weeks on the list","NARUTO, VOL. 59;by Masashi Kishimoto;6 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;8 weeks on the list,KANE CHRONICLES;by Rick Riordan;22 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,"HOW WILL YOU MEASURE YOUR LIFE?;by Clayton M. Christensen, James Allworth and Karen Dillon;",SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,JOY OF HATE;by Greg Gutfeld;
10,LIFE OF PI;by Yann Martel;6 weeks on the list,THE TWELVE TRIBES OF HATTIE;by Ayana Mathis;New this week,BARED TO YOU;by Sylvia Day;27 weeks on the list,,,TWO GRAVES;by Douglas Preston and Lincoln Child;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;5 weeks on the list,ROLL ME UP AND SMOKE ME WHEN I DIE;by Willie Nelson;5 weeks on the list,BOSSYPANTS;by Tina Fey;50 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;12 weeks on the list,BOUCHON BAKERY;by Thomas Keller and Sebastien Rouxel with others;5 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;92 weeks on the list,TAP DANCING TO WORK;by Carol J. Loomis;,INTERVIEW WITH THE VAMPIRE: CLAUDIA'S STORY;by Anne Rice and Ashley Marie Witter;2 weeks on the list,NINJAGO: THE CHALLENGE OF SAMUKAI;by Greg Farshtey and Paulo Herique;12 weeks on the list,"BLEACH, VOL. 52;by Tite Kubo;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;8 weeks on the list,IVY AND BEAN;by Annie Barrows. Illustrated by Sophie Blackall;3 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,THE OUTPOST;by Jake Tapper;
