,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,THE CUCKOO'S CALLING;by Robert Galbraith;2 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;2 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;New this week,,,ZEALOT;by Reza Aslan;2 weeks on the list,ZEALOT;by Reza Aslan;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;40 weeks on the list,THE DOG LIVED (AND SO WILL I);by Teresa J. Rhyne;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;16 weeks on the list,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;6 weeks on the list,"AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;3 weeks on the list","SAILOR MOON, VOL. 12;by Naoko Takeuchi;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;5 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;98 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THIS TOWN;by Mark Leibovich;,QUIET;by Susan Cain;
2,THE ENGLISH GIRL;by Daniel Silva;2 weeks on the list,INFERNO;by Dan Brown;11 weeks on the list,JOYLAND;by Stephen King;8 weeks on the list,,,THIS TOWN;by Mark Leibovich;2 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;20 weeks on the list,OUTLIERS;by Malcolm Gladwell;112 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;3 weeks on the list,E-SQUARED;by Pam Grout;2 weeks on the list,"BATMAN: THE DARK KNIGHT, VOL. 2;by Gregg Hurwitz and David Finch;New this week","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;6 weeks on the list","BLACK BUTLER, VOL. 14;by Yana Toboso;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;5 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;153 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBROKEN;by Laura Hillenbrand;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
3,INFERNO;by Dan Brown;11 weeks on the list,THE ENGLISH GIRL;by Daniel Silva;2 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;17 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;20 weeks on the list,THIS TOWN;by Mark Leibovich;2 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;125 weeks on the list,ZEALOT;by Reza Aslan;2 weeks on the list,WHEAT BELLY;by William Davis;16 weeks on the list,BEFORE WATCHMEN: COMEDIAN/RORSCHACH;by various;2 weeks on the list,"HAWKEYE, VOL. 2;by Matt Fraction and David Aja;New this week","SOUL EATER, VOL. 15;by Atsushi Ohkubo;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;95 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;299 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,TIPPING POINT;by Malcolm Gladwell;,AMERICAN GUN;by Chris Kyle with William Doyle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
4,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;10 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;10 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;72 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;40 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;12 weeks on the list",THE GLASS CASTLE;by Jeannette Walls;322 weeks on the list,SHIRLEY JONES;by Shirley Jones with Wendy Leigh;New this week,LIFE CODE;by Phil McGraw;16 weeks on the list,MOUSE GUARD: THE BLACK AXE;by David Petersen;New this week,"THE WALKING DEAD, VOL. 18;by Robert Kirkman and Charlie Adlard;8 weeks on the list","IS THIS A ZOMBIE?, VOL. 5;by Shinichi Kimura and Sacchi;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;15 weeks on the list",I AM NUMBER FOUR;by Pittacus Lore;9 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,BREAKPOINT;by Jeff Stibel;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,THE GUNS AT LAST LIGHT;by Rick Atkinson;,BREAKPOINT;by Jeff Stibel;
5,HIDDEN ORDER;by Brad Thor;3 weeks on the list,LIGHT OF THE WORLD;by James Lee Burke;New this week,THE ALCHEMIST;by Paulo Coelho;263 weeks on the list,,,THE DOG LIVED (AND SO WILL I);by Teresa J. Rhyne;2 weeks on the list,BREAKPOINT;by Jeff Stibel;New this week,QUIET;by Susan Cain;26 weeks on the list,THIS TOWN;by Mark Leibovich;2 weeks on the list,THE ADVENTURE TIME ENCYCLOPAEDIA;by Martin Olson;New this week,BEFORE WATCHMEN: NITE OWL/DR. MANHATTAN;by Adam Hughes;2 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;32 weeks on the list","DOUBT, VOL. 2;by Yoshiki Tonogai;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;68 weeks on the list,DORK DIARIES;by Rachel Renée Russell;81 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,DRIVE;by Daniel H. Pink;,GETTYSBURG;by Allen C. Guelzo;,THE POWER OF HABIT;by Charles Duhigg;
6,LIGHT OF THE WORLD;by James Lee Burke;New this week,GONE GIRL;by Gillian Flynn;60 weeks on the list,WORLD WAR Z;by Max Brooks;57 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;12 weeks on the list",UNBROKEN;by Laura Hillenbrand;139 weeks on the list,WILD;by Cheryl Strayed;18 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;20 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;16 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;6 weeks on the list,PERSEPOLIS;by Marjane Satrapi;10 weeks on the list,"MISSIONS OF LOVE, VOL. 4;by Ema Toyama;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;102 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;8 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,THE CHECKLIST MANIFESTO;by Atul Gawande;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE HAPPINESS PROJECT;by Gretchen Rubin;
7,SECOND HONEYMOON;by James Patterson and Howard Roughan;5 weeks on the list,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;6 weeks on the list,THE BAT;by Jo Nesbo;4 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;2 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;14 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;26 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;40 weeks on the list,GRUMPY CAT;by Grumpy Cat staff;New this week,DAREDEVIL: END OF DAYS;by Brian Michael Bendis and others;3 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;101 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;7 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;40 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;271 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",REVOLUTIONARY SUMMER;by Joseph J. Ellis;,HALLUCINATIONS;by Oliver Sacks;
8,GONE GIRL;by Gillian Flynn;58 weeks on the list,FIRST SIGHT;by Danielle Steel;2 weeks on the list,FIFTY SHADES DARKER;by E. L. James;69 weeks on the list,,,SHIRLEY JONES;by Shirley Jones with Wendy Leigh;New this week,DAD IS FAT;by Jim Gaffigan;12 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;4 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;12 weeks on the list",THE MELT METHOD;by Sue Hitzmann with Debbie Karch;New this week,"NEW AVENGERS, VOL. 1;by Jonathan Hickman and Steve Epting;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;39 weeks on the list","UNTIL DEATH DO US PART, VOL. 4;by Hiroshi Takashige and Double-S;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;10 weeks on the list,THE MAZE RUNNER;by James Dashner;56 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,4-HOUR WORKWEEK;by Timothy Ferriss;,"TRIBAL LEADERSHIP;by Dave Logan, John King and Halee Fischer-Wright;",KEEP IT PITHY;by Bill O'Reilly;,THE GREATEST SHOW ON EARTH;by Richard Dawkins;
9,THE WHITE PRINCESS;by Philippa Gregory;New this week,HIDDEN ORDER;by Brad Thor;3 weeks on the list,FIFTY SHADES FREED;by E. L. James;68 weeks on the list,,,BREAKPOINT;by Jeff Stibel;New this week,SHIRLEY JONES;by Shirley Jones with Wendy Leigh;New this week,BOSSYPANTS;by Tina Fey;82 weeks on the list,BORN STANDING UP;by Steve Martin;2 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;16 weeks on the list,HARLAN ELLISON'S 7 AGAINST CHAOS;by Harlan Ellison and Paul Chadwick;2 weeks on the list,BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;37 weeks on the list,"BLUE EXORCIST, VOL. 10;by Kazue Kato;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,IF YOU WANT TO SEE A WHALE;by Julie Fogliano. Illustrated by Erin E. Stead;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;237 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,BOOMERANG;by Michael Lewis;,THE UNWINDING;by George Packer;,THE DISAPPEARING SPOON;by Sam Kean;
10,PULSE;by Gail McHugh;3 weeks on the list,THE WHITE PRINCESS;by Philippa Gregory;New this week,THE SECRET KEEPER;by Kate Morton;2 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;123 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;17 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;2 weeks on the list,"IF YOU LIVED HERE, I'D KNOW YOUR NAME;by Heather Lende;4 weeks on the list",DARING GREATLY;by Brené Brown;16 weeks on the list,"UNCANNY X-MEN, VOL. 1;by Brian Michael Bendis and Chris Bachalo;New this week","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;153 weeks on the list","BLEACH, VOL. 57;by Tite Kubo;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;13 weeks on the list,GIVER QUARTET;by Lois Lowry;17 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,LEAN STARTUP;by Eric Ries;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,THE CHECKLIST MANIFESTO;by Atul Gawande;
