,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE HELP;by Kathryn Stockett;47 weeks on the list,THE LAST SONG;by Nicholas Sparks;4 weeks on the list,,GAME CHANGE;by John Heilemann and Mark Halperin;6 weeks on the list,THE BLIND SIDE;by Michael Lewis;21 weeks on the list,SWITCH;by Chip Heath and Dan Heath;New this week,"FOOD RULES;by Michael Pollan, Illustrated by Maira Kalman;8 weeks on the list",THE BOOK OF GENESIS: ILLUSTRATED;by R. Crumb;19 weeks on the list,"THE WALKING DEAD, VOL. 11;by Robert Kirkman and Charlie Adlard;7 weeks on the list","NARUTO, VOL. 47;by Masashi Kishimoto;3 weeks on the list",SWEET LITTLE LIES;by Lauren Conrad;3 weeks on the list,L.A. CANDY;by Lauren Conrad;7 weeks on the list,THE LION AND THE MOUSE;by Jerry Pinkney;16 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;137 weeks on the list
2,WORST CASE;by James Patterson and Michael Ledwidge;3 weeks on the list,A RELIABLE WIFE;by Robert Goolrick;7 weeks on the list,,THE POLITICIAN;by Andrew Young;4 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;160 weeks on the list,THE KIND DIET;by Alicia Silverstone;8 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;448 weeks on the list,DARK TOWER: THE FALL OF GILEAD;by Robin Furth and Peter David;3 weeks on the list,"FABLES, VOL. 13;by Bill Willingham and Matthew Sturges;2 weeks on the list","VAMPIRE KNIGHT, VOL. 9;by Matsuri Hino;3 weeks on the list",PERCY JACKSON AND THE OLYMPIANS (THE ULTIMATE GUIDE);by Mary-Jane Knight. Designed by Philip Chidlow;5 weeks on the list,THE BOOK THIEF;by Markus Zusak;128 weeks on the list,THE EASTER EGG;by Jan Brett;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;58 weeks on the list
3,THE LOST SYMBOL;by Dan Brown;23 weeks on the list,LITTLE BEE;by Chris Cleave;New this week,,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;3 weeks on the list,THE LOST CITY OF Z;by David Grann;4 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;8 weeks on the list,"COOK THIS, NOT THAT!;by David Zinczenko and Matt Goulding;5 weeks on the list",WOLVERINE: OLD MAN LOGAN;by Mark Millar and Steve McNiven;13 weeks on the list,"ALL-STAR SUPERMAN, VOL. 2;by Grant Morrison and Frank Quitely;New this week","BLACK BUTLER, VOL. 1;by Yana Toboso;4 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;76 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;57 weeks on the list,"CAT THE CAT, WHO IS THAT?;written and illustrated by Mo Willems;New this week",THE TWILIGHT SAGA;by Stephenie Meyer;133 weeks on the list
4,POOR LITTLE BITCH GIRL;by Jackie Collins;2 weeks on the list,DEAR JOHN;by Nicholas Sparks;24 weeks on the list,,I AM OZZY;by Ozzy Osbourne with Chris Ayres;4 weeks on the list,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;8 weeks on the list","SO LONG, INSECURITY;by Beth Moore;3 weeks on the list",THE BELLY FAT CURE;by Jorge Cruise;5 weeks on the list,THE STAND: CAPTAIN TRIPS;by Roberto Aguirre-Sacasa and Mike Perkins;6 weeks on the list,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS;by Max Brooks;20 weeks on the list,"BLACK BIRD, VOL. 3;by Kanoko Sakurakoji;3 weeks on the list",CATCHING FIRE;by Suzanne Collins;25 weeks on the list,"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER;by Christopher Pike;7 weeks on the list",ALL THE WORLD;by Liz Garton Scanlon. Illustrated by  Marla Frazee;5 weeks on the list,THE 39 CLUES;by various authors;36 weeks on the list
5,WINTER GARDEN;by Kristin Hannah;3 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;35 weeks on the list,,WILLIE MAYS;by James S. Hirsch;2 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;69 weeks on the list,"MASTERING THE ART OF FRENCH COOKING, VOL. 1;by Julia Child, Simone Beck and Louisette Bertholle;22 weeks on the list",THE FIVE LOVE LANGUAGES;by Gary Chapman;134 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;50 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;18 weeks on the list",ALICE IN THE COUNTRY OF HEARTS: THE CLOCKMAKER'S STORY;by Quinrose and Soumei Hoshino;3 weeks on the list,FALLEN;by Lauren Kate;11 weeks on the list,LOCK AND KEY;by Sarah Dessen;21 weeks on the list,WADDLE!;written and illustrated by Rufus Butler Seder;23 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;78 weeks on the list
6,THE MAN FROM BEIJING;by Henning Mankell;New this week,SHANGHAI GIRLS;by Lisa See;3 weeks on the list,,ON THE BRINK;by Henry M. Paulson Jr.;3 weeks on the list,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;26 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;53 weeks on the list",THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;74 weeks on the list,THE STAND: AMERICAN NIGHTMARES;by Roberto Aguirre-Sacasa and Mike Perkins;7 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;52 weeks on the list,"FULLMETAL ALCHEMIST, VOL. 22;by Hiromu Arakawa;6 weeks on the list",ALICE'S ADVENTURES IN WONDERLAND;by Lewis Carroll. Illustrated by Camille Rose Garcia;3 weeks on the list,THIRST NO. 1;by Christopher Pike;29 weeks on the list,MY HEART IS LIKE A ZOO;written and illustrated by Michael Hall;3 weeks on the list,CHRONICLES OF VLADIMIR TOD;by Heather Brewer;2 weeks on the list
7,THE THREE WEISSMANNS OF WESTPORT;by Cathleen Schine;New this week,THE TIME TRAVELER'S WIFE;by Audrey Niffenegger;36 weeks on the list,,HAVE A LITTLE FAITH;by Mitch Albom;21 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;159 weeks on the list",THE SECRET;by Rhonda Byrne;151 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;86 weeks on the list,BATMAN: BATTLE FOR THE COWL;by Tony Daniel;13 weeks on the list,"THE UNWRITTEN, VOL. 1;by Mike Carey and Peter Gross;6 weeks on the list",NARUTO 46;by Masashi Kishimoto;20 weeks on the list,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;10 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;46 weeks on the list,OTIS;written and illustrated by Loren Long;14 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;220 weeks on the list
8,THE POSTMISTRESS;by Sarah Blake;2 weeks on the list,THE LOVELY BONES;by Alice Sebold;23 weeks on the list,,STONES INTO SCHOOLS;by Greg Mortenson;12 weeks on the list,THE SURVIVORS CLUB;by Ben Sherwood;2 weeks on the list,MOJO;by Marshall Goldsmith with Mark Reiter;2 weeks on the list,SKINNY BITCH;by Kim Barnouin;133 weeks on the list,"THOR, VOL. 3;by J. Michael Straczynski and Marko Djurdjevic;2 weeks on the list","CHEW, VOL. 1;by John Layman and Rob Guillory;7 weeks on the list","D. GRAY-MAN, VOL. 16;by Katsura Hoshino;3 weeks on the list",SHIVER;by Maggie Stiefvater;28 weeks on the list,DARK VISIONS;by L. J. Smith;24 weeks on the list,I AM GOING!;written and illustrated by Mo Willems;3 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;43 weeks on the list
9,FLIRT;by Laurell K. Hamilton;3 weeks on the list,THE SHACK;by William P. Young;92 weeks on the list,,STAYING TRUE;by Jenny Sanford;3 weeks on the list,TIPPING POINT;by Malcolm Gladwell;281 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;64 weeks on the list,THE 4 DAY DIET;by Ian K. Smith;3 weeks on the list,THE WONDERFUL WIZARD OF OZ;by Eric Shanower and Skottie Young;22 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;45 weeks on the list,"THE YU-GI-OH! GX 4, VOL. 4;by Naoyuki Kageyama and Kazuki Takahashi;6 weeks on the list",HEIST SOCIETY;by Ally Carter;2 weeks on the list,GRACELING;by Kristin Cashore;21 weeks on the list,SIT-IN;by Andrea Davis Pinkney. Illustrated by  Brian Pinkney;2 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;33 weeks on the list
10,HORNS;by Joe Hill;New this week,LOOK AGAIN;by Lisa Scottoline;2 weeks on the list,,COMMITTED;by Elizabeth Gilbert;7 weeks on the list,A PEOPLE'S HISTORY OF THE UNITED STATES: 1492 TO PRESENT;by Howard Zinn;4 weeks on the list,THE MAYO CLINIC DIET;by the Mayo Clinic staff;7 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;70 weeks on the list,MARVEL ZOMBIES RETURN;by Fred Van Lente and others;4 weeks on the list,"DEADPOOL, VOL. 2;by Daniel Way and Paco Medina;4 weeks on the list","YU-GI-OH! R, VOL. 3;by Kazuki Takahashi and Akira Ito;3 weeks on the list",INCARCERON;by Catherine Fisher;3 weeks on the list,THE GIRL WHO COULD FLY;by Victoria Forester;New this week,FLY GUY MEETS FLY GIRL;by Tedd Arnold;New this week,THE IMMORTALS;by Alyson Noël;13 weeks on the list
