,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,HOUSE OF EARTH AND BLOOD;by Sarah J. Maas;New this week,HOUSE OF EARTH AND BLOOD;by Sarah J. Maas;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;44 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;2 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;2 weeks on the list,JUST MERCY;by Bryan Stevenson;195 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;18 weeks on the list",WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;New this week,HOW TO CATCH A LEPRECHAUN;by Adam Wallace. Illustrated by Andy Elkerton;16 weeks on the list,DOG MAN;by Dav Pilkey;132 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;New this week,WHERE THE CRAWDADS SING;by Delia Owens;,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;,ATOMIC HABITS;by James Clear;,SNUG;by Catana Chetwynd;,BLESSING IN DISGUISE;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,CODE NAME VERITY;by Elizabeth Wein;
2,LONG RANGE;by C.J. Box;New this week,LONG RANGE;by C.J. Box;New this week,NORMAL PEOPLE;by Sally Rooney;3 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;9 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;12 weeks on the list,SAPIENS;by Yuval Noah Harari;95 weeks on the list,FIND YOUR PATH;by Carrie Underwood with Eve Adamson;New this week,IF WE WERE GIANTS;by Dave Matthews and Clete Barrett Smith;New this week,HOW TO CATCH A UNICORN;by Adam Wallace. Illustrated by Andy Elkerton;8 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;573 weeks on the list,THE KINGDOM OF BACK;by Marie Lu;New this week,GOLDEN IN DEATH;by J.D. Robb;,TALKING TO STRANGERS;by Malcolm Gladwell;,DARK TOWERS;by David Enrich;,GUTS;by Raina Telgemeier;,AMBUSH;by James Patterson and James O. Born;,A LONG WALK TO WATER;by Linda Sue Park;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
3,THE NUMBERS GAME;by Danielle Steel;New this week,WHERE THE CRAWDADS SING;by Delia Owens;79 weeks on the list,THE HUNTING PARTY;by Lucy Foley;New this week,UNKNOWN VALOR;by Martha MacCallum;2 weeks on the list,UNKNOWN VALOR;by Martha MacCallum;2 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;72 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;305 weeks on the list,WONDER;by R.J. Palacio;238 weeks on the list,PETE THE CAT: THE GREAT LEPRECHAUN CHASE;by James Dean;2 weeks on the list,HARRY POTTER;by J.K. Rowling;572 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;111 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,BECOMING;by Michelle Obama;,DARE TO LEAD;by Brené Brown;,FGTEEV PRESENTS: INTO THE GAME!;by FGTeeV. Illustrated by Miguel Díaz Rivas;,UNSPOKEN;by Lisa Jackson;,THE UNTEACHABLES;by Gordon Korman;,ALL THE BRIGHT PLACES;by Jennifer Niven;
4,AMERICAN DIRT;by Jeanine Cummins;7 weeks on the list,THE NUMBERS GAME;by Danielle Steel;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;79 weeks on the list,EDUCATED;by Tara Westover;107 weeks on the list,EDUCATED;by Tara Westover;107 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;83 weeks on the list,THE ULTIMATE RETIREMENT GUIDE FOR 50+;by Suze Orman;2 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;48 weeks on the list,PETE THE CAT: BIG EASTER ADVENTURE;by James Dean and Kimberly Dean;17 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;151 weeks on the list,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;5 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;,BORN A CRIME;by Trevor Noah;,LEADERSHIP STRATEGY AND TACTICS;by Jocko Willink;,STRANGE PLANET;by Nathan W. Pyle;,THE OYSTERVILLE SEWING CIRCLE;by Susan Wiggs;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,LONG WAY DOWN;by Jason Reynolds;
5,WHERE THE CRAWDADS SING;by Delia Owens;78 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;7 weeks on the list,THE OUTSIDER;by Stephen King;16 weeks on the list,THE MAGA DOCTRINE;by Charlie Kirk;New this week,THE MAGA DOCTRINE;by Charlie Kirk;New this week,SAY NOTHING;by Patrick Radden Keefe;2 weeks on the list,PEARLS OF WISDOM;by Barbara Bush;New this week,REFUGEE;by Alan Gratz;88 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;7 weeks on the list,THE BAD GUYS;by Aaron Blabey;68 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;14 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,EDUCATED;by Tara Westover;,THE RIDE OF A LIFETIME;by Robert Iger;,NEW KID;by Jerry Craft;,COUNTRY STRONG;by Linda Lael Miller;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,TURTLES ALL THE WAY DOWN;by John Green;
6,BLINDSIDE;by James Patterson and James O. Born;2 weeks on the list,BLINDSIDE;by James Patterson and James O. Born;2 weeks on the list,THE OVERSTORY;by Richard Powers;48 weeks on the list,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;5 weeks on the list,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;5 weeks on the list,BORN A CRIME;by Trevor Noah;56 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;169 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;47 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;225 weeks on the list,DRAGON MASTERS;by Tracey West;New this week,ONE OF US IS NEXT;by Karen M. McManus;9 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,A VERY STABLE GENIUS;by Philip Rucker and Carol Leonnig;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,BABY-SITTERS LITTLE SISTER: KAREN'S WITCH;by Ann M. Martin. Illustrated by Katy Farina;,VENDETTA ROAD;by Christine Feehan;,NEVERMOOR: THE TRIALS OF MORRIGAN CROW;by Jessica Townsend;,DEAR MARTIN;by Nic Stone;
7,LETHAL GAME;by Christine Feehan;New this week,YOU ARE NOT ALONE;by Greer Hendricks and Sarah Pekkanen;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;46 weeks on the list,BECOMING;by Michelle Obama;66 weeks on the list,THE HOPE OF GLORY;by Jon Meacham;2 weeks on the list,WOMEN ROWING NORTH;by Mary Pipher;New this week,GET OUT OF YOUR HEAD;by Jennie Allen;6 weeks on the list,A TALE OF MAGIC...;by Chris Colfer;18 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;297 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;81 weeks on the list,THE HATE U GIVE;by Angie Thomas;158 weeks on the list,VALKYRIE;by Craig Alanson;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,PRINCIPLES;by Ray Dalio;,"MY HERO ACADEMIA, VOL. 23;by Kohei Horikoshi;",HUNTING FOR A HIGHLANDER;by Lynsay Sands;,OUT OF MY MIND;by Sharon M. Draper;,THE LIBRARIAN OF AUSCHWITZ;by Antonio Iturbe;
8,LITTLE FIRES EVERYWHERE;by Celeste Ng;56 weeks on the list,WRITERS & LOVERS;by Lily King;New this week,BEFORE WE WERE YOURS;by Lisa Wingate;42 weeks on the list,SAPIENS;by Yuval Noah Harari;97 weeks on the list,BECOMING;by Michelle Obama;65 weeks on the list,ON TYRANNY;by Timothy Snyder;65 weeks on the list,ATOMIC HABITS;by James Clear;18 weeks on the list,ALI CROSS;by James Patterson;15 weeks on the list,BE YOU!;by Peter H. Reynolds;New this week,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;212 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;105 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,SAPIENS;by Yuval Noah Harari;,OUTLIERS;by Malcolm Gladwell;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,CHASING CASSANDRA;by Lisa Kleypas;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
9,YOU ARE NOT ALONE;by Greer Hendricks and Sarah Pekkanen;New this week,THE SILENT PATIENT;by Alex Michaelides;40 weeks on the list,SUMMER OF '69;by Elin Hilderbrand;4 weeks on the list,THE HOPE OF GLORY;by Jon Meacham;2 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;26 weeks on the list,OUTLIERS;by Malcolm Gladwell;316 weeks on the list,FOOD FIX;by Mark Hyman;2 weeks on the list,TRISTAN STRONG PUNCHES A HOLE IN THE SKY;by Kwame Mbalia;10 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;168 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;98 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;66 weeks on the list,THE SCENT KEEPER;by Erica Bauermeister;,CATCH AND KILL;by Ronan Farrow;,BAD BLOOD;by John Carreyrou;,INVESTIGATORS;by John Patrick Green;,PIECES OF HER;by Karin Slaughter;,RESTART;by Gordon Korman;,THE BOOK THIEF;by Markus Zusak;
10,TRACE ELEMENTS;by Donna Leon;New this week,THE NIGHT WATCHMAN;by Louise Erdrich;New this week,ONE GOOD DEED;by David Baldacci;7 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;26 weeks on the list,A VERY STABLE GENIUS;by Philip Rucker and Carol Leonnig;7 weeks on the list,WHY WE SLEEP;by Matthew Walker;46 weeks on the list,EAT FOR LIFE;by Joel Fuhrman;New this week,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;27 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;302 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;52 weeks on the list,THE QUEEN'S ASSASSIN;by Melissa de la Cruz;4 weeks on the list,CROOKED RIVER;by Douglas Preston and Lincoln Child;,OUTLIERS;by Malcolm Gladwell;,THE INFINITE GAME;by Simon Sinek;,DRAMA;by Raina Telgemeier;,TEMPTATION'S DARLING;by Johanna Lindsey;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,THE SUN IS ALSO A STAR;by Nicola Yoon;
