,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,DEAD RECKONING;by Charlaine Harris;New this week,DEAD RECKONING;by Charlaine Harris;New this week,WATER FOR ELEPHANTS;by Sara Gruen;119 weeks on the list,,,DEAD RECKONING;by Charlaine Harris;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;15 weeks on the list,BOSSYPANTS;by Tina Fey;5 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;25 weeks on the list,BOSSYPANTS;by Tina Fey;5 weeks on the list,THE DUKAN DIET;by Pierre Dukan;3 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;10 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"Y THE LAST MAN, BOOK 5;by Brian K. Vaughan and Pia Guerra;New this week","FABLES, VOL. 15;by Bill Willingham and Mark Buckingham;4 weeks on the list","BLACK BIRD, VOL. 8;by Kanoko Sakurakoji;New this week",THE THRONE OF FIRE;by Rick Riordan;New this week,SOUL SURFER;by Bethany Hamilton with Sheryl Berk and Rick Bundschuh;5 weeks on the list,CHARLIE THE RANCH DOG;by Ree Drummond. Illustrated by Diane DeGroat;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;37 weeks on the list
2,10TH ANNIVERSARY;by James Patterson and Maxine Paetro;New this week,10TH ANNIVERSARY;by James Patterson and Maxine Paetro;New this week,THE HELP;by Kathryn Stockett;5 weeks on the list,,,10TH ANNIVERSARY;by James Patterson and Maxine Paetro;,BOSSYPANTS;by Tina Fey;5 weeks on the list,DOES THE NOISE IN MY HEAD BOTHER YOU?;by Steven Tyler with David Dalton;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;9 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;15 weeks on the list,THE 17 DAY DIET;by Mike Moreno;8 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;197 weeks on the list,BOSSYPANTS;by Tina Fey;,MISTER WONDERFUL;by Daniel Clowes;4 weeks on the list,"HUNTINGTON, WEST VIRGINIA: ON THE FLY;by Harvey Pekar;New this week","MAXIMUM RIDE, VOL. 4;by James Patterson and NaRae Lee;2 weeks on the list",THE TWILIGHT SAGA: THE OFFICIAL ILLUSTRATED GUIDE;by Stephenie Meyer;4 weeks on the list,THEODORE BOONE: KID LAWYER;by John Grisham;New this week,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;17 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;121 weeks on the list
3,WATER FOR ELEPHANTS;by Sara Gruen;15 weeks on the list,THE SIXTH MAN;by David Baldacci;3 weeks on the list,A VISIT FROM THE GOON SQUAD;by Jennifer Egan;7 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,DOES THE NOISE IN MY HEAD BOTHER YOU?;by Steven Tyler with David Dalton;New this week,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;2 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;61 weeks on the list,DOES THE NOISE IN MY HEAD BOTHER YOU?;by Steven Tyler with David Dalton;New this week,"20 YEARS YOUNGER;by Bob Greene with Howard Lancer, Ronald L. Kotler and Diane L. McKay;2 weeks on the list",WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;510 weeks on the list,DOES THE NOISE IN MY HEAD BOTHER YOU?;by Steven Tyler with David Dalton;,DELIRIUM'S PARTY: A LITTLE ENDLESS STORYBOOK;by Jill Thompson;New this week,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;61 weeks on the list,"BLACK BUTLER, VOL. 5;by Yana Toboso;2 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;53 weeks on the list",THE BOOK THIEF;by Markus Zusak;191 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;14 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;200 weeks on the list
4,SOMETHING BORROWED;by Emily Giffin;4 weeks on the list,SIXKILL;by Robert B. Parker;New this week,SOMETHING BORROWED;by Emily Giffin;5 weeks on the list,,,THE HELP;by Kathryn Stockett;,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;2 weeks on the list,IF YOU ASK ME;by Betty White;New this week,BORN TO RUN;by Christopher McDougall;6 weeks on the list,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;2 weeks on the list,GUY FIERI FOOD;by Guy Fieri;New this week,CRAZY LOVE;by Francis Chan with Danae Yankoski;29 weeks on the list,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;,THOR: OMNIBUS;by Walter Simonson;New this week,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;77 weeks on the list","BAKUMAN, VOL. 4;by Tsugumi Ohba and Takeshi Obata;New this week",THE LOST HERO;by Rick Riordan;30 weeks on the list,ALONG FOR THE RIDE;by Sarah Dessen;5 weeks on the list,LEGO STAR WARS;by Simon Beecroft;71 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;43 weeks on the list
5,THE HELP;by Kathryn Stockett;12 weeks on the list,THE LAND OF PAINTED CAVES;by Jean M. Auel;6 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;67 weeks on the list,,,SOMETHING BORROWED;by Emily Giffin;,FROM THIS MOMENT ON;by Shania Twain;New this week,SHE WALKS IN BEAUTY;selected and introduced by Caroline Kennedy;4 weeks on the list,LIFE;by Keith Richards with James Fox;New this week,UNBROKEN;by Laura Hillenbrand;15 weeks on the list,GET RICH CLICK!;by Marc Ostrofsky;New this week,THE BOOK OF AWESOME;by Neil Pasricha;New this week,IF YOU ASK ME;by Betty White;,THE LITTLE ENDLESS STORYBOOK;by Jill Thompson;New this week,WATCHMEN;by Alan Moore and Dave Gibbons;88 weeks on the list,"BLUE EXORCIST, VOL. 1;by Kazue Kato;5 weeks on the list",SUMMER AND THE CITY;by Candace Bushnell;2 weeks on the list,BEASTLY;by Alex Flinn;13 weeks on the list,INTERRUPTING CHICKEN;written and illustrated by David Ezra Stein;14 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;63 weeks on the list
6,THE SIXTH MAN;by David Baldacci;3 weeks on the list,I’LL WALK ALONE;by Mary Higgins Clark;5 weeks on the list,THE 9TH JUDGMENT;by James Patterson and Maxine Paetro;4 weeks on the list,,,THE SIXTH MAN;by David Baldacci;,UNBROKEN;by Laura Hillenbrand;15 weeks on the list,FROM THIS MOMENT ON;by Shania Twain;New this week,INSIDE OF A DOG;by Alexandra Horowitz;31 weeks on the list,FROM THIS MOMENT ON;by Shania Twain;New this week,LOVE WINS;by Rob Bell;8 weeks on the list,PARISIAN CHIC;Ines de la Fressange with Sophie Gachet;2 weeks on the list,SHE WALKS IN BEAUTY;selected and introduced by Caroline Kennedy;,THOR/IRON MAN: GOD COMPLEX;by Dan Abnett and Andy Lanning;New this week,SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;41 weeks on the list,"OTOMEN, VOL. 10;by Aya Kanno;New this week",DIVERGENT;by Veronica Roth;New this week,RED RIDING HOOD;by Sarah Blakley-Cartwright;15 weeks on the list,PRESS HERE;by Hervé Tullet;3 weeks on the list,THE 39 CLUES;by various authors;83 weeks on the list
7,NO TIME LEFT;by David Baldacci;New this week,THE FIFTH WITNESS;by Michael Connelly;5 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;100 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,IF YOU ASK ME;by Betty White;New this week,UNBROKEN;by Laura Hillenbrand;25 weeks on the list,MEDIUM RAW;by Anthony Bourdain;New this week,LOST IN SHANGRI-LA;by Mitchell Zuckoff;2 weeks on the list,NO FEAR OF FAILURE;by Gary Burnison;New this week,HUNGRY GIRL 300 UNDER 300;by Lisa Lillien;6 weeks on the list,FROM THIS MOMENT ON;by Shania Twain;,SCREAMING PLANET;by Alexandro Jodorowsky and various;New this week,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;57 weeks on the list,"PANDORA HEARTS, VOL. 5;by Jun Mochizuki;2 weeks on the list",A WORLD WITHOUT HEROES;by Brandon Mull;8 weeks on the list,INFINITY (CHRONICLES OF NICK);by Sherrilyn Kenyon;6 weeks on the list,LADYBUG GIRL AND THE BUG SQUAD;by David Soman and Jacky Davis;6 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;20 weeks on the list
8,A GAME OF THRONES;by George R.R. Martin;4 weeks on the list,CHASING FIRE;by Nora Roberts;4 weeks on the list,THE POSTMISTRESS;by Sarah Blake;14 weeks on the list,,,SIXKILL;by Robert B. Parker;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;15 weeks on the list,A SINGULAR WOMAN;by Janny Scott;New this week,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;192 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;2 weeks on the list,MY FATHER'S DAUGHTER;by Gwyneth Paltrow;4 weeks on the list,NOW EAT THIS! DIET;by Rocco DiSpirito;7 weeks on the list,UNBROKEN;by Laura Hillenbrand;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;13 weeks on the list,SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;48 weeks on the list,"KIMI NI TODOKE: FROM ME TO YOU, VOL. 8;by Karuho Shiina;New this week",HOORAY FOR AMANDA AND HER ALLIGATOR!;written and illustrated by Mo Willems;2 weeks on the list,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;27 weeks on the list,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;24 weeks on the list,HARRY POTTER;by J.K. Rowling;253 weeks on the list
9,THE LINCOLN LAWYER;by Michael Connelly;9 weeks on the list,CALEB'S CROSSING;by Geraldine Brooks;New this week,FLY AWAY HOME;by Jennifer Weiner;2 weeks on the list,,,WORTH DYING FOR;by Lee Child;,SHE WALKS IN BEAUTY;selected and introduced by Caroline Kennedy;3 weeks on the list,THE HEART AND THE FIST;by Eric Greitens;New this week,HAVE A LITTLE FAITH;by Mitch Albom;6 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;15 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;21 weeks on the list,RADICAL;by David Platt;46 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,HALO: FALL OF REACH BOOT CAMP;by Brian Reed and Felix Ruiz;New this week,V FOR VENDETTA;by Alan Moore and David Lloyd;63 weeks on the list,"ROSARIO + VAMPIRE: SEASON II, VOL. 4;by Akihisa Ikeda;5 weeks on the list",THE EMERALD ATLAS;by John Stephens;5 weeks on the list,THE CARRIE DIARIES;by Candace Bushnell;2 weeks on the list,MEET THE DOGS OF BEDLAM FARM;by Jon Katz;New this week,WINGS;by Aprilynne Pike;New this week
10,SIXKILL;by Robert B. Parker;New this week,A TURN IN THE ROAD;by Debbie Macomber;2 weeks on the list,HOTEL ON THE CORNER OF BITTER AND SWEET;by Jamie Ford;50 weeks on the list,,,THE SEARCH;by Nora Roberts;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;New this week,MY LUCKY LIFE IN AND OUT OF SHOW BUSINESS;by Dick Van Dyke;New this week,THE BIG SHORT;by Michael Lewis;14 weeks on the list,THE HEART AND THE FIST;by Eric Greitens;New this week,THE BEST ADVICE I EVER GOT;by Katie Couric;4 weeks on the list,SUPER NATURAL EVERY DAY;by Heidi Swanson;5 weeks on the list,A SINGULAR WOMAN;by Janny Scott;,S. H. I. E. L. D.: ARCHITECTS OF FOREVER;by Jonathan Hickman and Dustin Weaver;New this week,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;52 weeks on the list,"HIGH SCHOOL OF THE DEAD, VOL. 2;by Daisuke Sato and Shouji Sato;2 weeks on the list",ABANDON;by Meg Cabot;2 weeks on the list,WHEN YOU REACH ME;by Rebecca Stead;14 weeks on the list,LADDER TO THE MOON;by Maya Soetoro-Ng. Illustrated by Yuyi Morales;3 weeks on the list,THE SUMMER I TURNED PRETTY TRILOGY;by Jenny Han;New this week
