,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE ASSOCIATE;by John Grisham;3 weeks on the list,THE SHACK;by William P. Young;39 weeks on the list,,THE YANKEE YEARS;by Joe Torre and Tom Verducci;2 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;135 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;3 weeks on the list",THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;21 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;20 weeks on the list,CORALINE;by Neil Gaiman. Illustrated by Dave McKean;5 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;4 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;80 weeks on the list
2,RUN FOR YOUR LIFE;by James Patterson and Michael Ledwidge;2 weeks on the list,THE READER;by Bernhard Schlink;11 weeks on the list,,OUTLIERS;by Malcolm Gladwell;13 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;107 weeks on the list,UNCOMMON;by Tony Dungy with Nathan Whitaker;3 weeks on the list,SUZE ORMAN’S 2009 ACTION PLAN;by Suze Orman;7 weeks on the list,SCAT;by Carl Hiaasen;3 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;4 weeks on the list,THE HOUSE IN THE NIGHT;by Susan Marie Swanson. Illustrated by Beth Krommes.;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;5 weeks on the list
3,THE HOST;by Stephenie Meyer;40 weeks on the list,SUNDAYS AT TIFFANY’S;by James Patterson and Gabrielle Charbonnet;6 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;22 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;29 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;45 weeks on the list,HE’S JUST NOT THAT INTO YOU;by Greg Behr­endt and Liz Tuccillo;6 weeks on the list,SEEKERS: GREAT BEAR LAKE;by Erin Hunter;New this week,EVERMORE;by Alyson Noël;2 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;66 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;25 weeks on the list
4,FOOL;by Christopher Moore;New this week,FIREFLY LANE;by Kristin Hannah;6 weeks on the list,,A SLOBBERING LOVE AFFAIR;by Bernard Goldberg;3 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;60 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;13 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;398 weeks on the list,HOW TO TALK TO GIRLS;by Alec Greven. Illustrated by Kei Acedera;9 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;55 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;18 weeks on the list,THE CLIQUE;by Lisi Harrison;4 weeks on the list
5,BONE CROSSED;by Patricia Briggs;2 weeks on the list,REVOLUTIONARY ROAD;by Richard Yates;11 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;17 weeks on the list",I HOPE THEY SERVE BEER IN HELL;by Tucker Max;72 weeks on the list,THE SECRET;by Rhonda Byrne;110 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;81 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;23 weeks on the list,THE BOOK THIEF;by Markus Zusak;75 weeks on the list,THE I LOVE YOU BOOK;written and illustrated by Todd Parr;2 weeks on the list,HARRY POTTER;by J.K. Rowling;211 weeks on the list
6,TRUE COLORS;by Kristin Hannah;2 weeks on the list,A THOUSAND SPLENDID SUNS;by Khaled Hosseini;12 weeks on the list,,THE GAMBLE;by Thomas E. Ricks;New this week,THE MIDDLE PLACE;by Kelly Corrigan;8 weeks on the list,HIGH VOLTAGE TATTOO;by Kat Von D;3 weeks on the list,SKINNY BITCH;by Kim Barnouin;84 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;17 weeks on the list,WICKED: WITCH AND CURSE;by Nancy Holder and Debbie Viguié;3 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;18 weeks on the list",INKHEART;by Cornelia Funke;21 weeks on the list
7,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;36 weeks on the list,STILL ALICE;by Lisa Genova;6 weeks on the list,,THE INAUGURAL ADDRESS 2009;by Barack Obama;2 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;121 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;15 weeks on the list,THE BIGGEST LOSER FAMILY COOKBOOK;by Devin Alexander and The Biggest Loser Experts and Cast with Melissa Roberson;7 weeks on the list,3 WILLOWS;by Ann Brashares;5 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;26 weeks on the list,NAKED MOLE RAT GETS DRESSED;written and illustrated by Mo Willems;6 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;86 weeks on the list
8,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;22 weeks on the list,THE APPEAL;by John Grisham;13 weeks on the list,,GUILTY;by Ann Coulter;6 weeks on the list,TIPPING POINT;by Malcolm Gladwell;228 weeks on the list,THE GREAT DEPRESSION AHEAD;by Harry S. Dent Jr;5 weeks on the list,"DINERS, DRIVE-INS AND DIVES;by Guy Fieri with Ann Volkwein;8 weeks on the list",ONE FALSE NOTE;by Gordon Korman;10 weeks on the list,SLAM;by Nick Hornby;18 weeks on the list,"LOVE, SPLAT;written and illustrated by Rob Scotton;New this week",MAXIMUM RIDE;by James Patterson;44 weeks on the list
9,PLUM SPOOKY;by Janet Evanovich;6 weeks on the list,PEOPLE OF THE BOOK;by Geraldine Brooks;7 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;19 weeks on the list,MARLEY AND ME;by John Grogan;49 weeks on the list,THE SURVIVORS CLUB;by Ben Sherwood;3 weeks on the list,TWILIGHT;by Mark Cotta Vaz;18 weeks on the list,THE UNDERNEATH;by Kathi Appelt. Illustrated by David Small;3 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;15 weeks on the list,WABI SABI;by Mark Reibstein. Illustrated by Ed Young;9 weeks on the list,NIGHT WORLD;by L. J. Smith;11 weeks on the list
10,VERY VALENTINE;by Adriana Trigiani;2 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;76 weeks on the list,,A. LINCOLN;by Ronald C. White Jr;New this week,"EAT, PRAY, LOVE;by Elizabeth Gilbert;108 weeks on the list",THE ELEMENT;by Ken Robinson with Lou Aronica;2 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;43 weeks on the list,FADE;by Lisa McMann;New this week,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;6 weeks on the list,CAT;written by Matthew Van Fleet and photographed by Brian Stanton.;New this week,VAMPIRE DIARIES;by L. J. Smith;3 weeks on the list
