,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,FANTASY IN DEATH;by J. D. Robb;New this week,LITTLE BEE;by Chris Cleave;2 weeks on the list,,GAME CHANGE;by John Heilemann and Mark Halperin;7 weeks on the list,THE LOST CITY OF Z;by David Grann;5 weeks on the list,SWITCH;by Chip Heath and Dan Heath;2 weeks on the list,"FOOD RULES;by Michael Pollan, Illustrated by Maira Kalman;9 weeks on the list",THE BOOK OF GENESIS: ILLUSTRATED;by R. Crumb;20 weeks on the list,"FABLES, VOL. 13;by Bill Willingham and Matthew Sturges;3 weeks on the list","NEGIMA! (MAGISTER NEGI MAGI), VOL. 25;by Ken Akamatsu;New this week",THE HUNGER GAMES;by Suzanne Collins;77 weeks on the list,L.A. CANDY;by Lauren Conrad;8 weeks on the list,THE EASTER EGG;by Jan Brett;3 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;138 weeks on the list
2,THE HELP;by Kathryn Stockett;48 weeks on the list,THE LAST SONG;by Nicholas Sparks;5 weeks on the list,,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;4 weeks on the list,THE BLIND SIDE;by Michael Lewis;22 weeks on the list,THE KIND DIET;by Alicia Silverstone;9 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;135 weeks on the list,HALO: HELLJUMPER;by Peter David and Eric Nguyen;New this week,"THE WALKING DEAD, VOL. 11;by Robert Kirkman and Charlie Adlard;8 weeks on the list","NARUTO, VOL. 47;by Masashi Kishimoto;4 weeks on the list",PERCY JACKSON AND THE OLYMPIANS (THE ULTIMATE GUIDE);by Mary-Jane Knight. Designed by Philip Chidlow;6 weeks on the list,THE BOOK THIEF;by Markus Zusak;129 weeks on the list,THE LION AND THE MOUSE;by Jerry Pinkney;17 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;59 weeks on the list
3,BLACK MAGIC SANCTION;by Kim Harrison;New this week,A RELIABLE WIFE;by Robert Goolrick;8 weeks on the list,,I AM OZZY;by Ozzy Osbourne with Chris Ayres;5 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;161 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;9 weeks on the list,THE BELLY FAT CURE;by Jorge Cruise;6 weeks on the list,"STARMAN OMNIBUS, VOL. 4;by James Robinson and others;New this week",THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS;by Max Brooks;21 weeks on the list,"SOUL EATER, VOL. 2;by Atsushi Ohkubo;New this week",CATCHING FIRE;by Suzanne Collins;26 weeks on the list,"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER;by Christopher Pike;8 weeks on the list",DISNEY’S ALICE IN WONDERLAND: THE VISUAL GUIDE;by Jo Casey and Laura Gilbert;New this week,THE TWILIGHT SAGA;by Stephenie Meyer;134 weeks on the list
4,SPLIT IMAGE;by Robert B. Parker;New this week,THE 8TH CONFESSION;by James Patterson and Maxine Paetro;New this week,,THE POLITICIAN;by Andrew Young;5 weeks on the list,THE SURVIVORS CLUB;by Ben Sherwood;3 weeks on the list,"SO LONG, INSECURITY;by Beth Moore;4 weeks on the list",WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;449 weeks on the list,DARK TOWER: THE FALL OF GILEAD;by Robin Furth and Peter David;4 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;53 weeks on the list,"VAMPIRE KNIGHT, VOL. 9;by Matsuri Hino;4 weeks on the list",SWEET LITTLE LIES;by Lauren Conrad;4 weeks on the list,THIRST NO. 1;by Christopher Pike;30 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;48 weeks on the list,THE 39 CLUES;by various authors;37 weeks on the list
5,BIG GIRL;by Danielle Steel;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;36 weeks on the list,,HAVE A LITTLE FAITH;by Mitch Albom;22 weeks on the list,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;9 weeks on the list","ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;54 weeks on the list","COOK THIS, NOT THAT!;by David Zinczenko and Matt Goulding;6 weeks on the list",WOLVERINE: OLD MAN LOGAN;by Mark Millar and Steve McNiven;14 weeks on the list,"CHEW, VOL. 1;by John Layman and Rob Guillory;8 weeks on the list","BLACK BUTLER, VOL. 1;by Yana Toboso;5 weeks on the list",FALLEN;by Lauren Kate;12 weeks on the list,ETERNAL;by Cynthia Leitich Smith;New this week,"CAT THE CAT, WHO IS THAT?;written and illustrated by Mo Willems;2 weeks on the list",HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;79 weeks on the list
6,WORST CASE;by James Patterson and Michael Ledwidge;4 weeks on the list,DEAR JOHN;by Nicholas Sparks;25 weeks on the list,,THE CHECKLIST MANIFESTO;by Atul Gawande;8 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;70 weeks on the list,THE SECRET;by Rhonda Byrne;152 weeks on the list,EVERYDAY FOOD: FRESH FLAVOR FAST;by the Martha Stewart Living staff;New this week,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;51 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;46 weeks on the list,"BLACK BIRD, VOL. 3;by Kanoko Sakurakoji;4 weeks on the list",WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;11 weeks on the list,GRACELING;by Kristin Cashore;22 weeks on the list,WADDLE!;written and illustrated by Rufus Butler Seder;24 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;221 weeks on the list
7,THE MAN FROM BEIJING;by Henning Mankell;2 weeks on the list,LOOK AGAIN;by Lisa Scottoline;3 weeks on the list,,OUTLIERS;by Malcolm Gladwell;67 weeks on the list,TIPPING POINT;by Malcolm Gladwell;282 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;13 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;75 weeks on the list,MARVEL ZOMBIES RETURN;by Fred Van Lente and others;5 weeks on the list,ULTIMATUM;by Jeph Loeb and David Finch;New this week,ALICE IN THE COUNTRY OF HEARTS: THE CLOCKMAKER'S STORY;by Quinrose and Soumei Hoshino;4 weeks on the list,ALICE'S ADVENTURES IN WONDERLAND;by Lewis Carroll. Illustrated by Camille Rose Garcia;4 weeks on the list,DARK VISIONS;by L. J. Smith;25 weeks on the list,LET'S SAY HI TO FRIENDS WHO FLY!;written and illustrated by Mo Willems;New this week,CHRONICLES OF VLADIMIR TOD;by Heather Brewer;3 weeks on the list
8,THE LOST SYMBOL;by Dan Brown;24 weeks on the list,SHANGHAI GIRLS;by Lisa See;4 weeks on the list,,WILLIE MAYS;by James S. Hirsch;3 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;160 weeks on the list",4-HOUR WORKWEEK;by Timothy Ferriss;65 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;87 weeks on the list,"THOR, VOL. 3;by J. Michael Straczynski and Marko Djurdjevic;3 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;3 weeks on the list","YU-GI-OH! R, VOL. 3;by Kazuki Takahashi and Akira Ito;4 weeks on the list",SHIVER;by Maggie Stiefvater;29 weeks on the list,THE FOREST OF HANDS AND TEETH;by Carrie Ryan;New this week,ALL THE WORLD;by Liz Garton Scanlon. Illustrated by  Marla Frazee;6 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;44 weeks on the list
9,WINTER GARDEN;by Kristin Hannah;4 weeks on the list,SHUTTER ISLAND;by Dennis Lehane;3 weeks on the list,,COMMITTED;by Elizabeth Gilbert;8 weeks on the list,BLINK;by Malcolm Gladwell;124 weeks on the list,"MASTERING THE ART OF FRENCH COOKING, VOL. 1;by Julia Child, Simone Beck and Louisette Bertholle;23 weeks on the list",SKINNY BITCH;by Kim Barnouin;134 weeks on the list,BATMAN: BATTLE FOR THE COWL;by Tony Daniel;14 weeks on the list,"ALL-STAR SUPERMAN, VOL. 2;by Grant Morrison and Frank Quitely;2 weeks on the list","FULLMETAL ALCHEMIST, VOL. 22;by Hiromu Arakawa;7 weeks on the list",WHERE THE MOUNTAIN MEETS THE MOON;by Grace Lin;2 weeks on the list,THE GIRL WHO COULD FLY;by Victoria Forester;2 weeks on the list,I AM GOING!;written and illustrated by Mo Willems;4 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;39 weeks on the list
10,THE POSTMISTRESS;by Sarah Blake;3 weeks on the list,THE SHACK;by William P. Young;93 weeks on the list,,STONES INTO SCHOOLS;by Greg Mortenson;13 weeks on the list,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;27 weeks on the list,THE MAYO CLINIC DIET;by the Mayo Clinic staff;8 weeks on the list,THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;2 weeks on the list,DEADPOOL: X MARKS THE SPOT;by Daniel Way and Shawn Crystal;New this week,"THE UNWRITTEN, VOL. 1;by Mike Carey and Peter Gross;7 weeks on the list","HIGURASHI: WHEN THEY CRY, VOL. 2;by Ryukishi07 and Jiro Suzuki;New this week",INCARCERON;by Catherine Fisher;4 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;47 weeks on the list,SIT-IN;by Andrea Davis Pinkney. Illustrated by  Brian Pinkney;3 weeks on the list,WAKE;by Lisa McMann;2 weeks on the list
11,APPLE TURNOVER MURDER;by Joanne Fluke;New this week,SARAH’S KEY;by Tatiana de Rosnay;55 weeks on the list,,MAKING ROUNDS WITH OSCAR;by David Dosa;4 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;126 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THE PURPOSE-DRIVEN LIFE;by Rick Warren;,,,,,,,
12,POOR LITTLE BITCH GIRL;by Jackie Collins;3 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;38 weeks on the list,,ON THE BRINK;by Henry M. Paulson Jr.;4 weeks on the list,A PEOPLE'S HISTORY OF THE UNITED STATES: 1492 TO PRESENT;by Howard Zinn;5 weeks on the list,YOU SAY MORE THAN YOU THINK;by Janine Driver with Mariska van Aalst;,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;,,,,,,,
13,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;20 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;5 weeks on the list,,DRIVE;by Daniel H. Pink;7 weeks on the list,IN DEFENSE OF FOOD;by Michael Pollan;38 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;,A NEW EARTH;by Eckhart Tolle;,,,,,,,
14,FLIRT;by Laurell K. Hamilton;4 weeks on the list,THE ALCHEMIST;by Paulo Coelho;125 weeks on the list,,MAKING TOAST;by Roger Rosenblatt;New this week,SAME KIND OF DIFFERENT AS ME;by Ron Hall and Denver Moore with Lynn Vincent;71 weeks on the list,MOJO;by Marshall Goldsmith with Mark Reiter;,HUNGRY GIRL 200 UNDER 200;by Lisa Lillien;,,,,,,,
15,HORNS;by Joe Hill;2 weeks on the list,THE FORGOTTEN GARDEN;by Kate Morton;2 weeks on the list,,STAYING TRUE;by Jenny Sanford;4 weeks on the list,A PATRIOT'S HISTORY OF THE UNITED STATES;by Larry Schweikart and Michael Allen;3 weeks on the list,LINCHPIN;by Seth Godin;,"MAKE IT FAST, COOK IT SLOW;by Stephanie O'Dea;",,,,,,,
