,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,FIFTY SHADES OF GREY;by E. L. James;24 weeks on the list,GONE GIRL;by Gillian Flynn;10 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;22 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,WILD;by Cheryl Strayed;17 weeks on the list,WILD;by Cheryl Strayed;17 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;15 weeks on the list,WILD;by Cheryl Strayed;21 weeks on the list,WHEAT BELLY;by William Davis;18 weeks on the list,TO HEAVEN AND BACK;by Mary C. Neal;11 weeks on the list,WILD;by Cheryl Strayed;,ACTION COMICS: SUPERMAN AND THE MEN OF STEEL;by Grant Morrison and others;New this week,BATMAN: NIGHT OF THE OWLS;by Scott Snyder and others;11 weeks on the list,"YU-GI-OH! GX, VOL. 9;by Naoyuki Kageyama;New this week",INSURGENT;by Veronica Roth;15 weeks on the list,DIVERGENT;by Veronica Roth;24 weeks on the list,PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;17 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;103 weeks on the list,STEVE JOBS;by Walter Isaacson;,OUTLIERS;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;
2,FIFTY SHADES DARKER;by E. L. James;24 weeks on the list,SWEET TALK;by Julie Garwood;New this week,FIFTY SHADES DARKER;by E. L. James;19 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,UNBROKEN;by Laura Hillenbrand;81 weeks on the list,AMATEUR;by Edward Klein;13 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;75 weeks on the list,THE SECRET LIFE OF MARILYN MONROE;by J. Randy Taraborrelli;New this week,THE 17 DAY DIET;by Mike Moreno;65 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;263 weeks on the list,AMATEUR;by Edward Klein;,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;86 weeks on the list,BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;30 weeks on the list,"SAILOR MOON, VOL. 6;by Naoko Takeuchi;5 weeks on the list",THE FAULT IN OUR STARS;by John Green;31 weeks on the list,ONE DIRECTION: DARE TO DREAM;by the members of One Direction;12 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;15 weeks on the list,MAXIMUM RIDE;by James Patterson;73 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,TIPPING POINT;by Malcolm Gladwell;,AMATEUR;by Edward Klein;
3,FIFTY SHADES FREED;by E. L. James;23 weeks on the list,WHERE WE BELONG;by Emily Giffin;3 weeks on the list,FIFTY SHADES FREED;by E. L. James;19 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,AMATEUR;by Edward Klein;13 weeks on the list,UNBROKEN;by Laura Hillenbrand;91 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;283 weeks on the list,UNBROKEN;by Laura Hillenbrand;81 weeks on the list,THE BLOOD SUGAR SOLUTION;by Mark Hyman;21 weeks on the list,EAT TO LIVE;by Joel Fuhrman;57 weeks on the list,UNBROKEN;by Laura Hillenbrand;,BATMAN: EARTH ONE;by Geoff Johns and Gary Frank;5 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;22 weeks on the list","BLEACH, VOL. 44;by Tite Kubo;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;62 weeks on the list,THE PERKS OF BEING A WALLFLOWER;by Stephen Chbosky;10 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;29 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;187 weeks on the list,IMAGINE;by Jonah Lehrer;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
4,GONE GIRL;by Gillian Flynn;10 weeks on the list,CHARON'S CLAW;by R. A. Salvatore;New this week,BARED TO YOU;by Sylvia Day;9 weeks on the list,,,GONE GIRL;by Gillian Flynn;,DOUBLE CROSS;by Ben Macintyre;2 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;46 weeks on the list,OUTLIERS;by Malcolm Gladwell;62 weeks on the list,AMATEUR;by Edward Klein;13 weeks on the list,"HEART, SMARTS, GUTS, AND LUCK;by Anthony K. Tjan, Richard J. Harrington and Tsun-Yan Hsieh;New this week",WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;574 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;,FEVER MOON;by Karen Marie Moning and David Lawrence;3 weeks on the list,BATMAN: YEAR ONE;by Frank Miller and David Mazzucchelli;5 weeks on the list,"BLEACH, VOL. 45;by Tite Kubo;New this week","THE LAND OF STORIES, THE WISHING SPELL;by Chris Colfer. Illustrated by Brandon Dorman;4 weeks on the list",THE BOOK THIEF;by Markus Zusak;257 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;45 weeks on the list",ORIGAMI YODA;by Tom Angleberger. Illustrated;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",VISION;by Gordon D'Angelo;,COWARDS;by Glenn Beck and Kevin Balfe;
5,BARED TO YOU;by Sylvia Day;10 weeks on the list,ODD APOCALYPSE;by Dean Koontz;2 weeks on the list,THE BEST OF ME;by Nicholas Sparks;New this week,,,BARED TO YOU;by Sylvia Day;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;45 weeks on the list,DOUBLE CROSS;by Ben Macintyre;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;91 weeks on the list,DOUBLE CROSS;by Ben Macintyre;2 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;118 weeks on the list,THE UNTETHERED SOUL;by Michael A. Singer;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;13 weeks on the list,BATMAN: THE LONG HALLOWEEN;by Jeph Loeb and Tim Sale;5 weeks on the list,"NEGIMA! MAGISTER NEGI MAGI, VOL. 35;by Ken Akamatsu;3 weeks on the list",MIDDLE SCHOOL: GET ME OUT OF HERE!;by James Patterson and Chris Tebbetts;14 weeks on the list,BRAVE: THE JUNIOR NOVELIZATION;adapted by Irene Trimble;10 weeks on the list,THE FANTASTIC FLYING BOOKS OF MR. MORRIS LESSMORE;by William Joyce. Illustrated by William Joyce and Joe Bluhm;8 weeks on the list,DORK DIARIES;by Rachel Renée Russell;45 weeks on the list,MOBILE WAVE;by Michael Saylor;,DRIVE;by Daniel H. Pink;,AMERICAN SON;by Marco Rubio;
6,SWEET TALK;by Julie Garwood;New this week,THE SPYMASTERS;by W. E. B. Griffin and William E. Butterworth IV;New this week,11/22/63;by Stephen King;3 weeks on the list,,,THE BEST OF ME;by Nicholas Sparks;,IN THE GARDEN OF BEASTS;by Erik Larson;50 weeks on the list,DEARIE;by Bob Spitz;New this week,HOW TO BE A WOMAN;by Caitlin Moran;4 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;46 weeks on the list,THE SKINNY RULES;by Bob Harper with Greg Critser;13 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;75 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,BATMAN & ROBIN: BORN TO KILL;by Peter J. Tomasi and Patrick Gleason;4 weeks on the list,THE UNDERWATER WELDER;by Jeff Lemire;New this week,"BAKUMAN, VOL. 13;by Tsugumi Ohba;New this week",WONDER;by R.J. Palacio;21 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;139 weeks on the list,WE ARE IN A BOOK!;written and illustrated by Mo Willems;12 weeks on the list,KANE CHRONICLES;by Rick Riordan;15 weeks on the list,THE PRICE OF INEQUALITY;by Joseph E. Stiglitz;,THE CHECKLIST MANIFESTO;by Atul Gawande;,IT WORKED FOR ME;by Colin Powell with Tony Koltz;
7,WHERE WE BELONG;by Emily Giffin;3 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;2 weeks on the list,THE NIGHT CIRCUS;by Erin Morgenstern;6 weeks on the list,,,DON’T BLINK;by James Patterson and Howard Roughan;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;68 weeks on the list,WHY DOES THE WORLD EXIST?;by Jim Holt;2 weeks on the list,1493;by Charles C. Mann;3 weeks on the list,STEVE JOBS;by Walter Isaacson;42 weeks on the list,TEACH YOUR CHILDREN WELL;by Madeline Levine;2 weeks on the list,EVERY DAY A FRIDAY;by Joel Osteen;New this week,DOUBLE CROSS;by Ben Macintyre;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;61 weeks on the list","AVATAR: THE LAST AIRBENDER, PART 2;by Gene Luen Yang and others;11 weeks on the list","FAIRY TAIL, VOL. 20;by Hiro Mashima;New this week",LIAR & SPY;by Rebecca Stead;New this week,THE LOST HERO;by Rick Riordan;19 weeks on the list,ROCKET WRITES A STORY;by Tad Hills;3 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;260 weeks on the list,UNINTENDED CONSEQUENCES;by Edward Conard;,MONEYBALL;by Michael Lewis;,THE GREAT DESTROYER;by David Limbaugh;
8,STYGIAN'S HONOR;by Lora Leigh;New this week,TIME UNTIME;by Sherrilyn Kenyon;New this week,THE ALCHEMIST;by Paulo Coelho;231 weeks on the list,,,SWEET TALK;by Julie Garwood;,THE SECRET LIFE OF MARILYN MONROE;by J. Randy Taraborrelli;New this week,STEVE JOBS;by Walter Isaacson;41 weeks on the list,BOSSYPANTS;by Tina Fey;32 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;81 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;23 weeks on the list,UNGLUED;by Lysa TerKeurst;New this week,THE GLASS CASTLE;by Jeannette Walls;,ARE YOU MY MOTHER?;by Alison Bechdel;15 weeks on the list,SMILE;by Raina Telgemeier;27 weeks on the list,"KAMISAMA KISS, VOL. 10;by Julietta Suzuki;New this week",BETWEEN THE LINES;by Jodi Picoult and Samantha van Leer;7 weeks on the list,MATCHED;by Ally Condie;47 weeks on the list,PRESS HERE;by Hervé Tullet;60 weeks on the list,THE MAZE RUNNER;by James Dashner;35 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THE BIG SHORT;by Michael Lewis;,THE PRESIDENTS CLUB;by Nancy Gibbs and Michael Duffy;
9,TIME UNTIME;by Sherrilyn Kenyon;New this week,BLACK LIST;by Brad Thor;3 weeks on the list,MAINE;by J. Courtney Sullivan;11 weeks on the list,,,WHERE WE BELONG;by Emily Giffin;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;79 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;22 weeks on the list,A STOLEN LIFE;by Jaycee Dugard;6 weeks on the list,IN MY FATHER'S COUNTRY;by Saima Wahab;New this week,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;40 weeks on the list,TINY BEAUTIFUL THINGS;by Cheryl Strayed;5 weeks on the list,OUTLIERS;by Malcolm Gladwell;,BLACKSAD;by Juan Diaz Canales and Juanjo Guarnido;2 weeks on the list,BATMAN: HUSH;by Jeph Loeb and Jim Lee;22 weeks on the list,"DAWN OF THE ARCANA, VOL. 5;by Rei Toma;New this week",THE SON OF NEPTUNE;by Rick Riordan;45 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;10 weeks on the list,THE DUCKLING GETS A COOKIE!?;by Mo Willems;18 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;120 weeks on the list,$100 STARTUP;by Chris Guillebeau;,HOW WE DECIDE;by Jonah Lehrer;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;
10,SLAMMED;by Colleen Hoover;5 weeks on the list,THE FALLEN ANGEL;by Daniel Silva;4 weeks on the list,DREAM LAKE;by Lisa Kleypas;New this week,,,BIG SKY MOUNTAIN;by Linda Lael Miller;,THE GLASS CASTLE;by Jeannette Walls;27 weeks on the list,DREAM TEAM;by Jack McCallum;5 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;229 weeks on the list,HOW TO BE A WOMAN;by Caitlin Moran;4 weeks on the list,THE SECRET;by Rhonda Byrne;194 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;87 weeks on the list,DEARIE;by Bob Spitz;,A GAME OF THRONES;by George R.R. Martin;13 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;57 weeks on the list","TEGAMI BACHI, VOL. 10;by Hiroyuki Asada;New this week",CHOMP;by Carl Hiaasen;17 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;58 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;34 weeks on the list,FALLEN;by Lauren Kate;19 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,RICH AND THE REST OF US;by Tavis Smiley and Cornel West;,BARACK OBAMA;by David Maraniss;
