,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,BLOOD NOIR;by Laurell K. Hamilton;New this week,THE SHACK;by William P. Young;2 weeks on the list,,WHAT HAPPENED;by Scott McClellan;New this week,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;70 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;8 weeks on the list,A NEW EARTH;by Eckhart Tolle;18 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;59 weeks on the list,DYLAN;by Lisi Harrison;4 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;29 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;43 weeks on the list
2,THE HOST;by Stephenie Meyer;4 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;22 weeks on the list,,AUDITION;by Barbara Walters;4 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;71 weeks on the list",THE SECRET;by Rhonda Byrne;73 weeks on the list,SKINNY BITCH;by Kim Barnouin;47 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;20 weeks on the list,INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL;by James Luceno;2 weeks on the list,READ ALL ABOUT IT!;by Laura Bush and Jenna Bush;6 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;57 weeks on the list
3,ODD HOURS;by Dean R. Koontz;2 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;39 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;6 weeks on the list",THE AUDACITY OF HOPE;by Barack Obama;23 weeks on the list,QUANTUM WELLNESS;by Kathy Freston;2 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;33 weeks on the list,SEEKERS: THE QUEST BEGINS;by Erin Hunter;New this week,MASSIE;by Lisi Harrison;9 weeks on the list,ALPHABET;by Matthew Van Fleet;8 weeks on the list,PENDRAGON;by D. J. MacHale;61 weeks on the list
4,LOVE THE ONE YOU'RE WITH;by Emily Giffin;3 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;39 weeks on the list,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;5 weeks on the list,MARLEY AND ME;by John Grogan;12 weeks on the list,JUST WHO WILL YOU BE?;by Maria Shriver;7 weeks on the list,HUNGRY GIRL;by Lisa Lillien;5 weeks on the list,LOCK AND KEY;by Sarah Dessen;6 weeks on the list,THE BOOK THIEF;by Markus Zusak;38 weeks on the list,"SMASH! CRASH!;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;19 weeks on the list",PRETTY LITTLE LIARS;by Sara Shepard;7 weeks on the list
5,SUNDAYS AT TIFFANY’S;by James Patterson and Gabrielle Charbonnet;5 weeks on the list,NINETEEN MINUTES;by Jodi Picoult;17 weeks on the list,,STOLEN INNOCENCE;by Elissa Wall with Lisa Pulitzer;3 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;5 weeks on the list,GHOSTS AMONG US;by James Van Praagh;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;363 weeks on the list,TWEAK;by Nic Sheff;14 weeks on the list,CAMP ROCK;by Lucy Ruggles;New this week,KNUFFLE BUNNY TOO;written and illustrated by Mo Willems;30 weeks on the list,WARRIORS: POWER OF THREE;by Erin Hunter;6 weeks on the list
6,CHASING HARRY WINSTON;by Lauren Weisberger;New this week,THE ALCHEMIST;by Paulo Coelho;38 weeks on the list,,MY STROKE OF INSIGHT;by Jill Bolte Taylor;2 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;84 weeks on the list,THE SOUTH BEACH DIET SUPERCHARGED;by Arthur Agatston with Joseph Signorile;5 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;49 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;61 weeks on the list,THE CARLYLES;by Cecily Von Ziegesar;4 weeks on the list,ZEN TIES;written and illustrated by Jon J. Muth;20 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;183 weeks on the list
7,THE FRONT;by Patricia Cornwell;2 weeks on the list,THE MEMORY KEEPER’S DAUGHTER;by Kim Edwards;39 weeks on the list,,THE DOWNHILL LIE;by Carl Hiaasen;4 weeks on the list,"ANIMAL, VEGETABLE, MIRACLE;by Barbara Kingsolver and Camille Kingsolver;5 weeks on the list",THE 4-HOUR WORKWEEK;by Timothy Ferriss;27 weeks on the list,"HELLO, CUPCAKE!;by Karen Tack;4 weeks on the list",NICK OF TIME;by Ted Bell;3 weeks on the list,BRATFEST AT TIFFANY’S;by Lisi Harrison;17 weeks on the list,DIRT ON MY SHIRT;by Jeff Foxworthy. Illustrated by Steve Bjorkman;13 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;17 weeks on the list
8,DEVIL MAY CARE;by Sebastian Faulks;New this week,THE YIDDISH POLICEMEN’S UNION;by Michael Chabon;5 weeks on the list,,THE REVOLUTION;by Ron Paul;6 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;98 weeks on the list,MEDICAL MYTHS THAT CAN KILL YOU;by Nancy L. Snyderman;2 weeks on the list,SKINNY BITCH IN THE KITCH;by Rory Freedman;14 weeks on the list,LITTLE BROTHER;by Cory Doctorow;4 weeks on the list,KYLIE THE CARNIVAL FAIRY;by Daisy Meadows;New this week,LADYBUG GIRL;by Jacky Davis and David Soman. Illustrated by David Soman;11 weeks on the list,BEST AT EVERYTHING;by various authors and illustrators;2 weeks on the list
9,PHANTOM PREY;by John Sandford;4 weeks on the list,THE LAST SUMMER (OF YOU AND ME);by Ann Brashares;4 weeks on the list,,THE GREAT DERANGEMENT;by Matt Taibbi;New this week,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;35 weeks on the list,THE DANGEROUS BOOK FOR BOYS;by Conn Iggulden and Hal Iggulden;49 weeks on the list,GETTING THINGS DONE;by David Allen;28 weeks on the list,INK EXCHANGE;by Melissa Marr;5 weeks on the list,THE CHRONICLES OF NARNIA: PRINCE CASPIAN;by C. S. Lewis;6 weeks on the list,DON’T BUMP THE GLUMP!;written and illustrated by Shel Silverstein;9 weeks on the list,SEPTIMUS HEAP;by Angie Sage;20 weeks on the list
10,SNUFF;by Chuck Palahniuk;2 weeks on the list,SECOND CHANCE;by Jane Green;New this week,,COUNSELOR;by Ted Sorensen;3 weeks on the list,THE OMNIVORE’S DILEMMA;by Michael Pollan;40 weeks on the list,DEBT CURES “THEY” DON’T WANT YOU TO KNOW ABOUT;by Kevin Trudeau;4 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;21 weeks on the list,THE PENDERWICKS ON GARDAM STREET;by Jeanne Birdsall;6 weeks on the list,JUST LISTEN;by Sarah Dessen;14 weeks on the list,RETURN TO FAIRYOPOLIS;by Cicely Mary Barker;2 weeks on the list,MAXIMUM RIDE;by James Patterson;41 weeks on the list
