,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,OUTLANDER;by Diana Gabaldon;3 weeks on the list,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE;by Haruki Murakami;New this week,GONE GIRL;by Gillian Flynn;17 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;166 weeks on the list,AMERICA;by Dinesh D'Souza;6 weeks on the list,UNBROKEN;by Laura Hillenbrand;3 weeks on the list,UNBROKEN;by Laura Hillenbrand;185 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;71 weeks on the list,"SCOTT PILGRIM, VOL.5;by Bryan Lee O'Malley;New this week",PERSEPOLIS;by Marjane Satrapi;34 weeks on the list,"CRIMSON SPELL, VOL. 5;by Ayano Yamane;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;60 weeks on the list,DIVERGENT;by Veronica Roth;43 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,OUTLIERS;by Malcolm Gladwell;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,UNBROKEN;by Laura Hillenbrand;,DAVID AND GOLIATH;by Malcolm Gladwell;,THE CLOSER;by Mariano Rivera with Wayne Coffey;
2,LOVE LETTERS;by Debbie Macomber;New this week,LOVE LETTERS;by Debbie Macomber;New this week,ORPHAN TRAIN;by Christina Baker Kline;52 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;13 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;13 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;12 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;30 weeks on the list,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;24 weeks on the list,SECONDS;by Bryan Lee O'Malley;5 weeks on the list,"GUARDIANS OF THE GALAXY: THE COMPLETE COLLECTION, VOL. 1;by Dan Abnett, Andy Lanning and others;New this week","BLEACH, VOL. 61;by Tite Kubo;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;150 weeks on the list",GIVER QUARTET;by Lois Lowry;52 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,LAUNCH;by Jeff Walker;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,BLOOD FEUD;by Edward Klein;,QUIET;by Susan Cain;,LUCKIEST MAN;by Jonathan Eig;
3,BIG LITTLE LIES;by Liane Moriarty;3 weeks on the list,THE 6TH EXTINCTION;by James Rollins;New this week,FIFTY SHADES OF GREY;by E. L. James;120 weeks on the list,,,IN THE KINGDOM OF ICE;by Hampton Sides;2 weeks on the list,IN THE KINGDOM OF ICE;by Hampton Sides;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;167 weeks on the list,THE PATH BETWEEN THE SEAS;by David McCullough;2 weeks on the list,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;6 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;15 weeks on the list,"THE WALKING DEAD, VOL. 21;by Robert Kirkman and Charlie Adlard;3 weeks on the list","DEADMAN WONDERLAND, VOL. 4;by Jinsei Katoka and Kazuma Kondou;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,PETE THE CAT AND THE NEW GUY;by Kimberly Dean and James Dean;2 weeks on the list,THE MAZE RUNNER;by James Dashner;97 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,BUSINESS ADVENTURES;by John Brooks;,WHEAT BELLY;by William Davis;,AMERICA;by Dinesh D'Souza;,THE POWER OF HABIT;by Charles Duhigg;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
4,THE 6TH EXTINCTION;by James Rollins;New this week,BIG LITTLE LIES;by Liane Moriarty;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;317 weeks on the list,,,AMERICA;by Dinesh D'Souza;6 weeks on the list,THE FIRST FAMILY DETAIL;by Ronald Kessler;2 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;54 weeks on the list,IN THE KINGDOM OF ICE;by Hampton Sides;2 weeks on the list,THE BEST YES;by Lysa TerKeurst;New this week,THANOS: THE INFINITY REVELATION;by Jim Starlin;2 weeks on the list,"GUARDIANS OF THE GALAXY, VOL. 1;by Brian Michael Bendis and Steve McNiven;2 weeks on the list","FAIRY TAIL, VOL. 41;by Hiro Mashima;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PETE THE CAT: ROCKING IN MY SCHOOL SHOES;by Eric Litwin. Illustrated by James Dean;27 weeks on the list,ORIGAMI YODA;by Tom Angleberger. Illustrated;24 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,HARD CHOICES;by Hillary Rodham Clinton;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",FREE+STYLE;by Carl Paoli and Anthony Sherbondy;
5,COLORLESS TSUKURU TAZAKI AND HIS YEARS OF PILGRIMAGE;by Haruki Murakami;New this week,THE GOLDFINCH;by Donna Tartt;43 weeks on the list,OUTLANDER;by Diana Gabaldon;2 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;33 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;44 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;360 weeks on the list,VERA;by Stacy Schiff;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;47 weeks on the list,"THE GRAVEYARD BOOK, VOL. 1;by Neil Gaiman, P. Craig Russell and others;3 weeks on the list","MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;46 weeks on the list","LOVELESS, VOL. 12;by Yun Kouga;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;153 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;153 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,THE DOCTOR'S DIET;by Travis Stork;,ONE NATION;by Ben Carson with Candy Carson;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
6,GONE GIRL;by Gillian Flynn;90 weeks on the list,THE HEIST;by Daniel Silva;5 weeks on the list,FIFTY SHADES DARKER;by E. L. James;99 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;129 weeks on the list,A SPY AMONG FRIENDS;by Ben Macintyre;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;196 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;55 weeks on the list,MY DRUNK KITCHEN;by Hannah Hart;New this week,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;128 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;20 weeks on the list,"FOOD WARS!, VOL. 1;by Yuto Tsukudo and Shun Saeki;2 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;104 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;19 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,#GIRLBOSS;by Sophia Amoruso;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,I NEVER HAD IT MADE;by Jackie W. Robinson;
7,THE GOLDFINCH;by Donna Tartt;43 weeks on the list,THE BOOK OF LIFE;by Deborah Harkness;5 weeks on the list,DARK PLACES;by Gillian Flynn;55 weeks on the list,,,ONE NATION;by Ben Carson with Candy Carson;13 weeks on the list,HARD CHOICES;by Hillary Rodham Clinton;10 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;32 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;151 weeks on the list,#GIRLBOSS;by Sophia Amoruso;15 weeks on the list,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;9 weeks on the list,"SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;21 weeks on the list","ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;8 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;35 weeks on the list,THE SELECTION;by Kiera Cass;15 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE PALEO KITCHEN;by Juli Bauer and George Bryant;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,NEIL ARMSTRONG: A LIFE OF FLIGHT;by Jay Barbree;,THE SPORTS GENE;by David Epstein;
8,FIFTY SHADES OF GREY;by E. L. James;69 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;15 weeks on the list,AN EVENT IN AUTUMN;by Henning Mankell;New this week,,,THE PATH BETWEEN THE SEAS;by David McCullough;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;182 weeks on the list,THE HOT ZONE;by Richard Preston;48 weeks on the list,CHURCHILL;by Martin Gilbert;New this week,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;14 weeks on the list,HOW TO BE HAPPY;by Eleanor Davis;2 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;75 weeks on the list","ROSARIO+VAMPIRE, SEASON II, VOL. 13;by Akihisa Ikeda;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;23 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;340 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",SUPER SHRED;by Ian K. Smith;,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;,HOW DOGS LOVE US;by Gregory Berns;,THE EMERALD MILE;by Kevin Fedarko;
9,ORPHAN TRAIN;by Christina Baker Kline;30 weeks on the list,THE LOST ISLAND;by Douglas Preston and Lincoln Child;2 weeks on the list,SHARP OBJECTS;by Gillian Flynn;22 weeks on the list,,,THE FIRST FAMILY DETAIL;by Ronald Kessler;2 weeks on the list,BLOOD FEUD;by Edward Klein;8 weeks on the list,WILD;by Cheryl Strayed;73 weeks on the list,BY MYSELF AND THEN SOME;by Lauren Bacall;New this week,THE MEDITERRANEAN DIET FOR EVERY DAY;by the staff of Telamon Press;2 weeks on the list,THE STAR WARS;by J. W. Rinzler and Mike Mayhew;3 weeks on the list,SMILE;by Raina Telgemeier;114 weeks on the list,"DRAGONAR ACADEMY, VOL. 3;by Shiki Mizuchi and Ran;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;20 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;206 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,HOW THE WORLD SEES YOU;by Sally Hogshead;,PRACTICAL PALEO;by Diane Sanfilippo;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,WAR OF THE WHALES;by Joshua Horwitz;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
10,NOT A DRILL;by Lee Child;3 weeks on the list,THE MAGICIAN'S LAND;by Lev Grossman;2 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;16 weeks on the list,,,A SPY AMONG FRIENDS;by Ben Macintyre;3 weeks on the list,THE INVISIBLE BRIDGE;by Rick Perlstein;2 weeks on the list,QUIET;by Susan Cain;81 weeks on the list,THE RISE AND FALL OF ANCIENT EGYPT;by Toby Wilkinson;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;67 weeks on the list,"INJUSTICE: GODS AMONG US, VOL. 2;by Tom Taylor, Mike S. Miller, Tom Derenick;7 weeks on the list","LAZARUS, VOL. 2;by Greg Rucka and Michael Lark;New this week","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;62 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MY NEW FRIEND IS SO FUN!;by Mo Willems;10 weeks on the list,BLOODLINES;by Richelle Mead;9 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,FLASH BOYS;by Michael Lewis;,AGAINST ALL GRAIN;by Danielle Walker;,WILD SWANS;by Jung Chang;,INSIDE OF A DOG;by Alexandra Horowitz;,WHEELMEN;by Reed Albergotti and Vanessa O'Connell;
