,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE REMBRANDT AFFAIR;by Daniel Silva;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;57 weeks on the list,,_____ MY DAD SAYS;by Justin Halpern;12 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;181 weeks on the list",WOMEN FOOD AND GOD;by Geneen Roth;19 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;470 weeks on the list,"TROUBLEMAKER;by Janet Evanovich, Alex Evanovich and Joelle Jones;New this week",SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;New this week,"FULLMETAL ALCHEMIST, VOL. 23;by Hiromu Arakawa;New this week",LINGER;by Maggie Stiefvater;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;4 weeks on the list,LEGO STAR WARS;by Simon Beecroft;31 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;155 weeks on the list
2,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;9 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;18 weeks on the list,,THE OBAMA DIARIES;by Laura Ingraham;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;182 weeks on the list,DELIVERING HAPPINESS;by Tony Hsieh;7 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;156 weeks on the list,"BLACKEST NIGHT: BLACK LANTERN CORPS, VOL. 1;by various;New this week",SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;20 weeks on the list,"NARUTO, VOL. 48;by Masashi Kishimoto;8 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;12 weeks on the list",BEEZUS AND RAMONA;by Beverly Cleary. Illustrated by Tracy Dockray;7 weeks on the list,"CITY DOG, COUNTRY FROG;by Mo Willems. Illustrated by Jon J Muth;7 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;159 weeks on the list
3,THE HELP;by Kathryn Stockett;69 weeks on the list,LITTLE BEE;by Chris Cleave;23 weeks on the list,,THE BIG SHORT;by Michael Lewis;19 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;177 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;97 weeks on the list,THE TWILIGHT SAGA: ECLIPSE;by Mark Cotta Vaz;4 weeks on the list,"BLACKEST NIGHT: BLACK LANTERN CORPS, VOL. 2;by various;New this week",SCOTT PILGRIM VS. THE UNIVERSE;by Bryan Lee O’Malley;14 weeks on the list,"OURAN HIGH SCHOOL HOST CLUB, VOL. 14;by Bisco Hatori;3 weeks on the list",CATCHING FIRE;by Suzanne Collins;47 weeks on the list,THE BOOK THIEF;by Markus Zusak;150 weeks on the list,STAR WARS;by Rufus Butler Seder;11 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;20 weeks on the list
4,FLY AWAY HOME;by Jennifer Weiner;2 weeks on the list,ONE DAY;by David Nicholls;5 weeks on the list,,MEDIUM RAW;by Anthony Bourdain;7 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;91 weeks on the list,THE SECRET;by Rhonda Byrne;167 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;88 weeks on the list,BLACKEST NIGHT;by Geoff Johns and Ivan Reis;2 weeks on the list,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;12 weeks on the list,"VAMPIRE KNIGHT, VOL. 10;by Matsuri Hino;8 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;98 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;78 weeks on the list,LADYBUG GIRL AT THE BEACH;by David Soman and Jacky Davis. Illustrated by David Soman;10 weeks on the list,THE 39 CLUES;by various authors;55 weeks on the list
5,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;4 weeks on the list,"UNDER THE DOME, PART 1;by Stephen King;3 weeks on the list",,SLIDING INTO HOME;by Kendra Wilkinson;3 weeks on the list,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;30 weeks on the list",4-HOUR WORKWEEK;by Timothy Ferriss;75 weeks on the list,THE BELLY FAT CURE;by Jorge Cruise;27 weeks on the list,BLACKEST NIGHT: GREEN LANTERN;by Geoff Johns and Doug Mahnke;2 weeks on the list,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;16 weeks on the list,ALICE IN THE COUNTRY OF HEARTS: THE CLOCKMAKER'S STORY;by Quinrose and Soumei Hoshino;10 weeks on the list,THEODORE BOONE: KID LAWYER;by John Grisham;9 weeks on the list,SHIVER;by Maggie Stiefvater;8 weeks on the list,THE VERY FAIRY PRINCESS: HERE COMES THE FLOWER GIRL!;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;10 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;80 weeks on the list
6,THE SEARCH;by Nora Roberts;3 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;26 weeks on the list,,COMING BACK STRONGER;by Drew Brees with Chris Fabry;3 weeks on the list,LIT;by Mary Karr;4 weeks on the list,SWITCH;by Chip Heath and Dan Heath;22 weeks on the list,"FOOD RULES;by Michael Pollan, Illustrated by Maira Kalman;30 weeks on the list",BLACKEST NIGHT: GREEN LANTERN CORPS;by Peter J. Tomasi and Patrick Gleason;2 weeks on the list,SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;8 weeks on the list,"MEGATOKYO, VOL. 6;by Fred Gallagher;New this week",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;7 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;67 weeks on the list,OOH LA LA! IT'S BEAUTY DAY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;5 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;99 weeks on the list
7,SIZZLING SIXTEEN;by Janet Evanovich;5 weeks on the list,BEST FRIENDS FOREVER;by Jennifer Weiner;12 weeks on the list,,CHELSEA CHELSEA BANG BANG;by Chelsea Handler;20 weeks on the list,ZEITOUN;by Dave Eggers;6 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;28 weeks on the list,RADICAL;by David Platt;7 weeks on the list,ABSOLUTE PLANETARY: BOOK 2;by Warren Ellis and John Cassaday;New this week,"PENNY ARCADE, VOL. 6;by Mike Krahulik and Jerry Holkins;New this week","VAGABOND, VOL. 8 (VIZBIG EDITION);by Takehiko Inoue;New this week",SWEET LITTLE LIES;by Lauren Conrad;14 weeks on the list,"AERIE AND RECKONING (THE FALLEN, BOOK 2);by Thomas E. Sniegoski;New this week",THE LION AND THE MOUSE;by Jerry Pinkney;38 weeks on the list,GALLAGHER GIRLS;by Ally Carter;7 weeks on the list
8,THE GLASS RAINBOW;by James Lee Burke;2 weeks on the list,SWIMSUIT;by James Patterson and Maxine Paetro;6 weeks on the list,,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;5 weeks on the list,MENNONITE IN A LITTLE BLACK DRESS;by Rhoda Janzen;15 weeks on the list,DOING BOTH;by Inder Sidhu;New this week,THE POWER OF NOW;by Eckhart Tolle;93 weeks on the list,THE STAND: SOUL SURVIVORS;by Roberto Aguirre-Sacasa and Mike Perkins;New this week,WATCHMEN;by Alan Moore and Dave Gibbons;73 weeks on the list,"NARUTO, VOL. 47;by Masashi Kishimoto;20 weeks on the list",DORK DIARIES;written and illustrated by Rachel Renée Russell;16 weeks on the list,PINKALICIOUS AND THE PINK DRINK;written and illustrated by Victoria Kann;9 weeks on the list,WADDLE!;written and illustrated by Rufus Butler Seder;39 weeks on the list,THE IMMORTALS;by Alyson Noël;19 weeks on the list
9,THE OVERTON WINDOW;by Glenn Beck;6 weeks on the list,THE LACUNA;by Barbara Kingsolver;New this week,,OUTLIERS;by Malcolm Gladwell;87 weeks on the list,A LONG WAY GONE;by Ishmael Beah;36 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;61 weeks on the list","COOK THIS, NOT THAT!;by David Zinczenko and Matt Goulding;27 weeks on the list",TWILIGHT;by Mark Cotta Vaz;19 weeks on the list,PRIDE AND PREJUDICE AND ZOMBIES;by Jane Austen and Seth Grahame-Smith;9 weeks on the list,"DRAGON BALL Z, VOL. 8 (VIZBIG EDITION);by Akira Toriyama;New this week",FALLEN;by Lauren Kate;33 weeks on the list,THE FALLEN AND LEVIATHAN;by Thomas E. Sniegoski;New this week,CAN I PLAY TOO?;written and illustrated by Mo Willems;4 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;32 weeks on the list
10,THE LION;by Nelson DeMille;7 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;59 weeks on the list,,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;22 weeks on the list,TIPPING POINT;by Malcolm Gladwell;303 weeks on the list,"THE BEST LIFE GUIDE TO MANAGING DIABETES AND PRE-DIABETES;by Bob Greene, John J. Merendino and Janis Jibrin;3 weeks on the list",AWKWARD FAMILY PHOTOS;by Mike Bender and Doug Chernack;7 weeks on the list,BLACKSAD;by Juan Diaz Canales and Juanjo Guarnido;New this week,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;36 weeks on the list","YU-GI-OH! R, VOL. 5;by Akira Ito;5 weeks on the list",BIG NATE: IN A CLASS BY HIMSELF;written and illustrated by Lincoln Peirce;17 weeks on the list,L.A. CANDY;by Lauren Conrad;24 weeks on the list,THE QUIET BOOK;by Deborah Underwood. Illustrated by Renata Liwska;10 weeks on the list,WARRIORS;by Erin Hunter;90 weeks on the list
