,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,SECRETS IN DEATH;by J.D. Robb;New this week,A LEGACY OF SPIES;by John le Carré;New this week,IT;by Stephen King;4 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;55 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;19 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;390 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;39 weeks on the list,WONDER;by R.J. Palacio;109 weeks on the list,WHAT DO YOU DO WITH A PROBLEM?;by Kobi Yamada. Illustrated by Mae Besom;19 weeks on the list,DOG MAN;by Dav Pilkey;2 weeks on the list,THE HATE U GIVE;by Angie Thomas;28 weeks on the list,GRIT;by Angela Duckworth;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,WHAT MADE MADDY RUN;by Kate Fagan;
2,ENEMY OF THE STATE;by Kyle Mills;New this week,SECRETS IN DEATH;by J.D. Robb;New this week,THE WOMAN IN CABIN 10;by Ruth Ware;22 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;19 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;59 weeks on the list,BEING MORTAL;by Atul Gawande;New this week,YOU ARE A BADASS;by Jen Sincero;87 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;8 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;15 weeks on the list,THRONE OF GLASS;by Sarah J. Maas;16 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;,SAPIENS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
3,A LEGACY OF SPIES;by John le Carré;New this week,ENEMY OF THE STATE;by Kyle Mills;New this week,MILK AND HONEY;by Rupi Kaur;74 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;59 weeks on the list,FANTASYLAND;by Kurt Andersen;New this week,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;New this week,END OF ALZHEIMER'S;by Dale Bredesen;3 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;11 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;186 weeks on the list,HARRY POTTER;by J.K. Rowling;442 weeks on the list,BERNIE SANDERS GUIDE TO POLITICAL REVOLUTION;by Bernie Sanders. Illustrated by Jude Buffum;2 weeks on the list,RED NOTICE;by Bill Browder;,END OF ALZHEIMER'S;by Dale Bredesen;,FINDING GOBI;by Dion Leonard with with Craig Borlase;
4,IT;by Stephen King;5 weeks on the list,Y IS FOR YESTERDAY;by Sue Grafton;3 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;28 weeks on the list,FANTASYLAND;by Kurt Andersen;New this week,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;15 weeks on the list",JUST MERCY;by Bryan Stevenson;77 weeks on the list,MAKE YOUR BED;by William H. McRaven;23 weeks on the list,THE DARK PROPHECY;by Rick Riordan;19 weeks on the list,WHAT DO YOU DO WITH AN IDEA?;by Kobi Yamada. Illustrated by Mae Besom;36 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;443 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;12 weeks on the list,EMIGRANT EDGE;by Brian Buffini;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,BARBARIAN DAYS;by William Finnegan;
5,DARK LEGACY;by Christine Feehan;New this week,GLASS HOUSES;by Louise Penny;2 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;15 weeks on the list,BEING MORTAL;by Atul Gawande;64 weeks on the list,WHY BUDDHISM IS TRUE;by Robert Wright;5 weeks on the list,ON TYRANNY;by Timothy Snyder;28 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;217 weeks on the list,LAUGH OUT LOUD;by James Patterson and Chris Grabenstein. Illustrated by Jeff Ebbeler;2 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;102 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;83 weeks on the list,THEY BOTH DIE AT THE END;by Adam Silvera;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",WHEN BREATH BECOMES AIR;by Paul Kalanithi;,SHOE DOG;by Phil Knight;
6,Y IS FOR YESTERDAY;by Sue Grafton;3 weeks on the list,THE RIGHT TIME;by Danielle Steel;2 weeks on the list,TWO BY TWO;by Nicholas Sparks;5 weeks on the list,"AL FRANKEN, GIANT OF THE SENATE;by Al Franken;15 weeks on the list",BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;79 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;154 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;100 weeks on the list,REFUGEE;by Alan Gratz;3 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;112 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;445 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;16 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",UNBROKEN;by Laura Hillenbrand;
7,THE WESTERN STAR;by Craig Johnson;New this week,THE WESTERN STAR;by Craig Johnson;New this week,THE HANDMAID'S TALE;by Margaret Atwood;31 weeks on the list,WHY BUDDHISM IS TRUE;by Robert Wright;5 weeks on the list,OPTION B;by Sheryl Sandberg and Adam Grant;20 weeks on the list,WHITE RAGE;by Carol Anderson;New this week,UNINVITED;by Lysa TerKeurst;31 weeks on the list,POTTYMOUTH AND STOOPID;by James Patterson and Chris Grabenstein. Illustrated by Stephen Gilpin;13 weeks on the list,"SAM, THE MOST SCAREDY-CAT KID IN THE WHOLE WORLD;by Mo Willems;New this week",PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;10 weeks on the list,GENUINE FRAUD;by E. Lockhart;New this week,INVISIBLE INFLUENCE;by Jonah Berger;,HIDDEN FIGURES;by Margot Lee Shetterly;,PLAYING HURT;by John Saunders with John U. Bacon;
8,PROOF OF LIFE;by J. A. Jance;New this week,CAMINO ISLAND;by John Grisham;14 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;23 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;21 weeks on the list,THE VIETNAM WAR;by Geoffrey C. Ward;New this week,EVICTED;by Matthew Desmond;12 weeks on the list,THE PLANT PARADOX;by Steven R. Gundry;13 weeks on the list,THE MISADVENTURES OF MAX CRUMBLY: MIDDLE SCHOOL MAYHEM;by Rachel Renée Russell;14 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;219 weeks on the list,HUNTER;by Mercedes Lackey;New this week,ONCE AND FOR ALL;by Sarah Dessen;14 weeks on the list,GET YOUR ------ TOGETHER;by Sarah Knight;,THE POWER OF HABIT;by Charles Duhigg;,COACH WOODEN AND ME;by Kareem Abdul-Jabbar;
9,BEFORE WE WERE YOURS;by Lisa Wingate;6 weeks on the list,DARK LEGACY;by Christine Feehan;New this week,READY PLAYER ONE;by Ernest Cline;30 weeks on the list,IT TAKES TWO;by Jonathan Scott and Drew Scott;New this week,IT TAKES TWO;by Jonathan Scott and Drew Scott;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;207 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;143 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;38 weeks on the list,BIG WORDS FOR LITTLE GENIUSES;by Susan and James Patterson. Illustrated by Hsinping Pan;New this week,DESCENDANTS;by Melissa de la Cruz;16 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;64 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;,QUIET;by Susan Cain;,PAPI;by David Ortiz with Michael Holley;
10,GLASS HOUSES;by Louise Penny;2 weeks on the list,THE STORE;by James Patterson and Richard DiLallo;4 weeks on the list,THE FAMILY LAWYER;by James Patterson;New this week,THE RADIUM GIRLS;by Kate Moore;2 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;21 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;39 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;118 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;33 weeks on the list,COME WITH ME;by Holly M. McGhee. Illustrated by Pascal Lemaître;New this week,I SURVIVED;by Lauren Tarshis;29 weeks on the list,CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;16 weeks on the list,LIFE 3.0;by Max Tegmark;,ON TRAILS;by Robert Moor;,SHAKEN;by Tim Tebow;
