,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,ZERO DAY;by David Baldacci;New this week,ZERO DAY;by David Baldacci;New this week,THE NEXT ALWAYS;by Nora Roberts;New this week,,,ZERO DAY;by David Baldacci;,STEVE JOBS;by Walter Isaacson;2 weeks on the list,STEVE JOBS;by Walter Isaacson;2 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;51 weeks on the list,STEVE JOBS;by Walter Isaacson;2 weeks on the list,GUINNESS WORLD RECORDS 2012;edited by Craig Glenday;8 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;223 weeks on the list,STEVE JOBS;by Walter Isaacson;,"TWILIGHT: THE GRAPHIC NOVEL, VOL. 2;by Stephenie Meyer and Young C. Kim;4 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;22 weeks on the list","BLACK BUTLER, VOL. 7;by Yana Toboso;2 weeks on the list",THE SON OF NEPTUNE;by Rick Riordan;5 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;21 weeks on the list,IF YOU GIVE A DOG A DONUT;by Laura Numeroff. Illustrated by Felicia Bond;5 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;63 weeks on the list,STEVE JOBS;by Walter Isaacson;,MONEYBALL;by Michael Lewis;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
2,THE NEXT ALWAYS;by Nora Roberts;New this week,THE LITIGATORS;by John Grisham;2 weeks on the list,THE HELP;by Kathryn Stockett;31 weeks on the list,,,THE LITIGATORS;by John Grisham;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;6 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;6 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;35 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;6 weeks on the list,NEARING HOME;by Billy Graham;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;536 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,FLASHPOINT;by Geoff Johns and Andy Kubert;New this week,THE ODYSSEY;by Gareth Hinds;2 weeks on the list,"D. GRAY-MAN, VOL. 21;by Katsura Hoshino;New this week",CROSSED;by Ally Condie;New this week,THE BOOK THIEF;by Markus Zusak;217 weeks on the list,HOME FOR CHRISTMAS;by Jan Brett;New this week,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;133 weeks on the list,BOOMERANG;by Michael Lewis;,OUTLIERS;by Malcolm Gladwell;,BOOMERANG;by Michael Lewis;
3,THE LITIGATORS;by John Grisham;2 weeks on the list,THE BEST OF ME;by Nicholas Sparks;4 weeks on the list,SING YOU HOME;by Jodi Picoult;3 weeks on the list,,,THE NEXT ALWAYS;by Nora Roberts;,JACK KENNEDY;by Chris Matthews;New this week,JACK KENNEDY;by Chris Matthews;New this week,OUTLIERS;by Malcolm Gladwell;22 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;New this week,EVERY DAY A FRIDAY;by Joel Osteen;8 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;35 weeks on the list,JACK KENNEDY;by Chris Matthews;,"THE WALKING DEAD, BOOK 7;by Robert Kirkman and Charlie Adlard;3 weeks on the list","THE UNWRITTEN, VOL. 4;by Mike Carey and Peter Gross;2 weeks on the list","BLACK BIRD, VOL. 11;by Kanoko Sakurakoji;New this week",THE OUTCASTS;by John Flanagan;New this week,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;22 weeks on the list,THE BIPPOLO SEED AND OTHER LOST STORIES;by Dr. Seuss;6 weeks on the list,TIGER'S CURSE;by Colleen Houck;New this week,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,THE BIG SHORT;by Michael Lewis;,UNBROKEN;by Laura Hillenbrand;
4,THE BEST OF ME;by Nicholas Sparks;4 weeks on the list,HOTEL VENDOME;by Danielle Steel;New this week,SARAH’S KEY;by Tatiana de Rosnay;140 weeks on the list,,,THE BEST OF ME;by Nicholas Sparks;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;41 weeks on the list,BLUE NIGHTS;by Joan Didion;New this week,CLEOPATRA;by Stacy Schiff;9 weeks on the list,JACK KENNEDY;by Chris Matthews;New this week,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;4 weeks on the list,AWKWARD FAMILY PET PHOTOS;by Mike Bender and Doug Chernack;New this week,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,BATMAN: ARKHAM CITY;by Paul Dini and Carlos D'Anda;3 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;94 weeks on the list","CLAYMORE, VOL. 19;by Norihiro Yagi;New this week",EVERY THING ON IT;by Shel Silverstein;7 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;12 weeks on the list",HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;147 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;,Jacqueline Kennedy: Historic Conversations On Life With John F. Kennedy;;
5,HOTEL VENDOME;by Danielle Steel;New this week,LOST DECEMBER;by Richard Paul Evans;New this week,CUTTING FOR STONE;by Abraham Verghese;93 weeks on the list,,,THE HELP;by Kathryn Stockett;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;New this week,NO HIGHER HONOR;by Condoleezza Rice;New this week,____ FINISH FIRST;by Tucker Max;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;41 weeks on the list,I NEVER THOUGHT I'D SEE THE DAY!;by David Jeremiah;5 weeks on the list,FORKS OVER KNIVES;edited by Gene Stone;12 weeks on the list,BLUE NIGHTS;by Joan Didion;,HABIBI;by Craig Thompson;7 weeks on the list,"THE ADVENTURES OF OOK AND GLUK, KUNG-FU CAVEMEN FROM THE FUTURE;by Dav Pilkey;13 weeks on the list","DEATH NOTE: BLACK EDITION, VOL. 6;by Tsugumi Ohba;New this week",THE LOST HERO;by Rick Riordan;53 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;119 weeks on the list,THE CROWN ON YOUR HEAD;by Nancy Tillman;New this week,DORK DIARIES;by Rachel Renée Russell;21 weeks on the list,ENTRELEADERSHIP;by Dave Ramsey;,"I, STEVE;edited by George Beahm;",THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;
6,THE HELP;by Kathryn Stockett;38 weeks on the list,1Q84;by Haruki Murakami;2 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;126 weeks on the list,,,HOTEL VENDOME;by Danielle Steel;,BLUE NIGHTS;by Joan Didion;New this week,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;New this week,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;33 weeks on the list,UNBROKEN;by Laura Hillenbrand;41 weeks on the list,GIVING 2.0;by Laura Arrillaga-Andreessen;2 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;55 weeks on the list,NO HIGHER HONOR;by Condoleezza Rice;,HARK! A VAGRANT;by Kate Beaton;6 weeks on the list,"AMULET: THE LAST COUNCIL, VOL. 4;by Kazu Kibuishi;9 weeks on the list","SOUL EATER, VOL. 7;by Atsushi Ohkubo;2 weeks on the list",WONDERSTRUCK;by Brian Selznick;8 weeks on the list,MATCHED;by Ally Condie;7 weeks on the list,THE ARTIST WHO PAINTED A BLUE HORSE;by Eric Carle;5 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;193 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",DRIVE;by Daniel H. Pink;,THIS IS HERMAN CAIN!;by Herman Cain;
7,ANGLE OF INVESTIGATION;by Michael Connelly;New this week,THE CHRISTMAS WEDDING;by James Patterson and Richard DiLallo;3 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;124 weeks on the list,,,LOST DECEMBER;by Richard Paul Evans;,UNBROKEN;by Laura Hillenbrand;41 weeks on the list,UNBROKEN;by Laura Hillenbrand;51 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;244 weeks on the list,BLUE NIGHTS;by Joan Didion;New this week,THE 17 DAY DIET;by Mike Moreno;34 weeks on the list,EAT TO LIVE;by Joel Fuhrman;20 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,NURSERY RHYME COMICS;by various;2 weeks on the list,"CHEW, VOL. 4;by John Layman and Rob Guillory;4 weeks on the list","HIGH SCHOOL OF THE DEAD, VOL. 4;by Daisuke Sato and Shouji Sato;2 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;22 weeks on the list,THEODORE BOONE: KID LAWYER;by John Grisham;26 weeks on the list,LLAMA LLAMA HOLIDAY DRAMA;by Anna Dewdney;13 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;225 weeks on the list,ULTIMATE QUESTION 2. 0;by Fred Reichheld with Rob Markey;,TIPPING POINT;by Malcolm Gladwell;,DESTINY OF THE REPUBLIC;by Candice Millard;
8,THE CHRISTMAS WEDDING;by James Patterson and Richard DiLallo;3 weeks on the list,THE SNOW ANGEL;by Glenn Beck;2 weeks on the list,THE RUM DIARY;by Hunter S. Thompson;4 weeks on the list,,,WHAT THE NIGHT KNOWS;by Dean Koontz;,NO HIGHER HONOR;by Condoleezza Rice;New this week,THE TIME OF OUR LIVES;by Tom Brokaw;New this week,"I, STEVE;edited by George Beahm;2 weeks on the list",KRIS JENNER...AND ALL THINGS KARDASHIAN;by Kris Jenner;New this week,PAULA DEEN’S SOUTHERN COOKING BIBLE;by Paula Deen with Melissa Clark;4 weeks on the list,"EAT THIS, NOT THAT! 2012;by David Zinczenko with Matt Goulding;8 weeks on the list",UNBROKEN;by Laura Hillenbrand;,ABSOLUTE ALL-STAR SUPERMAN;by Grant Morrison and Frank Quitely;2 weeks on the list,BATMAN: THE LONG HALLOWEEN;by Jeph Loeb and Tim Sale;3 weeks on the list,"YOTSUBA&!, VOL. 10;by Kiyohiko Azuma;2 weeks on the list",DARTH PAPER STRIKES BACK: AN ORIGAMI YODA BOOK;by Tom Angleberger;11 weeks on the list,PINKALICIOUS AND THE PINK PUMPKIN;by Victoria Kann;10 weeks on the list,PRESS HERE;by Hervé Tullet;29 weeks on the list,BEKA COOPER;by Tamora Pierce;2 weeks on the list,PRICE OF CIVILIZATION;by Jeffrey D. Sachs;,PROSPER;by Ethan Willis and Randy Garn;,IN THE GARDEN OF BEASTS;by Erik Larson;
9,THE GUARDIAN;by Sherrilyn Kenyon;New this week,OUT OF OZ;by Gregory Maguire;New this week,ROOM;by Emma Donoghue;27 weeks on the list,,,CRESCENT DAWN;by Clive Cussler and Dirk Cussler;,BOOMERANG;by Michael Lewis;5 weeks on the list,BOOMERANG;by Michael Lewis;5 weeks on the list,MONEYBALL;by Michael Lewis;28 weeks on the list,BOOMERANG;by Michael Lewis;5 weeks on the list,THE MACKAY MBA OF SELLING IN THE REAL WORLD;by Harvey Mackay;New this week,RADICAL;by David Platt;69 weeks on the list,THE TIME OF OUR LIVES;by Tom Brokaw;,THE BEST AMERICAN COMICS 2011;by various;5 weeks on the list,SMILE;by Raina Telgemeier;8 weeks on the list,"ROSARIO+VAMPIRE: SEASON II, VOL. 6;by Akihisa Ikeda;4 weeks on the list",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;New this week,I AM NUMBER FOUR;by Pittacus Lore;11 weeks on the list,LLAMA LLAMA HOME WITH MAMA;by Anna Dewdney;11 weeks on the list,THE MAZE RUNNER;by James Dashner;4 weeks on the list,LEAN STARTUP;by Eric Ries;,THE CHECKLIST MANIFESTO;by Atul Gawande;,CONFIDENCE MEN;by Ron Suskind;
10,ONLY US;by Susan Mallery;New this week,THE MARRIAGE PLOT;by Jeffrey Eugenides;4 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;144 weeks on the list,,,1Q84;by Haruki Murakami;,THE TIME OF OUR LIVES;by Tom Brokaw;New this week,NO REGRETS;by Ace Frehley with Joe Layden and John Ostrosky;New this week,UNLIKELY FRIENDSHIPS;by Jennifer Holland;18 weeks on the list,NO HIGHER HONOR;by Condoleezza Rice;New this week,BAKING WITH THE CAKE BOSS;by Buddy Valastro;New this week,THE RESOLUTION FOR MEN;by Stephen and Alex Kendrick with Randy Alcorn;4 weeks on the list,BOOMERANG;by Michael Lewis;,FEYNMAN;by Jim Ottaviani and Leland Myrick;8 weeks on the list,LARRY IN WONDERLAND;by Stephan Pastis;5 weeks on the list,"PANDORA HEARTS, VOL. 7;by Jun Mochizuki;2 weeks on the list",THE POWER OF SIX;by Pittacus Lore;11 weeks on the list,CLOCKWORK ANGEL;by Cassandra Clare;5 weeks on the list,"LLAMA, LLAMA RED PAJAMA;by Anna Dewdney;5 weeks on the list",MORGANVILLE VAMPIRES;by Rachel Caine;10 weeks on the list,SWITCH;by Chip Heath and Dan Heath;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,QUEST;by Daniel Yergin;
