,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE BRASS VERDICT;by Michael Connelly;New this week,THE SHACK;by William P. Young;22 weeks on the list,,THE SNOWBALL;by Alice Schroeder;3 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;90 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;28 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;79 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;38 weeks on the list,ABC3D;by Marion Bataille;New this week,THE TWILIGHT SAGA;by Stephenie Meyer;63 weeks on the list
2,THE LUCKY ONE;by Nicholas Sparks;3 weeks on the list,THE SECRET LIFE OF BEES;by Sue Monk Kidd;18 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;4 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;91 weeks on the list",LOVE YOUR LIFE;by Victoria Osteen;New this week,TWILIGHT;by Mark Cotta Vaz;New this week,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;40 weeks on the list,THE BOOK THIEF;by Markus Zusak;58 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;6 weeks on the list,INHERITANCE;by Christopher Paolini;5 weeks on the list
3,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;19 weeks on the list,WORLD WITHOUT END;by Ken Follett;2 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;5 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;43 weeks on the list,THE SECRET;by Rhonda Byrne;93 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;383 weeks on the list,PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;2 weeks on the list,KNUCKLEHEAD;by Jon Scieszka;2 weeks on the list,HIP HOP SPEAKS TO CHILDREN;edited by Nikki Giovanni. Various illustrators;2 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;8 weeks on the list
4,A LION AMONG MEN;by Gregory Maguire;New this week,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;7 weeks on the list,,HERE’S THE STORY;by Maureen McCormick;New this week,DREAMS FROM MY FATHER;by Barack Obama;118 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;5 weeks on the list,SKINNY BITCH;by Kim Barnouin;67 weeks on the list,THE MAZE OF BONES;by Rick Riordan;6 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;11 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;49 weeks on the list,INKHEART;by Cornelia Funke;4 weeks on the list
5,A MOST WANTED MAN;by John le Carré;2 weeks on the list,NIGHTS IN RODANTHE;by Nicholas Sparks;11 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;New this week",THE DUCHESS;by Amanda Foreman;8 weeks on the list,GIADA’S KITCHEN;by Giada De Laurentiis;3 weeks on the list,I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;2 weeks on the list,PAPER TOWNS;by John Green;New this week,JUST LISTEN;by Sarah Dessen;20 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;New this week,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;21 weeks on the list
6,ONE FIFTH AVENUE;by Candace Bushnell;4 weeks on the list,THE ROAD;by Cormac McCarthy;59 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;6 weeks on the list",I HOPE THEY SERVE BEER IN HELL;by Tucker Max;55 weeks on the list,A MEMBER OF THE FAMILY;by Cesar Millan with Melissa Jo Peltier;2 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;53 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;3 weeks on the list,RULES;by Cynthia Lord;6 weeks on the list,ENIGMA;written and illustrated by Graeme Base;3 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;197 weeks on the list
7,HEAT LIGHTNING;by John Sandford;4 weeks on the list,LOVING FRANK;by Nancy Horan;27 weeks on the list,,LETTER TO MY DAUGHTER;by Maya Angelou;3 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;104 weeks on the list,WHO;by Geoff Smart and Randy Street;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;69 weeks on the list,THE WAY WE WORK;by David Macaulay with Richard Walker;2 weeks on the list,SLAM;by Nick Hornby;2 weeks on the list,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;4 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;30 weeks on the list
8,THE PIRATE KING;by R. A. Salvatore;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;58 weeks on the list,,THE WORDY SHIPMATES;by Sarah Vowell;2 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;6 weeks on the list,BREAKTHROUGH;by Suzanne Somers;6 weeks on the list,A NEW EARTH;by Eckhart Tolle;38 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;6 weeks on the list,THE ALCHEMYST;by Michael Scott;8 weeks on the list,TEA FOR RUBY;by Sarah Ferguson. Illustrated by Robin Preiss Glasser;4 weeks on the list,JUNIE B. JONES;by Barbara Park;179 weeks on the list
9,A WALLFLOWER CHRISTMAS;by Lisa Kleypas;New this week,WATER FOR ELEPHANTS;by Sara Gruen;59 weeks on the list,,"TED, WHITE, AND BLUE;by Ted Nugent;2 weeks on the list","THE FORGOTTEN MAN: GRAPHIC EDITION;by Amity Shlaes, Paul Rivoche and Chuck Dixon;2 weeks on the list",MOTHER ANGELICA’S PRIVATE AND PITHY LESSONS FROM THE SCRIPTURES;edited by Raymond Arroyo;New this week,CRACK THE FAT-LOSS CODE;by Wendy Chant;2 weeks on the list,THE KINGDOM ON THE WAVES;by M. T. Anderson;New this week,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;11 weeks on the list,BATS AT THE LIBRARY;written and illustrated by Brian Lies;10 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;77 weeks on the list
10,THE OTHER QUEEN;by Philippa Gregory;5 weeks on the list,THE ALMOST MOON;by Alice Sebold;6 weeks on the list,,PIECES OF MY HEART;by Robert J. Wagner and Scott Eyman;4 weeks on the list,MUSICOPHILIA;by Oliver Sacks;3 weeks on the list,BEFORE YOU DO;by T. D. Jakes;5 weeks on the list,HUNGRY GIRL;by Lisa Lillien;22 weeks on the list,IDENTICAL;by Ellen Hopkins;7 weeks on the list,THE LUXE;by Anna Godbersen;3 weeks on the list,PETE AND PICKLES;written and illustrated by Berkeley Breathed;New this week,REdWALL;by Brian Jacques;48 weeks on the list
11,THE HOST;by Stephenie Meyer;24 weeks on the list,BAREFOOT;by Elin Hilderbrand;19 weeks on the list,,THE WAR WITHIN;by Bob Woodward;6 weeks on the list,A LONG WAY GONE;by Ishmael Beah;11 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THE PURPOSE-DRIVEN LIFE;by Rick Warren;,,,,
12,THE FIRE;by Katherine Neville;New this week,THE CHOICE;by Nicholas Sparks;9 weeks on the list,,KILL BIN LADEN;by Dalton Fury;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;139 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;,THE SPEED OF TRUST;by Stephen M. R. Covey;,,,,
13,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;5 weeks on the list,THE WHITE TIGER;by Aravind Adiga;New this week,,THE LIMITS OF POWER;by Andrew Bacevich;10 weeks on the list,"ANIMAL, VEGETABLE, MIRACLE;by Barbara Kingsolver and Camille Kingsolver;25 weeks on the list",TRIBES;by Seth Godin;,"MONEY, AND THE LAW OF ATTRACTION;by Esther and Jerry Hicks;",,,,
14,A CEDAR COVE CHRISTMAS;by Debbie Macomber;3 weeks on the list,THE BLACK DAGGER BROTHERHOOD;by J. R. Ward;2 weeks on the list,,THE SHADOW FACTORY;by James Bamford;New this week,THE NINE;by Jeffrey Toobin;5 weeks on the list,WHAT IN THE WORLD IS GOING ON?;by David Jeremiah;,BE THE PACK LEADER;by Cesar Millan with Melissa Jo Peltier;,,,,
15,THE GIVEN DAY;by Dennis Lehane;4 weeks on the list,WICKED;by Gregory Maguire;New this week,,TRIED BY WAR;by James M. McPherson;2 weeks on the list,MARLEY AND ME;by John Grogan;32 weeks on the list,GOODNIGHT BUSH;by Erich Origen and Gan Golan;,"HELLO, CUPCAKE!;by Karen Tack;",,,,
