,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,DOCTOR SLEEP;by Stephen King;New this week,DOCTOR SLEEP;by Stephen King;New this week,THE HIT;by David Baldacci;2 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;New this week,KILLING JESUS;by Bill O'Reilly and Martin Dugard;New this week,ORANGE IS THE NEW BLACK;by Piper Kerman;11 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;New this week,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;New this week,"THE WALKING DEAD, BOOK 9;by Robert Kirkman and Charlie Adlard;2 weeks on the list","MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;40 weeks on the list","MOBILE SUIT GUNDAM: THE ORIGIN, VOL. 3;by Yoshikazu Yasuhiko and  Hajime Yatate;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;104 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;107 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE LIBERTY AMENDMENTS;by Mark R. Levin;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
2,THE LONGEST RIDE;by Nicholas Sparks;2 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;81 weeks on the list,,,SI-COLOGY 1;by Si Robertson with Mark Schlabach;4 weeks on the list,SI-COLOGY 1;by Si Robertson with Mark Schlabach;4 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;49 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;32 weeks on the list,DARING GREATLY;by Brené Brown;25 weeks on the list,"BATWOMAN, VOL. 3;by J. H. Williams III and W. Haden Blackman;New this week",PERSEPOLIS;by Marjane Satrapi;19 weeks on the list,"ATTACK ON TITAN, VOL. 7;by Hajime Isayama;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;14 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;162 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THIS TOWN;by Mark Leibovich;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
3,DEADLINE;by Sandra Brown;New this week,THE LOWLAND;by Jhumpa Lahiri;New this week,THE CASUAL VACANCY;by J. K. Rowling;10 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;11 weeks on the list,ZEALOT;by Reza Aslan;11 weeks on the list,OUTLIERS;by Malcolm Gladwell;121 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;12 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;5 weeks on the list,GREEN LANTERN: RISE OF THE THIRD ARMY;by Geoff Johns and various;2 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;7 weeks on the list,"A BRIDE'S STORY, VOL. 5;by Kaoru Mori;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;8 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;308 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,WHEAT BELLY;by William Davis;,BEFORE HAPPINESS;by Shawn Achor;,STEVE JOBS;by Walter Isaacson;,LAWRENCE IN ARABIA;by Scott Anderson;,QUIET;by Susan Cain;
4,THE HUSBAND'S SECRET;by Liane Moriarty;8 weeks on the list,THE QUEST;by Nelson DeMille;2 weeks on the list,THE ROUND HOUSE;by Louise Erdrich;New this week,,,STILL FOOLIN' 'EM;by Billy Crystal;3 weeks on the list,STILL FOOLIN' 'EM;by Billy Crystal;3 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;134 weeks on the list,STILL FOOLIN' 'EM;by Billy Crystal;3 weeks on the list,I'M TOO YOUNG FOR THIS!;by Suzanne Somers;New this week,RASL;by Jeff Smith;2 weeks on the list,THE LOST BOY;by Greg Ruth;2 weeks on the list,"SOUL EATER, VOL. 16;by Atsushi Ohkubo;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,OTIS;written and illustrated by Loren Long;18 weeks on the list,MICHAEL VEY;by Richard Paul Evans;2 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,MICHAEL SYMON'S 5 IN 5;by Michael Symon with Douglas Trattner;,LOOPTAIL;by Bruce Poon Tip;,CONVERT EVERY CLICK;by Benji Rabhan;,UNBROKEN;by Laura Hillenbrand;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
5,THE LOWLAND;by Jhumpa Lahiri;New this week,NEVER GO BACK;by Lee Child;4 weeks on the list,THE RACKETEER;by John Grisham;5 weeks on the list,,,ZEALOT;by Reza Aslan;11 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;29 weeks on the list,QUIET;by Susan Cain;35 weeks on the list,EMPTY MANSIONS;by Bill Dedman and Paul Clark Newell Jr.;3 weeks on the list,E-SQUARED;by Pam Grout;11 weeks on the list,"WONDER WOMAN, VOL. 3;by Brian Azzarello and Cliff Chiang;2 weeks on the list",SMILE;by Raina Telgemeier;73 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;16 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;111 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;14 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,EAT TO LIVE;by Joel Fuhrman;,GREAT WORK;by David Sturt;,TIPPING POINT;by Malcolm Gladwell;,WILSON;by A. Scott Berg;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
6,ORPHAN TRAIN;by Christina Baker Kline;New this week,W IS FOR WASTED;by Sue Grafton;3 weeks on the list,FIFTY SHADES DARKER;by E. L. James;78 weeks on the list,,,EMPTY MANSIONS;by Bill Dedman and Paul Clark Newell Jr.;3 weeks on the list,THE LIBERTY AMENDMENTS;by Mark R. Levin;7 weeks on the list,WILD;by Cheryl Strayed;27 weeks on the list,ZEALOT;by Reza Aslan;11 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;25 weeks on the list,ONCE UPON A TIME;by Daniel T. Thomsen and Corinna Bechko;4 weeks on the list,"EAST OF WEST, VOL.1;by Jonathan Hickman and Nick Dragotta;New this week","ATTACK ON TITAN, VOL. 6;by Hajime Isayama;5 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;77 weeks on the list,GIVER QUARTET;by Lois Lowry;26 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,MISSION IN A BOTTLE;by Seth Goldman and Barry Nalebuff;,HEADS IN BEDS;by Jacob Tomsky;,FIVE DAYS AT MEMORIAL;by Sheri Fink;,BRILLIANT BLUNDERS;by Mario Livio;
7,NEVER GO BACK;by Lee Child;4 weeks on the list,DEADLINE;by Sandra Brown;New this week,JOYLAND;by Stephen King;17 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;29 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;21 weeks on the list",HOW CHILDREN SUCCEED;by Paul Tough;13 weeks on the list,FIVE DAYS AT MEMORIAL;by Sheri Fink;3 weeks on the list,YOU FIRST;by Liane Davey;New this week,AGE OF ULTRON;by Brian Michael Bendis and various;2 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;15 weeks on the list","ARE YOU ALICE, VOL. 2;by Ikumi Katagiri and Ai Ninomiya;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,FROG TROUBLE;by Sandra Boynton;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;245 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;,SYSTEM;by Jeff Benedict and Armen Keteyian;,DRIVE;by Daniel H. Pink;,BUTLER;by Wil Haygood;,THE POWER OF HABIT;by Charles Duhigg;
8,SIMPLE PERFECTION;by Abbi Glines;New this week,THANKLESS IN DEATH;by J. D. Robb;2 weeks on the list,FIFTY SHADES FREED;by E. L. James;77 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;21 weeks on the list",EMPTY MANSIONS;by Bill Dedman and Paul Clark Newell Jr.;3 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;8 weeks on the list,IZZY AND LENORE;by Jon Katz;New this week,CONVERT EVERY CLICK;by Benji Rabhan;New this week,THE UNWRITTEN: TOMMY TAYLOR AND THE SHIP THAT SANK TWICE;by Mike Carey and Peter Gross;New this week,BOXERS AND SAINTS BOXED SET;by Gene Luen Yang;New this week,"SAILOR MOON SHORT STORIES, VOL. 1;by Naoko Takeuchi;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;2 weeks on the list",IVY AND BEAN;by Annie Barrows. Illustrated by Sophie Blackall;4 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,"CHOOSE MORE, LOSE MORE FOR LIFE;by Chris Powell with Heidi Powell;",YOU FIRST;by Liane Davey;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,A HOUSE IN THE SKY;by Amanda Lindhout and Sara Corbett;,THE HAPPINESS PROJECT;by Gretchen Rubin;
9,ONE LUCKY VAMPIRE;by Lynsay Sands;New this week,THE FINAL CUT;by Catherine Coulter and J.T. Ellison;2 weeks on the list,THE SILENT WIFE;by A. S. A. Harrison;10 weeks on the list,,,FIVE DAYS AT MEMORIAL;by Sheri Fink;3 weeks on the list,SIMPLE DREAMS;by Linda Ronstadt;2 weeks on the list,STEVE JOBS;by Walter Isaacson;3 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;21 weeks on the list",GUINNESS WORLD RECORDS 2014.;;3 weeks on the list,"THE SANDMAN OMNIBUS, VOL. 1;by Neil Gaiman and others;3 weeks on the list",WATCHMEN;by Alan Moore and Dave Gibbons;120 weeks on the list,"ATTACK ON TITAN, VOL. 2;by Hajime Isayama;10 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;24 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;41 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;,VALUE OF DEBT;by Thomas J. Anderson;,THE CHECKLIST MANIFESTO;by Atul Gawande;,REIGN OF ERROR;by Diane Ravitch;,AN APPETITE FOR WONDER;by Richard Dawkins;
10,W IS FOR WASTED;by Sue Grafton;3 weeks on the list,INFERNO;by Dan Brown;20 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;26 weeks on the list",,,_____ MY DAD SAYS;by Justin Halpern;12 weeks on the list,COMMAND AND CONTROL;by Eric Schlosser;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;26 weeks on the list",UNBROKEN;by Laura Hillenbrand;140 weeks on the list,LOOPTAIL;by Bruce Poon Tip;2 weeks on the list,MISSION IN A BOTTLE;by Seth Goldman and Barry Nalebuff;4 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;40 weeks on the list","THE BETRAYAL KNOWS MY NAME, VOL. 6;by Hotaru Odagiri;New this week",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,LADYBUG GIRL AND THE BIG SNOW;by Jacky Davis. Illustrated by David Soman;New this week,GALLAGHER GIRLS;by Ally Carter;14 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,THE POWER OF HABIT;by Charles Duhigg;,WHY NATIONS FAIL;by Daron Acemoglu and James A. Robinson;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,KNOCKING ON HEAVEN'S DOOR;by Katy Butler;
