,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,CAMINO WINDS;by John Grisham;4 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;90 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;55 weeks on the list,UNTAMED;by Glennon Doyle;11 weeks on the list,UNTAMED;by Glennon Doyle;11 weeks on the list,THE GREAT INFLUENZA;by John M. Barry;11 weeks on the list,RELATIONSHIP GOALS;by Michael Todd;4 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;3 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;57 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;231 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;122 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,UNTAMED;by Glennon Doyle;,ATOMIC HABITS;by James Clear;,GUTS;by Raina Telgemeier;,BLUE MOON;by Lee Child;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,THE BOOK THIEF;by Markus Zusak;
2,WHERE THE CRAWDADS SING;by Delia Owens;89 weeks on the list,CAMINO WINDS;by John Grisham;4 weeks on the list,NORMAL PEOPLE;by Sally Rooney;14 weeks on the list,BECOMING;by Michelle Obama;77 weeks on the list,BECOMING;by Michelle Obama;76 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;83 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;7 weeks on the list",THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;58 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;235 weeks on the list,DOG MAN;by Dav Pilkey;143 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;12 weeks on the list,CAMINO WINDS;by John Grisham;,BECOMING;by Michelle Obama;,"HUSTLE HARDER, HUSTLE SMARTER;by Curtis ""50 Cent"" Jackson;",NEW KID;by Jerry Craft;,SHADOW FLIGHT;by Christine Feehan;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,ALL THE BRIGHT PLACES;by Jennifer Niven;
3,LITTLE FIRES EVERYWHERE;by Celeste Ng;67 weeks on the list,IF IT BLEEDS;by Stephen King;5 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;57 weeks on the list,PLAGUE OF CORRUPTION;by Judy Mikovits and Kent Heckenlively;3 weeks on the list,PLAGUE OF CORRUPTION;by Judy Mikovits and Kent Heckenlively;3 weeks on the list,A WOMAN OF NO IMPORTANCE;by Sonia Purnell;8 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;29 weeks on the list",WONDER;by R.J. Palacio;249 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;74 weeks on the list,HARRY POTTER;by J.K. Rowling;583 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;9 weeks on the list,IF IT BLEEDS;by Stephen King;,TALKING TO STRANGERS;by Malcolm Gladwell;,THE RIDE OF A LIFETIME;by Robert Iger;,BECOMING BRIANNA;by Terri Libenson;,LITTLE FIRES EVERYWHERE;by Celeste Ng;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
4,NORMAL PEOPLE;by Sally Rooney;8 weeks on the list,WALK THE WIRE;by David Baldacci;5 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;45 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;13 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;13 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;90 weeks on the list,MEDICAL MEDIUM CLEANSE TO HEAL;by Anthony William;4 weeks on the list,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;16 weeks on the list,BECAUSE I HAD A TEACHER;by Kobi Yamada. Illustrated by Natalie Russell;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;584 weeks on the list,THE BETROTHED;by Kiera Cass;3 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,FORTITUDE;by Dan Crenshaw;,GRIT;by Angela Duckworth;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,EVERY BREATH;by Nicholas Sparks;,A LONG WALK TO WATER;by Linda Sue Park;,TURTLES ALL THE WAY DOWN;by John Green;
5,BIG SUMMER;by Jennifer Weiner;3 weeks on the list,BIG SUMMER;by Jennifer Weiner;3 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;90 weeks on the list,THE GREAT INFLUENZA;by John M. Barry;11 weeks on the list,EDUCATED;by Tara Westover;118 weeks on the list,SAPIENS;by Yuval Noah Harari;106 weeks on the list,THE RIDE OF A LIFETIME;by Robert Iger;6 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;59 weeks on the list,GRUMPY MONKEY;by Suzanne Lang. Illustrated by Max Lang;34 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;533 weeks on the list,CLAP WHEN YOU LAND;by Elizabeth Acevedo;3 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,THE SPLENDID AND THE VILE;by Erik Larson;,DARE TO LEAD;by Brené Brown;,BABY-SITTERS LITTLE SISTER: KAREN'S WITCH;by Ann M. Martin. Illustrated by Katy Farina;,THE CHEF;by James Patterson and Max DiLallo;,WISH;by Barbara O'Connor;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
6,IF IT BLEEDS;by Stephen King;5 weeks on the list,THE 20TH VICTIM;by James Patterson and Maxine Paetro;3 weeks on the list,BEACH READ;by Emily Henry;New this week,THE CHIFFON TRENCHES;by André Leon Talley;New this week,THE CHIFFON TRENCHES;by André Leon Talley;New this week,BORN A CRIME;by Trevor Noah;67 weeks on the list,ATOMIC HABITS;by James Clear;28 weeks on the list,WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;12 weeks on the list,HOW TO CATCH A UNICORN;by Adam Wallace. Illustrated by Andy Elkerton;19 weeks on the list,THE BAD GUYS;by Aaron Blabey;79 weeks on the list,THE HATE U GIVE;by Angie Thomas;169 weeks on the list,THE TERMINAL LIST;by Jack Carr;,EDUCATED;by Tara Westover;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",STRANGE PLANET;by Nathan W. Pyle;,LOST AND FOUND;by Danielle Steel;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,LONG WAY DOWN;by Jason Reynolds;
7,WALK THE WIRE;by David Baldacci;5 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;18 weeks on the list,CITY OF GIRLS;by Elizabeth Gilbert;7 weeks on the list,EDUCATED;by Tara Westover;118 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;23 weeks on the list,JUST MERCY;by Bryan Stevenson;206 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;180 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;35 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;42 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;223 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;76 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,WHITE FRAGILITY;by Robin DiAngelo;,OUTLIERS;by Malcolm Gladwell;,SISTERS;by Raina Telgemeier;,DEEP HARBOR;by Fern Michaels;,THE WILD ROBOT;by Peter Brown;,THE SUN IS ALSO A STAR;by Nicola Yoon;
8,THE 20TH VICTIM;by James Patterson and Maxine Paetro;3 weeks on the list,RODHAM;by Curtis Sittenfeld;New this week,BEFORE WE WERE YOURS;by Lisa Wingate;53 weeks on the list,HIDDEN VALLEY ROAD;by Robert Kolker;7 weeks on the list,AMERICAN CRUSADE;by Pete Hegseth;New this week,BRAIDING SWEETGRASS;by Robin Wall Kimmerer;13 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;312 weeks on the list,A TALE OF MAGIC...;by Chris Colfer;29 weeks on the list,AN ELEPHANT AND PIGGIE BIGGIE!;by Mo Willems;16 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;37 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;25 weeks on the list,BIG SUMMER;by Jennifer Weiner;,BORN A CRIME;by Trevor Noah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,DRAMA;by Raina Telgemeier;,THE ORACLE;by Clive Cussler and Robin Burcell;,THE MIRACULOUS JOURNEY OF EDWARD TULANE;by Kate DiCamillo. Illustrated by Bagram Ibatoulline;,JUST MERCY;by Bryan Stevenson;
9,ON OCEAN BOULEVARD;by Mary Alice Monroe;New this week,THE LAST TRIAL;by Scott Turow;2 weeks on the list,THE OVERSTORY;by Richard Powers;58 weeks on the list,A WOMAN OF NO IMPORTANCE;by Sonia Purnell;10 weeks on the list,HIDDEN VALLEY ROAD;by Robert Kolker;7 weeks on the list,UNORTHODOX;by Deborah Feldman;9 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;44 weeks on the list,REFUGEE;by Alan Gratz;95 weeks on the list,I LOVE DAD WITH THE VERY HUNGRY CATERPILLAR;by Eric Carle;11 weeks on the list,DORK DIARIES;by Rachel Renée Russell;322 weeks on the list,ONE OF US IS NEXT;by Karen M. McManus;20 weeks on the list,WALK THE WIRE;by David Baldacci;,SAPIENS;by Yuval Noah Harari;,THIS IS NOT A FASHION STORY;by Danielle Bernstein with Emily Siegel;,FGTEEV PRESENTS: INTO THE GAME!;by FGTeeV. Illustrated by Miguel Díaz Rivas;,BACKLASH;by Brad Thor;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,THE RED SCROLLS OF MAGIC;by Cassandra Clare and Wesley Chu;
10,AMERICAN DIRT;by Jeanine Cummins;18 weeks on the list,ALL ADULTS HERE;by Emma Straub;3 weeks on the list,CIRCE;by Madeline Miller;5 weeks on the list,THE LIBRARY BOOK;by Susan Orlean;16 weeks on the list,THE WORLD;by Richard Haass;New this week,THE PIONEERS;by David McCullough;3 weeks on the list,MAKE YOUR BED;by William H. McRaven;89 weeks on the list,CLEAN GETAWAY;by Nic Stone;4 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;307 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;87 weeks on the list,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;16 weeks on the list,THE 20TH VICTIM;by James Patterson and Maxine Paetro;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE PRICE OF PEACE;by Zachary D. Carter;,"JACKY HA-HA;by James Patterson and Chris Grabenstein, adapted by Adam Rau and Betty C. Tang;",SINS OF THE FATHERS;by J.A. Jance;,NEVERMOOR: THE TRIALS OF MORRIGAN CROW;by Jessica Townsend;,DEAR MARTIN;by Nic Stone;
11,THE LAST TRIAL;by Scott Turow;2 weeks on the list,THE BOOK OF LONGINGS;by Sue Monk Kidd;5 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;42 weeks on the list,AMERICAN CRUSADE;by Pete Hegseth;New this week,FORTITUDE;by Dan Crenshaw;7 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;251 weeks on the list",,,,,,HIDEAWAY;by Nora Roberts;,MYTHOS;by Stephen Fry;,,"DEMON SLAYER: KIMETSU NO YAIBA, VOL. 12;by Koyoharu Gotouge;",SHELTER IN PLACE;by Nora Roberts;,,
12,BEACH READ;by Emily Henry;New this week,THE SILENT PATIENT;by Alex Michaelides;49 weeks on the list,THE NIGHT FIRE;by Michael Connelly;6 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;17 weeks on the list,THE LINCOLN CONSPIRACY;by Brad Meltzer and Josh Mensch;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;326 weeks on the list,,,,,,THE SILENT PATIENT;by Alex Michaelides;,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;,,SMILE;by Raina Telgemeier;,RUN AWAY;by Harlan Coben;,,
13,RODHAM;by Curtis Sittenfeld;New this week,ON OCEAN BOULEVARD;by Mary Alice Monroe;New this week,MILK AND HONEY;by Rupi Kaur;165 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;20 weeks on the list,THE RURAL DIARIES;by Hilarie Burton Morgan;3 weeks on the list,GRIT;by Angela Duckworth;76 weeks on the list,,,,,,SAVAGE SON;by Jack Carr;,THE GREAT INFLUENZA;by John M. Barry;,,NAT ENOUGH;by Maria Scrivan;,CAMINO ISLAND;by John Grisham;,,
14,ALL ADULTS HERE;by Emma Straub;3 weeks on the list,"HELLO, SUMMER;by Mary Kay Andrews;2 weeks on the list",THE BOOK WOMAN OF TROUBLESOME CREEK;by Kim Michele Richardson;12 weeks on the list,SAPIENS;by Yuval Noah Harari;106 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;34 weeks on the list,BEING MORTAL;by Atul Gawande;119 weeks on the list,,,,,,THE HENNA ARTIST;by Alka Joshi;,HIDDEN VALLEY ROAD;by Robert Kolker;,,"THE AMBER ANTHEM;by Mark Siegel and Alexis Siegel, illustrated by Xanthe Bouma, Matt Rockefeller and Boya Sun;",MORNING COMES SOFTLY;by Debbie Macomber;,,
15,A WEEK AT THE SHORE;by Barbara Delinsky;New this week,THE GIVER OF STARS;by Jojo Moyes;32 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;41 weeks on the list,THE WORLD;by Richard Haass;New this week,THE HOUSE OF KENNEDY;by James Patterson and Cynthia Fagen;6 weeks on the list,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;8 weeks on the list,,,,,,FAIR WARNING;by Michael Connelly;,THE LINCOLN CONSPIRACY;by Brad Meltzer and Josh Mensch;,,CAMP;by Kayla Miller;,DIE WITH THE OUTLAWS;by William W. Johnstone and J.A. Johnstone;,,
