,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,ROGUE LAWYER;by John Grisham;New this week,ROGUE LAWYER;by John Grisham;New this week,THE MARTIAN;by Andy Weir;52 weeks on the list,,,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;5 weeks on the list,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;5 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;74 weeks on the list,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;5 weeks on the list,THE PIONEER WOMAN COOKS: DINNERTIME;by Ree Drummond;New this week,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;176 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 3;by Robert Kirkman and Charlie Adlard;2 weeks on the list","TOKYO GHOUL, VOL. 3;by Sui Ishida;New this week",THE SWORD OF SUMMER;by Rick Riordan;3 weeks on the list,THE SWORD OF SUMMER;by Rick Riordan;3 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;11 weeks on the list,THE DAY THE CRAYONS CAME HOME;by Drew Daywalt. Illustrated by Oliver Jeffers;10 weeks on the list,DORK DIARIES;by Rachel Renée Russell;139 weeks on the list,SIX OF CROWS;by Leigh Bardugo;4 weeks on the list,THE AMAZING BOOK IS NOT ON FIRE;by Dan Howell and Phil Lester;2 weeks on the list,THIS BOOK LOVES YOU;by PewDiePie;New this week,DO UNTO ANIMALS;by Tracey Stewart;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,WHY NOT ME?;by Mindy Kaling;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,M TRAIN;by Patti Smith;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,THE WRIGHT BROTHERS;by David McCullough;,I'LL NEVER WRITE MY MEMOIRS;by Grace Jones as told to Paul Morley;,THE PIONEER WOMAN COOKS: DINNERTIME;by Ree Drummond;,SECRET GARDEN;illustrated by Johanna Basford;,A COMMON STRUGGLE;by Patrick J. Kennedy and Stephen Fried;,WHY NOT ME?;by Mindy Kaling;,BURY MY HEART AT WOUNDED KNEE;by Dee Brown;,WHY NOT ME?;by Mindy Kaling;,ROSEMARY;by Kate Clifford Larson;,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE POWER OF I AM;by Joel Osteen;,BEING MORTAL;by Atul Gawande;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;
2,CAREER OF EVIL;by Robert Galbraith;New this week,SEE ME;by Nicholas Sparks;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;377 weeks on the list,,,BINGE;by Tyler Oakley;New this week,BINGE;by Tyler Oakley;New this week,I AM MALALA;by Malala Yousafzai with Christina Lamb;21 weeks on the list,10% HAPPIER;by Dan Harris;14 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;52 weeks on the list,KILLING AND DYING;by Adrian Tomine;3 weeks on the list,HEART AND BRAIN;by Nick Seluk;New this week,"TOKYO GHOUL, VOL. 1;by Sui Ishida;19 weeks on the list",SO B. IT;by Sarah Weeks;New this week,WONDER;by R.J. Palacio;11 weeks on the list,MAX;by Boaz Yakin and Sheldon Lettich;11 weeks on the list,PETE THE CAT: FIVE LITTLE PUMPKINS;by James Dean;8 weeks on the list,HARRY POTTER;by J.K. Rowling;344 weeks on the list,THE ROSE SOCIETY;by Marie Lu;2 weeks on the list,CARRY ON;by Rainbow Rowell;3 weeks on the list,PAPER TOWNS;by John Green;11 weeks on the list,ANIMAL WISE;by Virginia Morell;,THE COURAGE TO ACT;by Ben S. Bernanke;,BINGE;by Tyler Oakley;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,MY LIFE ON THE ROAD;by Gloria Steinem;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,100 DEADLY SKILLS;by Clint Emerson;,DEAD WAKE;by Erik Larson;,STYLED;by Emily Henderson and Angelin Borsics;,THE 20/20 DIET;by Phil McGraw;,ENCHANTED FOREST;illustrated by Johanna Basford;,FURIOUSLY HAPPY;by Jenny Lawson;,BINGE;by Tyler Oakley;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,A MORE PERFECT UNION;by Ben Carson with Candy Carson;,JUST MERCY;by Bryan Stevenson;,THE WITCHES;by Stacy Schiff;,THE WRIGHT BROTHERS;by David McCullough;,ABOVE THE LINE;by Urban Meyer with Wayne Coffey;,A WALK IN THE WOODS;by Bill Bryson;
3,SEE ME;by Nicholas Sparks;2 weeks on the list,CAREER OF EVIL;by Robert Galbraith;New this week,MEMORY MAN;by David Baldacci;6 weeks on the list,,,A MORE PERFECT UNION;by Ben Carson with Candy Carson;3 weeks on the list,A MORE PERFECT UNION;by Ben Carson with Candy Carson;3 weeks on the list,YES PLEASE;by Amy Poehler;8 weeks on the list,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;New this week,BIG MAGIC;by Elizabeth Gilbert;5 weeks on the list,"STEP ASIDE, POPS;by Kate Beaton;6 weeks on the list",DRAMA;by Raina Telgemeier;117 weeks on the list,"NARUTO, VOL. 72;by Masashi Kishimoto;3 weeks on the list",THE KEEPER;by David Baldacci;7 weeks on the list,THE ISLE OF THE LOST;by Melissa de la Cruz;10 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;11 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;122 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;5 weeks on the list,THE 5TH WAVE;by Rick Yancey;5 weeks on the list,GIRL ONLINE: ON TOUR;by Zoe Sugg;New this week,THE 5TH WAVE;by Rick Yancey;10 weeks on the list,THE HORSE;by Wendy Williams;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,M TRAIN;by Patti Smith;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,THE ART OF MEMOIR;by Mary Karr;,THE ORGANIZED MIND;by Daniel J. Levitin;,BRIDGE OF SPIES;by Giles Whittell;,INTO THIN AIR;by Jon Krakauer;,FACE PAINT;by Lisa Eldridge;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,LOST OCEAN;illustrated by Johanna Basford;,BEING MORTAL;by Atul Gawande;,FURIOUSLY HAPPY;by Jenny Lawson;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE NEW JIM CROW;by Michelle Alexander;,FERVENT;by Priscilla Shirer;,DO UNTO ANIMALS;by Tracey Stewart;,I FEEL LIKE GOING ON;by Ray Lewis with Daniel Paisner;,DEEP SOUTH;by Paul Theroux;
4,THE MARTIAN;by Andy Weir;22 weeks on the list,WELCOME TO NIGHT VALE;by Joseph Fink and Jeffrey Cranor;New this week,ROOM;by Emma Donoghue;39 weeks on the list,,,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;New this week,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;2 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;306 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;12 weeks on the list,DO UNTO ANIMALS;by Tracey Stewart;New this week,THE BEST AMERICAN COMICS 2015;edited by Jonathan Lethem;3 weeks on the list,"STAR WARS: DARTH VADER, VOL. 1;by Kieron Gillen and Salvador Larocca;New this week","MAGIKA SWORDSMAN AND SUMMONER, VOL. 2;by Mitsuki Mihara and MonRin;New this week",HITLER'S LAST DAYS;by Bill O'Reilly;9 weeks on the list,AUGGIE & ME;by R.J. Palacio;10 weeks on the list,GOOSEBUMPS MOVIE NOVEL;Edited by R. L. Stine;2 weeks on the list,WHAT PET SHOULD I GET?;by Dr. Seuss;13 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;222 weeks on the list,THE AMAZING BOOK IS NOT ON FIRE;by Dan Howell and Phil Lester;2 weeks on the list,THE ROSE SOCIETY;by Marie Lu;2 weeks on the list,THE BOOK THIEF;by Markus Zusak;11 weeks on the list,BEYOND WORDS;by Carl Safina;,THE SCHOOL OF GREATNESS;by Lewis Howes;,A COMMON STRUGGLE;by Patrick J. Kennedy and Stephen Fried;,JUST MERCY;by Bryan Stevenson;,THE RAP YEAR BOOK;by Shea Serrano and Arturo Torres;,FIND ME UNAFRAID;by Kennedy Odede and Jessica Posner;,THE DEVIL'S CHESSBOARD;by David Talbot;,INTO THE WILD;by Jon Krakauer;,POLISH YOUR POISE WITH MADAME CHIC;by Jennifer L. Scott;,THE FOOD LAB;by J. Kenji Lopez-Alt;,CREATIVE HAVEN CREATIVE CATS COLORING BOOK;Illustrated by Marjorie Sarnat;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,YES PLEASE;by Amy Poehler;,BORN TO RUN;by Christopher McDougall;,DARING GREATLY;by Brené Brown;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE OTHER WES MOORE;by Wes Moore;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,QUIET;by Susan Cain;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
5,THE SURVIVOR;by Vince Flynn and Kyle Mills;3 weeks on the list,THE SURVIVOR;by Vince Flynn and Kyle Mills;3 weeks on the list,GREY;by E. L. James;19 weeks on the list,,,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;2 weeks on the list,M TRAIN;by Patti Smith;3 weeks on the list,QUIET;by Susan Cain;114 weeks on the list,MEDIUM RAW;by Anthony Bourdain;2 weeks on the list,RISING STRONG;by Brené Brown;9 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;77 weeks on the list,"SAGA, VOL. 5;by Brian K. Vaughan and Fiona Staples;6 weeks on the list","TOKYO GHOUL, VOL. 2;by Sui Ishida;10 weeks on the list",SERAFINA AND THE BLACK CLOAK;by Robert Beatty;9 weeks on the list,CRENSHAW;by Katherine Applegate;5 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;11 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;56 weeks on the list,THE MAZE RUNNER;by James Dashner;159 weeks on the list,WE WERE LIARS;by E. Lockhart;4 weeks on the list,ILLUMINAE;by Amie Kaufman and Jay Kristoff;New this week,LOOKING FOR ALASKA;by John Green;11 weeks on the list,THE DOGIST;by Elias Weiss Friedman;,GOOD PROFIT;by Charles G. Koch;,FURIOUSLY HAPPY;by Jenny Lawson;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,RECLAIMING CONVERSATION;by Sherry Turkle;,BEYOND MEASURE;by Vicki Abeles;,SPYMISTRESS;by William Stevenson;,THE INVENTION OF NATURE;by Andrea Wulf;,HOME;by Ellen DeGeneres;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,THE OFFICIAL A GAME OF THRONES COLORING BOOK;various illustrators;,THE BRAIN FOG FIX;by Mike Dow;,SELP-HELF;by Miranda Sings;,CRAZY HORSE AND CUSTER;by Stephen Ambrose;,F*CK FEELINGS;by Michael I. Bennett and Sarah Bennett;,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,THE COURAGE TO ACT;by Ben S. Bernanke;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,FOR THE LOVE;by Jen Hatmaker;,THE POWER OF HABIT;by Charles Duhigg;,MY FIGHT / YOUR FIGHT;by Ronda Rousey with Maria Burns Ortiz;,MY SOUTHERN JOURNEY;by Rick Bragg;
6,THE LAKE HOUSE;by Kate Morton;New this week,THE LAKE HOUSE;by Kate Morton;New this week,ORPHAN TRAIN;by Christina Baker Kline;98 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;75 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;15 weeks on the list,OUTLIERS;by Malcolm Gladwell;207 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;92 weeks on the list,THE POWER OF I AM;by Joel Osteen;3 weeks on the list,"BATMAN, VOL. 7;by Scott Snyder and Greg Capullo;5 weeks on the list",SMILE;by Raina Telgemeier;176 weeks on the list,"BIG HERO 6, VOL. 2;by Haruki Ueno;4 weeks on the list",,THE PRINCESS IN BLACK AND THE PERFECT PRINCESS PARTY;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;2 weeks on the list,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;7 weeks on the list,THE RABBIT WHO WANTS TO FALL ASLEEP;by Carl-Johan Forssen Ehrlin. Illustrated by Irina Maununen;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;345 weeks on the list,,SIX OF CROWS;by Leigh Bardugo;4 weeks on the list,ME AND EARL AND THE DYING GIRL;by Jesse Andrews;11 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,PRIMED TO PERFORM;by Neel Doshi;,YES PLEASE;by Amy Poehler;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,ONCE IN A GREAT CITY;by David Maraniss;,NEUROTRIBES;by Steve Silberman;,SPY SECRETS THAT CAN SAVE YOUR LIFE;by Jason Hanson;,DEAD MOUNTAIN;by Donnie Eichar;,LOVE STYLE LIFE;by Garance Doré;,MY KITCHEN YEAR;by Ruth Reichl;,CREATIVE HAVEN ART NOUVEAU ANIMAL DESIGNS COLORING BOOK;Illustrated by Marty Noble;,BRAIN MAKER;by David Perlmutter with Kristin Loberg;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,,ACCIDENTAL SAINTS;by Nadia Bolz-Weber;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,THE LAST OF THE PRESIDENT'S MEN;by Bob Woodward;,NEGROLAND;by Margo Jefferson;,JESUS CALLING;by Sarah Young;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",FAST GIRL;by Suzy Favor Hamilton with Sarah Tomlinson;,HUMANS OF NEW YORK;by Brandon Stanton;
7,THE MURDER HOUSE;by James Patterson and David Ellis;4 weeks on the list,THE MURDER HOUSE;by James Patterson and David Ellis;4 weeks on the list,MY BRILLIANT FRIEND;by Elena Ferrante;8 weeks on the list,,,WHY NOT ME?;by Mindy Kaling;6 weeks on the list,UNFAITHFUL MUSIC AND DISAPPEARING INK;by Elvis Costello;2 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;8 weeks on the list,LAFAYETTE IN THE SOMEWHAT UNITED STATES;by Sarah Vowell;New this week,WAKE UP HAPPY;by Michael Strahan with Veronica Chambers;2 weeks on the list,HERE;by Richard McGuire;28 weeks on the list,SISTERS;by Raina Telgemeier;60 weeks on the list,"FAIRY TAIL, VOL. 50;by Hiro Mashima;New this week",,I AM MALALA;by Malala Yousafzai with Patricia McCormick;10 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;11 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;88 weeks on the list,DESCENDANTS;by various authors;10 weeks on the list,,ELEANOR AND PARK;by Rainbow Rowell;11 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;11 weeks on the list,THE WORLD ACCORDING TO BOB;by James Bowen;,ABOVE THE LINE;by Urban Meyer with Wayne Coffey;,WILDFLOWER;by Drew Barrymore;,ORANGE IS THE NEW BLACK;by Piper Kerman;,RAZZLE DAZZLE;by Michael Riedel;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",PACIFIC;by Simon Winchester;,BECOMING;by Cindy Crawford with Katherine O'Leary;,THUG KITCHEN;by the staff of Thug Kitchen;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,,RECLAIMING CONVERSATION;by Sherry Turkle;,BECOMING NICOLE;by Amy Ellis Nutt;,GOVERNMENT ZERO;by Michael Savage;,CITIZEN;by Claudia Rankine;,WHERE I AM;by Billy Graham;,WORKING STIFF;by Judy Melinek and T. J. Mitchell;,RAW;by Colin Cowherd;,THE SWEET LIFE IN PARIS;by David Lebovitz;
8,WELCOME TO NIGHT VALE;by Joseph Fink and Jeffrey Cranor;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;77 weeks on the list,A BRIEF HISTORY OF SEVEN KILLINGS;by Marlon James;2 weeks on the list,,,10% HAPPIER;by Dan Harris;12 weeks on the list,WHY NOT ME?;by Mindy Kaling;6 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;94 weeks on the list",WHY NOT ME?;by Mindy Kaling;6 weeks on the list,AGENTS OF BABYLON;by David Jeremiah;3 weeks on the list,DEEP DARK FEARS;by Fran Krause;3 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;24 weeks on the list,"ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;8 weeks on the list",,THE THING ABOUT JELLYFISH;by Ali Benjamin;3 weeks on the list,HOUSE OF ROBOTS;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;New this week,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;7 weeks on the list,TALES FROM THE SHADOWHUNTER ACADEMY;by Cassandra Clare and others;7 weeks on the list,,BLACK WIDOW: FOREVER RED;by Margaret Stohl;2 weeks on the list,AN ABUNDANCE OF KATHERINES;by John Green;9 weeks on the list,DOG SONGS;by Mary Oliver;,#GIRLBOSS;by Sophia Amoruso;,FORTUNATE SON;by John Fogerty with Jimmy McDonough;,RED NOTICE;by Bill Browder;,THE SONG MACHINE;by John Seabrook;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,THE PENTAGON'S BRAIN;by Annie Jacobsen;,IN THE HEART OF THE SEA;by Nathaniel Philbrick;,THE KINFOLK HOME;by Nathan Williams;,JACQUES PEPIN: HEART AND SOUL IN THE KITCHEN;by Jacques Pepin;,THE OFFICIAL OUTLANDER  COLORING BOOK;various illustrators;,FAST GIRL;by Suzy Favor Hamilton with Sarah Tomlinson;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,THE GLASS CASTLE;by Jeannette Walls;,SAVING CAPITALISM;by Robert B. Reich;,BLACK MAN IN A WHITE COAT;by Damon Tweedy;,IMAGINE HEAVEN;by John Burke;,DAVID AND GOLIATH;by Malcolm Gladwell;,GOTTA GIVE THE PEOPLE WHAT THEY WANT;by Jalen Rose;,THE OREGON TRAIL;by Rinker Buck;
9,KIAN;by Tijan;New this week,THE GIRL IN THE SPIDER'S WEB;by David Lagercrantz;8 weeks on the list,GRAY MOUNTAIN;by John Grisham;10 weeks on the list,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;15 weeks on the list,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;New this week,NOT THAT KIND OF GIRL;by Lena Dunham;New this week,BINGE;by Tyler Oakley;New this week,THE 20/20 DIET;by Phil McGraw;19 weeks on the list,"THE WALKING DEAD, BOOK 12;by Robert Kirkman and Charlie Adlard;3 weeks on the list",THE BABY-SITTERS CLUB GRAPHIX: MARY ANNE SAVES THE DAY;by Ann M. Martin and Raina Telgemeier;3 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;115 weeks on the list",,SERAFINA AND THE BLACK CLOAK;by Robert Beatty;4 weeks on the list,THE PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;11 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;206 weeks on the list",THE SELECTION;by Kiera Cass;55 weeks on the list,,FANGIRL;by Rainbow Rowell;11 weeks on the list,THE FAULT IN OUR STARS;by John Green;10 weeks on the list,"CRUSOE, THE CELEBRITY DACHSHUND;by Ryan Beauchesne;",THE POWER OF HABIT;by Charles Duhigg;,HUNGER MAKES ME A MODERN GIRL;by Carrie Brownstein;,SISTERS IN LAW;by Linda Hirshman;,THE YEAR OF LEAR:  SHAKESPEARE IN 1606;by James Shapiro;,THE PRIZE;by Dale Russakoff;,DOUBLE CROSS;by Ben Macintyre;,DEEP DOWN DARK;by Hector Tobar;,LOVABLE LIVABLE HOME;by Sherry Petersik and John Petersik;,ZERO BELLY COOKBOOK;by David Zinczenko;,PLAYER'S HANDBOOK;by Wizards RPG Team;,KEEP MOVING;by Dick Van Dyke;,BOSSYPANTS;by Tina Fey;,,"IF SOMEONE SAYS ""YOU COMPLETE ME,"" RUN!;by Whoopi Goldberg;",THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,ONE NATION;by Ben Carson with Candy Carson;,THE BEAST SIDE;by D. Watkins;,DESTINY;by T. D. Jakes;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,FIND A WAY;by Diana Nyad;,PACIFIC;by Simon Winchester;
10,THE GIRL IN THE SPIDER'S WEB;by David Lagercrantz;8 weeks on the list,A KNIGHT OF THE SEVEN KINGDOMS;by George R. R. Martin;3 weeks on the list,EVERYTHING I NEVER TOLD YOU;by Celeste Ng;20 weeks on the list,,,THE LAST OF THE PRESIDENT'S MEN;by Bob Woodward;2 weeks on the list,THE LAST OF THE PRESIDENT'S MEN;by Bob Woodward;2 weeks on the list,JUST MERCY;by Bryan Stevenson;5 weeks on the list,FURIOUSLY HAPPY;by Jenny Lawson;5 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;126 weeks on the list,CONVERGENCE;by Jeff King and others;2 weeks on the list,"THE WALKING DEAD, VOL. 24;by Robert Kirkman and Charlie Adlard;6 weeks on the list","ONE-PUNCH MAN, VOL. 2;by ONE and Yusuke Murata;4 weeks on the list",,IT'S YOUR WORLD;by Chelsea Clinton;5 weeks on the list,THE FINISHER;by David Baldacci;9 weeks on the list,ROBO-SAUCE;by Adam Rubin. Illustrated by Daniel Salmieri;New this week,GIVER QUARTET;by Lois Lowry;99 weeks on the list,,"EVERYTHING, EVERYTHING;by Nicola Yoon;8 weeks on the list",WHERE SHE WENT;by Gayle Forman;4 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,OUTLIERS;by Malcolm Gladwell;,DAYS OF OUR LIVES: 50 YEARS;by Greg Meng;,TANGLED VINES;by Frances Dinkelspiel;,HOW WE GOT TO NOW;by Steven Johnson;,THE REPUBLIC OF IMAGINATION;by Azar Nafisi;,RED NOTICE;by Bill Browder;,ASTORIA;by Peter Stark;,KATE SPADE NEW YORK: ALL IN GOOD TASTE;by Kate Spade New York;,BRUNCH AT BOBBY'S;by Bobby Flay with Stephanie Banjour and Sally Jackson;,MONSTER MANUAL;by Wizards RPG Team;,THE SHIFT;by Theresa Brown;,"IF SOMEONE SAYS ""YOU COMPLETE ME,"" RUN!;by Whoopi Goldberg;",,THE SEVEN PRINCIPLES FOR MAKING MARRIAGE WORK;by John Gottman and Nan Silver;,THE HAPPIEST BABY ON THE BLOCK;by Harvey Karp;,LIGHTS OUT;by Ted Koppel;,GIVE US THE BALLOT;by Ari Berman;,ACCIDENTAL SAINTS;by Nadia Bolz-Weber;,BRIEF CANDLE IN THE DARK;by Richard Dawkins;,BRADY VS MANNING;by Gary Myers;,HOW TO SURVIVE ANYTHING;by Tim MacWelch and the editors of Outdoor Life;
