,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE HELP;by Kathryn Stockett;43 weeks on the list,THE LOVELY BONES;by Alice Sebold;19 weeks on the list,,GAME CHANGE;by John Heilemann and Mark Halperin;2 weeks on the list,THE BLIND SIDE;by Michael Lewis;17 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;4 weeks on the list,"FOOD RULES;by Michael Pollan, Illustrated by Maira Kalman;4 weeks on the list",THE BOOK OF GENESIS: ILLUSTRATED;by R. Crumb;15 weeks on the list,"THE WALKING DEAD, VOL. 11;by Robert Kirkman and Charlie Adlard;3 weeks on the list","FULLMETAL ALCHEMIST, VOL. 22;by Hiromu Arakawa;2 weeks on the list",CATCHING FIRE;by Suzanne Collins;21 weeks on the list,THE BOOK THIEF;by Markus Zusak;124 weeks on the list,THE LION AND THE MOUSE;by Jerry Pinkney;12 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;133 weeks on the list
2,KISSER;by Stuart Woods;New this week,A RELIABLE WIFE;by Robert Goolrick;3 weeks on the list,,COMMITTED;by Elizabeth Gilbert;3 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;156 weeks on the list,"MASTERING THE ART OF FRENCH COOKING, VOL. 1;by Julia Child, Simone Beck and Louisette Bertholle;18 weeks on the list",THE BELLY FAT CURE;by Jorge Cruise;New this week,BATMAN: BATTLE FOR THE COWL;by Tony Daniel;9 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;3 weeks on the list","THE YU-GI-OH! GX 4, VOL. 4;by Naoyuki Kageyama and Kazuki Takahashi;2 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;72 weeks on the list,"THIRST NO. 2: PHANTOM, EVIL THIRST, CREATURES OF FOREVER;by Christopher Pike;3 weeks on the list",ALL THE WORLD;by Liz Garton Scanlon. Illustrated by  Marla Frazee;New this week,THE TWILIGHT SAGA;by Stephenie Meyer;129 weeks on the list
3,THE LOST SYMBOL;by Dan Brown;19 weeks on the list,DEAR JOHN;by Nicholas Sparks;20 weeks on the list,,STONES INTO SCHOOLS;by Greg Mortenson;8 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;162 weeks on the list,THE MAYO CLINIC DIET;by the Mayo Clinic staff;3 weeks on the list,"COOK THIS, NOT THAT!;by David Zinczenko and Matt Goulding;New this week",THE WONDERFUL WIZARD OF OZ;by Eric Shanower and Skottie Young;19 weeks on the list,SERENITY: BETTER DAYS;by Joss Whedon and others;New this week,NARUTO 46;by Masashi Kishimoto;17 weeks on the list,PERCY JACKSON AND THE OLYMPIANS (THE ULTIMATE GUIDE);by Mary-Jane Knight. Designed by Philip Chidlow;New this week,L.A. CANDY;by Lauren Conrad;3 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;45 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;54 weeks on the list
4,THE BURNING LAND;by Bernard Cornwell;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;31 weeks on the list,,HAVE A LITTLE FAITH;by Mitch Albom;17 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;155 weeks on the list","THE FULL PLATE DIET;by Stuart A. Seale, Teresa Sherard and Diana Fleming;3 weeks on the list",WOMEN AND MONEY;by Suze Orman;3 weeks on the list,WOLVERINE: OLD MAN LOGAN;by Mark Millar and Steve McNiven;9 weeks on the list,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS;by Max Brooks;16 weeks on the list,"VAMPIRE KNIGHT, VOL. 1;by Matsuri Hino;2 weeks on the list",FALLEN;by Lauren Kate;7 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;53 weeks on the list,BUBBLE TROUBLE;by Margaret Mahy. Illustrated by Polly Dunbar;New this week,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;74 weeks on the list
5,THE FIRST RULE;by Robert Crais;2 weeks on the list,PUSH;by Sapphire;22 weeks on the list,,GOING ROGUE;by Sarah Palin;10 weeks on the list,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;4 weeks on the list",MASTER YOUR METABOLISM;by Jillian Michaels with Mariska van Aalst;29 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;444 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;46 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;48 weeks on the list,"MAXIMUM RIDE, VOL. 1;by James Patterson and NaRae Lee;7 weeks on the list",WHEN YOU REACH ME;by Rebecca Stead;10 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;42 weeks on the list,THE CURIOUS GARDEN;written and illustrated by Peter Brown;20 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;12 weeks on the list
6,THE LAST SONG;by Nicholas Sparks;20 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;33 weeks on the list,,OUTLIERS;by Malcolm Gladwell;62 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;121 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;49 weeks on the list",FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;4 weeks on the list,GREEN LANTERN: AGENT ORANGE;by Geoff Johns and Philip Tan;6 weeks on the list,"THE UNWRITTEN, VOL. 1;by Mike Carey and Peter Gross;2 weeks on the list","VAMPIRE KNIGHT, VOL. 7;by Matsuri Hino;14 weeks on the list",WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;6 weeks on the list,THIRST NO. 1;by Christopher Pike;25 weeks on the list,WADDLE!;written and illustrated by Rufus Butler Seder;19 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;216 weeks on the list
7,THE SWAN THIEVES;by Elizabeth Kostova;2 weeks on the list,TRUE COLORS;by Kristin Hannah;3 weeks on the list,,JUST KIDS;by Patti Smith;New this week,TIPPING POINT;by Malcolm Gladwell;277 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;24 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;130 weeks on the list,THE STAND: CAPTAIN TRIPS;by Roberto Aguirre-Sacasa and Mike Perkins;2 weeks on the list,THE COMPLETE PERSEPOLIS;by Marjane Satrapi;4 weeks on the list,"DEATH NOTE, VOL. 1;by Tsugumi Ohba and Takeshi Obata;2 weeks on the list",WHERE THE MOUNTAIN MEETS THE MOON;by Grace Lin;New this week,DARK VISIONS;by L. J. Smith;20 weeks on the list,OTIS;written and illustrated by Loren Long;11 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;36 weeks on the list
8,THE WOLF AT THE DOOR;by Jack Higgins;New this week,OLIVE KITTERIDGE;by Elizabeth Strout;40 weeks on the list,,THE CHECKLIST MANIFESTO;by Atul Gawande;3 weeks on the list,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;22 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;61 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;70 weeks on the list,PRIDE AND PREJUDICE;by Nancy Butler and Hugo Petrus;13 weeks on the list,"CHEW, VOL. 1;by John Layman and Rob Guillory;3 weeks on the list","MAXIMUM RIDE, VOL. 2;by James Patterson and NaRae Lee;13 weeks on the list",SHIVER;by Maggie Stiefvater;26 weeks on the list,THE UNDERNEATH;by Kathi Appelt. Illustrated by David Small;New this week,GALLOP!;written and illustrated by Rufus Butler Seder;105 weeks on the list,THE IMMORTALS;by Alyson Noël;10 weeks on the list
9,ROSES;by Leila Meacham;2 weeks on the list,THE SHACK;by William P. Young;88 weeks on the list,,SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;14 weeks on the list,THE OMNIVORE’S DILEMMA;by Michael Pollan;121 weeks on the list,THE SECRET;by Rhonda Byrne;148 weeks on the list,SKINNY BITCH;by Kim Barnouin;129 weeks on the list,"FINAL CRISIS;by Grant Morrison, J. G. Jones, Carlos Pacheco and Doug Mahnke;27 weeks on the list","DEADPOOL, VOL. 2;by Daniel Way and Paco Medina;New this week","VAMPIRE KNIGHT, VOL. 8;by Matsuri Hino;12 weeks on the list","HUSH, HUSH;by Becca Fitzpatrick;10 weeks on the list",GRACELING;by Kristin Cashore;17 weeks on the list,RED SINGS FROM TREETOPS;by Joyce Sidman. Illustrated by Pamela Zagarenski;New this week,VAMPIRE DIARIES;by L. J. Smith;39 weeks on the list
10,CROSS FIRE;by James Patterson;10 weeks on the list,SARAH’S KEY;by Tatiana de Rosnay;50 weeks on the list,,WHAT THE DOG SAW;by Malcolm Gladwell;14 weeks on the list,BLINK;by Malcolm Gladwell;119 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;36 weeks on the list",THE COUPON MOM'S GUIDE TO CUTTING YOUR GROCERY BILLS IN HALF;by Stephanie Nelson;3 weeks on the list,THE STAND: AMERICAN NIGHTMARES;by Roberto Aguirre-Sacasa and Mike Perkins;3 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;14 weeks on the list","ONE PIECE, VOL. 24;by Eiichiro Oda;2 weeks on the list",THE EVOLUTION OF CALPURNIA TATE;by Jacqueline Kelly;New this week,CHAINS;by Laurie Halse Anderson;New this week,"NUBS;by Brian Dennis, Mary Nethery and Kirby Larson;12 weeks on the list",RAINBOW MAGIC;by Daisy Meadows;New this week
