,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,THE RUSSIAN;by James Patterson and James O. Born;New this week,THE RUSSIAN;by James Patterson and James O. Born;New this week,THE DUKE AND I;by Julia Quinn;5 weeks on the list,JUST AS I AM;by Cicely Tyson with Michelle Burford;New this week,JUST AS I AM;by Cicely Tyson with Michelle Burford;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;119 weeks on the list,KEEP SHARP;by Sanjay Gupta with Kristin Loberg;4 weeks on the list,THE ICKABOG;by J.K. Rowling;12 weeks on the list,LITTLE BLUE TRUCK'S VALENTINE;by Alice Schertle. Illustrated by Jill McElmurry;5 weeks on the list,DOG MAN;by Dav Pilkey;179 weeks on the list,CONCRETE ROSE;by Angie Thomas;3 weeks on the list,THE DUKE AND I;by Julia Quinn;,A PROMISED LAND;by Barack Obama;,ATOMIC HABITS;by James Clear;,CAT KID COMIC CLUB;by Dav Pilkey;,THE DUKE AND I;by Julia Quinn;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,THE DUKE AND I;by Julia Quinn;5 weeks on the list,THE VANISHING HALF;by Brit Bennett;35 weeks on the list,HOME BODY;by Rupi Kaur;11 weeks on the list,A PROMISED LAND;by Barack Obama;11 weeks on the list,A PROMISED LAND;by Barack Obama;11 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;126 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;61 weeks on the list",LITTLE LEADERS;by Vashti Harrison;53 weeks on the list,AMBITIOUS GIRL;by Meena Harris. Illustrated by Marissa Valdez;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;620 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;157 weeks on the list,STAR WARS: LIGHT OF THE JEDI;by Charles Soule;,GREENLIGHTS;by Matthew McConaughey;,DARE TO LEAD;by Brené Brown;,"MY HERO ACADEMIA, VOL. 26;by Kohei Horikoshi;",SHADOWS IN DEATH;by J.D. Robb;,A LONG WALK TO WATER;by Linda Sue Park;,THEY BOTH DIE AT THE END;by Adam Silvera;
3,THE VISCOUNT WHO LOVED ME;by Julia Quinn;5 weeks on the list,THE MIDNIGHT LIBRARY;by Matt Haig;9 weeks on the list,FIREFLY LANE;by Kristin Hannah;33 weeks on the list,CASTE;by Isabel Wilkerson;26 weeks on the list,GREENLIGHTS;by Matthew McConaughey;15 weeks on the list,BRAIDING SWEETGRASS;by Robin Wall Kimmerer;42 weeks on the list,ATOMIC HABITS;by James Clear;62 weeks on the list,LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY;by Vashti Harrison with Kwesi Johnson;19 weeks on the list,WE ARE WATER PROTECTORS;by Carole Lindstrom. Illustrated by Michaela Goade;New this week,HARRY POTTER;by J.K. Rowling;619 weeks on the list,LORE;by Alexandra Bracken;4 weeks on the list,THE VISCOUNT WHO LOVED ME;by Julia Quinn;,CASTE;by Isabel Wilkerson;,EVIL GENIUSES;by Kurt Andersen;,BABY-SITTERS LITTLE SISTER: KAREN'S WORST DAY;by Ann M. Martin. Illustrated by Katy Farina;,THE INN;by James Patterson with Candice Fox;,BROWN GIRL DREAMING;by Jacqueline Woodson;,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;
4,THE VANISHING HALF;by Brit Bennett;35 weeks on the list,THE INVISIBLE LIFE OF ADDIE LARUE;by V.E. Schwab;14 weeks on the list,THE SONG OF ACHILLES;by Madeline Miller;15 weeks on the list,GREENLIGHTS;by Matthew McConaughey;15 weeks on the list,CASTE;by Isabel Wilkerson;26 weeks on the list,ON TYRANNY;by Timothy Snyder;81 weeks on the list,THE PRICE YOU PAY FOR COLLEGE;by Ron Lieber;New this week,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;26 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;33 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;99 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;45 weeks on the list,READY PLAYER TWO;by Ernest Cline;,UNTAMED;by Glennon Doyle;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,NEW KID;by Jerry Craft;,AN IRISH WISH;by Nora Roberts;,WISH;by Barbara O'Connor;,THE BOOK THIEF;by Markus Zusak;
5,THE MIDNIGHT LIBRARY;by Matt Haig;9 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;126 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;4 weeks on the list,UNTAMED;by Glennon Doyle;47 weeks on the list,UNTAMED;by Glennon Doyle;47 weeks on the list,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;30 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;329 weeks on the list,WONDER;by R.J. Palacio;282 weeks on the list,CHAMP AND MAJOR: FIRST DOGS;by Joy McCullough. Illustrated by Sheyda Abvabi Best;2 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;252 weeks on the list,THE HATE U GIVE;by Angie Thomas;205 weeks on the list,THE GUEST LIST;by Lucy Foley;,JUST AS I AM;by Cicely Tyson with Michelle Burford;,ONE DECISION;by Mike Bayer;,GUTS;by Raina Telgemeier;,THE LOST AND FOUND BOOKSHOP;by Susan Wiggs;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,LONG WAY DOWN;by Jason Reynolds;
6,THE INVISIBLE LIFE OF ADDIE LARUE;by V.E. Schwab;12 weeks on the list,THE PUSH;by Ashley Audrain;3 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;81 weeks on the list,EXTRATERRESTRIAL;by Avi Loeb;New this week,LET ME TELL YOU WHAT I MEAN;by Joan Didion;New this week,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;57 weeks on the list,FORGIVING WHAT YOU CAN'T FORGET;by Lysa TerKeurst;7 weeks on the list,REFUGEE;by Alan Gratz;121 weeks on the list,LOVE FROM THE CRAYONS;by Drew Daywalt and Oliver Jeffers;9 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;107 weeks on the list,THE COUSINS;by Karen M. McManus;9 weeks on the list,THE MIDNIGHT LIBRARY;by Matt Haig;,BECOMING;by Michelle Obama;,"I WILL TEACH YOU TO BE RICH, SECOND EDITION;by Ramit Sethi;",CLASS ACT;by Jerry Craft;,A MINUTE TO MIDNIGHT;by David Baldacci;,OUT OF MY MIND;by Sharon M. Draper;,SIX OF CROWS;by Leigh Bardugo;
7,AN OFFER FROM A GENTLEMAN;by Julia Quinn;New this week,THE RETURN;by Nicholas Sparks;18 weeks on the list,MILK AND HONEY;by Rupi Kaur;176 weeks on the list,LET ME TELL YOU WHAT I MEAN;by Joan Didion;New this week,EXTRATERRESTRIAL;by Avi Loeb;New this week,THE TRUTHS WE HOLD;by Kamala Harris;17 weeks on the list,CAN'T HURT ME;by David Goggins;17 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;39 weeks on the list,IN MY HEART;by Jo Witek. Illustrated by Christine Roussey;New this week,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;60 weeks on the list,WINGS OF EBONY;by J. Elle;New this week,THE VANISHING HALF;by Brit Bennett;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,"KNOW YOURSELF, KNOW YOUR MONEY;by Rachel Cruze;","JUJUTSU KAISEN, VOL. 1;by Gege Akutami;",MORAL COMPASS;by Danielle Steel;,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
8,THE PUSH;by Ashley Audrain;2 weeks on the list,NEIGHBORS;by Danielle Steel;4 weeks on the list,NEWS OF THE WORLD;by Paulette Jiles;4 weeks on the list,THE DEVIL YOU KNOW;by Charles M. Blow;New this week,BECOMING;by Michelle Obama;103 weeks on the list,BORN A CRIME;by Trevor Noah;103 weeks on the list,THE ART OF IMPOSSIBLE;by Steven Kotler;New this week,AMARI AND THE NIGHT BROTHERS;by B.B. Alston;New this week,SUPERHEROES ARE EVERYWHERE;by Kamala Harris. Illustrated by Mechal Renee Roe;7 weeks on the list,CURSEBREAKER;by Brigid Kemmerer;New this week,THESE VIOLENT DELIGHTS;by Chloe Gong;3 weeks on the list,AN OFFER FROM A GENTLEMAN;by Julia Quinn;,TALKING TO STRANGERS;by Malcolm Gladwell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;","THEY CALLED US ENEMY;by George Takei, Justin Eisinger and Steven Scott. Illustrated by Harmony Becker;",FINALLY YOU;by Debbie Macomber;,GHOST BOYS;by Jewell Parker Rhodes;,DEAR MARTIN;by Nic Stone;
9,ROMANCING MISTER BRIDGERTON;by Julia Quinn;4 weeks on the list,READY PLAYER TWO;by Ernest Cline;10 weeks on the list,CIRCE;by Madeline Miller;34 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;23 weeks on the list,THE DEVIL YOU KNOW;by Charles M. Blow;New this week,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;28 weeks on the list,FAST THIS WAY;by Dave Asprey;2 weeks on the list,WHEN YOU TRAP A TIGER;by Tae Keller;New this week,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;29 weeks on the list,THE BAD GUYS;by Aaron Blabey;110 weeks on the list,THE INHERITANCE GAMES;by Jennifer Lynn Barnes;7 weeks on the list,THE INVISIBLE LIFE OF ADDIE LARUE;by V.E. Schwab;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,GRIT;by Angela Duckworth;,"DEMON SLAYER: KIMETSU NO YAIBA, VOL. 1;by Koyoharu Gotouge;",PREACHER'S CARNAGE;by William W. Johnstone and J.A. Johnstone;,FISH IN A TREE;by Lynda Mullaly Hunt;,KING OF SCARS;by Leigh Bardugo;
10,FIREFLY LANE;by Kristin Hannah;2 weeks on the list,ANXIOUS PEOPLE;by Fredrik Backman;20 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;71 weeks on the list,BECOMING;by Michelle Obama;96 weeks on the list,A SWIM IN A POND IN THE RAIN;by George Saunders;3 weeks on the list,JUST MERCY;by Bryan Stevenson;239 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;52 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;88 weeks on the list,PETE THE CAT: VALENTINE'S DAY IS COOL;by James Dean and Kimberly Dean;15 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;561 weeks on the list,"AVATAR, THE LAST AIRBENDER: THE SHADOW OF KYOSHI;by F.C. Yee;9 weeks on the list",ANXIOUS PEOPLE;by Fredrik Backman;,BORN A CRIME;by Trevor Noah;,OUTLIERS;by Malcolm Gladwell;,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;",BITTER PILL;by Fern Michaels;,BLENDED;by Sharon M. Draper;,ALL THE BRIGHT PLACES;by Jennifer Niven;
