,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,SAFE HAVEN;by Nicholas Sparks;10 weeks on the list,UNTIL THE END OF TIME;by Danielle Steel;New this week,FIFTY SHADES OF GREY;by E. L. James;47 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,PROOF OF HEAVEN;by Eben Alexander;15 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;3 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;15 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;15 weeks on the list,"THE LEGEND OF ZELDA, HYRULE HISTORIA;by Patrick Thorpe and Michael Gombos, et al.;New this week",THE FIVE LOVE LANGUAGES;by Gary Chapman;288 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,BUILDING STORIES;by Chris Ware;18 weeks on the list,DRAMA;by Raina Telgemeier;20 weeks on the list,"SAILOR MOON, VOL. 9;by Naoko Takeuchi;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,EMERALDALICIOUS;by Victoria Kann;New this week,THE HUNGER GAMES;by Suzanne Collins;128 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,TO SELL IS HUMAN;by Daniel H. Pink;,OUTLIERS;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
2,UNTIL THE END OF TIME;by Danielle Steel;New this week,GONE GIRL;by Gillian Flynn;35 weeks on the list,SAFE HAVEN;by Nicholas Sparks;20 weeks on the list,,,UNTIL THE END OF TIME;by Danielle Steel;,MY BELOVED WORLD;by Sonia Sotomayor;3 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;2 weeks on the list,QUIET;by Susan Cain;New this week,CRY SILENT TEARS;by Joe Peters;2 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;5 weeks on the list,OBAMACARE SURVIVAL GUIDE;by Nick Tate;New this week,MY BELOVED WORLD;by Sonia Sotomayor;,"EYE OF THE WORLD, VOL. 3;by Chuck Dixon and Andie Tong;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;17 weeks on the list","NEGIMA MAGISTER NEGI MAGI, VOL. 37;by Ken Akamatsu;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THIS IS NOT MY HAT;by Jon Klassen;15 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;7 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;,MONEY CODE;by Joe John Duran;,MY BELOVED WORLD;by Sonia Sotomayor;
3,GONE GIRL;by Gillian Flynn;35 weeks on the list,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;4 weeks on the list,FIFTY SHADES DARKER;by E. L. James;44 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,REMEMBERING WHITNEY;by Cissy Houston with Lisa Dickey;New this week,HITMAKER;by Tommy Mottola with Cal Fussman;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;New this week,REMEMBERING WHITNEY;by Cissy Houston with Lisa Dickey;New this week,REBOOTING WORK;by Maynard Webb and Carlye Adler;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;598 weeks on the list,QUIET;by Susan Cain;,THE FREDDIE STORIES;by Lynda Barry;New this week,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;31 weeks on the list","BLACK BUTLER, VOL. 12;by Yana Toboso;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;70 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;212 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,NINJA INNOVATION;by Gary Shapiro;,TIPPING POINT;by Malcolm Gladwell;,NO EASY DAY;by Mark Owen with Kevin Maurer;
4,PRIVATE BERLIN;by James Patterson and Mark Sullivan;2 weeks on the list,PRIVATE BERLIN;by James Patterson and Mark Sullivan;2 weeks on the list,FIFTY SHADES FREED;by E. L. James;44 weeks on the list,,,GONE GIRL;by Gillian Flynn;,QUIET;by Susan Cain;11 weeks on the list,REMEMBERING WHITNEY;by Cissy Houston with Lisa Dickey;New this week,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;28 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;18 weeks on the list,THE PLAN;by Lyn-Genet Recitas;4 weeks on the list,EAT TO LIVE;by Joel Fuhrman;81 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;,THE BOOKS OF MAGIC: DELUXE EDITION;by Neil Gaiman and others;New this week,PERSEPOLIS;by Marjane Satrapi;3 weeks on the list,"SOUL EATER, VOL. 12;by Atsushi Ohkubo;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;42 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;18 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,DRIVE;by Daniel H. Pink;,THOMAS JEFFERSON;by Jon Meacham;
5,FIFTY SHADES OF GREY;by E. L. James;49 weeks on the list,TENTH OF DECEMBER;by George Saunders;4 weeks on the list,LIFE OF PI;by Yann Martel;18 weeks on the list,,,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;,FRANCONA;by Terry Francona and Dan Shaughnessy;2 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;18 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;52 weeks on the list,GOING CLEAR;by Lawrence Wright;3 weeks on the list,WHEAT BELLY;by William Davis;41 weeks on the list,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;13 weeks on the list,HITMAKER;by Tommy Mottola with Cal Fussman;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;18 weeks on the list,"FABLES, VOL. 18;by Bill Willingham and Mark Buckingham;2 weeks on the list","MAXIMUM RIDE, VOL. 6;by James Patterson;8 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;39 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;45 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,ANTIFRAGILE;by Nassim Nicholas Taleb;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
6,COLLIDE;by Gail McHugh;New this week,SUSPECT;by Robert Crais;2 weeks on the list,THE PARIS WIFE;by Paula McLain;10 weeks on the list,,,PRIVATE BERLIN;by James Patterson and Mark Sullivan;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;18 weeks on the list,GOING CLEAR;by Lawrence Wright;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;116 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;31 weeks on the list,WHEAT BELLY COOKBOOK;by William Davis;6 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;99 weeks on the list,REMEMBERING WHITNEY;by Cissy Houston with Lisa Dickey;,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;96 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;112 weeks on the list,"GIRL FRIENDS: THE COMPLETE COLLECTION, VOL. 2;by Morinaga Milk;2 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,EXTRA YARN;by Mac Barnett. Illustrated by Jon Klassen;7 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;74 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,BOOMERANG;by Michael Lewis;,THE WORLD UNTIL YESTERDAY;by Jared Diamond;
7,SUSPECT;by Robert Crais;2 weeks on the list,A DEEPER LOVE INSIDE;by Sister Souljah;New this week,THE HARBINGER;by Jonathan Cahn;57 weeks on the list,,,TENTH OF DECEMBER;by George Saunders;,GOING CLEAR;by Lawrence Wright;3 weeks on the list,FUTURE;by Al Gore;New this week,BOSSYPANTS;by Tina Fey;57 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;71 weeks on the list,"HELP, THANKS, WOW;by Anne Lamott;11 weeks on the list",TO HEAVEN AND BACK;by Mary C. Neal;36 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;80 weeks on the list","LEGO NINJAGO #6, WARRIORS OF STONE;by Greg Farshtey and Jolyton Yates;2 weeks on the list","GUNSLINGER GIRL, OMNIBUS VOL. 6;by Yu Aida;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PRESS HERE;by Hervé Tullet;77 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;280 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,THE CHECKLIST MANIFESTO;by Atul Gawande;,MY SHARE OF THE TASK;by Stanley McChrystal;
8,HOPELESS;by Colleen Hoover;6 weeks on the list,SPEAKING FROM AMONG THE BONES;by Alan Bradley;New this week,WARM BODIES;by Isaac Marion;2 weeks on the list,,,SUSPECT;by Robert Crais;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;18 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;71 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;100 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;22 weeks on the list,BAREFOOT CONTESSA FOOLPROOF;by Ina Garten;14 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;17 weeks on the list,GOING CLEAR;by Lawrence Wright;,"WONDER WOMAN, VOL. 2;by Brian Azzarello and Cliff Chiang;3 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;77 weeks on the list","AFTERSCHOOL CHARISMA, VOL. 7;by Kumiko Suekane;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;45 weeks on the list,DORK DIARIES;by Rachel Renée Russell;70 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE BIG SHORT;by Michael Lewis;,A HIGHER CALL;by Adam Makos with Larry Alexander;
9,FIFTY SHADES FREED;by E. L. James;47 weeks on the list,THE FIFTH ASSASSIN;by Brad Meltzer;3 weeks on the list,THE SILVER LININGS PLAYBOOK;by Matthew Quick;3 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;70 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;22 weeks on the list,OUTLIERS;by Malcolm Gladwell;87 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;3 weeks on the list,THE END OF DIABETES;by Joel Fuhrman;4 weeks on the list,MULTIPLY;by Francis Chan with Mark Beuving;New this week,FUTURE;by Al Gore;,"BATWOMAN, VOL. 2;by J. H. Williams III and W. Haden Blackman;2 weeks on the list","THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;8 weeks on the list","A BRIDE'S STORY, VOL. 4;by Kaoru Mori;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,CREEPY CARROTS!;by Aaron Reynolds. Illustrated by Peter Brown;3 weeks on the list,GIVER QUARTET;by Lois Lowry;9 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,MONEYBALL;by Michael Lewis;,UNBROKEN;by Laura Hillenbrand;
10,FIFTY SHADES DARKER;by E. L. James;49 weeks on the list,THE RACKETEER;by John Grisham;15 weeks on the list,DEATH COMES TO PEMBERLEY;by P. D. James;5 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,CRY SILENT TEARS;by Joe Peters;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;116 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;47 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;2 weeks on the list,THE VIRGIN DIET;by J. J. Virgin;7 weeks on the list,MEATLESS;by the Martha Stewart Living staff;3 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;22 weeks on the list,"AMULET: PRINCE OF THE ELVES, VOL. 5;by Kazu Kibuishi;12 weeks on the list","NARUTO, VOL. 59;by Masashi Kishimoto;13 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THE VERY FAIRY PRINCESS FOLLOWS HER HEART;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;3 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;216 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,STEVE JOBS;by Walter Isaacson;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;
