,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science,Sports and Fitness
1,FIFTY SHADES OF GREY;by E. L. James;66 weeks on the list,THE HEIST;by Daniel Silva;2 weeks on the list,GONE GIRL;by Gillian Flynn;14 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;163 weeks on the list,AMERICA;by Dinesh D'Souza;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;193 weeks on the list,UNBROKEN;by Laura Hillenbrand;182 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;68 weeks on the list,SECONDS;by Bryan Lee O'Malley;2 weeks on the list,THE STAR WARS;by J. W. Rinzler and Mike Mayhew;New this week,"NARUTO, VOL. 66;by Masashi Kishimoto;4 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;57 weeks on the list,DIVERGENT;by Veronica Roth;40 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,OUTLIERS;by Malcolm Gladwell;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,UNBROKEN;by Laura Hillenbrand;,DAVID AND GOLIATH;by Malcolm Gladwell;,THE CLOSER;by Mariano Rivera with Wayne Coffey;
2,A PERFECT LIFE;by Danielle Steel;New this week,THE BOOK OF LIFE;by Deborah Harkness;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;117 weeks on the list,,,AMERICA;by Dinesh D'Souza;3 weeks on the list,UNBROKEN;by Laura Hillenbrand;179 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;9 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;148 weeks on the list,GOODNIGHT DARTH VADER;by Jeffrey Brown;New this week,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;125 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;72 weeks on the list","ATTACK ON TITAN: NO REGRETS, VOL. 1;by Gun Snark, Hikaru Suruga and Hajime Isayama;5 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;147 weeks on the list",THE MAZE RUNNER;by James Dashner;94 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,LAUNCH;by Jeff Walker;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,BLOOD FEUD;by Edward Klein;,QUIET;by Susan Cain;,LUCKIEST MAN;by Jonathan Eig;
3,THE HEIST;by Daniel Silva;2 weeks on the list,TOM CLANCY: SUPPORT AND DEFEND;by Mark Greaney;New this week,ORPHAN TRAIN;by Christina Baker Kline;49 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;126 weeks on the list,BLOOD FEUD;by Edward Klein;5 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;51 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;27 weeks on the list,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;3 weeks on the list,THE STAR WARS;by J. W. Rinzler and Mike Mayhew;New this week,THE SHADOW HERO;by Gene Luen Yang and Sonny Liew;2 weeks on the list,"BLACK BUTLER, VOL. 17;by Yana Toboso;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;17 weeks on the list,GIVER QUARTET;by Lois Lowry;49 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,BUSINESS ADVENTURES;by John Brooks;,WHEAT BELLY;by William Davis;,AMERICA;by Dinesh D'Souza;,THE POWER OF HABIT;by Charles Duhigg;,BECOMING A SUPPLE LEOPARD;by Kelly Starrett and Glen Cordoza;
4,GONE GIRL;by Gillian Flynn;87 weeks on the list,A PERFECT LIFE;by Danielle Steel;New this week,THE ALCHEMIST;by Paulo Coelho;314 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;10 weeks on the list,ONE NATION;by Ben Carson with Candy Carson;10 weeks on the list,OUTLIERS;by Malcolm Gladwell;164 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;52 weeks on the list,EVERYTHING I NEED TO KNOW I LEARNED FROM A LITTLE GOLDEN BOOK;by Diane Muldrow;21 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;12 weeks on the list,"SAGA, VOL. 3;by Brian K. Vaughan and Fiona Staples;18 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;59 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;32 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;150 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,HARD CHOICES;by Hillary Rodham Clinton;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",FREE+STYLE;by Carl Paoli and Anthony Sherbondy;
5,TOM CLANCY: SUPPORT AND DEFEND;by Mark Greaney;New this week,THE GOLDFINCH;by Donna Tartt;40 weeks on the list,THE VALLEY OF AMAZEMENT;by Amy Tan;2 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;30 weeks on the list,HARD CHOICES;by Hillary Rodham Clinton;7 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;357 weeks on the list,OPERATION MINCEMEAT;by Ben Macintyre;New this week,#GIRLBOSS;by Sophia Amoruso;12 weeks on the list,BATMAN: A CELEBRATION OF 75 YEARS;by Various;New this week,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;34 weeks on the list,"FAIRY TAIL, VOL. 40;by Hiro Mashima;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;150 weeks on the list,THE SELECTION;by Kiera Cass;12 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,THE DOCTOR'S DIET;by Travis Stork;,ONE NATION;by Ben Carson with Candy Carson;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,PLAYERS FIRST;by John Calipari and Michael Sokolove;
6,THE BOOK OF LIFE;by Deborah Harkness;2 weeks on the list,ACT OF WAR;by Brad Thor;3 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;13 weeks on the list,,,BLOOD FEUD;by Edward Klein;5 weeks on the list,THE MOCKINGBIRD NEXT DOOR;by Marja Mills;2 weeks on the list,THE OTHER WES MOORE;by Wes Moore;31 weeks on the list,AMERICA;by Dinesh D'Souza;3 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;44 weeks on the list,"INJUSTICE: GODS AMONG US, VOL. 2;by Tom Taylor, Mike S. Miller, Tom Derenick;4 weeks on the list",PERSEPOLIS;by Marjane Satrapi;31 weeks on the list,"SOUL EATER, VOL. 21;by Atsushi Ohkubo;New this week",WONDER;by R.J. Palacio;295 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;20 weeks on the list",HARRY POTTER;by J.K. Rowling;308 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,#GIRLBOSS;by Sophia Amoruso;,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,I NEVER HAD IT MADE;by Jackie W. Robinson;
7,ACT OF WAR;by Brad Thor;3 weeks on the list,THE SILKWORM;by Robert Galbraith;6 weeks on the list,ME BEFORE YOU;by Jojo Moyes;52 weeks on the list,,,ONE NATION;by Ben Carson with Candy Carson;10 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;41 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;29 weeks on the list,BLOOD FEUD;by Edward Klein;5 weeks on the list,THE FIVE MISTAKES EVERY INVESTOR MAKES AND HOW TO AVOID THEM;by Peter Mallouk;New this week,THE TRUTH IS A CAVE IN THE BLACK MOUNTAINS;by Neil Gaiman and Eddie Campbell;6 weeks on the list,THROUGH THE WOODS;by Emily Carroll;2 weeks on the list,"SOUL EATER NOT!, VOL. 3;by Atsushi Ohkubo;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;101 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;337 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE PALEO KITCHEN;by Juli Bauer and George Bryant;,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;,NEIL ARMSTRONG: A LIFE OF FLIGHT;by Jay Barbree;,THE SPORTS GENE;by David Epstein;
8,THE GOLDFINCH;by Donna Tartt;40 weeks on the list,INVISIBLE;by James Patterson and David Ellis;5 weeks on the list,DARK PLACES;by Gillian Flynn;52 weeks on the list,,,HARD CHOICES;by Hillary Rodham Clinton;7 weeks on the list,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;11 weeks on the list,WILD;by Cheryl Strayed;70 weeks on the list,BUSINESS ADVENTURES;by John Brooks;3 weeks on the list,"THE ALLIANCE;by Reid Hoffman, Ben Casnocha and Chris Yeh;3 weeks on the list","NATHAN HALE'S HAZARDOUS TALES: TREATIES, TRENCHES, MUD, AND BLOOD;by Nathan Hale;11 weeks on the list",SMILE;by Raina Telgemeier;112 weeks on the list,SWORD ART ONLINE: AINCRAD;by Reki Kawahara and Tamako Nakamura;9 weeks on the list,AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,JOURNEY;by Aaron Becker;35 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;3 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",SUPER SHRED;by Ian K. Smith;,THE NAZI OFFICER'S WIFE;by Edith H. Beer with Susan Dworkin;,HOW DOGS LOVE US;by Gregory Berns;,THE EMERALD MILE;by Kevin Fedarko;
9,INVISIBLE;by James Patterson and David Ellis;5 weeks on the list,REMAINS OF INNOCENCE;by J. A. Jance;New this week,SHARP OBJECTS;by Gillian Flynn;19 weeks on the list,,,THE MOCKINGBIRD NEXT DOOR;by Marja Mills;2 weeks on the list,CAPITAL IN THE TWENTY-FIRST CENTURY;by Thomas Piketty;16 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;66 weeks on the list,STRANGE AND OBSCURE STORIES OF THE CIVIL WAR;by Tim Rowland;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;64 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;24 weeks on the list,BOXERS;by Gene Luen Yang;4 weeks on the list,"NO MATTER HOW I LOOK AT IT, IT'S YOU GUYS' FAULT I'M NOT POPULAR!, VOL. 4;by Nico Tanigawa;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,LOCOMOTIVE;by Brian Floca;26 weeks on the list,THE NEVER GIRLS;by Kiki Thorpe;New this week,LEGENDBORN;by Tracy Deonn;9 weeks on the list,HOW THE WORLD SEES YOU;by Sally Hogshead;,PRACTICAL PALEO;by Diane Sanfilippo;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,WAR OF THE WHALES;by Joshua Horwitz;,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;
10,REMAINS OF INNOCENCE;by J. A. Jance;New this week,MR. MERCEDES;by Stephen King;8 weeks on the list,THE SIGNATURE OF ALL THINGS;by Elizabeth Gilbert;5 weeks on the list,,,OUTLIERS;by Malcolm Gladwell;40 weeks on the list,"CLINTON, INC.;by Daniel Halper;New this week",THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;171 weeks on the list,WILD;by Cheryl Strayed;105 weeks on the list,INSTINCT;by T. D. Jakes;12 weeks on the list,A MOST IMPERFECT UNION;by Ilan Stavans and Lalo Alcaraz;2 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;135 weeks on the list","DEADMAN WONDERLAND, VOL. 2;by Jinsei Katoka and Kazuma Kondou;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MY NEW FRIEND IS SO FUN!;by Mo Willems;8 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;203 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,FLASH BOYS;by Michael Lewis;,AGAINST ALL GRAIN;by Danielle Walker;,WILD SWANS;by Jung Chang;,INSIDE OF A DOG;by Alexandra Horowitz;,WHEELMEN;by Reed Albergotti and Vanessa O'Connell;
