,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,SAFE HAVEN;by Nicholas Sparks;11 weeks on the list,GONE GIRL;by Gillian Flynn;36 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;48 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;19 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;4 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;32 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;6 weeks on the list,FROM MAMA'S TABLE TO MINE;by Bobby Deen;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,"JUSTICE LEAGUE, VOL. 2;by Geoff Johns and Jim Lee;New this week","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;141 weeks on the list","NARUTO, VOL. 60;by Masashi Kishimoto;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,EMERALDALICIOUS;by Victoria Kann;2 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;8 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,TO SELL IS HUMAN;by Daniel H. Pink;,OUTLIERS;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
2,TOUCH AND GO;by Lisa Gardner;New this week,TENTH OF DECEMBER;by George Saunders;5 weeks on the list,SAFE HAVEN;by Nicholas Sparks;21 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,PROOF OF HEAVEN;by Eben Alexander;16 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;23 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;16 weeks on the list,BEYOND BELIEF;by Jenna Miscavige Hill with Lisa Pulitzer;New this week,"THE LEGEND OF ZELDA, HYRULE HISTORIA;by Patrick Thorpe and Michael Gombos, et al.;2 weeks on the list",OBAMACARE SURVIVAL GUIDE;by Nick Tate;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,BUILDING STORIES;by Chris Ware;19 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;18 weeks on the list","SAILOR MOON, VOL. 9;by Naoko Takeuchi;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,TEA TIME WITH SOPHIA GRACE AND ROSIE;by Sophia Grace Brownlee and Rosie McClelland. Illustrated by Shelagh McNicholas;New this week,THE HUNGER GAMES;by Suzanne Collins;129 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;,MONEY CODE;by Joe John Duran;,MY BELOVED WORLD;by Sonia Sotomayor;
3,RUSH;by Maya Banks;New this week,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;5 weeks on the list,FIFTY SHADES DARKER;by E. L. James;45 weeks on the list,,,GONE GIRL;by Gillian Flynn;,MY BELOVED WORLD;by Sonia Sotomayor;4 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;19 weeks on the list,QUIET;by Susan Cain;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;16 weeks on the list,PURSUED;by Jud Wilhite;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;289 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;81 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;78 weeks on the list","BLEACH, VOL. 55;by Tite Kubo;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;16 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;213 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,NINJA INNOVATION;by Gary Shapiro;,TIPPING POINT;by Malcolm Gladwell;,NO EASY DAY;by Mark Owen with Kevin Maurer;
4,GONE GIRL;by Gillian Flynn;36 weeks on the list,TOUCH AND GO;by Lisa Gardner;New this week,FIFTY SHADES FREED;by E. L. James;45 weeks on the list,,,TENTH OF DECEMBER;by George Saunders;,BEYOND BELIEF;by Jenna Miscavige Hill with Lisa Pulitzer;New this week,FUTURE;by Al Gore;2 weeks on the list,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;29 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;4 weeks on the list,WHEAT BELLY;by William Davis;42 weeks on the list,GROW REGARDLESS;by Joe Mechlinski;New this week,QUIET;by Susan Cain;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;19 weeks on the list,"LEGO NINJAGO #6, WARRIORS OF STONE;by Greg Farshtey and Jolyton Yates;3 weeks on the list","NEGIMA MAGISTER NEGI MAGI, VOL. 37;by Ken Akamatsu;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THE VERY FAIRY PRINCESS FOLLOWS HER HEART;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;4 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;70 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,DRIVE;by Daniel H. Pink;,THOMAS JEFFERSON;by Jon Meacham;
5,FIFTY SHADES OF GREY;by E. L. James;50 weeks on the list,PRIVATE BERLIN;by James Patterson and Mark Sullivan;3 weeks on the list,WARM BODIES;by Isaac Marion;3 weeks on the list,,,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;,GOING CLEAR;by Lawrence Wright;4 weeks on the list,GOING CLEAR;by Lawrence Wright;4 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;53 weeks on the list,GOING CLEAR;by Lawrence Wright;4 weeks on the list,TAKE 2;by Leeza Gibbons;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;599 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,7 MILES A SECOND;by David Wojnarowicz and James Romberger;New this week,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;32 weeks on the list","ALICE IN THE COUNTRY OF JOKER, VOL. 1;by QuinRose;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;71 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;19 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,ANTIFRAGILE;by Nassim Nicholas Taleb;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
6,PRIVATE BERLIN;by James Patterson and Mark Sullivan;3 weeks on the list,UNTIL THE END OF TIME;by Danielle Steel;2 weeks on the list,THE PARIS WIFE;by Paula McLain;11 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;19 weeks on the list,FRANCONA;by Terry Francona and Dan Shaughnessy;3 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;117 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;19 weeks on the list,WHEAT BELLY COOKBOOK;by William Davis;7 weeks on the list,FOLLOW ME;by David Platt;New this week,FUTURE;by Al Gore;,THE BOOKS OF MAGIC: DELUXE EDITION;by Neil Gaiman and others;2 weeks on the list,"THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;9 weeks on the list","POKEMON ADVENTURES, VOL. 7;by Hidenori Kusaka and Mato;New this week",WONDER;by R.J. Palacio;295 weeks on the list,MY BROTHER'S BOOK;by Maurice Sendak;New this week,WITCH AND WIZARD;by James Patterson and others;6 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,BOOMERANG;by Michael Lewis;,THE WORLD UNTIL YESTERDAY;by Jared Diamond;
7,THE SILVER LININGS PLAYBOOK;by Matthew Quick;2 weeks on the list,SUSPECT;by Robert Crais;3 weeks on the list,LIFE OF PI;by Yann Martel;19 weeks on the list,,,TOUCH AND GO;by Lisa Gardner;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;71 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;72 weeks on the list,OUTLIERS;by Malcolm Gladwell;88 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;107 weeks on the list,"HELP, THANKS, WOW;by Anne Lamott;12 weeks on the list",MEATLESS;by the Martha Stewart Living staff;4 weeks on the list,GOING CLEAR;by Lawrence Wright;,"BATWOMAN, VOL. 2;by J. H. Williams III and W. Haden Blackman;3 weeks on the list","JUSTICE LEAGUE, VOL. 1;by Geoff Johns and Jim Lee;New this week","FAIRY TAIL, VOL. 23;by Hiro Mashima;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,EXTRA YARN;by Mac Barnett. Illustrated by Jon Klassen;8 weeks on the list,HEIST SOCIETY;by Ally Carter;New this week,LORE;by Alexandra Bracken;18 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,THE CHECKLIST MANIFESTO;by Atul Gawande;,MY SHARE OF THE TASK;by Stanley McChrystal;
8,FIFTY SHADES FREED;by E. L. James;48 weeks on the list,A DEEPER LOVE INSIDE;by Sister Souljah;2 weeks on the list,THE HARBINGER;by Jonathan Cahn;58 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,QUIET;by Susan Cain;12 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;23 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;101 weeks on the list,CUT;by Cathy Glass;2 weeks on the list,THE PLAN;by Lyn-Genet Recitas;5 weeks on the list,BEATING OBAMACARE;by Betsy McCaughey;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;,ONE TRICK RIP-OFF / DEEP CUTS;by Paul Pope;New this week,SMILE;by Raina Telgemeier;50 weeks on the list,"SKIP BEAT, VOL. 30;by Yoshiki Nakamura;New this week",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;40 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;46 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE BIG SHORT;by Michael Lewis;,A HIGHER CALL;by Adam Makos with Larry Alexander;
9,FIFTY SHADES DARKER;by E. L. James;50 weeks on the list,THE TWELVE TRIBES OF HATTIE;by Ayana Mathis;9 weeks on the list,WORLD WAR Z;by Max Brooks;33 weeks on the list,,,PRIVATE BERLIN;by James Patterson and Mark Sullivan;,FRANCONA;by Terry Francona and Dan Shaughnessy;3 weeks on the list,REMEMBERING WHITNEY;by Cissy Houston with Lisa Dickey;2 weeks on the list,BOSSYPANTS;by Tina Fey;58 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;72 weeks on the list,BAREFOOT CONTESSA FOOLPROOF;by Ina Garten;15 weeks on the list,EAT TO LIVE;by Joel Fuhrman;82 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"THE COMPLETE MAUS, A SURVIVOR'S TALE;by Art Spiegelman;2 weeks on the list","FABLES, VOL. 18;by Bill Willingham and Mark Buckingham;3 weeks on the list","TENJO TENGE, VOL. 11;by Oh!great;New this week",GROUND ZERO;by Alan Gratz;10 weeks on the list,I WANT MY HAT BACK;by Jon Klassen;43 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;75 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,MONEYBALL;by Michael Lewis;,UNBROKEN;by Laura Hillenbrand;
10,SUSPECT;by Robert Crais;3 weeks on the list,THE FIFTH ASSASSIN;by Brad Meltzer;4 weeks on the list,RUSH;by Maya Banks;New this week,,,UNTIL THE END OF TIME;by Danielle Steel;,NO EASY DAY;by Mark Owen with Kevin Maurer;23 weeks on the list,BEYOND BELIEF;by Jenna Miscavige Hill with Lisa Pulitzer;New this week,ARGO;by Antonio Mendez and Matt Baglio;New this week,INSIDE SCIENTOLOGY;by Janet Reitman;4 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;9 weeks on the list,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;14 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,ARE YOU MY MOTHER?;by Alison Bechdel;35 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;10 weeks on the list","BLACK BUTLER, VOL. 12;by Yana Toboso;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PRESS HERE;by Hervé Tullet;78 weeks on the list,SHATTER ME;by Tahereh Mafi;New this week,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,STEVE JOBS;by Walter Isaacson;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;
