,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,U IS FOR UNDERTOW;by Sue Grafton;New this week,PUSH;by Sapphire;15 weeks on the list,,GOING ROGUE;by Sarah Palin;3 weeks on the list,THE BLIND SIDE;by Michael Lewis;10 weeks on the list,GUINNESS WORLD RECORDS 2010;edited by Craig Glenday;12 weeks on the list,"MORE DINERS, DRIVE-INS AND DIVES;by Guy Fieri with Ann Volkwein;5 weeks on the list",THE BOOK OF GENESIS: ILLUSTRATED;by R. Crumb;8 weeks on the list,"LOGICOMIX - AN EPIC SEARCH FOR TRUTH;by Apostolos Doxiadis, Christos H. Papadimitriou, Alecos Papadatos and Annie Di Donna;10 weeks on the list","BLEACH, VOL.  29;by Tite Kubo;New this week",THE HUNGER GAMES;by Suzanne Collins;65 weeks on the list,THE BOOK THIEF;by Markus Zusak;117 weeks on the list,SPLENDIFEROUS CHRISTMAS;by Jane O’Connor. Illustrated by Robin Preiss Glasser;5 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;122 weeks on the list
2,THE LOST SYMBOL;by Dan Brown;12 weeks on the list,THE SHACK;by William P. Young;81 weeks on the list,,STONES INTO SCHOOLS;by Greg Mortenson;New this week,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;149 weeks on the list,THE PIONEER WOMAN COOKS;by Ree Drummond;6 weeks on the list,NEW MOON;by Mark Cotta Vaz;9 weeks on the list,BATMAN: BATTLE FOR THE COWL;by Tony Daniel;2 weeks on the list,THE ZOMBIE SURVIVAL GUIDE: RECORDED ATTACKS;by Max Brooks;9 weeks on the list,"VAMPIRE KNIGHT, VOL. 8;by Matsuri Hino;5 weeks on the list",CATCHING FIRE;by Suzanne Collins;14 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;46 weeks on the list,THE CHRISTMAS SWEATER;by Glenn Beck with Kevin Balfe and Jason Wright.;6 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;47 weeks on the list
3,CROSS FIRE;by James Patterson;3 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;24 weeks on the list,,HAVE A LITTLE FAITH;by Mitch Albom;10 weeks on the list,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;15 weeks on the list,IT'S YOUR TIME;by Joel Osteen;5 weeks on the list,"DINERS, DRIVE-INS AND DIVES;by Guy Fieri with Ann Volkwein;17 weeks on the list",WOLVERINE: OLD MAN LOGAN;by Mark Millar and Steve McNiven;2 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;41 weeks on the list,"ROSARIO VAMPIRE, VOL. 10;by Akihisa Ikeda;5 weeks on the list",BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;New this week,THIRST NO. 1;by Christopher Pike;18 weeks on the list,LEGO STAR WARS;by Simon Beecroft;9 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;126 weeks on the list
4,"UNDER THE DOME, PART 1;by Stephen King;4 weeks on the list",THE PIANO TEACHER;by Janice Y. K. Lee;3 weeks on the list,,OPEN;by Andre Agassi;4 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;155 weeks on the list,DIVINE SOUL MIND BODY HEALING AND TRANSMISSION SYSTEM;by Zhi Gang Sha;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;123 weeks on the list,PRIDE AND PREJUDICE;by Nancy Butler and Hugo Petrus;6 weeks on the list,BATMAN: THE CAT AND THE BAT;by Fabian Nicieza and Kevin Maguire;New this week,"FULLMETAL ALCHEMIST, VOL. 21;by Hiromu Arakawa;3 weeks on the list",THE MAGICIAN’S ELEPHANT;by Kate DiCamillo. Illustrated by Yoko Tanaka;13 weeks on the list,DARK VISIONS;by L. J. Smith;13 weeks on the list,"SKIPPYJON JONES, LOST IN SPICE;by Judy Schachner;12 weeks on the list",HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;67 weeks on the list
5,THE HELP;by Kathryn Stockett;36 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;26 weeks on the list,,TRUE COMPASS;by Edward M. Kennedy;12 weeks on the list,GLENN BECK’S ‘COMMON SENSE’;by Glenn Beck;26 weeks on the list,GOOD EATS;by Alton Brown;4 weeks on the list,RACHAEL RAY'S BOOK OF 10;by Rachael Ray;5 weeks on the list,THE WONDERFUL WIZARD OF OZ;by Eric Shanower and Skottie Young;12 weeks on the list,STAR WARS (THE CLONE WARS): SLAVES OF THE REPUBLIC;by Henry Gilroy and others;New this week,NARUTO 46;by Masashi Kishimoto;10 weeks on the list,MILLION-DOLLAR THROW;by Mike Lupica;5 weeks on the list,THE PRINCESS AND THE FROG: JUNIOR NOVELIZATION;by Irene Trimble;2 weeks on the list,"NUBS;by Brian Dennis, Mary Nethery and Kirby Larson;5 weeks on the list",THE 39 CLUES;by various authors;30 weeks on the list
6,PIRATE LATITUDES;by Michael Crichton;2 weeks on the list,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;31 weeks on the list,,"ARGUING WITH IDIOTS;written and edited by Glenn Beck, Kevin Balfe and others;11 weeks on the list",TIPPING POINT;by Malcolm Gladwell;270 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;82 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;63 weeks on the list,GREEN LANTERN: AGENT ORANGE;by Geoff Johns and Philip Tan;3 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;36 weeks on the list,"MAXIMUM RIDE, VOL. 2;by James Patterson and NaRae Lee;6 weeks on the list",SHIVER;by Maggie Stiefvater;19 weeks on the list,GRACELING;by Kristin Cashore;10 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;23 weeks on the list,WARRIORS;by Erin Hunter;79 weeks on the list
7,FORD COUNTY;by John Grisham;5 weeks on the list,BED OF ROSES;by Nora Roberts;6 weeks on the list,,SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;7 weeks on the list,BLINK;by Malcolm Gladwell;112 weeks on the list,"MASTERING THE ART OF FRENCH COOKING, VOL. 1;by Julia Child, Simone Beck and Louisette Bertholle;11 weeks on the list",WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;440 weeks on the list,"DARK AVENGERS/UNCANNY X-MEN: UTOPIA;by Matt Fraction, Terry Dodson and others;New this week","THE WALKING DEAD, VOL. 10;by Robert Kirkman and Charlie Adlard;16 weeks on the list","ONE PIECE, VOL. 23;by Eiichiro Oda;New this week",THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;60 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;36 weeks on the list,WADDLE!;written and illustrated by Rufus Butler Seder;12 weeks on the list,THE ALEX RIDER ADVENTURES;by Anthony Horowitz;57 weeks on the list
8,BREATHLESS;by Dean Koontz;2 weeks on the list,OLIVE KITTERIDGE;by Elizabeth Strout;33 weeks on the list,,WHAT THE DOG SAW;by Malcolm Gladwell;7 weeks on the list,BUT I TRUSTED YOU;by Ann Rule;2 weeks on the list,AD HOC AT HOME;by Thomas Keller;5 weeks on the list,HUNGRY GIRL 200 UNDER 200;by Lisa Lillien;34 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;39 weeks on the list,BATMAN: ARKHAM ASYLUM;by Grant Morrison and Dave McKean;16 weeks on the list,"YU-GI-OH! R, VOL. 2;by Akira Ito and Kazuki Takahashi;New this week",LEVIATHAN;by Scott Westerfeld. Illustrated by Keith Thompson;5 weeks on the list,BETRAYALS;by Lili St. Crow;3 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;40 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;32 weeks on the list
9,THE PARIS VENDETTA;by Steve Berry;New this week,SAY YOU'RE ONE OF THEM;by Uwem Akpan;12 weeks on the list,,HALF THE SKY;by Nicholas D. Kristof and Sheryl WuDunn;5 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;9 weeks on the list,"REINVENTING THE BODY, RESURRECTING THE SOUL;by Deepak Chopra;6 weeks on the list",SKINNY BITCH;by Kim Barnouin;125 weeks on the list,JOKER;by Brian Azzarello and Lee Bermejo;28 weeks on the list,BATMAN: THE LONG HALLOWEEN;by Jeph Loeb and Tim Sale;15 weeks on the list,"D. N. ANGEL, VOL. 13;by Yukiru Sugisaki;New this week",TRICKS;by Ellen Hopkins;14 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;63 weeks on the list,THE LION AND THE MOUSE;by Jerry Pinkney;5 weeks on the list,THE IMMORTALS;by Alyson Noël;3 weeks on the list
10,THE LACUNA;by Barbara Kingsolver;5 weeks on the list,THE TIME TRAVELER'S WIFE;by Audrey Niffenegger;25 weeks on the list,,OUTLIERS;by Malcolm Gladwell;55 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;114 weeks on the list,THE LEGO BOOK;by the DK Publishing staff;New this week,THE PURPOSE-DRIVEN LIFE;by Rick Warren;64 weeks on the list,Batman: R.I.P.;by Grant Morrison and Tony Daniel;35 weeks on the list,BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;18 weeks on the list,"DEATH NOTE: L, CHANGE THE WORLD;by  M;5 weeks on the list",THE GREATEST MOMENTS IN SPORTS;by Len Berman;3 weeks on the list,SLAM;by Nick Hornby;25 weeks on the list,"JULIE ANDREWS’S COLLECTION OF POEMS, SONGS, AND LULLABIES;by Emma Walton Hamilton and Julie Andrews. Illustrated by James McMullan.;8 weeks on the list",THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart;8 weeks on the list
