,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,TICK TOCK;by James Patterson and Michael Ledwidge;New this week,TICK TOCK;by James Patterson and Michael Ledwidge;New this week,WATER FOR ELEPHANTS;by Sara Gruen;105 weeks on the list,,,TICK TOCK;by James Patterson and Michael Ledwidge;,UNBROKEN;by Laura Hillenbrand;New this week,UNBROKEN;by Laura Hillenbrand;11 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;11 weeks on the list,UNBROKEN;by Laura Hillenbrand;New this week,THE 4-HOUR BODY;by Timothy Ferriss;7 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;183 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;14 weeks on the list",SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;47 weeks on the list,"HETALIA AXIS POWERS, VOL. 2;by Hidekaz Himaruya;5 weeks on the list",I AM NUMBER FOUR;by Pittacus Lore;8 weeks on the list,RED RIDING HOOD;by Sarah Blakley-Cartwright;New this week,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;11 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;186 weeks on the list
2,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;New this week,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;36 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;53 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;New this week,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;3 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;17 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;New this week,THE INVESTMENT ANSWER;by Daniel C. Goldie and Gordon S. Murray;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;496 weeks on the list,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;,LAST UNICORN;by Peter B. Gillis and Renae DeLiz;New this week,SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;35 weeks on the list,"BLACK BUTLER, VOL. 4;by Yana Toboso;New this week",THE LOST HERO;by Rick Riordan;16 weeks on the list,THE BOOK THIEF;by Markus Zusak;177 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;3 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;23 weeks on the list
3,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;New this week,THE INNER CIRCLE;by Brad Meltzer;3 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;84 weeks on the list,,,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;New this week,THE NEXT DECADE;by George Friedman;New this week,JUST KIDS;by Patti Smith;13 weeks on the list,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;New this week,SEXY FOREVER;by Suzanne Somers;4 weeks on the list,THE BOOK OF AWAKENING;by Mark Nepo;4 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,THE STARMAN OMNIBUS VOL. 6;by James Robinson and Peter Snjejbjerg;New this week,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;63 weeks on the list","VAMPIRE KNIGHT, VOL. 11;by Matsuri Hino;8 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;39 weeks on the list",WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;13 weeks on the list,IT’S A BOOK;written and illustrated by Lane Smith;23 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;107 weeks on the list
4,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;New this week,STRATEGIC MOVES;by Stuart Woods;2 weeks on the list,TRUE GRIT;by Charles Portis;7 weeks on the list,,,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;,DECISION POINTS;by George W. Bush;New this week,THE HIDDEN REALITY;by Brian Greene;New this week,THE GLASS CASTLE;by Jeannette Walls;204 weeks on the list,DECISION POINTS;by George W. Bush;New this week,400 CALORIE FIX;by Liz Vaccariello with Mindy Hermann;3 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;15 weeks on the list,THE NEXT DECADE;by George Friedman;,BUFFY THE VAMPIRE SLAYER: TALES;by Joss Whedon and others;New this week,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;43 weeks on the list,"NARUTO, VOL. 49;by Masashi Kishimoto;18 weeks on the list",MOON OVER MANIFEST;by Clare Vanderpool;3 weeks on the list,FALLEN;by Lauren Kate;18 weeks on the list,LEGO STAR WARS;by Simon Beecroft;58 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;113 weeks on the list
5,WATER FOR ELEPHANTS;by Sara Gruen;New this week,THE HELP;by Kathryn Stockett;96 weeks on the list,WINTER GARDEN;by Kristin Hannah;4 weeks on the list,,,MARRYING DAISY BELLAMY;by Susan Wiggs;,THE HIDDEN REALITY;by Brian Greene;New this week,CLEOPATRA;by Stacy Schiff;13 weeks on the list,WHAT THE DOG SAW;by Malcolm Gladwell;7 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;New this week,THE CARB LOVERS DIET;by Ellen Kunes and Frances Largeman-Roth;7 weeks on the list,"EAT THIS, NOT THAT! 2011;David Zinczenko with Matt Goulding;15 weeks on the list",THE HIDDEN REALITY;by Brian Greene;,"THE KILLER,  VOL. 3;by Luc Jacamon and Gael De Meyere;New this week",SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;39 weeks on the list,"FULLMETAL ALCHEMIST, VOL. 24;by Hiromu Arakawa;2 weeks on the list",WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;7 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;85 weeks on the list,DAVE THE POTTER;by Laban Carrick Hill. Illustrated by Bryan Collier;2 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;236 weeks on the list
6,THE CONFESSION;by John Grisham;New this week,SHADOWFEVER;by Karen Marie Moning;2 weeks on the list,LITTLE BEE;by Chris Cleave;50 weeks on the list,,,WILD MAN CREEK;by Robyn Carr;,CLEOPATRA;by Stacy Schiff;New this week,DECISION POINTS;by George W. Bush;12 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;209 weeks on the list,CLEOPATRA;by Stacy Schiff;New this week,THE 7;by Glenn Beck and Keith Ablow;4 weeks on the list,RADICAL;by David Platt;34 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;19 weeks on the list",SCOTT PILGRIM VS. THE UNIVERSE;by Bryan Lee O’Malley;41 weeks on the list,"HETALIA AXIS POWERS, VOL. 1;by Hidekaz Himaruya;18 weeks on the list",TIGER’S CURSE;by Colleen Houck;New this week,THE IRON QUEEN;by Julie Kagawa;New this week,MADELINE AT THE WHITE HOUSE;written and illustrated by John Bemelmans Marciano;New this week,PRETTY LITTLE LIARS;by Sara Shepard;35 weeks on the list
7,CUTTING FOR STONE;by Abraham Verghese;New this week,DEAD OR ALIVE;by Tom Clancy with Grant Blackwood;8 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;45 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,THE NEXT DECADE;by George Friedman;New this week,"AUTOBIOGRAPHY OF MARK TWAIN, VOL. 1;by Mark Twain;15 weeks on the list",BLINK;by Malcolm Gladwell;172 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;New this week,WE;by Rudy Karsan and Kevin Kruse;New this week,MADE TO CRAVE;by Lysa TerKeurst;3 weeks on the list,CLEOPATRA;by Stacy Schiff;,"OKKO, VOL. 3;by Hub and Stephan Pecayo;New this week",SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;28 weeks on the list,"BLACK BUTLER, VOL. 3;by Yana Toboso;14 weeks on the list",DORK DIARIES;written and illustrated by Rachel Renée Russell;33 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;98 weeks on the list,YOU CAN BE A FRIEND;by Tony Dungy and Lauren Dungy. Illustrated by Ron Mazellan;New this week,HARRY POTTER;by J.K. Rowling;244 weeks on the list
8,MARRYING DAISY BELLAMY;by Susan Wiggs;New this week,THE SENTRY;by Robert Crais;3 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;86 weeks on the list,,,CUTTING FOR STONE;by Abraham Verghese;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;39 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;208 weeks on the list",THE HIDDEN REALITY;by Brian Greene;New this week,CRAZY SEXY DIET;by Kris Carr;2 weeks on the list,"THE NEW ATKINS FOR A NEW YOU;by Eric C. Westman, Stephen D. Phinney and Jeff S. Volek;21 weeks on the list",DECISION POINTS;by George W. Bush;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;8 weeks on the list","THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;9 weeks on the list","BLACK BUTLER, VOL. 1;by Yana Toboso;23 weeks on the list",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;28 weeks on the list,WHEN YOU REACH ME;by Rebecca Stead;5 weeks on the list,LITTLE WHITE RABBIT;written and illustrated by Kevin Henkes;New this week,THE TWILIGHT SAGA;by Stephenie Meyer;182 weeks on the list
9,THE HELP;by Kathryn Stockett;New this week,THE CONFESSION;by John Grisham;14 weeks on the list,HOUSE RULES;by Jodi Picoult;12 weeks on the list,,,THE INNER CIRCLE;by Brad Meltzer;,INSIDE OF A DOG;by Alexandra Horowitz;New this week,LIFE;by Keith Richards with James Fox;14 weeks on the list,TIPPING POINT;by Malcolm Gladwell;330 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;New this week,4-HOUR WORKWEEK;by Timothy Ferriss;79 weeks on the list,"COOK THIS, NOT THAT! EASY AND AWESOME 350-CALORIE MEALS;by David Zinczenko and Matt Goulding;13 weeks on the list","AUTOBIOGRAPHY OF MARK TWAIN, VOL. 1;by Mark Twain;",BLACKEST NIGHT;by Geoff Johns and Ivan Reis;21 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;80 weeks on the list,"BLACK BUTLER, VOL. 2;by Yana Toboso;15 weeks on the list",ACROSS THE UNIVERSE;by Beth Revis;2 weeks on the list,IDENTICAL;by Ellen Hopkins;4 weeks on the list,KNUFFLE BUNNY FREE;written and illustrated by Mo Willems;17 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;42 weeks on the list
10,THE INNER CIRCLE;by Brad Meltzer;New this week,ROOM;by Emma Donoghue;12 weeks on the list,THE IMPERFECTIONISTS;by Tom Rachman;4 weeks on the list,,,TRUE GRIT;by Charles Portis;,"AUTOBIOGRAPHY OF MARK TWAIN, VOL. 1;by Mark Twain;New this week",NEPTUNE’S INFERNO;by James D. Hornfischer;New this week,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;75 weeks on the list,LIFE;by Keith Richards with James Fox;New this week,WHY WE GET FAT;by Gary Taubes;New this week,THE G-FREE DIET;by Elisabeth Hasselbeck;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,THE ADVENTURES OF OOK AND GLUK;by George Beard and Harold Hutchins;22 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;15 weeks on the list","OURAN HIGH SCHOOL HOST CLUB, VOL. 15;by Bisco Hatori;New this week",MATCHED;by Ally Condie;9 weeks on the list,"HUSH, HUSH;by Becca Fitzpatrick;18 weeks on the list",PONYELLA;written by Laura Numeroff and Nate Evans. Illustrated by Lynn Munsinger;2 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;12 weeks on the list
11,STRATEGIC MOVES;by Stuart Woods;New this week,WHAT THE NIGHT KNOWS;by Dean Koontz;5 weeks on the list,SARAH’S KEY;by Tatiana de Rosnay;103 weeks on the list,,,STRATEGIC MOVES;by Stuart Woods;,_____ MY DAD SAYS;by Justin Halpern;New this week,DECODED;by Jay-Z;11 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;118 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;New this week,"STRAIGHT TALK, NO CHASER;by Steve Harvey with Denene Millner;",THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,JUST KIDS;by Patti Smith;,,,,,,,
12,WILD MAN CREEK;by Robyn Carr;New this week,CALL ME IRRESISTIBLE;by Susan Elizabeth Phillips;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;165 weeks on the list,,,WINTER GARDEN;by Kristin Hannah;,LIFE;by Keith Richards with James Fox;New this week,OUTLIERS;by Malcolm Gladwell;100 weeks on the list,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;57 weeks on the list",THE GLASS CASTLE;by Jeannette Walls;New this week,BAREFOOT CONTESSA: HOW EASY IS THAT?;by Ina Garten;,POWER FOODS;by  Whole Living Magazine Editors;,LIFE;by Keith Richards with James Fox;,,,,,,,
13,DEAD OR ALIVE;by Tom Clancy with Grant Blackwood;New this week,THE RED GARDEN;by Alice Hoffman;New this week,MAJOR PETTIGREW’S LAST STAND;by Helen Simonson;9 weeks on the list,,,LITTLE BEE;by Chris Cleave;,THE GLASS CASTLE;by Jeannette Walls;New this week,CINDERELLA ATE MY DAUGHTER;by Peggy Orenstein;New this week,STONES INTO SCHOOLS;by Greg Mortenson;14 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;New this week",HOW TO WRITE A SENTENCE;by Stanley Fish;,CLEAN;by Alejandro Junger with Amely Greeven;,NEPTUNE’S INFERNO;by James D. Hornfischer;,,,,,,,
14,SHADOWFEVER;by Karen Marie Moning;New this week,FREEDOM;by Jonathan Franzen;19 weeks on the list,HALF BROKE HORSES;by Jeannette Walls;21 weeks on the list,,,THE HELP;by Kathryn Stockett;,JUST KIDS;by Patti Smith;New this week,_____ MY DAD SAYS;by Justin Halpern;39 weeks on the list,THE CHECKLIST MANIFESTO;by Atul Gawande;4 weeks on the list,THE BIG SHORT;by Michael Lewis;New this week,THE POWER;by Rhonda Byrne;,THE POWER OF NOW;by Eckhart Tolle;,THE GLASS CASTLE;by Jeannette Walls;,,,,,,,
