,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Food and Diet,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,STORM FRONT;by John Sandford;New this week,STORM FRONT;by John Sandford;New this week,DEAR LIFE;by Alice Munro;New this week,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;3 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;3 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;13 weeks on the list,MY STORY;by Elizabeth Smart with Chris Stewart;New this week,EAT TO LIVE COOKBOOK;by Joel Fuhrman;New this week,"THE WALKING DEAD, BOOK 9;by Robert Kirkman and Charlie Adlard;4 weeks on the list",BATTLING BOY;by Paul Pope;New this week,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;18 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;2 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;43 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE LIBERTY AMENDMENTS;by Mark R. Levin;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
2,DOING HARD TIME;by Stuart Woods;New this week,DOCTOR SLEEP;by Stephen King;3 weeks on the list,THE HIT;by David Baldacci;4 weeks on the list,,,MY STORY;by Elizabeth Smart with Chris Stewart;New this week,DAVID AND GOLIATH;by Malcolm Gladwell;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;51 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;3 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;7 weeks on the list,"ALL-NEW X-MEN, VOL. 3;by Brian Michael Bendis and Stuart Immonen;New this week","PERCY JACKSON & THE OLYMPIANS: THE TITAN'S CURSE;by Rick Riordan, Robert Venditti and Attila Futaki;New this week","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;11 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;16 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;109 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THIS TOWN;by Mark Leibovich;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
3,DOCTOR SLEEP;by Stephen King;3 weeks on the list,THE LONGEST RIDE;by Nicholas Sparks;4 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;83 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;2 weeks on the list,THE REASON I JUMP;by Naoki Higashida;3 weeks on the list,JESUS > RELIGION;by Jefferson Bethke;New this week,I AM MALALA;by Malala Yousafzai with Christina Lamb;New this week,BREAK OUT!;by Joel Osteen;2 weeks on the list,"EARTH 2, VOL. 2;by James Robinson and Nicola Scott;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;104 weeks on the list","SOUL EATER, VOL. 16;by Atsushi Ohkubo;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;106 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;164 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,WHEAT BELLY;by William Davis;,BEFORE HAPPINESS;by Shawn Achor;,STEVE JOBS;by Walter Isaacson;,LAWRENCE IN ARABIA;by Scott Anderson;,QUIET;by Susan Cain;
4,THE HUSBAND'S SECRET;by Liane Moriarty;10 weeks on the list,GONE;by James Patterson and Michael Ledwidge;2 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;12 weeks on the list,,,I AM MALALA;by Malala Yousafzai with Christina Lamb;New this week,I AM MALALA;by Malala Yousafzai with Christina Lamb;New this week,OUTLIERS;by Malcolm Gladwell;123 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;2 weeks on the list,THERE'S MORE TO LIFE THAN THIS;by Theresa Caputo with Kristina Grish;2 weeks on the list,"SHAZAM!, VOL. 1;by Geoff Johns and Gary Frank;2 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;9 weeks on the list,"ATTACK ON TITAN, VOL. 7;by Hajime Isayama;3 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;10 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;310 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,MICHAEL SYMON'S 5 IN 5;by Michael Symon with Douglas Trattner;,LOOPTAIL;by Bruce Poon Tip;,CONVERT EVERY CLICK;by Benji Rabhan;,UNBROKEN;by Laura Hillenbrand;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
5,THE LONGEST RIDE;by Nicholas Sparks;4 weeks on the list,DOG SONGS;by Mary Oliver;New this week,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;28 weeks on the list",,,THE REASON I JUMP;by Naoki Higashida;2 weeks on the list,MY STORY;by Elizabeth Smart with Chris Stewart;New this week,QUIET;by Susan Cain;37 weeks on the list,PRACTICE TO DECEIVE;by Ann Rule;New this week,WHAT ARE YOU AFRAID OF?;by David Jeremiah;2 weeks on the list,"JUSTICE LEAGUE, VOL. 3;by Geoff Johns and Ivan Reis;2 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;42 weeks on the list","ATTACK ON TITAN, VOL. 3;by Hajime Isayama;9 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;79 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;247 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,EAT TO LIVE;by Joel Fuhrman;,GREAT WORK;by David Sturt;,TIPPING POINT;by Malcolm Gladwell;,WILSON;by A. Scott Berg;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
6,GONE;by James Patterson and Michael Ledwidge;2 weeks on the list,STARRY NIGHT;by Debbie Macomber;New this week,FIFTY SHADES DARKER;by E. L. James;80 weeks on the list,,,PRACTICE TO DECEIVE;by Ann Rule;New this week,SI-COLOGY 1;by Si Robertson with Mark Schlabach;6 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;15 weeks on the list,THE REASON I JUMP;by Naoki Higashida;3 weeks on the list,HUNDRED PERCENTERS;by Mark Murphy;New this week,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;New this week,SMILE;by Raina Telgemeier;75 weeks on the list,"FAIRY TAIL, 30;by Hiro Mashima;2 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,"CLICK, CLACK, BOO!;by Doreen Cronin. Illustrated by Betsy Lewin;2 weeks on the list",RUBY RED;by Kerstin Gier;New this week,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE FAST METABOLISM DIET;by Haylie Pomroy with Eve Adamson;,MISSION IN A BOTTLE;by Seth Goldman and Barry Nalebuff;,HEADS IN BEDS;by Jacob Tomsky;,FIVE DAYS AT MEMORIAL;by Sheri Fink;,BRILLIANT BLUNDERS;by Mario Livio;
7,STARRY NIGHT;by Debbie Macomber;New this week,THE CIRCLE;by Dave Eggers;New this week,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;28 weeks on the list,,,ONE SUMMER;by Bill Bryson;2 weeks on the list,ONE SUMMER;by Bill Bryson;2 weeks on the list,WILD;by Cheryl Strayed;29 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;14 weeks on the list,DARING GREATLY;by Brené Brown;27 weeks on the list,MISSION IN A BOTTLE;by Seth Goldman and Barry Nalebuff;5 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;New this week,"BLACK BIRD, VOL. 17;by Kanoko Sakurakouji;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PRESS HERE;by Hervé Tullet;113 weeks on the list,GIVER QUARTET;by Lois Lowry;28 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;,SYSTEM;by Jeff Benedict and Armen Keteyian;,DRIVE;by Daniel H. Pink;,BUTLER;by Wil Haygood;,THE POWER OF HABIT;by Charles Duhigg;
8,ENDER'S GAME;by Orson Scott Card;13 weeks on the list,DOING HARD TIME;by Stuart Woods;New this week,THE RACKETEER;by John Grisham;7 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;13 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;31 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;287 weeks on the list,ONE SUMMER;by Bill Bryson;2 weeks on the list,THE CAN'T COOK BOOK;by Jessica Seinfeld;New this week,AVENGERS: ENDLESS WARTIME;by Warren Ellis and Mike McKone;2 weeks on the list,DRAMA;by Raina Telgemeier;45 weeks on the list,"BLEACH, VOL. 58;by Tite Kubo;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;25 weeks on the list",DORK DIARIES;by Rachel Renée Russell;90 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,"CHOOSE MORE, LOSE MORE FOR LIFE;by Chris Powell with Heidi Powell;",YOU FIRST;by Liane Davey;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,A HOUSE IN THE SKY;by Amanda Lindhout and Sara Corbett;,THE HAPPINESS PROJECT;by Gretchen Rubin;
9,GONE GIRL;by Gillian Flynn;64 weeks on the list,THE SIGNATURE OF ALL THINGS;by Elizabeth Gilbert;2 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;28 weeks on the list,,,SI-COLOGY 1;by Si Robertson with Mark Schlabach;6 weeks on the list,TIP AND THE GIPPER;by Chris Matthews;2 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;10 weeks on the list,A CAPTAIN'S DUTY;by Richard Phillips and Stephan Talty;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;27 weeks on the list,THE UNWRITTEN: TOMMY TAYLOR AND THE SHIP THAT SANK TWICE;by Mike Carey and Peter Gross;3 weeks on the list,BOXERS;by Gene Luen Yang;2 weeks on the list,"ATTACK ON TITAN, VOL. 5;by Hajime Isayama;8 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,FROG TROUBLE;by Sandra Boynton;5 weeks on the list,THE MAZE RUNNER;by James Dashner;62 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;,VALUE OF DEBT;by Thomas J. Anderson;,THE CHECKLIST MANIFESTO;by Atul Gawande;,REIGN OF ERROR;by Diane Ravitch;,AN APPETITE FOR WONDER;by Richard Dawkins;
10,NEVER GO BACK;by Lee Child;6 weeks on the list,THE LOWLAND;by Jhumpa Lahiri;3 weeks on the list,THE SILENT WIFE;by A. S. A. Harrison;12 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;31 weeks on the list,ZEALOT;by Reza Aslan;13 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;28 weeks on the list",SHADOWS OF THE WORKHOUSE;by Jennifer Worth;New this week,DO YOU SPEAK SHOE LOVER?;by Linda Meadow;New this week,"BATWOMAN, VOL. 3;by J. H. Williams III and W. Haden Blackman;3 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;17 weeks on the list","SAILOR MOON SHORT STORIES, VOL. 1;by Naoko Takeuchi;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;53 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;16 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,THE POWER OF HABIT;by Charles Duhigg;,WHY NATIONS FAIL;by Daron Acemoglu and James A. Robinson;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,KNOCKING ON HEAVEN'S DOOR;by Katy Butler;
