,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,GATHERING PREY;by John Sandford;New this week,GATHERING PREY;by John Sandford;New this week,THE GOLDFINCH;by Donna Tartt;4 weeks on the list,,,HOPE;by Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan;New this week,HOPE;by Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan;New this week,THE BOYS IN THE BOAT;by Daniel James Brown;49 weeks on the list,HOPE;by Amanda Berry and Gina DeJesus with Mary Jordan and Kevin Sullivan;New this week,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;27 weeks on the list,"SCOTT PILGRIM, VOL. 6;by Bryan Lee O'Malley;2 weeks on the list",DRAMA;by Raina Telgemeier;92 weeks on the list,"MOBILE SUIT GUNDAM: THE ORIGIN, VOL. 9;by Yoshikazu Yasuhiko;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE BOOK WITH NO PICTURES;by B.J. Novak;31 weeks on the list,THE MAZE RUNNER;by James Dashner;134 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,H IS FOR HAWK;by Helen Macdonald;,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;",A CURIOUS MIND;by Brian Grazer and Charles Fishman;,MISSOULA;by Jon Krakauer;,BETWEEN YOU & ME;by Mary Norris;,BETWEEN YOU & ME;by Mary Norris;,,DEAD WAKE;by Erik Larson;,THE RESIDENCE;by Kate Andersen Brower;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,BEING MORTAL;by Atul Gawande;,YES PLEASE;by Amy Poehler;,,THE FIVE LOVE LANGUAGES;by Gary Chapman;,H IS FOR HAWK;by Helen Macdonald;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE NEW JIM CROW;by Michelle Alexander;,THE ROAD TO CHARACTER;by David Brooks;,BEING MORTAL;by Atul Gawande;,THE BOYS IN THE BOAT;by Daniel James Brown;,WILD;by Cheryl Strayed;
2,THE GIRL ON THE TRAIN;by Paula Hawkins;16 weeks on the list,MEMORY MAN;by David Baldacci;2 weeks on the list,LEAVING TIME;by Jodi Picoult;New this week,,,AND THE GOOD NEWS IS ...;by Dana Perino;2 weeks on the list,THE ROAD TO CHARACTER;by David Brooks;3 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;78 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;67 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;2 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;152 weeks on the list,SMILE;by Raina Telgemeier;151 weeks on the list,"AKAME GA KILL!, VOL. 2;by Takahiro and Tetsuya Tashiro;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;97 weeks on the list,DIVERGENT;by Veronica Roth;80 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,DEALING WITH CHINA;by Henry M. Paulson Jr.;,A FINE ROMANCE;by Candice Bergen;,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;,SO YOU'VE BEEN PUBLICLY SHAMED;by Jon Ronson;,MISSOULA;by Jon Krakauer;,,INTO AFRICA;by Martin Dugard;,LOVE THE HOME YOU HAVE;by Melissa Michaels;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,I HATE MYSELFIE;by Shane Dawson;,,MISSOULA;by Jon Krakauer;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,AND THE GOOD NEWS IS ...;by Dana Perino;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,JESUS CALLING;by Sarah Young;,DAVID AND GOLIATH;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;,HUMANS OF NEW YORK;by Brandon Stanton;
3,MEMORY MAN;by David Baldacci;2 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;16 weeks on the list,THE HUSBAND'S SECRET;by Liane Moriarty;9 weeks on the list,,,THE ROAD TO CHARACTER;by David Brooks;3 weeks on the list,AND THE GOOD NEWS IS ...;by Dana Perino;2 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;4 weeks on the list,DEAD WAKE;by Erik Larson;8 weeks on the list,BRAIN MAKER;by David Perlmutter with Kristin Loberg;New this week,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;52 weeks on the list,SISTERS;by Raina Telgemeier;37 weeks on the list,"NORAGAMI, VOL. 4;by Adachitoka;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,I WISH YOU MORE;by Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;321 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THE STOLEN DOG;by Tricia O'Malley;,BECOMING STEVE JOBS;by Brent Schlender and Rick Tetzeli;,BECOMING STEVE JOBS;by Brent Schlender and Rick Tetzeli;,"AMISH CONFIDENTIAL;by ""Lebanon"" Levi Stoltzfus;",PIONEER GIRL;by Laura Ingalls Wilder;,IN DEFENSE OF A LIBERAL EDUCATION;by Fareed Zakaria;,,ASTORIA;by Peter Stark;,CHARLOTTE MOSS: GARDEN INSPIRATIONS;by Charlotte Moss;,THUG KITCHEN;by the staff of Thug Kitchen;,THE LEGO IDEAS BOOK;by Daniel Lipkowitz;,THE BLUE ZONES SOLUTION;by Dan Buettner;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,,H IS FOR HAWK;by Helen Macdonald;,LOOK ME IN THE EYE;by John Elder Robison;,THE RESIDENCE;by Kate Andersen Brower;,MARCH: BOOK TWO;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,WHAT IF?;by Randall Munroe;,H IS FOR HAWK;by Helen Macdonald;,BENEATH THE SURFACE;by John Hargrove with Howard Chua-Eoan;
4,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;33 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;52 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;89 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;50 weeks on the list,BILL O'REILLY'S LEGENDS AND LIES;by David Fisher;4 weeks on the list,UNBROKEN;by Laura Hillenbrand;40 weeks on the list,AND THE GOOD NEWS IS ...;by Dana Perino;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;101 weeks on the list,THE THRILLING ADVENTURES OF LOVELACE AND BABBAGE;by Sydney Padua;2 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;New this week,"NARUTO, VOL. 69;by Masashi Kishimoto;7 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;22 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;358 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,BENEATH THE SURFACE;by John Hargrove with Howard Chua-Eoan;,MONEY: MASTER THE GAME;by Tony Robbins;,YES PLEASE;by Amy Poehler;,THE GIFT OF FEAR;by Gavin De Becker;,AMERICAN LIGHTNING;by Howard Blum;,WHERE YOU GO IS NOT WHO YOU'LL BE;by Frank Bruni;,,INTO THE WILD;by Jon Krakauer;,THE NEW BOHEMIANS;by Justina Blakeney;,THE BLUE ZONES SOLUTION;by Dan Buettner;,POKEMON: ESSENTIAL HANDBOOK;by Cris Silvestri and the staff of Scholastic;,TOX-SICK;by Suzanne Somers;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,,LOOK ME IN THE EYE;by John Elder Robison;,FORGIVENESS;by Chiquis Rivera;,UNBROKEN;by Laura Hillenbrand;,DAYS OF RAGE;by Bryan Burrough;,BEYOND BELIEF;by Jenna Miscavige Hill with Lisa Pulitzer;,THE EMPEROR OF ALL MALADIES;by Siddhartha Mukherjee;,MEN IN GREEN;by Michael Bamberger;,PICNIC IN PROVENCE;by Elizabeth Bard;
5,THE LIAR;by Nora Roberts;3 weeks on the list,GOD HELP THE CHILD;by Toni Morrison;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;352 weeks on the list,,,DEAD WAKE;by Erik Larson;8 weeks on the list,DEAD WAKE;by Erik Larson;8 weeks on the list,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;New this week,MISSOULA;by Jon Krakauer;2 weeks on the list,GODDESSES NEVER AGE;by Christiane Northrup;4 weeks on the list,AVENGERS: RAGE OF ULTRON;by Rick Remender and Jerome Opeña;5 weeks on the list,EL DEAFO;by Cece Bell;26 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;96 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;67 weeks on the list,WHATEVER AFTER;by Sarah Mlynowski;2 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,GOOD DOG;by the editors of Garden and Gun Magazine;,THE POWER OF HABIT;by Charles Duhigg;,FORGIVENESS;by Chiquis Rivera;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,WORDS WITHOUT MUSIC;by Philip Glass;,VERY GOOD LIVES;by J. K. Rowling;,,SAVAGE HARVEST;by Carl Hoffman;,TIM GUNN:  THE NATTY PROFESSOR;by Tim Gunn with Ada Calhoun;,THE COMPLETE VEGETARIAN COOKBOOK;by the staff of America's Test Kitchen;,MINECRAFT: REDSTONE HANDBOOK;by Nick Farwell. Edited by Jane Riordan and Stephanie Milton;,LOOK ME IN THE EYE;by John Elder Robison;,BOSSYPANTS;by Tina Fey;,,DARING GREATLY;by Brené Brown;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,DEALING WITH CHINA;by Henry M. Paulson Jr.;,BATTLEFIELD AMERICA;by John W. Whitehead;,GOING CLEAR;by Lawrence Wright;,THE POWER OF HABIT;by Charles Duhigg;,NATURAL BORN HEROES;by Christopher McDougall;,UGANDA BE KIDDING ME;by Chelsea Handler;
6,HOLD ME;by Susan Mallery;New this week,THE BONE TREE;by Greg Iles;2 weeks on the list,THE MARTIAN;by Andy Weir;27 weeks on the list,,,BILL O'REILLY'S LEGENDS AND LIES;by David Fisher;4 weeks on the list,MISSOULA;by Jon Krakauer;2 weeks on the list,WILD;by Cheryl Strayed;110 weeks on the list,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;10 weeks on the list,TOX-SICK;by Suzanne Somers;2 weeks on the list,THE SCULPTOR;by Scott McCloud;13 weeks on the list,BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;43 weeks on the list,"BIG HERO 6, VOL. 1;by Haruki Ueno;6 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;190 weeks on the list,HARRY POTTER;by J.K. Rowling;322 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,ELEPHANT COMPANY;by Vicki Constantine Croke;,WORK RULES!;by Laszlo Bock;,GOING OFF SCRIPT;by Giuliana Rancic;,WAITING TO BE HEARD;by Amanda Knox;,JOHN LENNON;by Philip Norman;,OUR KIDS;by Robert D. Putnam;,,WHAT STANDS IN A STORM;by Kim Cross;,DESIGN MOM;by Gabrielle Stanley Blair;,TRISHA'S TABLE;by Trisha Yearwood with Beth Yearwood Bernard;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",THE EMPEROR OF ALL MALADIES;by Siddhartha Mukherjee;,NOT THAT KIND OF GIRL;by Lena Dunham;,,SO YOU'VE BEEN PUBLICLY SHAMED;by Jon Ronson;,UNFORGETTABLE;by Scott Simon;,KILLING PATTON;by Bill O'Reilly and Martin Dugard;,JUST MERCY;by Bryan Stevenson;,SEARCHING FOR SUNDAY;by Rachel Held Evans;,QUIET;by Susan Cain;,EVERY DAY I FIGHT;by Stuart Scott with Larry Platt;,WATER TO THE ANGELS;by Les Standiford;
7,YOUR NEXT BREATH;by Iris Johansen;New this week,THE LIAR;by Nora Roberts;3 weeks on the list,WHAT ALICE FORGOT;by Liane Moriarty;4 weeks on the list,,,MISSOULA;by Jon Krakauer;2 weeks on the list,THE RESIDENCE;by Kate Andersen Brower;4 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;66 weeks on the list,THE ROAD TO CHARACTER;by David Brooks;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;84 weeks on the list,"INJUSTICE: GODS AMONG US YEAR 2, VOL. 2;by Tom Taylor, Bruno Redondo and others;2 weeks on the list","SAGA, VOL. 4;by Brian K. Vaughan and Fiona Staples;14 weeks on the list","DEATH NOTE, VOL. 1;by Tsugumi Ohba and Takeshi Obata;3 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;187 weeks on the list",GIVER QUARTET;by Lois Lowry;79 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,A WOLF CALLED ROMEO;by Nick Jans;,THINK LIKE A FREAK;by Steven D. Levitt and Stephen J. Dubner;,BORN WITH TEETH;by Kate Mulgrew;,AMERICAN LIGHTNING;by Howard Blum;,THE LADY IN GOLD;by Anne-Marie O'Connor;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,,ISAAC'S STORM;by Erik Larson;,INDIA HICKS: ISLAND STYLE;India Hicks;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,PLAYER'S HANDBOOK;by Wizards RPG Team;,THE BEAUTY DETOX POWER;by Kimberly Snyder;,EXPLORING CALVIN AND HOBBES;by Bill Watterson and Robb Jenny;,,SPINSTER;by Kate Bolick;,FINDING PETER;by William Peter Blatty;,CAPITAL DAMES;by Cokie Roberts;,CITIZEN;by Claudia Rankine;,THE POWER OF NOW;by Eckhart Tolle;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BILLY MARTIN;by Bill Pennington;,PHENOMENAL;by Leigh Ann Henion;
8,THE NIGHTINGALE;by Kristin Hannah;13 weeks on the list,AT THE WATER'S EDGE;by Sara Gruen;5 weeks on the list,EUPHORIA;by Lily King;4 weeks on the list,,,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;7 weeks on the list,BEING MORTAL;by Atul Gawande;30 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;95 weeks on the list,JOHN;by Cynthia Lennon;New this week,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;9 weeks on the list",NATHAN HALE’S HAZARDOUS TALES: THE UNDERGROUND ABDUCTOR;by Nathan Hale;2 weeks on the list,ROLLER GIRL;by Victoria Jamieson;4 weeks on the list,"ATTACK ON TITAN, VOL. 15;by Hajime Isayama;7 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,THE ADVENTURES OF BEEKLE;by Dan Santat;10 weeks on the list,THE SELECTION;by Kiera Cass;37 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,BIOPHILIA;by Christopher Marley;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",I HATE MYSELFIE;by Shane Dawson;,DAYS OF RAGE;by Bryan Burrough;,MEET YOU IN HELL;by Les Standiford;,"ROADMAP;by Nathan Gebhard, Brian McAllister and Mike Marriner;",,IN THE HEART OF THE SEA;by Nathaniel Philbrick;,THE INN AT LITTLE WASHINGTON;by Patrick O'Connell and Gordon Beall;,THE 20/20 DIET;by Phil McGraw;,MONSTER MANUAL;by Wizards RPG Team;,GODDESSES NEVER AGE;by Christiane Northrup;,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,,I SUCK AT RELATIONSHIPS SO YOU DON'T HAVE TO;by Bethenny Frankel with Eve Adamson;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,IN DEFENSE OF A LIBERAL EDUCATION;by Fareed Zakaria;,TWELVE YEARS A SLAVE;by Solomon Northup;,DO THE KIND THING;by Daniel Lubetzky;,THE GIFT OF FEAR;by Gavin De Becker;,MEB FOR MORTALS;by Meb Keflezighi with Scott Douglas;,AMAZING PLACE;edited by Marianne Gingher;
9,THE STRANGER;by Harlan Coben;6 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;13 weeks on the list,THE CHILDREN ACT;by Ian McEwan;New this week,,,THE RESIDENCE;by Kate Andersen Brower;4 weeks on the list,ON THE MOVE;by Oliver Sacks;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;82 weeks on the list",WONDERFUL TONIGHT;by Pattie Boyd with Penny Junor;New this week,THUG KITCHEN;by the staff of Thug Kitchen;28 weeks on the list,SECONDS;by Bryan Lee O'Malley;41 weeks on the list,"MS. MARVEL, VOL. 2;by G. Willow Wilson, Adrian Alphona and Jacob Wyatt;3 weeks on the list","ASSASSINATION CLASSROOM, VOL. 1;by Yusei Matsui;9 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;47 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;101 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,FOLLOWING ATTICUS;by  Tom Ryan;,OUTLIERS;by Malcolm Gladwell;,SO THAT HAPPENED;by Jon Cryer;,FROM JAILER TO JAILED;by Bernard B. Kerik;,BAD FEMINIST;by Roxane Gay;,TEACH LIKE A CHAMPION 2. 0;by Doug Lemov;,,"DON'T GIVE UP, DON'T GIVE IN;by Louis Zamperini and David Rensin;",MAKE UP;by Michelle Phan;,FRANKLIN BARBECUE;by Aaron Franklin and Jordan Mackay;,HACKS FOR MINECRAFTERS;by Megan Miller;,INSIDE THE DEMENTIA EPIDEMIC;by Martha Stettinius;,ASAPSCIENCE;by Mitchell Moffit;,,NOBODY'S CUTER THAN YOU;by Melanie Shankle;,WILL YOU LOVE ME?;by Cathy Glass;,THE NEW JIM CROW;by Michelle Alexander;,MY GRANDFATHER WOULD HAVE SHOT ME;by Jennifer Teege and Nikola Sellmair;,HERETIC;by Ayaan Hirsi Ali;,A BRIEF HISTORY OF TIME;by Stephen Hawking;,BEN HOGAN'S FIVE LESSONS;by Ben Hogan with Herbert Warren Wind; drawings by Anthony Ravielli;,THE LOST WORLD OF THE OLD ONES;by David Roberts;
10,THE BONE TREE;by Greg Iles;2 weeks on the list,EARLY WARNING;by Jane Smiley;New this week,WOLF HALL;by Hilary Mantel;34 weeks on the list,,,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;63 weeks on the list,PIONEER GIRL;by Laura Ingalls Wilder;5 weeks on the list,THE SIXTH EXTINCTION;by Elizabeth Kolbert;3 weeks on the list,WILD;by Cheryl Strayed;142 weeks on the list,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;32 weeks on the list,"MIRACLEMAN, BOOK 3;by Alan Moore and John Totleben;2 weeks on the list",SUPERMUTANT MAGIC ACADEMY;by Jillian Tamaki;New this week,"AKAME GA KILL!, VOL. 1;by Takahiro and Tetsuya Tashiro;11 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PETE THE CAT'S GROOVY GUIDE TO LIFE;by James Dean and Kimberly Dean. Illustrated by James Dean;4 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;104 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,DO THE KIND THING;by Daniel Lubetzky;,FINDING PETER;by William Peter Blatty;,RED NOTICE;by Bill Browder;,THE FOLDED CLOCK;by Heidi Julavits;,CREATIVE SCHOOLS;by Ken Robinson and Lou Aronica;,,DEEP DOWN DARK;Héctor Tobar;,"HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,MINECRAFT: BLOCKOPEDIA;by Alex Wiltshire;,EAT TO LIVE;by Joel Fuhrman;,UGANDA BE KIDDING ME;by Chelsea Handler;,,THE OPPOSITE OF LONELINESS;by Marina Keegan;,THE GLASS CASTLE;by Jeannette Walls;,HERETIC;by Ayaan Hirsi Ali;,WARRIORS DON'T CRY;by Melba Pattillo Beals;,"AMISH CONFIDENTIAL;by ""Lebanon"" Levi Stoltzfus;",ALAN TURING: THE ENIGMA;by Andrew Hodges;,THE SPORTS GENE;by David Epstein;,COCKPIT CONFIDENTIAL;by Patrick Smith;
