,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,JUDGMENT ROAD;by Christine Feehan;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;4 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;17 weeks on the list,FIRE AND FURY;by Michael Wolff;4 weeks on the list,FIRE AND FURY;by Michael Wolff;4 weeks on the list,HORSE SOLDIERS;by Doug Stanton;7 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;59 weeks on the list,WONDER;by R.J. Palacio;129 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;3 weeks on the list,DOG MAN;by Dav Pilkey;22 weeks on the list,THE HATE U GIVE;by Angie Thomas;48 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
2,THE WOMAN IN THE WINDOW;by A.J. Finn;4 weeks on the list,FALL FROM GRACE;by Danielle Steel;New this week,MILK AND HONEY;by Rupi Kaur;94 weeks on the list,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;New this week,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;New this week,THE DEVIL IN THE WHITE CITY;by Erik Larson;350 weeks on the list,YOU ARE A BADASS;by Jen Sincero;107 weeks on the list,LITTLE LEADERS;by Vashti Harrison;7 weeks on the list,LOVE;by Matt de la Peña. Illustrated by Loren Long;3 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;463 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;16 weeks on the list,PRINCIPLES;by Ray Dalio;,LEONARDO DA VINCI;by Walter Isaacson;,TB12 METHOD;by Tom Brady;
3,FALL FROM GRACE;by Danielle Steel;New this week,ORIGIN;by Dan Brown;17 weeks on the list,READY PLAYER ONE;by Ernest Cline;43 weeks on the list,HORSE SOLDIERS;by Doug Stanton;5 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;39 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;163 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;227 weeks on the list,AUGGIE & ME;by R.J. Palacio;61 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;205 weeks on the list,HARRY POTTER;by J.K. Rowling;462 weeks on the list,THUNDERHEAD;by Neal Shusterman;3 weeks on the list,WHEN;by Daniel H. Pink;,WHEN;by Daniel H. Pink;,SHOE DOG;by Phil Knight;
4,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;3 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;19 weeks on the list,WE WERE THE LUCKY ONES;by Georgia Hunter;4 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;38 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;15 weeks on the list,BEING MORTAL;by Atul Gawande;21 weeks on the list,THE WHOLE30 FAST & EASY;by Melissa Hartwig;5 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;31 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;15 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;103 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;31 weeks on the list,CAPITAL GAINES;by Chip Gaines;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
5,LITTLE FIRES EVERYWHERE;by Celeste Ng;14 weeks on the list,THE ROOSTER BAR;by John Grisham;14 weeks on the list,CALL ME BY YOUR NAME;by André Aciman;4 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;15 weeks on the list,IT'S EVEN WORSE THAN YOU THINK;by David Cay Johnston;2 weeks on the list,EVICTED;by Matthew Desmond;20 weeks on the list,PRINCIPLES;by Ray Dalio;17 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;17 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;35 weeks on the list,DORK DIARIES;by Rachel Renée Russell;236 weeks on the list,LONG WAY DOWN;by Jason Reynolds;6 weeks on the list,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,SAPIENS;by Yuval Noah Harari;,ALI: A LIFE;by Jonathan Eig;
6,ORIGIN;by Dan Brown;17 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;19 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;47 weeks on the list,THE LAST BLACK UNICORN;by Tiffany Haddish;8 weeks on the list,THE LAST BLACK UNICORN;by Tiffany Haddish;7 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;409 weeks on the list,RISE AND GRIND;by Daymond John with Daniel Paisner;New this week,WOMEN IN SCIENCE;by Rachel Ignotofsky;55 weeks on the list,HERE WE ARE;by Oliver Jeffers;11 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;36 weeks on the list,BATMAN: NIGHTWALKER;by Marie Lu;4 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,UNBROKEN;by Laura Hillenbrand;
7,BEFORE WE WERE YOURS;by Lisa Wingate;18 weeks on the list,THE IMMORTALISTS;by Chloe Benjamin;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;49 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;73 weeks on the list,GRANT;by Ron Chernow;16 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;101 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;107 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;26 weeks on the list,PETE THE CAT: VALENTINE'S DAY IS COOL;by James Dean and Kimberly Dean;4 weeks on the list,THE MAZE RUNNER;by James Dashner;194 weeks on the list,THE CRUEL PRINCE;by Holly Black;4 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEING MORTAL;by Atul Gawande;,FIERCE;by Aly Raisman;
8,READY PLAYER ONE;by Ernest Cline;10 weeks on the list,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;3 weeks on the list,PACHINKO;by Min Jin Lee;5 weeks on the list,IT'S EVEN WORSE THAN YOU THINK;by David Cay Johnston;2 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;74 weeks on the list,JUST MERCY;by Bryan Stevenson;88 weeks on the list,BRAVING THE WILDERNESS;by Brené Brown;12 weeks on the list,THE DARK PROPHECY;by Rick Riordan;36 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;118 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;27 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;19 weeks on the list,THE POWER OF MOMENTS;by Chip Heath and Dan Heath;,END OF ALZHEIMER'S;by Dale Bredesen;,THE BOYS IN THE BOAT;by Daniel James Brown;
9,ABOUT THAT KISS;by Jill Shalvis;New this week,CITY OF ENDLESS NIGHT;by Douglas Preston and Lincoln Child;2 weeks on the list,THE WOMEN IN THE CASTLE;by Jessica Shattuck;4 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;33 weeks on the list,HOW DEMOCRACIES DIE;by Steven Levitsky and Daniel Ziblatt;2 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;156 weeks on the list",MAKE YOUR BED;by William H. McRaven;37 weeks on the list,THE MAGIC MISFITS;by Neil Patrick Harris;10 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;227 weeks on the list,THE BAD GUYS;by Aaron Blabey;5 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;67 weeks on the list,RISE AND GRIND;by Daymond John with Daniel Paisner;,THE POWER OF HABIT;by Charles Duhigg;,BARBARIAN DAYS;by William Finnegan;
10,THE ROOSTER BAR;by John Grisham;14 weeks on the list,NEED TO KNOW;by Karen Cleveland;New this week,DARKER;by E.L. James;9 weeks on the list,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;2 weeks on the list,WHEN;by Daniel H. Pink;3 weeks on the list,OUTLIERS;by Malcolm Gladwell;244 weeks on the list,THE WISDOM OF SUNDAYS;by Oprah Winfrey;15 weeks on the list,JACKY HA-HA: MY LIFE IS A JOKE;by James Patterson and Chris Grabenstein;5 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;125 weeks on the list",WHAT WAS . . . ?;by various authors;5 weeks on the list,BEFORE I LET GO;by Marieke Nijkamp;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BECOMING KAREEM;by Kareem Abdul-Jabbar and Raymond Obstfeld;
