,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,INFERNO;by Dan Brown;2 weeks on the list,INFERNO;by Dan Brown;2 weeks on the list,WORLD WAR Z;by Max Brooks;48 weeks on the list,,,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;New this week,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;New this week,PROOF OF HEAVEN;by Eben Alexander;31 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;31 weeks on the list,THE 100;by Jorge Cruise;New this week,"AQUAMAN, VOL. 2;by Geoff Johns and Ivan Reis;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;93 weeks on the list","SAILOR MOON, VOL. 11;by Naoko Takeuchi;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,A BIG GUY TOOK MY BALL!;by Mo Willems;New this week,THE HUNGER GAMES;by Suzanne Collins;144 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE GUNS AT LAST LIGHT;by Rick Atkinson;,QUIET;by Susan Cain;
2,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;New this week,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;New this week,BEAUTIFUL RUINS;by Jess Walter;8 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;3 weeks on the list","HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;3 weeks on the list",CONTROL;by Glenn Beck and others;4 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;New this week,LIFE CODE;by Phil McGraw;7 weeks on the list,"THE AUTHORITY, VOL. 1;by Warren Ellis and Bryan Hitch;New this week","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;24 weeks on the list","NARUTO, VOL. 61;by Masashi Kishimoto;3 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;86 weeks on the list",THEODORE BOONE;by John Grisham;9 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,"BAREFOOT SPIRIT;by Michael Houlihan and Bonnie Harvey, with Rick Kushman;",BUNKER HILL;by Nathaniel Philbrick;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
3,THE HIT;by David Baldacci;5 weeks on the list,DEAD EVER AFTER;by Charlaine Harris;3 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;63 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;11 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;11 weeks on the list,WILD;by Cheryl Strayed;9 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;5 weeks on the list,THE 12 WEEK YEAR;by Brian P. Moran and Michael Lennington;New this week,"ACTION COMICS, VOL. 2;by Grant Morrison and Rags Morales;3 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;33 weeks on the list","SUNNY, VOL. 1;by Taiyo Matsumoto;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;6 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;89 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,OUTLIERS;by Malcolm Gladwell;,MY GREEK DRAMA;by Gianna Angelopoulos;,BRAIN ON FIRE;by Susannah Cahalan;
4,12TH OF NEVER;by James Patterson and Maxine Paetro;4 weeks on the list,12TH OF NEVER;by James Patterson and Maxine Paetro;4 weeks on the list,ZOO;by James Patterson and Michael Ledwidge;2 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;31 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;5 weeks on the list,QUIET;by Susan Cain;17 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;3 weeks on the list",SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;4 weeks on the list,"THE GIRL WITH THE DRAGON TATTOO, BOOK 2;by Denise Mina and Leonardo Manco;2 weeks on the list",DRAMA;by Raina Telgemeier;32 weeks on the list,"NEGIMA MAGISTER NEGI MAGI, VOL. 38;by Ken Akamatsu;5 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THAT IS NOT A GOOD IDEA!;by Mo Willems;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;228 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,THE MILLIONAIRE DROPOUT;by Vince Stanzione;,KEEP IT PITHY;by Bill O'Reilly;,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;
5,DON'T SAY A WORD;by Barbara Freethy;4 weeks on the list,THE HIT;by David Baldacci;5 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;8 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;5 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;17 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;11 weeks on the list,WHEAT BELLY;by William Davis;7 weeks on the list,"SCOTT PILGRIM COLOR, VOL. 3;by Bryan Lee O'Malley;2 weeks on the list",SMILE;by Raina Telgemeier;60 weeks on the list,"BLACK BIRD, VOL. 16;by Kanoko Sakurakoji;3 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;31 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;23 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,REALITY-BASED RULES OF THE WORKPLACE;by Cy Wakeman;,DRIVE;by Daniel H. Pink;,UNBROKEN;by Laura Hillenbrand;,GULP;by Mary Roach;
6,SILKEN PREY;by John Sandford;3 weeks on the list,SILKEN PREY;by John Sandford;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;254 weeks on the list,,,THE GUNS AT LAST LIGHT;by Rick Atkinson;2 weeks on the list,MY GREEK DRAMA;by Gianna Angelopoulos;2 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;8 weeks on the list",_____ MY DAD SAYS;by Justin Halpern;25 weeks on the list,"BAREFOOT SPIRIT;by Michael Houlihan and Bonnie Harvey, with Rick Kushman;New this week","BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;9 weeks on the list","MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;34 weeks on the list","ALICE IN THE COUNTRY OF JOKER: CIRCUS AND LIAR'S GAME, VOL. 2;by QuinRose;New this week",WONDER;by R.J. Palacio;295 weeks on the list,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;9 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;83 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,UNSTOPPABLES;by Bill Schley;,TIPPING POINT;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,WHOLE;by T. Colin Campbell with Howard Jacobson;
7,DEAD EVER AFTER;by Charlaine Harris;3 weeks on the list,A CHAIN OF THUNDER;by Jeff Shaara;New this week,FIFTY SHADES DARKER;by E. L. James;60 weeks on the list,,,MY GREEK DRAMA;by Gianna Angelopoulos;New this week,KEEP IT PITHY;by Bill O'Reilly;3 weeks on the list,BOSSYPANTS;by Tina Fey;73 weeks on the list,BOSSYPANTS;by Tina Fey;96 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;7 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;28 weeks on the list,"AMULET: PRINCE OF THE ELVES, VOL. 5;by Kazu Kibuishi;18 weeks on the list","BLACK BUTLER, VOL. 13;by Yana Toboso;5 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,FANCY NANCY: FANCIEST DOLL IN THE UNIVERSE;by Jane O'Connor. Illustrated by Robin Preiss Glasser;5 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;290 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;,THE CHECKLIST MANIFESTO;by Atul Gawande;,MY BELOVED WORLD;by Sonia Sotomayor;,THE HAPPINESS PROJECT;by Gretchen Rubin;
8,WHISKEY BEACH;by Nora Roberts;6 weeks on the list,GONE GIRL;by Gillian Flynn;51 weeks on the list,FIFTY SHADES FREED;by E. L. James;60 weeks on the list,,,CONTROL;by Glenn Beck and others;4 weeks on the list,COOKED;by Michael Pollan;5 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;15 weeks on the list,THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;3 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;7 weeks on the list,"TWILIGHT: NEW MOON, VOL. 1;by Stephenie Meyer and Young Kim;4 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;34 weeks on the list","DOUBT, VOL. 1;by Yoshiki Tonogai;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PRESS HERE;by Hervé Tullet;93 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;32 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,START;by Jon Acuff;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
9,BINDING AGREEMENT;by Kyra Davis;New this week,A DELICATE TRUTH;by John le Carre;3 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;8 weeks on the list",,,BOSSYPANTS;by Tina Fey;52 weeks on the list,THE OUTSIDER;by Jimmy Connors;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;103 weeks on the list,SHOCKING TRUE STORY;by Gregg Olsen;New this week,EAT TO LIVE;by Joel Fuhrman;3 weeks on the list,IN THE KITCHEN WITH ALAIN PASSARD;by Christophe Blain;New this week,GET JIRO!;by Anthony Bourdain and Joel Rose;2 weeks on the list,"ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 2;by QuinRose and Delico Psyche;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;59 weeks on the list,THE MAZE RUNNER;by James Dashner;47 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,RUMSFELD'S RULES;by Donald Rumsfeld;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,DIRTY WARS;by Jeremy Scahill;,THE POWER OF HABIT;by Charles Duhigg;
10,ENDER'S GAME;by Orson Scott Card;3 weeks on the list,THE FALL OF ARTHUR;by J. R. R. Tolkien. Edited by Christopher Tolkien;New this week,LIFE OF PI;by Yann Martel;34 weeks on the list,,,WILD;by Cheryl Strayed;48 weeks on the list,BUNKER HILL;by Nathaniel Philbrick;4 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;36 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;47 weeks on the list,DARING GREATLY;by Brené Brown;7 weeks on the list,RAVEN GIRL;by Audrey Niffenegger;2 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;150 weeks on the list","BLOOD LAD, VOL. 2;by Yuuki Kodama;5 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,LET'S GO FOR A DRIVE!;by Mo Willems;10 weeks on the list,THE SORCERER'S RING;by Morgan Rice;New this week,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GIVE AND TAKE;by Adam Grant;,HOW TO RETIRE HAPPY;by Stan Hinden;,FROZEN IN TIME;by Mitchell Zuckoff;,THE AUTISTIC BRAIN;by Temple Grandin and Richard Panek;
