,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,WHERE THE CRAWDADS SING;by Delia Owens;31 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;32 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;6 weeks on the list,LIFE WILL BE THE DEATH OF ME;by Chelsea Handler;New this week,LIFE WILL BE THE DEATH OF ME;by Chelsea Handler;New this week,BORN A CRIME;by Trevor Noah;9 weeks on the list,THE PATH MADE CLEAR;by Oprah Winfrey;3 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;New this week,WE ARE THE GARDENERS;by Joanna Gaines and Kids. Illustrated by Julianna Swaney;3 weeks on the list,DOG MAN;by Dav Pilkey;85 weeks on the list,THE RED SCROLLS OF MAGIC;by Cassandra Clare and Wesley Chu;New this week,WHERE THE CRAWDADS SING;by Delia Owens;,BECOMING;by Michelle Obama;,BAD BLOOD;by John Carreyrou;,THE UNINHABITABLE EARTH;by David Wallace-Wells;,SHOE DOG;by Phil Knight;
2,SOMEONE KNOWS;by Lisa Scottoline;New this week,SOMEONE KNOWS;by Lisa Scottoline;New this week,A GENTLEMAN IN MOSCOW;by Amor Towles;3 weeks on the list,BECOMING;by Michelle Obama;22 weeks on the list,BECOMING;by Michelle Obama;22 weeks on the list,SAPIENS;by Yuval Noah Harari;48 weeks on the list,"GIRL, STOP APOLOGIZING;by Rachel Hollis;6 weeks on the list",KATT VS. DOGG;by James Patterson and Chris Grabenstein. Illustrated by Anuki Lopez;2 weeks on the list,PETE THE CAT: BIG EASTER ADVENTURE;by James Dean and Kimberly Dean;15 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;526 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;19 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,EDUCATED;by Tara Westover;,DARE TO LEAD;by Brené Brown;,SAPIENS;by Yuval Noah Harari;,FLY GIRLS;by Keith O'Brien;
3,LOST ROSES;by Martha Hall Kelly;New this week,LOST ROSES;by Martha Hall Kelly;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;32 weeks on the list,EDUCATED;by Tara Westover;60 weeks on the list,EDUCATED;by Tara Westover;60 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;40 weeks on the list,WOLFPACK;by Abby Wambach;New this week,WARRIORS: THE BROKEN CODE: LOST STARS;by Erin Hunter;New this week,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;180 weeks on the list,HARRY POTTER;by J.K. Rowling;525 weeks on the list,THE HATE U GIVE;by Angie Thomas;111 weeks on the list,DAISY JONES & THE SIX;by Taylor Jenkins Reid;,THE RIGHT SIDE OF HISTORY;by Ben Shapiro;,ATOMIC HABITS;by James Clear;,MAMA'S LAST HUG;by Frans de Waal;,THE IMPOSSIBLE CLIMB;by Mark Synnott;
4,THE TALE TELLER;by Anne Hillerman;New this week,THE CORNWALLS ARE GONE;by James Patterson and Brendan DuBois;3 weeks on the list,SUPERMARKET;by Bobby Hall;3 weeks on the list,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;2 weeks on the list,THE MATRIARCH;by Susan Page;2 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;25 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;53 weeks on the list",RUMPLE BUTTERCUP;by Matthew Gray Gubler;2 weeks on the list,THE GOOD EGG;by Jory John. Illustrated by Pete Oswald;9 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;166 weeks on the list,THE FALL OF CRAZY HOUSE;by James Patterson and Gabrielle Charbonnet;New this week,CEMETERY ROAD;by Greg Iles;,BAD BLOOD;by John Carreyrou;,THE POWER OF HABIT;by Charles Duhigg;,THE POWER OF HABIT;by Charles Duhigg;,INSIDE THE EMPIRE;by Bob Klapisch and Paul Solotaroff;
5,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;31 weeks on the list,TWO WEEKS;by Karen Kingsbury;New this week,THE LOST GIRLS OF PARIS;by Pam Jenoff;11 weeks on the list,THE MATRIARCH;by Susan Page;2 weeks on the list,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;2 weeks on the list,GRIT;by Angela Duckworth;33 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;122 weeks on the list,A BEAUTIFUL DAY IN THE NEIGHBORHOOD;by Fred Rogers. Illustrated by Luke Flowers;4 weeks on the list,DON'T LET THEM DISAPPEAR;by Chelsea Clinton. Illustrated by Gianna Marino;2 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;146 weeks on the list,ON THE COME UP;by Angie Thomas;10 weeks on the list,TIAMAT'S WRATH;by James S.A. Corey;,BORN A CRIME;by Trevor Noah;,YOU ARE A BADASS AT MAKING MONEY;by Jen Sincero;,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
6,THE WOMAN IN THE WINDOW;by A.J. Finn;22 weeks on the list,RUN AWAY;by Harlan Coben;4 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;45 weeks on the list,BAD BLOOD;by John Carreyrou;36 weeks on the list,WORKING;by Robert A. Caro;New this week,LEAD FROM THE OUTSIDE;by Stacey Abrams;3 weeks on the list,CLEAN & LEAN;by Ian K. Smith;New this week,WONDER;by R.J. Palacio;192 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;267 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;72 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;27 weeks on the list",RENEGADES;by Craig Alanson;,SAPIENS;by Yuval Noah Harari;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,26 MARATHONS;by Meb Keflezighi with Scott Douglas;
7,A GENTLEMAN IN MOSCOW;by Amor Towles;2 weeks on the list,THE TALE TELLER;by Anne Hillerman;New this week,THE FIRST LADY;by James Patterson and Brendan DuBois;5 weeks on the list,THE RIGHT SIDE OF HISTORY;by Ben Shapiro;4 weeks on the list,THE RIGHT SIDE OF HISTORY;by Ben Shapiro;4 weeks on the list,I'LL BE GONE IN THE DARK;by Michelle McNamara;7 weeks on the list,PRINCIPLES;by Ray Dalio;30 weeks on the list,WILD RESCUERS: ESCAPE TO THE MESA;by Stacy Hinojosa. Illustrated by Vivienne To;New this week,YOU ARE MY HAPPY;by Hoda Kotb. Illustrated by Suzie Mason;6 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;39 weeks on the list,"THE FORK, THE WITCH, AND THE WORM;by Christopher Paolini with Angela Paolini;15 weeks on the list",A GAME OF THRONES;by George R.R. Martin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,GRIT;by Angela Duckworth;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",AFTER THE MIRACLE;by Art Shamsky and Erik Sherman;
8,THE FIRST LADY;by James Patterson and Brendan DuBois;5 weeks on the list,CELTIC EMPIRE;by Clive Cussler and Dirk Cussler;4 weeks on the list,AFTER;by Anna Todd;2 weeks on the list,COMMANDER IN CHEAT;by Rick Reilly;2 weeks on the list,COMMANDER IN CHEAT;by Rick Reilly;2 weeks on the list,THE COST OF THESE DREAMS;by Wright Thompson;2 weeks on the list,YOU ARE A BADASS;by Jen Sincero;167 weeks on the list,THE WIZENARD: TRAINING CAMP;by Wesley King. Created by Kobe Bryant;4 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;155 weeks on the list",DORK DIARIES;by Rachel Renée Russell;285 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;58 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;,DOING JUSTICE;by Preet Bharara;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEING MORTAL;by Atul Gawande;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
9,RUN AWAY;by Harlan Coben;4 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;10 weeks on the list,THE HUNTRESS;by Kate Quinn;7 weeks on the list,LADIES WHO PUNCH;by Ramin Setoodeh;2 weeks on the list,CHARGED;by Emily Bazelon;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;210 weeks on the list",DARE TO LEAD;by Brené Brown;14 weeks on the list,IT'S TREVOR NOAH: BORN A CRIME;by Trevor Noah;New this week,P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;17 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;48 weeks on the list,SHOUT;by Laurie Halse Anderson;5 weeks on the list,GOOD OMENS;by Neil Gaiman and Terry Pratchett;,THE CASE FOR TRUMP;by Victor Davis Hanson;,BEST SELF;by Mike Bayer;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,LIFERIDER;by Laird Hamilton with Julian Borra;
10,AFTER;by Anna Todd;New this week,METROPOLIS;by Philip Kerr;New this week,SOMETHING IN THE WATER;by Catherine Steadman;New this week,WORKING;by Robert A. Caro;New this week,SAVE ME THE PLUMS;by Ruth Reichl;New this week,THE FUTURE OF HUMANITY;by Michio Kaku;New this week,EAT TO BEAT DISEASE;by William W. Li;New this week,DOG DIARIES;by James Patterson with Steven Butler. Illustrated by Richard Watson;18 weeks on the list,A PIGLET NAMED MERCY;by Kate DiCamillo. Illustrated by Chris Van Dusen;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;500 weeks on the list,WICKED SAINTS;by Emily A. Duncan;2 weeks on the list,RUN AWAY;by Harlan Coben;,THE POWER OF HABIT;by Charles Duhigg;,SHOE DOG;by Phil Knight;,WHY WE SLEEP;by Matthew Walker;,THE MAMBA MENTALITY;by Kobe Bryant;
