,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,THE GREAT ALONE;by Kristin Hannah;3 weeks on the list,THE GREAT ALONE;by Kristin Hannah;3 weeks on the list,READY PLAYER ONE;by Ernest Cline;47 weeks on the list,EDUCATED;by Tara Westover;New this week,FIRE AND FURY;by Michael Wolff;8 weeks on the list,HORSE SOLDIERS;by Doug Stanton;11 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;63 weeks on the list,WONDER;by R.J. Palacio;133 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;209 weeks on the list,DOG MAN;by Dav Pilkey;26 weeks on the list,THE HATE U GIVE;by Angie Thomas;52 weeks on the list,READY PLAYER ONE;by Ernest Cline;,FIRE AND FURY;by Michael Wolff;,CRUSHING IT!;by Gary Vaynerchuk;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
2,FIFTY FIFTY;by James Patterson and Candice Fox;New this week,FIFTY FIFTY;by James Patterson and Candice Fox;New this week,MILK AND HONEY;by Rupi Kaur;98 weeks on the list,FIRE AND FURY;by Michael Wolff;8 weeks on the list,OBAMA;by Pete Souza;11 weeks on the list,BEING MORTAL;by Atul Gawande;25 weeks on the list,YOU ARE A BADASS;by Jen Sincero;111 weeks on the list,AUGGIE & ME;by R.J. Palacio;65 weeks on the list,LOVE;by Matt de la Peña. Illustrated by Loren Long;7 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;467 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;20 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,PRINCIPLES;by Ray Dalio;,ENLIGHTENMENT NOW;by Steven Pinker;,TB12 METHOD;by Tom Brady;
3,RED SPARROW;by Jason Matthews;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;8 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;21 weeks on the list,OBAMA;by Pete Souza;11 weeks on the list,EDUCATED;by Tara Westover;New this week,EVICTED;by Matthew Desmond;24 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;231 weeks on the list,"HELLO, UNIVERSE;by Erin Entrada Kelly;2 weeks on the list",HIDDEN FIGURES;by Margot Lee Shetterly. Illustrated by Laura Freeman;4 weeks on the list,HARRY POTTER;by J.K. Rowling;466 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;35 weeks on the list,THE GREAT ALONE;by Kristin Hannah;,THE LAST BLACK UNICORN;by Tiffany Haddish;,WHEN;by Daniel H. Pink;,LEONARDO DA VINCI;by Walter Isaacson;,ENDURE;by Alex Hutchinson;
4,THE WOMAN IN THE WINDOW;by A.J. Finn;8 weeks on the list,AN AMERICAN MARRIAGE;by Tayari Jones;3 weeks on the list,SMALL GREAT THINGS;by Jodi Picoult;New this week,ENLIGHTENMENT NOW;by Steven Pinker;2 weeks on the list,ENLIGHTENMENT NOW;by Steven Pinker;2 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;105 weeks on the list,PRINCIPLES;by Ray Dalio;21 weeks on the list,LITTLE LEADERS;by Vashti Harrison;11 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;229 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;107 weeks on the list,LONG WAY DOWN;by Jason Reynolds;9 weeks on the list,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;,THE POWER OF HABIT;by Charles Duhigg;,RISE AND GRIND;by Daymond John with Daniel Paisner;,WHEN;by Daniel H. Pink;,SHAKEN;by Tim Tebow;
5,AN AMERICAN MARRIAGE;by Tayari Jones;3 weeks on the list,STILL ME;by Jojo Moyes;4 weeks on the list,LINCOLN IN THE BARDO;by George Saunders;3 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;42 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;43 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;413 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;111 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;35 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;38 weeks on the list,DORK DIARIES;by Rachel Renée Russell;240 weeks on the list,THUNDERHEAD;by Neal Shusterman;7 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;,BORN A CRIME;by Trevor Noah;,CAPITAL GAINES;by Chip Gaines;,LOST CONNECTIONS;by Johann Hari;,THE BOYS IN THE BOAT;by Daniel James Brown;
6,READY PLAYER ONE;by Ernest Cline;14 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;23 weeks on the list,WE WERE THE LUCKY ONES;by Georgia Hunter;8 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;37 weeks on the list,EVERYTHING HAPPENS FOR A REASON;by Kate Bowler;3 weeks on the list,JUST MERCY;by Bryan Stevenson;92 weeks on the list,CRUSHING IT!;by Gary Vaynerchuk;4 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;30 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;122 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;40 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;69 weeks on the list,ZERO HOUR;by Craig Alanson;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE CULTURE CODE;by Daniel Coyle;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
7,AGENT IN PLACE;by Mark Greaney;New this week,LOOK FOR ME;by Lisa Gardner;3 weeks on the list,CALL ME BY YOUR NAME;by André Aciman;8 weeks on the list,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;5 weeks on the list,THE FUTURE OF HUMANITY;by Michio Kaku;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;160 weeks on the list",THE WHOLE30 FAST & EASY;by Melissa Hartwig;9 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;59 weeks on the list,HOW TO CATCH A LEPRECHAUN;by Adam Wallace. Illustrated by Andy Elkerton;6 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;29 weeks on the list,BATMAN: NIGHTWALKER;by Marie Lu;8 weeks on the list,ARTEMIS;by Andy Weir;,ENLIGHTENMENT NOW;by Steven Pinker;,TRIBE OF MENTORS;by Timothy Ferriss;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
8,STILL ME;by Jojo Moyes;4 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;23 weeks on the list,BEARTOWN;by Fredrik Backman;3 weeks on the list,EVERYTHING HAPPENS FOR A REASON;by Kate Bowler;3 weeks on the list,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;5 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;167 weeks on the list,MAKE YOUR BED;by William H. McRaven;41 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;21 weeks on the list,THE WORD COLLECTOR;by Peter H. Reynolds;3 weeks on the list,THE BAD GUYS;by Aaron Blabey;8 weeks on the list,THE HAZEL WOOD;by Melissa Albert;4 weeks on the list,THE DISPATCHER;by John Scalzi;,SAPIENS;by Yuval Noah Harari;,THE POWER OF HABIT;by Charles Duhigg;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,FIERCE;by Aly Raisman;
9,LITTLE FIRES EVERYWHERE;by Celeste Ng;18 weeks on the list,ORIGIN;by Dan Brown;21 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;53 weeks on the list,THE FUTURE OF HUMANITY;by Michio Kaku;New this week,THE LAST BLACK UNICORN;by Tiffany Haddish;11 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;94 weeks on the list,BRAVING THE WILDERNESS;by Brené Brown;14 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;41 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;127 weeks on the list",WHAT WAS . . . ?;by various authors;8 weeks on the list,BEFORE I LET GO;by Marieke Nijkamp;4 weeks on the list,DARK IN DEATH;by J.D. Robb;,LEONARDO DA VINCI;by Walter Isaacson;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE POWER OF HABIT;by Charles Duhigg;,BARBARIAN DAYS;by William Finnegan;
10,LOOK FOR ME;by Lisa Gardner;3 weeks on the list,AGENT IN PLACE;by Mark Greaney;New this week,THE UNDERGROUND RAILROAD;by Colson Whitehead;4 weeks on the list,HORSE SOLDIERS;by Doug Stanton;9 weeks on the list,WHEN;by Daniel H. Pink;7 weeks on the list,THE STRANGER IN THE WOODS;by Michael Finkel;New this week,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;145 weeks on the list,THE DARK PROPHECY;by Rick Riordan;38 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;7 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;5 weeks on the list,THE CRUEL PRINCE;by Holly Black;8 weeks on the list,ORIGIN;by Dan Brown;,THEFT BY FINDING;by David Sedaris;,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BECOMING KAREEM;by Kareem Abdul-Jabbar and Raymond Obstfeld;
