,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,THE HELP;by Kathryn Stockett;21 weeks on the list,NOW YOU SEE HER;by James Patterson and Michael Ledwidge;2 weeks on the list,THE HELP;by Kathryn Stockett;14 weeks on the list,,,THE HELP;by Kathryn Stockett;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;24 weeks on the list,UNBROKEN;by Laura Hillenbrand;34 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;34 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;24 weeks on the list,THE 17 DAY DIET;by Mike Moreno;17 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;519 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,PAYING FOR IT;by Chester Brown;3 weeks on the list,"THE WALKING DEAD, VOL. 14;by Robert Kirkman and Charlie Adlard;3 weeks on the list","BLACK BIRD, VOL. 9;by Kanoko Sakurakoji;New this week","MIDDLE SCHOOL, THE WORST YEARS OF MY LIFE;by James Patterson and Chris Tebbetts;2 weeks on the list",THIRTEEN REASONS WHY;by Jay Asher;4 weeks on the list,LEGO HARRY POTTER;by the DK staff;8 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;46 weeks on the list,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;,OUTLIERS;by Malcolm Gladwell;,IN THE GARDEN OF BEASTS;by Erik Larson;
2,NOW YOU SEE HER;by James Patterson and Michael Ledwidge;2 weeks on the list,SMOKIN’ SEVENTEEN;by Janet Evanovich;3 weeks on the list,ROOM;by Emma Donoghue;10 weeks on the list,,,NOW YOU SEE HER;by James Patterson and Michael Ledwidge;,IN THE GARDEN OF BEASTS;by Erik Larson;9 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;9 weeks on the list,THE ORIGINAL ARGUMENT;by Glenn Beck with Joshua Charles;4 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;9 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;6 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;206 weeks on the list,UNBROKEN;by Laura Hillenbrand;,GREEN LANTERN: SECRET ORIGIN;by Geoff Johns and Ivan Reis;5 weeks on the list,RED ROBIN: THE HIT LIST;by Fabian Nicieza and Marcus To;New this week,"THE WARRIORS: SKYCLAN AND THE STRANGER, VOL. 1;by Erin Hunter and James Barry;New this week",THE THRONE OF FIRE;by Rick Riordan;10 weeks on the list,THE BOOK THIEF;by Markus Zusak;200 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;26 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;47 weeks on the list,KNOWING YOUR VALUE;by Mika Brzezinski;,DRIVE;by Daniel H. Pink;,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;
3,SMOKIN’ SEVENTEEN;by Janet Evanovich;3 weeks on the list,THE SILENT GIRL;by Tess Gerritsen;New this week,WATER FOR ELEPHANTS;by Sara Gruen;128 weeks on the list,,,SMOKIN’ SEVENTEEN;by Janet Evanovich;,UNBROKEN;by Laura Hillenbrand;24 weeks on the list,THE GREATER JOURNEY;by David McCullough;7 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;18 weeks on the list,BOSSYPANTS;by Tina Fey;14 weeks on the list,THE DUKAN DIET;by Pierre Dukan;12 weeks on the list,ERASING HELL;by Francis Chan and Preston Sprinkle;New this week,IN THE GARDEN OF BEASTS;by Erik Larson;,X-MEN: AGE OF X;by Mike Carey and Clay Mann;New this week,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;70 weeks on the list,"DANCE IN THE VAMPIRE BUND, VOL. 10;by Nozomu Tamaki;New this week",SUPER DIAPER BABY 2;written and illustrated by Dav Pilkey;2 weeks on the list,MR. POPPER'S PENGUINS;by Richard Atwater and Florence Atwater;6 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;22 weeks on the list,HARRY POTTER;by J.K. Rowling;260 weeks on the list,CAR GUYS VS. BEAN COUNTERS;by Bob Lutz;,TOO BIG TO FAIL;by Andrew Ross Sorkin;,UNBROKEN;by Laura Hillenbrand;
4,THE SILENT GIRL;by Tess Gerritsen;New this week,AGAINST ALL ENEMIES;by Tom Clancy with Peter Telep;4 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;76 weeks on the list,,,A GAME OF THRONES;by George R.R. Martin;,BOSSYPANTS;by Tina Fey;14 weeks on the list,BOSSYPANTS;by Tina Fey;14 weeks on the list,OUTLIERS;by Malcolm Gladwell;5 weeks on the list,UNBROKEN;by Laura Hillenbrand;24 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;30 weeks on the list,CRAZY LOVE;by Francis Chan with Danae Yankoski;38 weeks on the list,THE GREATER JOURNEY;by David McCullough;,DARK TOWER: THE GUNSLINGER - THE LITTLE SISTER OF ELURIA;by Robin Furth and Richard Isanove;3 weeks on the list,"PENNY ARCADE, VOL. 7;by Jerry Holkins and Mike Krahulik;New this week","ROSARIO + VAMPIRE: SEASON II, VOL. 5;by Akihisa Ikeda;New this week",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;5 weeks on the list,THEODORE BOONE: KID LAWYER;by John Grisham;10 weeks on the list,LEGO STAR WARS;by Simon Beecroft;80 weeks on the list,DORK DIARIES;by Rachel Renée Russell;5 weeks on the list,GET RICH CLICK!;by Marc Ostrofsky;,"TRIBAL LEADERSHIP;by Dave Logan, John King and Halee Fischer-Wright;",DEMONIC;by Ann Coulter;
5,THE BLACK ECHO;by Michael Connelly;2 weeks on the list,STATE OF WONDER;by Ann Patchett;5 weeks on the list,ONE DAY;by David Nicholls;19 weeks on the list,,,HELL'S CORNER;by David Baldacci;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;24 weeks on the list,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;9 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;227 weeks on the list,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;9 weeks on the list,LOVE WINS;by Rob Bell;17 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;19 weeks on the list,THE ORIGINAL ARGUMENT;by Glenn Beck with Joshua Charles;,"BRIGHTEST DAY, VOL. 2;by Geoff Johns and Peter J. Tomasi;9 weeks on the list","BUFFY THE VAMPIRE SLAYER: SEASON EIGHT, VOL. 8;by Joss Whedon, Georges Jeanty and others;4 weeks on the list","YU-GI-OH! 5D'S, VOL. 1;by Masahiro Hikokubo;New this week",WHAT HAPPENED TO GOODBYE;by Sarah Dessen;9 weeks on the list,THE NINE LIVES OF CHLOE KING;by Liz Braswell;4 weeks on the list,SHOULD I SHARE MY ICE CREAM? (AN ELEPHANT AND PIGGIE BOOK);written and illustrated by Mo Willems;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;130 weeks on the list,WE FIRST;by Simon Mainwaring;,TIPPING POINT;by Malcolm Gladwell;,LOST IN SHANGRI-LA;by Mitchell Zuckoff;
6,A GAME OF THRONES;by George R.R. Martin;13 weeks on the list,ONE SUMMER;by David Baldacci;4 weeks on the list,A VISIT FROM THE GOON SQUAD;by Jennifer Egan;16 weeks on the list,,,A CLASH OF KINGS;by George R.R. Martin;,THE GREATER JOURNEY;by David McCullough;7 weeks on the list,MIRACLE OF FREEDOM;by Chris Stewart and Ted Stewart;3 weeks on the list,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;9 weeks on the list,LOST IN SHANGRI-LA;by Mitchell Zuckoff;11 weeks on the list,HOW TO GET OUT OF YOUR OWN WAY;by Tyrese Gibson;4 weeks on the list,RADICAL;by David Platt;55 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,CAPTAIN AMERICA: MAN OUT OF TIME;by Mark Waid and Jorge Molina;New this week,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;86 weeks on the list","NARUTO, VOL. 51;by Masashi Kishimoto;5 weeks on the list",THEODORE BOONE: THE ABDUCTION;by John Grisham;5 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;102 weeks on the list,CHARLIE THE RANCH DOG;by Ree Drummond. Illustrated by Diane DeGroat;11 weeks on the list,WARRIORS;by Erin Hunter;102 weeks on the list,TOUCHPOINTS;by Douglas Conant and Mette Norgaard;,THE BIG SHORT;by Michael Lewis;,THE HEART AND THE FIST;by Eric Greitens;
7,ONE SUMMER;by David Baldacci;4 weeks on the list,MAINE;by J. Courtney Sullivan;3 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;109 weeks on the list,,,THE SILENT GIRL;by Tess Gerritsen;,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;9 weeks on the list,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;6 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;172 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;24 weeks on the list,THE SECRET;by Rhonda Byrne;183 weeks on the list,EAT TO LIVE;by Joel Fuhrman;4 weeks on the list,BOSSYPANTS;by Tina Fey;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;22 weeks on the list,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;65 weeks on the list,"SKIP BEAT!, VOL. 24;by Yoshiki Nakamura;New this week",THE LOST HERO;by Rick Riordan;39 weeks on the list,THE GIRL WHO COULD FLY;by Victoria Forester;4 weeks on the list,"NANCY CLANCY, SECRET ADMIRER;by Jane O'Connor. Illustrated by Robin Preiss Glasser;7 weeks on the list",FALLEN;by Lauren Kate;4 weeks on the list,SWITCH;by Chip Heath and Dan Heath;,THE CHECKLIST MANIFESTO;by Atul Gawande;,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;
8,WATER FOR ELEPHANTS;by Sara Gruen;24 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;59 weeks on the list,FAITHFUL PLACE;by Tana French;2 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,THE ORIGINAL ARGUMENT;by Glenn Beck with Joshua Charles;4 weeks on the list,LIES THAT CHELSEA HANDLER TOLD ME;by Chelsea Handler;9 weeks on the list,LIFE;by Keith Richards with James Fox;10 weeks on the list,THE GREATER JOURNEY;by David McCullough;7 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;106 weeks on the list,NOW EAT THIS! DIET;by Rocco DiSpirito;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;,BLACKEST NIGHT;by Geoff Johns and Ivan Reis;31 weeks on the list,SCOTT PILGRIM VS. THE UNIVERSE;by Bryan Lee O’Malley;54 weeks on the list,"DENGEKI DAISY, VOL. 5;by Kyousuke Motomi;New this week","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;62 weeks on the list",BEASTLY;by Alex Flinn;21 weeks on the list,PRESS HERE;by Hervé Tullet;12 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;209 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,AREA 51;by Annie Jacobsen;
9,STATE OF WONDER;by Ann Patchett;5 weeks on the list,BETRAYAL OF TRUST;by J. A. Jance;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;107 weeks on the list,,,ROOM;by Emma Donoghue;,OUTLIERS;by Malcolm Gladwell;5 weeks on the list,DEMONIC;by Ann Coulter;5 weeks on the list,THE BOY WHO CAME BACK FROM HEAVEN;by Kevin Malarkey and Alex Malarkey;New this week,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;6 weeks on the list,A PLACE OF YES;by Bethenny Frankel;10 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;123 weeks on the list,SEAL TEAM SIX;by Howard E. Wasdin and Stephen Templin;,"BALTIMORE, VOL. 1;by Mike Mignola and others;New this week",SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;57 weeks on the list,"TORADORA, VOL. 2;by Yuyuko Takemiya;New this week",STAR WARS CHARACTER ENCYCLOPEDIA;by the DK staff;2 weeks on the list,ALONG FOR THE RIDE;by Sarah Dessen;14 weeks on the list,LADYBUG GIRL AND THE BUG SQUAD;by David Soman and Jacky Davis;12 weeks on the list,JUDY MOODY;by Megan McDonald. Illustrated by Peter H. Reynolds;6 weeks on the list,MONEY CLASS;by Suze Orman;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,ON CHINA;by Henry Kissinger;
10,A CLASH OF KINGS;by George R.R. Martin;5 weeks on the list,SILVER GIRL;by Elin Hilderbrand;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;184 weeks on the list,,,AGAINST ALL ENEMIES;by Tom Clancy with Peter Telep;,LOST IN SHANGRI-LA;by Mitchell Zuckoff;5 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;6 weeks on the list,BORN TO RUN;by Christopher McDougall;15 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;24 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;82 weeks on the list,FORGOTTEN GOD;by Francis Chan with Danae Yankoski;6 weeks on the list,MIRACLE OF FREEDOM;by Chris Stewart and Ted Stewart;,BLACKEST NIGHT: GREEN LANTERN;by Geoff Johns and Doug Mahnke;17 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;94 weeks on the list,"VAMPIRE KNIGHT, VOL. 12;by Matsuri Hino;5 weeks on the list",DIVERGENT;by Veronica Roth;10 weeks on the list,THE MAZE RUNNER;by James Dashner;17 weeks on the list,THE VERY FAIRY PRINCESS TAKES THE STAGE;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;2 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;51 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,LIKEABLE SOCIAL MEDIA;by Dave Kerpen;,SECRET KNOWLEDGE;by David Mamet;
11,AGAINST ALL ENEMIES;by Tom Clancy with Peter Telep;4 weeks on the list,ESCAPE;by Barbara Delinsky;New this week,A DOG'S PURPOSE;by W. Bruce Cameron;7 weeks on the list,,,SIZZLING SIXTEEN;by Janet Evanovich;,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;4 weeks on the list,LOST IN SHANGRI-LA;by Mitchell Zuckoff;3 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;141 weeks on the list,LIES THAT CHELSEA HANDLER TOLD ME;by Chelsea Handler;9 weeks on the list,CINCH!;by Cynthia Sass;,HUNGRY GIRL 300 UNDER 300;by Lisa Lillien;,RECKLESS ENDANGERMENT;by Gretchen Morgenson and Joshua Rosner;,,,,,,,,DELIVERING HAPPINESS;by Tony Hsieh;,,MIRACLE OF FREEDOM;by Chris Stewart and Ted Stewart;
12,ROOM;by Emma Donoghue;9 weeks on the list,THE DEVIL COLONY;by James Rollins;3 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;96 weeks on the list,,,THE CREED LEGACY;by Linda Lael Miller;,THE GLASS CASTLE;by Jeannette Walls;11 weeks on the list,DOES THE NOISE IN MY HEAD BOTHER YOU?;by Steven Tyler with David Dalton;10 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;201 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;24 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THE POWER OF NOW;by Eckhart Tolle;,THE GLASS CASTLE;by Jeannette Walls;,,,,,,,,MOST IMPORTANT THING;by Howard Marks;,,DECISION POINTS;by George W. Bush;
13,HELL'S CORNER;by David Baldacci;New this week,THE PARIS WIFE;by Paula McLain;16 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;66 weeks on the list,,,STATE OF WONDER;by Ann Patchett;,LIES THAT CHELSEA HANDLER TOLD ME;by Chelsea Handler;9 weeks on the list,AREA 51;by Annie Jacobsen;8 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;40 weeks on the list,STORIES I ONLY TELL MY FRIENDS;by Rob Lowe;11 weeks on the list,ONE THOUSAND GIFTS;by Ann Voskamp;,"THE NEW ATKINS FOR A NEW YOU;by Eric C. Westman, Stephen D. Phinney and Jeff S. Volek;",LIES THAT CHELSEA HANDLER TOLD ME;by Chelsea Handler;,,,,,,,,TOTAL MONEY MAKEOVER;by Dave Ramsey;,,TO END ALL WARS;by Adam Hochschild;
14,A STORM OF SWORDS;by George R.R. Martin;New this week,FOLLY BEACH;by Dorothea Benton Frank;4 weeks on the list,STAR ISLAND;by Carl Hiaasen;3 weeks on the list,,,TOUGH CUSTOMER;by Sandra Brown;,DEMONIC;by Ann Coulter;5 weeks on the list,THOSE GUYS HAVE ALL THE FUN;by James Andrew Miller and Tom Shales;7 weeks on the list,TIPPING POINT;by Malcolm Gladwell;352 weeks on the list,AREA 51;by Annie Jacobsen;8 weeks on the list,PLENTY;by Yotam Ottolenghi;,NOW EAT THIS!;by Rocco DiSpirito;,DEMONIC;by Ann Coulter;,,,,,,,,CORNER OFFICE;by Adam Bryant;,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;
