,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE LOST SYMBOL;by Dan Brown;New this week,THE TIME TRAVELER'S WIFE;by Audrey Niffenegger;14 weeks on the list,,TRUE COMPASS;by Edward M. Kennedy;New this week,GLENN BECK’S ‘COMMON SENSE’;by Glenn Beck;15 weeks on the list,"MASTERING THE ART OF FRENCH COOKING, VOL. 1;by Julia Child, Simone Beck and Louisette Bertholle;6 weeks on the list",THE FIVE LOVE LANGUAGES;by Gary Chapman;112 weeks on the list,STITCHES: A MEMOIR;by David Small;2 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;30 weeks on the list,"BLEACH, VOL. 28;by Tite Kubo;3 weeks on the list",CATCHING FIRE;by Suzanne Collins;3 weeks on the list,DARK VISIONS;by L. J. Smith;2 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;34 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;111 weeks on the list
2,THE LAST SONG;by Nicholas Sparks;2 weeks on the list,THE SHACK;by William P. Young;70 weeks on the list,,WHERE MEN WIN GLORY;by Jon Krakauer;New this week,MY LIFE IN FRANCE;by Julia Child with Alex Prud’homme;12 weeks on the list,WHAT HAPPY WORKING MOTHERS KNOW;by Cathy L. Greenberg and Barrett S. Avigdor;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;429 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;28 weeks on the list,BATMAN: ARKHAM ASYLUM;by Grant Morrison and Dave McKean;5 weeks on the list,"NARUTO, VOL. 45;by Masashi Kishimoto;11 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;54 weeks on the list,BLUE MOON;by Alyson Noël;11 weeks on the list,MARLEY GOES TO SCHOOL;by John Grogan. Illustrated by Richard Cowdrey;8 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;21 weeks on the list
3,THE HELP;by Kathryn Stockett;25 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;13 weeks on the list,,OFFICIAL BOOK CLUB SELECTION;by Kathy Griffin;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;138 weeks on the list,GUINNESS WORLD RECORDS 2010;edited by Craig Glenday;New this week,HUNGRY GIRL 200 UNDER 200;by Lisa Lillien;23 weeks on the list,BATMAN: WHATEVER HAPPENED TO THE CAPED CRUSADER?;by Neil Gaiman and others;10 weeks on the list,"THE WALKING DEAD, VOL. 10;by Robert Kirkman and Charlie Adlard;6 weeks on the list","YOTSUBA&!, VOL. 6;by Kiyohiko Azuma;New this week",THE MAGICIAN’S ELEPHANT;by Kate DiCamillo. Illustrated by Yoko Tanaka;2 weeks on the list,THE BOOK THIEF;by Markus Zusak;106 weeks on the list,WADDLE!;written and illustrated by Rufus Butler Seder;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;36 weeks on the list
4,ALEX CROSS’S ‘TRIAL’;by James Patterson and Richard DiLallo;4 weeks on the list,SAY YOU'RE ONE OF THEM;by Uwem Akpan;New this week,,OUTLIERS;by Malcolm Gladwell;44 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;144 weeks on the list,FIERCE LEADERSHIP;by Susan Scott;New this week,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;52 weeks on the list,MERCY THOMPSON: HOMECOMING;by Patricia Briggs and David Lawrence;4 weeks on the list,"FABLES, VOL. 12;by Bill Willingham, Mike Allred and Mark Buckingham;5 weeks on the list",".HACK G.U.   , VOL. 5;by Hamazaki Tatsuya;New this week",THE SECRET TO TEEN POWER;by Paul Harrington;New this week,EVERMORE;by Alyson Noël;33 weeks on the list,DEWEY;by Vicki Myron with Bret Witter;3 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;115 weeks on the list
5,SOUTH OF BROAD;by Pat Conroy;6 weeks on the list,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;20 weeks on the list,,CULTURE OF CORRUPTION;by Michelle Malkin;8 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;103 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;34 weeks on the list",HOW TO TAKE OVER TEH WURLD;by Professor Happycat and icanhascheezburger.com;3 weeks on the list,"FINAL CRISIS;by Grant Morrison, J. G. Jones, Carlos Pacheco and Doug Mahnke;14 weeks on the list",BATMAN: HUSH;by Jeph Loeb and Jim Lee;5 weeks on the list,"FULLMETAL ALCHEMIST, VOL. 20;by Hiromu Arakawa;New this week",TRICKS;by Ellen Hopkins;4 weeks on the list,THIRST NO. 1;by Christopher Pike;7 weeks on the list,STREGA NONA'S HARVEST;written and illustrated by Tomie dePaola;2 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;56 weeks on the list
6,SPARTAN GOLD;by Clive Cussler with Grant Blackwood;3 weeks on the list,OLIVE KITTERIDGE;by Elizabeth Strout;22 weeks on the list,,END THE FED;by Ron Paul;New this week,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;4 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;76 weeks on the list,JULIA'S KITCHEN WISDOM;by Julia Child;6 weeks on the list,JOKER;by Brian Azzarello and Lee Bermejo;20 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;26 weeks on the list,"VAMPIRE KNIGHT, VOL. 7;by Matsuri Hino;8 weeks on the list",L.A. CANDY;by Lauren Conrad;14 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;35 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;97 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;11 weeks on the list
7,THE WHITE QUEEN;by Philippa Gregory;5 weeks on the list,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;2 weeks on the list,,LIBERTY AND TYRANNY;by Mark R. Levin;26 weeks on the list,JULIE & JULIA;by Julie Powell;12 weeks on the list,THE CONVERSATION;by Hill Harper;2 weeks on the list,THE VORTEX;by Esther and Jerry Hicks;2 weeks on the list,Batman: R.I.P.;by Grant Morrison and Tony Daniel;30 weeks on the list,BATMAN: THE LONG HALLOWEEN;by Jeph Loeb and Tim Sale;6 weeks on the list,"FRUITS BASKET, VOL. 23;by Natsuki Takaya;11 weeks on the list",SHIVER;by Maggie Stiefvater;8 weeks on the list,ALPHAS;by Lisi Harrison;4 weeks on the list,GOLDILICIOUS;written and illustrated by Victoria Kann;17 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;26 weeks on the list
8,DEAD AND GONE;by Charlaine Harris;20 weeks on the list,HANDLE WITH CARE;by Jodi Picoult;New this week,,IN THE PRESIDENT’S SECRET SERVICE;by Ronald Kessler;7 weeks on the list,TIPPING POINT;by Malcolm Gladwell;259 weeks on the list,THE 50TH LAW;by 50 Cent and Robert Greene;2 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;60 weeks on the list,HALO: UPRISING;by Brian Michael Bendis and Alex Maleev;14 weeks on the list,"BONE, VOL. 1;by Jeff Smith;New this week","HIGURASHI: WHEN THEY CRY, VOL. 2;by Ryukishi07 and Yutori Houjyou;New this week",SENT;by Margaret Peterson Haddix;4 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;25 weeks on the list,"SKIPPYJON JONES, LOST IN SPICE;by Judy Schachner;New this week",NIGHT WORLD;by L. J. Smith;34 weeks on the list
9,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;8 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;15 weeks on the list,,SHOOTING STARS;by LeBron James and Buzz Bissinger;2 weeks on the list,BLINK;by Malcolm Gladwell;101 weeks on the list,THE SECRET;by Rhonda Byrne;141 weeks on the list,SKINNY BITCH;by Kim Barnouin;114 weeks on the list,THE WONDERFUL WIZARD OF OZ;by Eric Shanower and Skottie Young;New this week,THE SURROGATES;by Robert Venditti and Brett Weldele;New this week,"BLACK BIRD, VOL. 1;by Kanoko Sakurakoji;7 weeks on the list",THIRTEEN REASONS WHY;by Jay Asher;48 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;56 weeks on the list,"FAMILY HUDDLE;written by Peyton Manning, Eli Manning and Archie Manning. Illustrated by Jim Madsen.;New this week",THE 39 CLUES;by various authors;20 weeks on the list
10,A GATE AT THE STAIRS;by Lorrie Moore;3 weeks on the list,PUSH;by Sapphire;4 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;47 weeks on the list,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;16 weeks on the list,FEARLESS;by Max Lucado;2 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;78 weeks on the list,"DARK AVENGERS, VOL. 1;by Brian Michael Bendis and Mike Deodato;2 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;9 weeks on the list","NARUTO, VOL. 43;by Masashi Kishimoto;22 weeks on the list",THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;51 weeks on the list,CLOUDY WITH A CHANCE OF MEATBALLS: JUNIOR NOVELIZATION;by Stacia Deutsch and Rhody Cohon;New this week,SWING!;written and illustrated by Rufus Butler Seder;49 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;33 weeks on the list
