,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,ACHERON;by Sherrilyn Kenyon;New this week,THE SHACK;by William P. Young;12 weeks on the list,,THE OBAMA NATION;by Jerome R. Corsi;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;80 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;18 weeks on the list,A NEW EARTH;by Eckhart Tolle;28 weeks on the list,THE DANGEROUS DAYS OF DANIEL X;by James Patterson and Michael Ledwidge;3 weeks on the list,CLAIRE;by Lisi Harrison;New this week,GALLOP!;written and illustrated by Rufus Butler Seder;39 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;53 weeks on the list
2,THE BOURNE SANCTION;by Eric Van Lustbader;2 weeks on the list,BAREFOOT;by Elin Hilderbrand;9 weeks on the list,,STORI TELLING;by Tori Spelling with Hilary Liftin;11 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;81 weeks on the list","YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;24 weeks on the list",SKINNY BITCH;by Kim Barnouin;57 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;69 weeks on the list,THE CLONE WARS;by Tracey West;2 weeks on the list,FAIRIES AND MAGICAL CREATURES;by Matthew Reinhart and Robert Sabuda;3 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;103 weeks on the list
3,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;2 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;49 weeks on the list,,THE WAY OF THE WORLD;by Ron Suskind;New this week,A LONG WAY GONE;by Ishmael Beah;New this week,THE SECRET;by Rhonda Byrne;83 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;43 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;30 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;28 weeks on the list,ALPHABET;by Matthew Van Fleet;18 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;67 weeks on the list
4,THE SECRET SERVANT;by Daniel Silva;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;48 weeks on the list,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;10 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;33 weeks on the list,JUST WHO WILL YOU BE?;by Maria Shriver;12 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;373 weeks on the list,KISS MY MATH;by Danica McKellar;New this week,THE BOOK THIEF;by Markus Zusak;48 weeks on the list,MADAM PRESIDENT;by Lane Smith;New this week,THE SISTERHOOD OF THE TRAVELING PANTS;by Ann Brashares;134 weeks on the list
5,THE HOST;by Stephenie Meyer;14 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;49 weeks on the list,,THE CASE AGAINST BARACK OBAMA;by David Freddoso;New this week,BIG RUSS AND ME;by Tim Russert;16 weeks on the list,DECEPTIVELY DELICIOUS;by Jessica Seinfeld;24 weeks on the list,SOUL WISDOM;by Zhi Gang Sha;5 weeks on the list,THE CLONE WARS;by Jason Fry;2 weeks on the list,KRISTEN;by Lisi Harrison;6 weeks on the list,SPLAT THE CAT: WHERE'S THE EASTER BUNNY?;by Rob Scotton;2 weeks on the list,HARRY POTTER;by J.K. Rowling;195 weeks on the list
6,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;9 weeks on the list,THE ROAD;by Cormac McCarthy;49 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;16 weeks on the list",I HOPE THEY SERVE BEER IN HELL;by Tucker Max;45 weeks on the list,YOU - THE OWNER'S MANUAL;by Michael F. Roizen and Mehmet C. Oz with Lisa Oz and Ted Spiker;46 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;59 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;38 weeks on the list,THE NEW PADAWAN;by Eric Stevens;2 weeks on the list,ZEN TIES;written and illustrated by Jon J. Muth;28 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;22 weeks on the list
7,THE LACE READER;by Brunonia Barry;2 weeks on the list,RUN;by Ann Patchett;2 weeks on the list,,THE DARK SIDE;by Jane Mayer;4 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;94 weeks on the list,GOODNIGHT BUSH;by Erich Origen and Gan Golan;6 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;28 weeks on the list,THE MAGICIAN;by Michael Scott;7 weeks on the list,MARKED;by P. C. Cast and Kristin Cast;New this week,"SMASH! CRASH!;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;29 weeks on the list",FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;27 weeks on the list
8,TRIBUTE;by Nora Roberts;5 weeks on the list,NAUTI DREAMS;by Lora Leigh;New this week,,FLEECED;by Dick Morris and Eileen McGann;7 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;131 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;37 weeks on the list,HUNGRY GIRL;by Lisa Lillien;15 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;71 weeks on the list,BATTLE AT TETH;by Kirsten Mayer;2 weeks on the list,LADYBUG GIRL;by Jacky Davis and David Soman. Illustrated by David Soman;20 weeks on the list,CLEMENTINE;by Sara Pennypacker. Illustrated by Marla Frazee;4 weeks on the list
9,FOREIGN BODY;by Robin Cook;New this week,MY SISTER’S KEEPER;by Jodi Picoult;27 weeks on the list,,LIFE WITH MY SISTER MADONNA;by Christopher Ciccone with Wendy Leigh;4 weeks on the list,MARLEY AND ME;by John Grogan;22 weeks on the list,HAVE A NEW KID BY FRIDAY;by Kevin Leman;New this week,LEONARD MALTIN’S MOVIE GUIDE;by Leonard Maltin;New this week,KENNY AND THE DRAGON;by Tony DiTerlizzi;New this week,MATH DOESN’T SUCK;by Danica McKellar;New this week,YOU CAN DO IT!;by Tony Dungy. Illustrated by Amy June Bates;5 weeks on the list,PENDRAGON;by D. J. MacHale;71 weeks on the list
10,THE LAST PATRIOT;by Brad Thor;6 weeks on the list,NINETEEN MINUTES;by Jodi Picoult;27 weeks on the list,,THE PROSECUTION OF GEORGE W. BUSH FOR MURDER;by Vincent Bugliosi;8 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;5 weeks on the list,THE WINNERS MANUAL;by Jim Tressel with Chris Fabry;4 weeks on the list,THE SPEED OF TRUST;by Stephen M. R. Covey;14 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY AND THE PERILOUS JOURNEY;by Trenton Lee Stewart. Illustrated by Diana Sudyka;8 weeks on the list,CHOSEN;by P. C. Cast and Kristin Cast;15 weeks on the list,BATS AT THE LIBRARY;written and illustrated by Brian Lies;New this week,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;188 weeks on the list
