,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,SAIL;by James Patterson and Howard Roughan;New this week,THE SHACK;by William P. Young;4 weeks on the list,,WHEN YOU ARE ENGULFED IN FLAMES;by David Sedaris;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;72 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;10 weeks on the list,A NEW EARTH;by Eckhart Tolle;20 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;61 weeks on the list,ALICIA;by Lisi Harrison.;2 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;31 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;45 weeks on the list
2,NOTHING TO LOSE;by Lee Child;2 weeks on the list,WATER FOR ELEPHANTS;by Sara Gruen;41 weeks on the list,,WHAT HAPPENED;by Scott McClellan;3 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;25 weeks on the list,THE SECRET;by Rhonda Byrne;75 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;35 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;22 weeks on the list,DYLAN;by Lisi Harrison;6 weeks on the list,A VISITOR FOR BEAR;by Bonny Becker. Illustrated by Kady MacDonald Denton;New this week,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;59 weeks on the list
3,THE HOST;by Stephenie Meyer;6 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;41 weeks on the list,,ALWAYS BY MY SIDE;by Jim Nantz with Eli Spielman;4 weeks on the list,WISDOM OF OUR FATHERS;by Tim Russert;5 weeks on the list,BOBBY FLAY'S GRILL IT!;by Bobby Flay;2 weeks on the list,SKINNY BITCH;by Kim Barnouin;49 weeks on the list,LOCK AND KEY;by Sarah Dessen;8 weeks on the list,TEMPTED;by Cecily von Ziegesar;2 weeks on the list,ALPHABET;by Matthew Van Fleet;10 weeks on the list,PENDRAGON;by D. J. MacHale;63 weeks on the list
4,PLAGUE SHIP;by Clive Cussler with Jack Du Brul;2 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;24 weeks on the list,,THE MONSTER OF FLORENCE;by Douglas Preston with Mario Spezi;New this week,"EAT, PRAY, LOVE;by Elizabeth Gilbert;73 weeks on the list",QUANTUM WELLNESS;by Kathy Freston;4 weeks on the list,YOU CAN HEAL YOUR LIFE;by Louise L. Hay;25 weeks on the list,SEEKERS: THE QUEST BEGINS;by Erin Hunter;3 weeks on the list,THE BOOK THIEF;by Markus Zusak;40 weeks on the list,READ ALL ABOUT IT!;by Laura Bush and Jenna Bush;8 weeks on the list,BEST AT EVERYTHING;by various authors and illustrators;4 weeks on the list
5,LOVE THE ONE YOU'RE WITH;by Emily Giffin;5 weeks on the list,THE ALCHEMIST;by Paulo Coelho;40 weeks on the list,,THE POST-AMERICAN WORLD: RELEASE 2.0;by Fareed Zakaria;7 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;100 weeks on the list,JUST WHO WILL YOU BE?;by Maria Shriver;9 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;365 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;63 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;21 weeks on the list,ZEN TIES;written and illustrated by Jon J. Muth;22 weeks on the list,JUNIE B. JONES;by Barbara Park;175 weeks on the list
6,CHASING HARRY WINSTON;by Lauren Weisberger;3 weeks on the list,NINETEEN MINUTES;by Jodi Picoult;19 weeks on the list,,THE DOWNHILL LIE;by Carl Hiaasen;6 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;7 weeks on the list,ITALIAN GRILL;by Mario Batali;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;51 weeks on the list,RUMORS;by Anna Godbersen;2 weeks on the list,INDIANA JONES AND THE KINGDOM OF THE CRYSTAL SKULL;by James Luceno;4 weeks on the list,KNUFFLE BUNNY TOO;written and illustrated by Mo Willems;32 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;185 weeks on the list
7,THE BROKEN WINDOW;by Jeffery Deaver;New this week,BAREFOOT;by Elin Hilderbrand;New this week,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;8 weeks on the list","CHANGE YOUR BRAIN, CHANGE YOUR LIFE;by Daniel G. Amen;8 weeks on the list",YOU - THE OWNER'S MANUAL;by Michael F. Roizen and Mehmet C. Oz with Lisa Oz and Ted Spiker;45 weeks on the list,THE SPEED OF TRUST;by Stephen M. R. Covey;9 weeks on the list,NICK OF TIME;by Ted Bell;5 weeks on the list,MASSIE;by Lisi Harrison;11 weeks on the list,"SMASH! CRASH!;by Jon Scieszka. Illustrated by David Shannon, Loren Long and David Gordon;21 weeks on the list",THE SISTERHOOD OF THE TRAVELING PANTS;by Ann Brashares;126 weeks on the list
8,ODD HOURS;by Dean R. Koontz;4 weeks on the list,PILLARS OF THE EARTH;by Ken Follett;31 weeks on the list,,AUDITION;by Barbara Walters;6 weeks on the list,MARLEY AND ME;by John Grogan;14 weeks on the list,HOW TO REALLY STINK AT GOLF;by Jeff Foxworthy;New this week,"HELLO, CUPCAKE!;by Karen Tack;6 weeks on the list",THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;30 weeks on the list,CAMP ROCK;by Lucy Ruggles;3 weeks on the list,LADYBUG GIRL;by Jacky Davis and David Soman. Illustrated by David Soman;13 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;19 weeks on the list
9,MARRIED LOVERS;by Jackie Collins;New this week,THE MEMORY KEEPER’S DAUGHTER;by Kim Edwards;41 weeks on the list,,ME OF LITTLE FAITH;by Lewis Black;2 weeks on the list,CLAPTON;by Eric Clapton;3 weeks on the list,SEX AND THE CITY;by Amy Sohn;2 weeks on the list,HUNGRY GIRL;by Lisa Lillien;7 weeks on the list,THE PENDERWICKS ON GARDAM STREET;by Jeanne Birdsall;8 weeks on the list,BRATFEST AT TIFFANY’S;by Lisi Harrison;19 weeks on the list,DIRT ON MY SHIRT;by Jeff Foxworthy. Illustrated by Steve Bjorkman;15 weeks on the list,WARRIORS: POWER OF THREE;by Erin Hunter;7 weeks on the list
10,SUNDAYS AT TIFFANY’S;by James Patterson and Gabrielle Charbonnet;7 weeks on the list,THE LAST SUMMER (OF YOU AND ME);by Ann Brashares;6 weeks on the list,,"CHURCHILL, HITLER, AND “THE UNNECESSARY WAR,”;by Patrick J. Buchanan;3 weeks on the list",BIG RUSS AND ME;by Tim Russert;8 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;29 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;23 weeks on the list,THE BIG FIELD;by Mike Lupica;8 weeks on the list,WALL-E;by Irene Trimble;2 weeks on the list,ME AND MY DAD!;by Alison Ritchie;New this week,HARRY POTTER;by J.K. Rowling;187 weeks on the list
