,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,CITY OF ENDLESS NIGHT;by Douglas Preston and Lincoln Child;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;3 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;16 weeks on the list,FIRE AND FURY;by Michael Wolff;3 weeks on the list,FIRE AND FURY;by Michael Wolff;3 weeks on the list,HORSE SOLDIERS;by Doug Stanton;6 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;58 weeks on the list,WONDER;by R.J. Palacio;128 weeks on the list,LOVE;by Matt de la Peña. Illustrated by Loren Long;2 weeks on the list,DOG MAN;by Dav Pilkey;21 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;15 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,ALL-AMERICAN MURDER;by James Patterson and Alex Abramovich with Mike Harvkey;
2,THE WOMAN IN THE WINDOW;by A.J. Finn;3 weeks on the list,CITY OF ENDLESS NIGHT;by Douglas Preston and Lincoln Child;New this week,MILK AND HONEY;by Rupi Kaur;93 weeks on the list,IT'S EVEN WORSE THAN YOU THINK;by David Cay Johnston;New this week,IT'S EVEN WORSE THAN YOU THINK;by David Cay Johnston;New this week,THE NEW JIM CROW;by Michelle Alexander;162 weeks on the list,YOU ARE A BADASS;by Jen Sincero;106 weeks on the list,LITTLE LEADERS;by Vashti Harrison;6 weeks on the list,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;462 weeks on the list,THE HATE U GIVE;by Angie Thomas;47 weeks on the list,PRINCIPLES;by Ray Dalio;,LEONARDO DA VINCI;by Walter Isaacson;,TB12 METHOD;by Tom Brady;
3,IRON GOLD;by Pierce Brown;New this week,IRON GOLD;by Pierce Brown;New this week,THE HANDMAID'S TALE;by Margaret Atwood;48 weeks on the list,HORSE SOLDIERS;by Doug Stanton;4 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;38 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;349 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;226 weeks on the list,AUGGIE & ME;by R.J. Palacio;60 weeks on the list,HERE WE ARE;by Oliver Jeffers;10 weeks on the list,HARRY POTTER;by J.K. Rowling;461 weeks on the list,THUNDERHEAD;by Neal Shusterman;2 weeks on the list,WHEN;by Daniel H. Pink;,WHEN;by Daniel H. Pink;,SHOE DOG;by Phil Knight;
4,LITTLE FIRES EVERYWHERE;by Celeste Ng;13 weeks on the list,ORIGIN;by Dan Brown;16 weeks on the list,READY PLAYER ONE;by Ernest Cline;42 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;37 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;14 weeks on the list,BEING MORTAL;by Atul Gawande;20 weeks on the list,PRINCIPLES;by Ray Dalio;16 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;30 weeks on the list,I AM HARRIET TUBMAN;by Brad Meltzer. Illustrated by Christopher Eliopoulos;New this week,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;102 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;30 weeks on the list,CAPITAL GAINES;by Chip Gaines;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
5,ORIGIN;by Dan Brown;16 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;18 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;46 weeks on the list,TRUMPOCRACY;by David Frum;New this week,TOGETHER WE RISE;by Women's March Organizers and Condé Nast;New this week,EVICTED;by Matthew Desmond;19 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;106 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;54 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;204 weeks on the list,DORK DIARIES;by Rachel Renée Russell;235 weeks on the list,THE CRUEL PRINCE;by Holly Black;3 weeks on the list,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,SAPIENS;by Yuval Noah Harari;,ALI: A LIFE;by Jonathan Eig;
6,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;2 weeks on the list,THE ROOSTER BAR;by John Grisham;13 weeks on the list,WE WERE THE LUCKY ONES;by Georgia Hunter;3 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;14 weeks on the list,TRUMPOCRACY;by David Frum;New this week,JUST MERCY;by Bryan Stevenson;87 weeks on the list,BRAVING THE WILDERNESS;by Brené Brown;11 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;25 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;34 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;35 weeks on the list,BATMAN: NIGHTWALKER;by Marie Lu;3 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,UNBROKEN;by Laura Hillenbrand;
7,BEFORE WE WERE YOURS;by Lisa Wingate;17 weeks on the list,THE IMMORTALISTS;by Chloe Benjamin;2 weeks on the list,PACHINKO;by Min Jin Lee;4 weeks on the list,TOGETHER WE RISE;by Women's March Organizers and Condé Nast;New this week,HOW DEMOCRACIES DIE;by Steven Levitsky and Daniel Ziblatt;New this week,OUTLIERS;by Malcolm Gladwell;243 weeks on the list,MAKE YOUR BED;by William H. McRaven;36 weeks on the list,THE MAGIC MISFITS;by Neil Patrick Harris;9 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;117 weeks on the list,TREASURE HUNTERS;by James Patterson;7 weeks on the list,ZENITH;by Sasha Alsberg & Lindsay Cummings;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEING MORTAL;by Atul Gawande;,FIERCE;by Aly Raisman;
8,"SEX, NOT LOVE;by Vi Keeland;New this week",BEFORE WE WERE YOURS;by Lisa Wingate;18 weeks on the list,CALL ME BY YOUR NAME;by André Aciman;3 weeks on the list,HOW DEMOCRACIES DIE;by Steven Levitsky and Daniel Ziblatt;New this week,THE LAST BLACK UNICORN;by Tiffany Haddish;6 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;100 weeks on the list,THE WISDOM OF SUNDAYS;by Oprah Winfrey;14 weeks on the list,THE DARK PROPHECY;by Rick Riordan;35 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly. Illustrated by Laura Freeman;New this week,WINGS OF FIRE;by Tui T. Sutherland;26 weeks on the list,"LOVE, HATE AND OTHER FILTERS;by Samira Ahmed;New this week",THE POWER OF MOMENTS;by Chip Heath and Dan Heath;,END OF ALZHEIMER'S;by Dale Bredesen;,THE BOYS IN THE BOAT;by Daniel James Brown;
9,THE ROOSTER BAR;by John Grisham;13 weeks on the list,THE WIFE BETWEEN US;by Greer Hendricks and Sarah Pekkanen;2 weeks on the list,DARKER;by E.L. James;8 weeks on the list,THE SQUARE AND THE TOWER;by Niall Ferguson;New this week,WHEN;by Daniel H. Pink;2 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;155 weeks on the list",THE PIONEER WOMAN COOKS: COME AND GET IT!;by Ree Drummond;11 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;16 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;14 weeks on the list,THE BAD GUYS;by Aaron Blabey;4 weeks on the list,BEFORE I LET GO;by Marieke Nijkamp;New this week,RISE AND GRIND;by Daymond John with Daniel Paisner;,THE POWER OF HABIT;by Charles Duhigg;,BARBARIAN DAYS;by William Finnegan;
10,THE SUN AND HER FLOWERS;by Rupi Kaur;16 weeks on the list,"SING, UNBURIED, SING;by Jesmyn Ward;5 weeks on the list",THE WOMEN IN THE CASTLE;by Jessica Shattuck;3 weeks on the list,THE LAST BLACK UNICORN;by Tiffany Haddish;7 weeks on the list,GRANT;by Ron Chernow;15 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;408 weeks on the list,MEDITATION FOR FIDGETY SKEPTICS;by Dan Harris and Jeff Warren with Carlye Adler;4 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;38 weeks on the list,PETE THE CAT: VALENTINE'S DAY IS COOL;by James Dean and Kimberly Dean;3 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;462 weeks on the list,EVERLESS;by Sara Holland;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BECOMING KAREEM;by Kareem Abdul-Jabbar and Raymond Obstfeld;
11,MILK AND HONEY;by Rupi Kaur;49 weeks on the list,MUNICH;by Robert Harris;New this week,,WHEN;by Daniel H. Pink;2 weeks on the list,THE SQUARE AND THE TOWER;by Niall Ferguson;New this week,,,,,,,,,
12,FOREVER MY GIRL;by Heidi McLaughlin;New this week,THE PEOPLE VS. ALEX CROSS;by James Patterson;9 weeks on the list,,GRANT;by Ron Chernow;15 weeks on the list,WHEN THEY CALL YOU A TERRORIST;by Patrisse Kahn-Cullors and asha bandele;New this week,,,,,,,,,
13,NO MIDDLE NAME;by Lee Child;6 weeks on the list,END GAME;by David Baldacci;10 weeks on the list,,HILLBILLY ELEGY;by J.D. Vance;72 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;73 weeks on the list,,,,,,,,,
14,READY PLAYER ONE;by Ernest Cline;9 weeks on the list,THE MIDNIGHT LINE;by Lee Child;11 weeks on the list,,KILLERS OF THE FLOWER MOON;by David Grann;32 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;31 weeks on the list,,,,,,,,,
15,DARKER;by E.L. James;8 weeks on the list,ROBICHEAUX;by James Lee Burke;3 weeks on the list,,HOME SWEET MURDER;by James Patterson;3 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;13 weeks on the list,,,,,,,,,
