,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series,Hardcover Business Books,Paperback Business Books,Politics and American History
1,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;19 weeks on the list,11/22/63;by Stephen King;7 weeks on the list,THE HELP;by Kathryn Stockett;38 weeks on the list,,,THE HELP;by Kathryn Stockett;,STEVE JOBS;by Walter Isaacson;9 weeks on the list,STEVE JOBS;by Walter Isaacson;9 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;58 weeks on the list,STEVE JOBS;by Walter Isaacson;9 weeks on the list,GUINNESS WORLD RECORDS 2012;edited by Craig Glenday;15 weeks on the list,AWKWARD FAMILY PHOTOS;by Mike Bender and Doug Chernack;15 weeks on the list,STEVE JOBS;by Walter Isaacson;,HARK! A VAGRANT;by Kate Beaton;13 weeks on the list,"FABLES, VOL. 16;by Bill Willingham and others;New this week","FULLMETAL ALCHEMIST, VOL. 27;by Hiromu Arakawa;New this week",THE SON OF NEPTUNE;by Rick Riordan;12 weeks on the list,WAR HORSE;by Michael Morpurgo;7 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;36 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;70 weeks on the list,STEVE JOBS;by Walter Isaacson;,OUTLIERS;by Malcolm Gladwell;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
2,THE HELP;by Kathryn Stockett;45 weeks on the list,THE LITIGATORS;by John Grisham;9 weeks on the list,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;131 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;13 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;13 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;39 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;48 weeks on the list,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;29 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;230 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,HABIBI;by Craig Thompson;13 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;29 weeks on the list","NARUTO, VOL. 53;by Masashi Kishimoto;3 weeks on the list",THE LEGO IDEAS BOOK;by Daniel Lipkowitz;8 weeks on the list,THE BOOK THIEF;by Markus Zusak;224 weeks on the list,HEAVEN IS FOR REAL FOR KIDS;by Todd and Sonja Burpo. Illustrated by Wilson Ong;9 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;154 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",MONEYBALL;by Michael Lewis;,UNBROKEN;by Laura Hillenbrand;
3,11/22/63;by Stephen King;7 weeks on the list,KILL ALEX CROSS;by James Patterson;6 weeks on the list,THE TIGER'S WIFE;by Téa Obreht;8 weeks on the list,,,11/22/63;by Stephen King;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;48 weeks on the list,UNBROKEN;by Laura Hillenbrand;58 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;42 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;13 weeks on the list,EVERY DAY A FRIDAY;by Joel Osteen;15 weeks on the list,AWKWARD FAMILY PET PHOTOS;by Mike Bender and Doug Chernack;8 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,"THE ADVENTURES OF TINTIN, VOL. 1;by Hergé;4 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;101 weeks on the list","XXXHOLIC, VOL. 18;by Clamp;New this week",EVERY THING ON IT;by Shel Silverstein;14 weeks on the list,"THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;19 weeks on the list",I WANT MY HAT BACK;by Jon Klassen;5 weeks on the list,INHERITANCE;by Christopher Paolini;28 weeks on the list,BOOMERANG;by Michael Lewis;,"I, STEVE;edited by George Beahm;",BEING GEORGE WASHINGTON;by Glenn Beck and Kevin Balfe;
4,THE LITIGATORS;by John Grisham;9 weeks on the list,LOCKED ON;by Tom Clancy with Mark Greaney;2 weeks on the list,THE NEXT ALWAYS;by Nora Roberts;8 weeks on the list,,,THE LITIGATORS;by John Grisham;,UNBROKEN;by Laura Hillenbrand;48 weeks on the list,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;16 weeks on the list,UNLIKELY FRIENDSHIPS;by Jennifer Holland;25 weeks on the list,UNBROKEN;by Laura Hillenbrand;48 weeks on the list,NEARING HOME;by Billy Graham;10 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;42 weeks on the list,UNBROKEN;by Laura Hillenbrand;,BATMAN: NOEL;by Lee Bermejo;7 weeks on the list,"THE ADVENTURES OF OOK AND GLUK, KUNG-FU CAVEMEN FROM THE FUTURE;by Dav Pilkey;20 weeks on the list","TENJO TENGE, VOL. 4: FULL CONTACT EDITION;by oh!great;New this week",WONDERSTRUCK;by Brian Selznick;15 weeks on the list,CLOCKWORK ANGEL;by Cassandra Clare;12 weeks on the list,IF YOU GIVE A DOG A DONUT;by Laura Numeroff. Illustrated by Felicia Bond;12 weeks on the list,WITCH AND WIZARD;by James Patterson and others;3 weeks on the list,BACK TO WORK;by Bill Clinton;,CLARK HOWARD'S LIVING LARGE IN LEAN TIMES;by Clark Howard;,JACK KENNEDY;by Chris Matthews;
5,KILL ALEX CROSS;by James Patterson;6 weeks on the list,DEATH COMES TO PEMBERLEY;by P. D. James;3 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;81 weeks on the list,,,KILL ALEX CROSS;by James Patterson;,THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;7 weeks on the list,JACK KENNEDY;by Chris Matthews;8 weeks on the list,OUTLIERS;by Malcolm Gladwell;29 weeks on the list,BOSSYPANTS;by Tina Fey;38 weeks on the list,PAULA DEEN’S SOUTHERN COOKING BIBLE;by Paula Deen with Melissa Clark;11 weeks on the list,"THE TWILIGHT SAGA: BREAKING DAWN, PART 1;by Mark Cotta Vaz;2 weeks on the list",THROUGH MY EYES;by Tim Tebow with Nathan Whitaker;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;43 weeks on the list","THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;21 weeks on the list","MAXIMUM RIDE MANGA, VOL. 5;by James Patterson;2 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;29 weeks on the list,MATCHED;by Ally Condie;14 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;12 weeks on the list",THE TWILIGHT SAGA;by Stephenie Meyer;200 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,THE BIG SHORT;by Michael Lewis;,CATHERINE THE GREAT;by Robert K. Massie;
6,LOCKED ON;by Tom Clancy with Mark Greaney;2 weeks on the list,THE BEST OF ME;by Nicholas Sparks;11 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;133 weeks on the list,,,LOCKED ON;by Tom Clancy with Mark Greaney;,JACK KENNEDY;by Chris Matthews;8 weeks on the list,BEING GEORGE WASHINGTON;by Glenn Beck and Kevin Balfe;5 weeks on the list,MONEYBALL;by Michael Lewis;35 weeks on the list,CATHERINE THE GREAT;by Robert K. Massie;7 weeks on the list,RIPLEY'S BELIEVE IT OR NOT! STRIKINGLY TRUE;by Geoff Tibballs;New this week,EAT TO LIVE;by Joel Fuhrman;27 weeks on the list,JACK KENNEDY;by Chris Matthews;,BATMAN: THE BLACK MIRROR;by Scott Snyder and Jock;4 weeks on the list,"THE WALKING DEAD, VOL. 3;by Robert Kirkman and Cliff Rathburn;3 weeks on the list","SAILOR MOON, VOL. 2;by Naoko Takeuchi;4 weeks on the list",CLOCKWORK PRINCE;by Cassandra Clare;3 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;28 weeks on the list,THE BIPPOLO SEED AND OTHER LOST STORIES;by Dr. Seuss;10 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;232 weeks on the list,TIME TO GET TOUGH;by  Donald J. Trump;,DRIVE;by Daniel H. Pink;,BOOMERANG;by Michael Lewis;
7,DEATH COMES TO PEMBERLEY;by P. D. James;3 weeks on the list,RED MIST;by Patricia Cornwell;3 weeks on the list,EXTREMELY LOUD AND INCREDIBLY CLOSE;by Jonathan Safran Foer;New this week,,,DEATH COMES TO PEMBERLEY;by P. D. James;,BEING GEORGE WASHINGTON;by Glenn Beck and Kevin Balfe;5 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;9 weeks on the list",BORN TO RUN;by Christopher McDougall;39 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;9 weeks on the list",COOK’S ILLUSTRATED COOKBOOK;by the editors at Cook’s Illustrated Magazine;3 weeks on the list,F IN EXAMS;by Richard Benson;7 weeks on the list,BEING GEORGE WASHINGTON;by Glenn Beck and Kevin Balfe;,VALVE PRESENTS THE SACRIFICE;by various;2 weeks on the list,V FOR VENDETTA;by Alan Moore and David Lloyd;71 weeks on the list,"MARDOCK SCRAMBLE, VOL. 3;by Tow Ubukata;New this week",THE LOST HERO;by Rick Riordan;59 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;18 weeks on the list,LLAMA LLAMA HOLIDAY DRAMA;by Anna Dewdney;20 weeks on the list,HARRY POTTER;by J.K. Rowling;281 weeks on the list,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,TIPPING POINT;by Malcolm Gladwell;,IN THE GARDEN OF BEASTS;by Erik Larson;
8,THE BEST OF ME;by Nicholas Sparks;11 weeks on the list,EXPLOSIVE EIGHTEEN;by Janet Evanovich;5 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;100 weeks on the list,,,THE BEST OF ME;by Nicholas Sparks;,"THINKING, FAST AND SLOW;by Daniel Kahneman;7 weeks on the list",CATHERINE THE GREAT;by Robert K. Massie;6 weeks on the list,THOSE GUYS HAVE ALL THE FUN;by James Andrew Miller and Tom Shales;3 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;33 weeks on the list,GOODNIGHT IPAD;by Ann Droyd;5 weeks on the list,"1,000 PLACES TO SEE BEFORE YOU DIE;by Patricia Schultz;85 weeks on the list","THINKING, FAST AND SLOW;by Daniel Kahneman;","TWILIGHT: THE GRAPHIC NOVEL, VOL. 2;by Stephenie Meyer and Young C. Kim;11 weeks on the list","AMULET: THE LAST COUNCIL, VOL. 4;by Kazu Kibuishi;16 weeks on the list","DOROHEDORO, VOL. 5;by Q Hayashida;New this week","MIDDLE SCHOOL, THE WORST YEARS OF MY LIFE;by James Patterson and Chris Tebbetts;16 weeks on the list",THE MAGICIAN’S ELEPHANT;by Kate DiCamillo. Illustrated by Yoko Tanaka;5 weeks on the list,THE ARTIST WHO PAINTED A BLUE HORSE;by Eric Carle;12 weeks on the list,DORK DIARIES;by Rachel Renée Russell;28 weeks on the list,CIVILIZATION;by Niall Ferguson;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,BACK TO WORK;by Bill Clinton;
9,RED MIST;by Patricia Cornwell;3 weeks on the list,V IS FOR VENGEANCE;by Sue Grafton;6 weeks on the list,SING YOU HOME;by Jodi Picoult;10 weeks on the list,,,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;,CATHERINE THE GREAT;by Robert K. Massie;7 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;4 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;196 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;8 weeks on the list,LADY GAGA x TERRY RICHARDSON;by Lady Gaga and Terry Richardson;2 weeks on the list,LEONARD MALTIN'S 2012 MOVIE GUIDE;by Leonard Maltin;New this week,CATHERINE THE GREAT;by Robert K. Massie;,THE BEST AMERICAN COMICS 2011;by various;7 weeks on the list,"CRIMINAL, VOL. 6;by Ed Brubaker and Sean Phillips;New this week","THE DROPS OF GOD, VOL. 2;by Tadashi Agi;New this week",THE THRONE OF FIRE;by Rick Riordan;26 weeks on the list,THEODORE BOONE: KID LAWYER;by John Grisham;33 weeks on the list,STUCK;by Oliver Jeffers;2 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;58 weeks on the list,ENTRELEADERSHIP;by Dave Ramsey;,THE CHECKLIST MANIFESTO;by Atul Gawande;,THE TIME OF OUR LIVES;by Tom Brokaw;
10,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;11 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;71 weeks on the list,A GAME OF THRONES;by George R.R. Martin;21 weeks on the list,,,RED MIST;by Patricia Cornwell;,BOSSYPANTS;by Tina Fey;29 weeks on the list,THEN AGAIN;by Diane Keaton;6 weeks on the list,____ FINISH FIRST;by Tucker Max;10 weeks on the list,OUT OF MY LATER YEARS;by Albert Einstein;New this week,COOK LIKE A ROCK STAR;by Anne Burrell with Suzanne Lenzer;4 weeks on the list,"EAT THIS, NOT THAT! 2012;by David Zinczenko with Matt Goulding;9 weeks on the list",THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;,FEYNMAN;by Jim Ottaviani and Leland Myrick;9 weeks on the list,SMILE;by Raina Telgemeier;13 weeks on the list,"ONE PIECE, VOL. 59;by Eiichiro Oda;2 weeks on the list",THE INVENTION OF HUGO CABRET;by Brian Selznick;95 weeks on the list,BEFORE I FALL;by Lauren Oliver;3 weeks on the list,HOME FOR CHRISTMAS;by Jan Brett;7 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;138 weeks on the list,CURRENCY WARS;by James Rickards;,SUPERFREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,Jacqueline Kennedy: Historic Conversations On Life With John F. Kennedy;;
