,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,A DOG'S PURPOSE;by W. Bruce Cameron;8 weeks on the list,NEVER NEVER;by James Patterson and Candice Fox;2 weeks on the list,A DOG'S PURPOSE;by W. Bruce Cameron;25 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;7 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;27 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;8 weeks on the list,TOOLS OF TITANS;by Tim Ferriss;8 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;5 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;9 weeks on the list,HARRY POTTER;by J.K. Rowling;410 weeks on the list,CARVE THE MARK;by Veronica Roth;2 weeks on the list,,TOOLS OF TITANS;by Tim Ferriss;,,,,,,,,,,,,,,,,,HIDDEN FIGURES;by Margot Lee Shetterly;,SHOE DOG;by Phil Knight;,
2,A MAN CALLED OVE;by Fredrik Backman;36 weeks on the list,THE UNDERGROUND RAILROAD;by Colson Whitehead;25 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;57 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;27 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;20 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;68 weeks on the list,YOU ARE A BADASS;by Jen Sincero;55 weeks on the list,WONDER;by R.J. Palacio;77 weeks on the list,I DISSENT;by Debbie Levy. Illustrated by Elizabeth Baddeley;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;411 weeks on the list,THE YOU I'VE NEVER KNOWN;by Ellen Hopkins;New this week,,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,,,,,,,,,,,,,,,,,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,SHAKEN;by Tim Tebow;,
3,NEVER NEVER;by James Patterson and Candice Fox;2 weeks on the list,THE WHISTLER;by John Grisham;14 weeks on the list,MILK AND HONEY;by Rupi Kaur;42 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;20 weeks on the list,THREE DAYS IN JANUARY;by Bret Baier with Catherine Whitney;3 weeks on the list,WE SHOULD ALL BE FEMINISTS;by Chimamanda Ngozi Adichie;15 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;185 weeks on the list,I GOT THIS;by Laurie Hernandez;New this week,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;21 weeks on the list",MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;71 weeks on the list,COURAGE TO SOAR;by Simone Biles with Michelle Burford;11 weeks on the list,,THE UNDOING PROJECT;by Michael Lewis;,,,,,,,,,,,,,,,,,THE UNDOING PROJECT;by Michael Lewis;,THE BOYS IN THE BOAT;by Daniel James Brown;,
4,POWER GAME;by Christine Feehan;New this week,TWO BY TWO;by Nicholas Sparks;17 weeks on the list,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;41 weeks on the list,THREE DAYS IN JANUARY;by Bret Baier with Catherine Whitney;3 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;15 weeks on the list,DARK MONEY;by Jane Mayer;New this week,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;7 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;4 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;70 weeks on the list,DORK DIARIES;by Rachel Renée Russell;192 weeks on the list,HEARTLESS;by Marissa Meyer;12 weeks on the list,,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,,,,,,,,,,,,,,,,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,COURAGE TO SOAR;by Simone Biles with Michelle Burford;,
5,DARK HUMANITY;by Gwynn White and various authors;New this week,THE GIRL BEFORE;by J P Delaney;New this week,THE WIDOW;by Fiona Barton;2 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;15 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;15 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;146 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;69 weeks on the list,DOG MAN;by Dav Pilkey;22 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;154 weeks on the list,A SERIES OF UNFORTUNATE EVENTS;by Lemony Snicket;142 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;13 weeks on the list,,"THINKING, FAST AND SLOW;by Daniel Kahneman;",,,,,,,,,,,,,,,,,"THINKING, FAST AND SLOW;by Daniel Kahneman;",I GOT THIS;by Laurie Hernandez;,
6,ACCIDENTALLY ON PURPOSE;by Jill Shalvis;New this week,THE MISTRESS;by Danielle Steel;4 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;29 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;4 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;121 weeks on the list","FOOD, HEALTH AND HAPPINESS;by Oprah Winfrey;4 weeks on the list",PAX;Sara Pennypacker. Illustrated by Jon Klassen;49 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;121 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;29 weeks on the list,SCYTHE;by Neal Shusterman;7 weeks on the list,,SHOE DOG;by Phil Knight;,,,,,,,,,,,,,,,,,CASE AGAINST SUGAR;by Gary Taubes;,WHAT DOESN’T KILL US;by Scott Carney;,
7,THE GIRL ON THE TRAIN;by Paula Hawkins;101 weeks on the list,THE CHEMIST;by Stephenie Meyer;12 weeks on the list,SILENCE;by Shusaku Endo;3 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;57 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;4 weeks on the list,ELON MUSK;by Ashlee Vance;New this week,UNINVITED;by Lysa TerKeurst;19 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;27 weeks on the list,THEY ALL SAW A CAT;by Brendan Wenzel;2 weeks on the list,HOUSE OF ROBOTS;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;2 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;36 weeks on the list,,CASE AGAINST SUGAR;by Gary Taubes;,,,,,,,,,,,,,,,,,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,FURIOUS GEORGE;by George Karl with Curt Sampson;,
8,THE WHISTLER;by John Grisham;14 weeks on the list,SMALL GREAT THINGS;by Jodi Picoult;16 weeks on the list,THE SHACK;by William P. Young;138 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;49 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;4 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;96 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;112 weeks on the list,WORD OF MOUSE;by James Patterson and Chris Grabenstein. Illustrated by Joe Sutphin;7 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;85 weeks on the list",BAD KITTY;by Nick Bruel;7 weeks on the list,MOON CHOSEN;by P. C. Cast;15 weeks on the list,,THE POWER OF HABIT;by Charles Duhigg;,,,,,,,,,,,,,,,,,THE TELOMERE EFFECT;by Elizabeth Blackburn and Elissa Epel;,A LIFE WELL PLAYED;by Arnold Palmer;,
9,MILK AND HONEY;by Rupi Kaur;7 weeks on the list,POWER GAME;by Christine Feehan;New this week,THE GAMES;by James Patterson and Mark Sullivan;4 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;8 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;48 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;New this week,THE WHOLE30 COOKBOOK;by Melissa Hartwig;6 weeks on the list,THE HAMMER OF THOR;by Rick Riordan;17 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;188 weeks on the list,GIVER QUARTET;by Lois Lowry;141 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;37 weeks on the list,,GRIT;by Angela Duckworth;,,,,,,,,,,,,,,,,,THE POWER OF HABIT;by Charles Duhigg;,BARBARIAN DAYS;by William Finnegan;,
10,THE APARTMENT;by Danielle Steel;4 weeks on the list,DEATH'S MISTRESS;by Terry Goodkind;New this week,FIFTY SHADES DARKER;by E. L. James;113 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;10 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;70 weeks on the list,JUST MERCY;by Bryan Stevenson;62 weeks on the list,THE LOSE YOUR BELLY DIET;by Travis Stork;5 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;17 weeks on the list,DU IZ TAK?;by Carson Ellis;New this week,WINGS OF FIRE;by Tui T. Sutherland;19 weeks on the list,SIX OF CROWS;by Leigh Bardugo;51 weeks on the list,,SPARK;by Angie Morgan;,,,,,,,,,,,,,,,,,QUIET;by Susan Cain;,BELICHICK AND BRADY;by Michael Holley;,
11,THE GIRL BEFORE;by J P Delaney;New this week,CROSS THE LINE;by James Patterson;10 weeks on the list,,BORN A CRIME;by Trevor Noah;10 weeks on the list,THE PRINCESS DIARIST;by Carrie Fisher;5 weeks on the list,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,THE SHACK;by William P. Young;New this week,BELOW THE BELT;by Stuart Woods;4 weeks on the list,,INSANE CLOWN PRESIDENT;by Matt Taibbi;2 weeks on the list,TEARS WE CANNOT STOP;by Michael Eric Dyson;2 weeks on the list,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,THE UNDERGROUND RAILROAD;by Colson Whitehead;16 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;11 weeks on the list,,GOSNELL;by Ann McElhinney and Phelim McAleer;New this week,THANK YOU FOR BEING LATE;by Thomas L. Friedman;10 weeks on the list,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,SMALL GREAT THINGS;by Jodi Picoult;16 weeks on the list,FATAL;by John Lescroart;New this week,,THANK YOU FOR BEING LATE;by Thomas L. Friedman;8 weeks on the list,BORN A CRIME;by Trevor Noah;11 weeks on the list,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;2 weeks on the list,COMMONWEALTH;by Ann Patchett;16 weeks on the list,,"THINKING, FAST AND SLOW;by Daniel Kahneman;21 weeks on the list",INSANE CLOWN PRESIDENT;by Matt Taibbi;New this week,,,,,,,,,,,,,,,,,,,,,,,,,,,
