,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE PEOPLE VS. ALEX CROSS;by James Patterson;6 weeks on the list,ORIGIN;by Dan Brown;13 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;13 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;34 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;11 weeks on the list,HORSE SOLDIERS;by Doug Stanton;3 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;55 weeks on the list,WONDER;by R.J. Palacio;125 weeks on the list,HERE WE ARE;by Oliver Jeffers;7 weeks on the list,DOG MAN;by Dav Pilkey;18 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;12 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;,LEONARDO DA VINCI;by Walter Isaacson;,TB12 METHOD;by Tom Brady;
2,TWO KINDS OF TRUTH;by Michael Connelly;7 weeks on the list,THE ROOSTER BAR;by John Grisham;10 weeks on the list,MILK AND HONEY;by Rupi Kaur;90 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;11 weeks on the list,GRANT;by Ron Chernow;12 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;93 weeks on the list,YOU ARE A BADASS;by Jen Sincero;103 weeks on the list,AUGGIE & ME;by R.J. Palacio;57 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;31 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;459 weeks on the list,THE HATE U GIVE;by Angie Thomas;44 weeks on the list,CAPITAL GAINES;by Chip Gaines;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
3,ORIGIN;by Dan Brown;13 weeks on the list,THE PEOPLE VS. ALEX CROSS;by James Patterson;6 weeks on the list,DARKER;by E.L. James;5 weeks on the list,GRANT;by Ron Chernow;12 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;35 weeks on the list,ON TYRANNY;by Timothy Snyder;44 weeks on the list,THE WISDOM OF SUNDAYS;by Oprah Winfrey;11 weeks on the list,LITTLE LEADERS;by Vashti Harrison;3 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;201 weeks on the list,HARRY POTTER;by J.K. Rowling;458 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;27 weeks on the list,PRINCIPLES;by Ray Dalio;,ENDURANCE;by Scott Kelly;,THE BOYS IN THE BOAT;by Daniel James Brown;
4,THE WANTED;by Robert Crais;New this week,THE MIDNIGHT LINE;by Lee Child;8 weeks on the list,READY PLAYER ONE;by Ernest Cline;39 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;24 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;10 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;14 weeks on the list,THE PIONEER WOMAN COOKS: COME AND GET IT!;by Ree Drummond;10 weeks on the list,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;27 weeks on the list,PRESS HERE;by Hervé Tullet;254 weeks on the list,DORK DIARIES;by Rachel Renée Russell;232 weeks on the list,THE BOOK OF DUST: LA BELLE SAUVAGE;by Philip Pullman;11 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
5,TWISTED;by Helen Hardt;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;15 weeks on the list,IT;by Stephen King;20 weeks on the list,THE LAST BLACK UNICORN;by Tiffany Haddish;4 weeks on the list,OBAMA;by Pete Souza;8 weeks on the list,BEING MORTAL;by Atul Gawande;17 weeks on the list,MAKE YOUR BED;by William H. McRaven;34 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;46 weeks on the list,EVERYTHING IS MAMA;by Jimmy Fallon. Illustrated by Miguel Ordóñez;12 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;99 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;65 weeks on the list,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,HIDDEN FIGURES;by Margot Lee Shetterly;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;
6,DARKER;by E.L. James;5 weeks on the list,ARTEMIS;by Andy Weir;7 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;43 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;29 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;15 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;405 weeks on the list,THE WHOLE30 FAST & EASY;by Melissa Hartwig;2 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;22 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;114 weeks on the list,COURT OF THORNS AND ROSES;by Sarah J. Maas;7 weeks on the list,RENEGADES;by Marissa Meyer;8 weeks on the list,SOAR!;by T.D. Jakes;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,FIERCE;by Aly Raisman;
7,THE ROOSTER BAR;by John Grisham;10 weeks on the list,YEAR ONE;by Nora Roberts;4 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;37 weeks on the list,"PROMISE ME, DAD;by Joe Biden;7 weeks on the list","PROMISE ME, DAD;by Joe Biden;7 weeks on the list",THE DEVIL IN THE WHITE CITY;by Erik Larson;348 weeks on the list,PRINCIPLES;by Ray Dalio;13 weeks on the list,THE MAGIC MISFITS;by Neil Patrick Harris;6 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;122 weeks on the list",RED QUEEN;by Victoria Aveyard;17 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;16 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEING MORTAL;by Atul Gawande;,SHAKEN;by Tim Tebow;
8,THE SUN AND HER FLOWERS;by Rupi Kaur;13 weeks on the list,END GAME;by David Baldacci;7 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;39 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;10 weeks on the list,LET TRUMP BE TRUMP;by Corey R. Lewandowski and David N. Bossie;4 weeks on the list,THE SILK ROADS;by Peter Frankopan;3 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;6 weeks on the list,THE DARK PROPHECY;by Rick Riordan;32 weeks on the list,RUNNY BABBIT RETURNS;by Shel Silverstein;8 weeks on the list,MAGNUS CHASE AND THE GODS OF ASGARD;by Rick Riordan;13 weeks on the list,WARCROSS;by Marie Lu;15 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;,WHAT IF?;by Randall Munroe;,"SNEAKERS;by Rodrigo Corral, Alex French and Howie Kahn;"
9,THE ALICE NETWORK;by Kate Quinn;New this week,THE WANTED;by Robert Crais;New this week,THE HANDMAID'S TALE;by Margaret Atwood;45 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;15 weeks on the list,BOBBY KENNEDY;by Chris Matthews;9 weeks on the list,EVICTED;by Matthew Desmond;16 weeks on the list,MEDITATION FOR FIDGETY SKEPTICS;by Dan Harris and Jeff Warren with Carlye Adler;New this week,WOMEN IN SCIENCE;by Rachel Ignotofsky;51 weeks on the list,THROUGH YOUR EYES;by Ainsley Earhardt. Illustrated by Ji-Hyuk Kim;5 weeks on the list,THE SELECTION;by Kiera Cass;67 weeks on the list,THE LANGUAGE OF THORNS;by Leigh Bardugo. Illustrated by Sara Kipin;13 weeks on the list,THE SILK ROADS;by Peter Frankopan;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,ALI: A LIFE;by Jonathan Eig;
10,MILK AND HONEY;by Rupi Kaur;46 weeks on the list,TOM CLANCY POWER AND EMPIRE;by Marc Cameron;5 weeks on the list,THE COUPLE NEXT DOOR;by Shari Lapena;24 weeks on the list,OBAMA;by Pete Souza;8 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;28 weeks on the list,COLLUSION;by Luke Harding;7 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;103 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;14 weeks on the list,AN ELEPHANT AND PIGGIE BIGGIE!;by Mo Willems;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;460 weeks on the list,LORD OF SHADOWS;by Cassandra Clare;20 weeks on the list,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",RELENTLESS;by Julian Edelman with Tom E. Curran;
