,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,THE CUCKOO'S CALLING;by Robert Galbraith;5 weeks on the list,THE CUCKOO'S CALLING;by Robert Galbraith;5 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;4 weeks on the list,,,THE LIBERTY AMENDMENTS;by Mark R. Levin;New this week,THE LIBERTY AMENDMENTS;by Mark R. Levin;New this week,PROOF OF HEAVEN;by Eben Alexander;43 weeks on the list,THE LIBERTY AMENDMENTS;by Mark R. Levin;New this week,THE UNTETHERED SOUL;by Michael A. Singer;2 weeks on the list,THE ANIMAL MAN OMNIBUS;by Grant Morrison and Chas Trouog;2 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;New this week,"NARUTO, VOL. 62;by Masashi Kishimoto;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,PETE THE CAT: THE WHEELS ON THE BUS;by James Dean;8 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;101 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,OUTLIERS;by Malcolm Gladwell;,THE LIBERTY AMENDMENTS;by Mark R. Levin;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
2,ROSE HARBOR IN BLOOM;by Debbie Macomber;New this week,MISTRESS;by James Patterson and David Ellis;2 weeks on the list,THE SILENT WIFE;by A. S. A. Harrison;4 weeks on the list,,,ZEALOT;by Reza Aslan;5 weeks on the list,ZEALOT;by Reza Aslan;5 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;5 weeks on the list,PRINCESS;by Jean Sasson;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;19 weeks on the list,PACIFIC RIM: TALES FROM YEAR ZERO;by Travis Beacham and Sean Chen;9 weeks on the list,PERSEPOLIS;by Marjane Satrapi;13 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;10 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;8 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;302 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,INFILTRATED;by Jay W. Richards;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THIS TOWN;by Mark Leibovich;,QUIET;by Susan Cain;
3,MISTRESS;by James Patterson and David Ellis;2 weeks on the list,ROSE HARBOR IN BLOOM;by Debbie Macomber;New this week,FIFTY SHADES OF GREY;by E. L. James;75 weeks on the list,,,PRINCESS;by Jean Sasson;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;23 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;128 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;6 weeks on the list,WHEAT BELLY;by William Davis;19 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;17 weeks on the list","MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;36 weeks on the list","ATTACK ON TITAN, VOL. 3;by Hajime Isayama;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,LLAMA LLAMA AND THE BULLY GOAT;by Anna Dewdney;2 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;156 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,TIPPING POINT;by Malcolm Gladwell;,UNBROKEN;by Laura Hillenbrand;,THE SPORTS GENE;by David Epstein;
4,THE HUSBAND'S SECRET;by Liane Moriarty;2 weeks on the list,INFERNO;by Dan Brown;14 weeks on the list,JOYLAND;by Stephen King;11 weeks on the list,,,ORANGE IS THE NEW BLACK;by Piper Kerman;5 weeks on the list,INFILTRATED;by Jay W. Richards;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;115 weeks on the list,ZEALOT;by Reza Aslan;5 weeks on the list,E-SQUARED;by Pam Grout;5 weeks on the list,LOST CAT;by Jason;New this week,"NIGHTWING, VOL. 2;by Eddy Barrows;3 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;5 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;98 weeks on the list",ORIGAMI YODA;by Tom Angleberger. Illustrated;14 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE LEADERSHIP CONTRACT;by Vince Molinaro;,DRIVE;by Daniel H. Pink;,LAWRENCE IN ARABIA;by Scott Anderson;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,HIGH HEAT;by Lee Child;2 weeks on the list,AND THE MOUNTAINS ECHOED;by Khaled Hosseini;13 weeks on the list,THE ALCHEMIST;by Paulo Coelho;266 weeks on the list,,,PROOF OF HEAVEN;by Eben Alexander;43 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;15 weeks on the list",THE GLASS CASTLE;by Jeannette Walls;325 weeks on the list,BUTLER;by Wil Haygood;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;19 weeks on the list,"WONDER WOMAN, VOL. 2;by Brian Azzarello and Cliff Chiang;4 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;35 weeks on the list","BAKUMAN, VOL. 20;by Tsugumi Ohba;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;105 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;39 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,STEVE JOBS;by Walter Isaacson;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,COLLISION 2012;by Dan Balz;,THE HAPPINESS PROJECT;by Gretchen Rubin;
6,THE BOY IN THE SUITCASE;by Lene Kaaberbol;3 weeks on the list,GONE GIRL;by Gillian Flynn;63 weeks on the list,BEAUTIFUL RUINS;by Jess Walter;20 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;15 weeks on the list",THIS TOWN;by Mark Leibovich;5 weeks on the list,QUIET;by Susan Cain;29 weeks on the list,LOSS OF EDEN;by Joyce Milton;New this week,EATING ON THE WILD SIDE;by Jo Robinson;3 weeks on the list,BEFORE WATCHMEN: COMEDIAN/RORSCHACH;by various;5 weeks on the list,"HAWKEYE, VOL. 2;by Matt Fraction and David Aja;4 weeks on the list",ALICE IN THE COUNTRY OF HEARTS: THE CLOCKMAKER'S STORY;by Quinrose and Soumei Hoshino;12 weeks on the list,WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;71 weeks on the list,DORK DIARIES;by Rachel Renée Russell;84 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE CHECKLIST MANIFESTO;by Atul Gawande;,BUTLER;by Wil Haygood;,THE POWER OF HABIT;by Charles Duhigg;
7,DUST;by Hugh Howey;New this week,THE ENGLISH GIRL;by Daniel Silva;5 weeks on the list,BURN;by Maya Banks;2 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;23 weeks on the list,LAWRENCE IN ARABIA;by Scott Anderson;2 weeks on the list,WILD;by Cheryl Strayed;21 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;15 weeks on the list",DARING GREATLY;by Brené Brown;19 weeks on the list,"A GAME OF THRONES, VOL. 2;by Daniel Abraham and Tommy Patterson;8 weeks on the list","DR. STRANGE AND DR. DOOM, TRIUMPH AND TORMENT;by various;New this week","ATTACK ON TITAN, VOL. 5;by Hajime Isayama;6 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;18 weeks on the list",GIVER QUARTET;by Lois Lowry;20 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",THE GUNS AT LAST LIGHT;by Rick Atkinson;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
8,AFTERBURN;by Sylvia Day;New this week,THE OCEAN AT THE END OF THE LANE;by Neil Gaiman;9 weeks on the list,FIFTY SHADES DARKER;by E. L. James;72 weeks on the list,,,BUTLER;by Wil Haygood;New this week,UNBROKEN;by Laura Hillenbrand;142 weeks on the list,HOW CHILDREN SUCCEED;by Paul Tough;7 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;43 weeks on the list,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;6 weeks on the list,PRIMATES;by Jim Ottaviani and Maris Wicks;9 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;9 weeks on the list","SAILOR MOON, VOL. 12;by Naoko Takeuchi;4 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,A BIG GUY TOOK MY BALL!;by Mo Willems;13 weeks on the list,THE MAZE RUNNER;by James Dashner;59 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,PREDICTABLY IRRATIONAL;by Dan Ariely;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE REASON I JUMP;by Naoki Higashida;
9,INFERNO;by Dan Brown;14 weeks on the list,THE HUSBAND'S SECRET;by Liane Moriarty;2 weeks on the list,"ALEX CROSS, RUN;by James Patterson;3 weeks on the list",,,THIS TOWN;by Mark Leibovich;5 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;17 weeks on the list,BRAIN ON FIRE;by Susannah Cahalan;2 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;23 weeks on the list,EAT TO LIVE;by Joel Fuhrman;15 weeks on the list,HARK! A VAGRANT;by Kate Beaton;24 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;154 weeks on the list","BLACK BUTLER, VOL. 14;by Yana Toboso;4 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;42 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;240 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,MONEY CODE;by Joe John Duran;,KEEP IT PITHY;by Bill O'Reilly;,THE CHECKLIST MANIFESTO;by Atul Gawande;
10,THE SILENT WIFE;by A. S. A. Harrison;4 weeks on the list,A DANCE WITH DRAGONS;by George R. R. Martin;84 weeks on the list,THE KITE RUNNER;by Khaled Hosseini;108 weeks on the list,,,LAWRENCE IN ARABIA;by Scott Anderson;2 weeks on the list,THESE FEW PRECIOUS DAYS;by Christopher Andersen;2 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;27 weeks on the list,THIS TOWN;by Mark Leibovich;5 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;19 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;31 weeks on the list,DRAMA;by Raina Telgemeier;40 weeks on the list,"BLACK BUTLER, VOL. 1;by Yana Toboso;32 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,JOURNEY;by Aaron Becker;2 weeks on the list,MATCHED TRILOGY;by Ally Condie;15 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,CRAZY RICH;by Jerry Oppenheimer;,BOOMERANG;by Michael Lewis;,AMERICAN GUN;by Chris Kyle with William Doyle;,INSIDE OF A DOG;by Alexandra Horowitz;
