,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE WOMAN IN THE WINDOW;by A.J. Finn;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;New this week,THE SUN AND HER FLOWERS;by Rupi Kaur;14 weeks on the list,FIRE AND FURY;by Michael Wolff;New this week,FIRE AND FURY;by Michael Wolff;New this week,HORSE SOLDIERS;by Doug Stanton;4 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;7 weeks on the list,WONDER;by R.J. Palacio;126 weeks on the list,HERE WE ARE;by Oliver Jeffers;8 weeks on the list,DOG MAN;by Dav Pilkey;19 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;13 weeks on the list,TRIBE OF MENTORS;by Timothy Ferriss;,LEONARDO DA VINCI;by Walter Isaacson;,TB12 METHOD;by Tom Brady;
2,END GAME;by David Baldacci;8 weeks on the list,ORIGIN;by Dan Brown;14 weeks on the list,MILK AND HONEY;by Rupi Kaur;91 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;35 weeks on the list,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;36 weeks on the list,EVICTED;by Matthew Desmond;17 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;56 weeks on the list,AUGGIE & ME;by R.J. Palacio;58 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;202 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;460 weeks on the list,THE HATE U GIVE;by Angie Thomas;45 weeks on the list,CAPITAL GAINES;by Chip Gaines;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,BASKETBALL (AND OTHER THINGS);by Shea Serrano. Illustrated by Arturo Torres;
3,ORIGIN;by Dan Brown;14 weeks on the list,THE ROOSTER BAR;by John Grisham;11 weeks on the list,READY PLAYER ONE;by Ernest Cline;40 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;11 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;12 weeks on the list,BEING MORTAL;by Atul Gawande;18 weeks on the list,YOU ARE A BADASS;by Jen Sincero;104 weeks on the list,LITTLE LEADERS;by Vashti Harrison;4 weeks on the list,SHE PERSISTED;by Chelsea Clinton. Illustrated by Alexandra Boiger;32 weeks on the list,HARRY POTTER;by J.K. Rowling;459 weeks on the list,THE CRUEL PRINCE;by Holly Black;New this week,PRINCIPLES;by Ray Dalio;,ENDURANCE;by Scott Kelly;,THE BOYS IN THE BOAT;by Daniel James Brown;
4,UNBOUND;by Stuart Woods;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;16 weeks on the list,DARKER;by E.L. James;6 weeks on the list,LEONARDO DA VINCI;by Walter Isaacson;12 weeks on the list,GRANT;by Ron Chernow;13 weeks on the list,COLLUSION;by Luke Harding;8 weeks on the list,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;104 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;15 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;123 weeks on the list",DORK DIARIES;by Rachel Renée Russell;233 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;28 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,SAPIENS;by Yuval Noah Harari;,SHOE DOG;by Phil Knight;
5,ROBICHEAUX;by James Lee Burke;New this week,"SING, UNBURIED, SING;by Jesmyn Ward;3 weeks on the list",WE WERE THE LUCKY ONES;by Georgia Hunter;New this week,GRANT;by Ron Chernow;13 weeks on the list,"PROMISE ME, DAD;by Joe Biden;8 weeks on the list","THINKING, FAST AND SLOW;by Daniel Kahneman;153 weeks on the list",PRINCIPLES;by Ray Dalio;14 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;47 weeks on the list,EVERYTHING IS MAMA;by Jimmy Fallon. Illustrated by Miguel Ordóñez;13 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;24 weeks on the list,BATMAN: NIGHTWALKER;by Marie Lu;New this week,DISCIPLINE EQUALS FREEDOM;by Jocko Willink;,HIDDEN FIGURES;by Margot Lee Shetterly;,RUN FAST. EAT SLOW;by Shalane Flanagan and Elyse Kopecky;
6,LITTLE FIRES EVERYWHERE;by Celeste Ng;11 weeks on the list,ROBICHEAUX;by James Lee Burke;New this week,THE HANDMAID'S TALE;by Margaret Atwood;46 weeks on the list,HOME SWEET MURDER;by James Patterson;New this week,LET TRUMP BE TRUMP;by Corey R. Lewandowski and David N. Bossie;5 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;406 weeks on the list,THE WISDOM OF SUNDAYS;by Oprah Winfrey;12 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;52 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;115 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;100 weeks on the list,THE BOOK OF DUST: LA BELLE SAUVAGE;by Philip Pullman;12 weeks on the list,SOAR!;by T.D. Jakes;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,FIERCE;by Aly Raisman;
7,THE SUN AND HER FLOWERS;by Rupi Kaur;14 weeks on the list,UNBOUND;by Stuart Woods;New this week,LILAC GIRLS;by Martha Hall Kelly;44 weeks on the list,THE LAST BLACK UNICORN;by Tiffany Haddish;5 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;11 weeks on the list,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;15 weeks on the list,THE GENTLE ART OF SWEDISH DEATH CLEANING;by Margareta Magnusson;New this week,GOOD NIGHT STORIES FOR REBEL GIRLS;by Elena Favilli and Francesca Cavallo;28 weeks on the list,AN ELEPHANT AND PIGGIE BIGGIE!;by Mo Willems;3 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;96 weeks on the list,RENEGADES;by Marissa Meyer;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BEING MORTAL;by Atul Gawande;,SHAKEN;by Tim Tebow;
8,THE ROOSTER BAR;by John Grisham;11 weeks on the list,THE PEOPLE VS. ALEX CROSS;by James Patterson;7 weeks on the list,CALL ME BY YOUR NAME;by André Aciman;New this week,KILLERS OF THE FLOWER MOON;by David Grann;30 weeks on the list,THE LAST BLACK UNICORN;by Tiffany Haddish;4 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;98 weeks on the list,THE WHOLE30 FAST & EASY;by Melissa Hartwig;3 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;23 weeks on the list,AFTER THE FALL;by Dan Santat;6 weeks on the list,MAGNUS CHASE AND THE GODS OF ASGARD;by Rick Riordan;14 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;66 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;,WHAT IF?;by Randall Munroe;,"SNEAKERS;by Rodrigo Corral, Alex French and Howie Kahn;"
9,MILK AND HONEY;by Rupi Kaur;47 weeks on the list,THE MIDNIGHT LINE;by Lee Child;9 weeks on the list,THE WOMAN IN CABIN 10;by Ruth Ware;38 weeks on the list,WE'RE GOING TO NEED MORE WINE;by Gabrielle Union;4 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;29 weeks on the list,ON TYRANNY;by Timothy Snyder;45 weeks on the list,MEDITATION FOR FIDGETY SKEPTICS;by Dan Harris and Jeff Warren with Carlye Adler;2 weeks on the list,THE MAGIC MISFITS;by Neil Patrick Harris;7 weeks on the list,DRAGONS LOVE TACOS 2;by Adam Rubin and Daniel Salmieri;18 weeks on the list,THE BAD GUYS;by Aaron Blabey;2 weeks on the list,WONDER WOMAN: WARBRINGER;by Leigh Bardugo;17 weeks on the list,THE SILK ROADS;by Peter Frankopan;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,ALI: A LIFE;by Jonathan Eig;
10,DARKER;by E.L. James;6 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;16 weeks on the list,THE WOMEN IN THE CASTLE;by Jessica Shattuck;New this week,HORSE SOLDIERS;by Doug Stanton;2 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;71 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;160 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;144 weeks on the list,THE DARK PROPHECY;by Rick Riordan;33 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;45 weeks on the list",THE MAZE RUNNER;by James Dashner;193 weeks on the list,WARCROSS;by Marie Lu;16 weeks on the list,SHOE DOG;by Phil Knight;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",RELENTLESS;by Julian Edelman with Tom E. Curran;
11,PROMISE NOT TO TELL;by Jayne Ann Krentz;New this week,YEAR ONE;by Nora Roberts;5 weeks on the list,,HILLBILLY ELEGY;by J.D. Vance;70 weeks on the list,KILLING ENGLAND;by Bill O'Reilly and Martin Dugard;16 weeks on the list,,,,,,,,,
12,READY PLAYER ONE;by Ernest Cline;7 weeks on the list,ARTEMIS;by Andy Weir;8 weeks on the list,,"PROMISE ME, DAD;by Joe Biden;8 weeks on the list",THE DANGEROUS CASE OF DONALD TRUMP;edited by Bandy X. Lee;5 weeks on the list,,,,,,,,,
13,"SING, UNBURIED, SING;by Jesmyn Ward;New this week",A GENTLEMAN IN MOSCOW;by Amor Towles;47 weeks on the list,,LET TRUMP BE TRUMP;by Corey R. Lewandowski and David N. Bossie;5 weeks on the list,BOBBY KENNEDY;by Chris Matthews;10 weeks on the list,,,,,,,,,
14,THE MIDNIGHT LINE;by Lee Child;9 weeks on the list,END GAME;by David Baldacci;8 weeks on the list,,"MURDER, INTERRUPTED;by James Patterson;New this week",WOMEN & POWER;by Mary Beard;New this week,,,,,,,,,
15,BEFORE WE WERE YOURS;by Lisa Wingate;15 weeks on the list,THE POWER;by Naomi Alderman;New this week,,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;11 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;67 weeks on the list,,,,,,,,,
