,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Science,Sports and Fitness
1,LONG ROAD TO MERCY;by David Baldacci;7 weeks on the list,THE RECKONING;by John Grisham;10 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;17 weeks on the list,BECOMING;by Michelle Obama;7 weeks on the list,BECOMING;by Michelle Obama;7 weeks on the list,SAPIENS;by Yuval Noah Harari;33 weeks on the list,"GIRL, WASH YOUR FACE;by Rachel Hollis;38 weeks on the list",WONDER;by R.J. Palacio;177 weeks on the list,CONSTRUCTION SITE ON CHRISTMAS NIGHT;by Sherri Duskey Rinker. Illustrated by A. G. Ford;11 weeks on the list,DOG MAN;by Dav Pilkey;70 weeks on the list,THE HATE U GIVE;by Angie Thomas;96 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BECOMING;by Michelle Obama;,LEADERSHIP;by Doris Kearns Goodwin;,SAPIENS;by Yuval Noah Harari;,THE MAMBA MENTALITY;by Kobe Bryant;
2,THE RECKONING;by John Grisham;10 weeks on the list,FIRE AND BLOOD;by George R.R. Martin;6 weeks on the list,A DOG'S WAY HOME;by W. Bruce Cameron;5 weeks on the list,EDUCATED;by Tara Westover;45 weeks on the list,"THE POINT OF IT ALL;by Charles Krauthammer, edited by Daniel Krauthammer;4 weeks on the list",THE INNOCENT MAN;by John Grisham;42 weeks on the list,HOMEBODY;by Joanna Gaines;8 weeks on the list,A VELOCITY OF BEING;edited by Maria Popova and Claudia Bedrick;New this week,HOW TO CATCH AN ELF;by Adam Wallace. Illustrated by Andy Elkerton;14 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;511 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;12 weeks on the list",OF BLOOD AND BONE;by Nora Roberts;,EDUCATED;by Tara Westover;,DARE TO LEAD;by Brené Brown;,BRIEF ANSWERS TO THE BIG QUESTIONS;by Stephen Hawking;,THE BIG FELLA;by Jane Leavy;
3,WHERE THE CRAWDADS SING;by Delia Owens;16 weeks on the list,EVERY BREATH;by Nicholas Sparks;11 weeks on the list,CRAZY RICH ASIANS;by Kevin Kwan;36 weeks on the list,"THE POINT OF IT ALL;by Charles Krauthammer, edited by Daniel Krauthammer;4 weeks on the list",EDUCATED;by Tara Westover;45 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;39 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;107 weeks on the list,MAX EINSTEIN: THE GENIUS EXPERIMENT;by James Patterson and Chris Grabenstein. Illustrated by Beverly Johnson;12 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;82 weeks on the list,HARRY POTTER;by J.K. Rowling;510 weeks on the list,BRIDGE OF CLAY;by Markus Zusak;12 weeks on the list,ONE DAY IN DECEMBER;by Josie Silver;,SAPIENS;by Yuval Noah Harari;,BAD BLOOD;by John Carreyrou;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,THIS IS THE DAY;by Tim Tebow with A.J. Gregory;
4,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;16 weeks on the list,TARGET: ALEX CROSS;by James Patterson;6 weeks on the list,ELEANOR OLIPHANT IS COMPLETELY FINE;by Gail Honeyman;30 weeks on the list,SAPIENS;by Yuval Noah Harari;53 weeks on the list,KILLING THE SS;by Bill O'Reilly and Martin Dugard;12 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;195 weeks on the list",CAN'T HURT ME;by David Goggins;New this week,DOG DIARIES;by James Patterson with Steven Butler. Illustrated by Richard Watson;3 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;252 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;35 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;43 weeks on the list,THE RECKONING;by John Grisham;,"EVIL HAS A NAME;by Paul Holes, Jim Clemente and Peter McDonnell;",ATOMIC HABITS;by James Clear;,ASTROPHYSICS FOR PEOPLE IN A HURRY;by Neil deGrasse Tyson;,RACING TO THE FINISH;by Dale Earnhardt Jr. with Ryan McGee;
5,FIRE AND BLOOD;by George R.R. Martin;6 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;17 weeks on the list,MILK AND HONEY;by Rupi Kaur;142 weeks on the list,KILLING THE SS;by Bill O'Reilly and Martin Dugard;12 weeks on the list,BRIEF ANSWERS TO THE BIG QUESTIONS;by Stephen Hawking;11 weeks on the list,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;7 weeks on the list,YOU ARE A BADASS;by Jen Sincero;152 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;79 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;165 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;24 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;4 weeks on the list,NINE PERFECT STRANGERS;by Liane Moriarty;,BAD BLOOD;by John Carreyrou;,PRINCIPLES;by Ray Dalio;,WHAT IF?;by Randall Munroe;,SHOE DOG;by Phil Knight;
6,EVERY BREATH;by Nicholas Sparks;11 weeks on the list,THE NEXT PERSON YOU MEET IN HEAVEN;by Mitch Albom;12 weeks on the list,THE SUN AND HER FLOWERS;by Rupi Kaur;65 weeks on the list,BAD BLOOD;by John Carreyrou;21 weeks on the list,SHADE;by Pete Souza;11 weeks on the list,BEAUTIFUL BOY;by David Sheff;16 weeks on the list,MAGNOLIA TABLE;by Joanna Gaines with Marah Stets;31 weeks on the list,THE ATLAS OBSCURA EXPLORER'S GUIDE FOR THE WORLD'S MOST ADVENTUROUS KID;by Dylan Thuras and Rosemary Mosco. Illustrated by Joy Ang;8 weeks on the list,PETE THE CAT'S 12 GROOVY DAYS OF CHRISTMAS;by Kimberly and James Dean;7 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;151 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;71 weeks on the list,LONG ROAD TO MERCY;by David Baldacci;,BORN A CRIME;by Trevor Noah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,HOW TO CHANGE YOUR MIND;by Michael Pollan;,THE STORY OF BASEBALL: IN 100 PHOTOGRAPHS;by The Editors of Sports Illustrated;
7,BIRD BOX;by Josh Malerman;New this week,ELEVATION;by Stephen King;9 weeks on the list,ONE DAY IN DECEMBER;by Josie Silver;4 weeks on the list,GRANT;by Ron Chernow;18 weeks on the list,LEADERSHIP;by Doris Kearns Goodwin;15 weeks on the list,HOMO DEUS;by Yuval Noah Harari;5 weeks on the list,CRAVINGS: HUNGRY FOR MORE;by Chrissy Teigen and Adeena Sussman;9 weeks on the list,MINECRAFT: THE CRASH;by Tracey Baptiste;19 weeks on the list,P IS FOR PTERODACTYL;by Raj Haldar and Chris Carpenter. Illustrated by Maria Tina Beddia;4 weeks on the list,THE BAD GUYS;by Aaron Blabey;21 weeks on the list,WHAT IF IT'S US;by Becky Albertalli and Adam Silvera;12 weeks on the list,FIRE AND BLOOD;by George R.R. Martin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,SHOE DOG;by Phil Knight;,HOMO DEUS;by Yuval Noah Harari;,"BASKETBALL: A LOVE STORY;by Jackie MacMullan, Rafe Bartholomew and Dan Klores;"
8,TARGET: ALEX CROSS;by James Patterson;6 weeks on the list,PAST TENSE;by Lee Child;8 weeks on the list,CHINA RICH GIRLFRIEND;by Kevin Kwan;21 weeks on the list,CHURCHILL: WALKING WITH DESTINY;by Andrew Roberts;4 weeks on the list,CHURCHILL: WALKING WITH DESTINY;by Andrew Roberts;7 weeks on the list,SHOE DOG;by Phil Knight;24 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;146 weeks on the list,"MAC B., KID SPY: MAC UNDERCOVER;by Mac Barnett. Illustrated by Mike Lowery;6 weeks on the list",THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;256 weeks on the list,DARK ARTIFICES;by Cassandra Clare;4 weeks on the list,TURTLES ALL THE WAY DOWN;by John Green;62 weeks on the list,CIRCE;by Madeline Miller;,21 LESSONS FOR THE 21ST CENTURY;by Yuval Noah Harari;,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",QUARTERBACK;by John Feinstein;
9,A DOG'S WAY HOME;by W. Bruce Cameron;3 weeks on the list,NINE PERFECT STRANGERS;by Liane Moriarty;8 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;65 weeks on the list,BRIEF ANSWERS TO THE BIG QUESTIONS;by Stephen Hawking;11 weeks on the list,FEAR;by Bob Woodward;16 weeks on the list,ANDREW JACKSON AND THE MIRACLE OF NEW ORLEANS;by Brian Kilmeade and Don Yaeger;10 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;13 weeks on the list,LOUISIANA'S WAY HOME;by Kate DiCamillo;11 weeks on the list,GRUMPY MONKEY;by Suzanne Lang. Illustrated by Max Lang;3 weeks on the list,DORK DIARIES;by Rachel Renée Russell;272 weeks on the list,GIRLS OF PAPER AND FIRE;by Natasha Ngan;8 weeks on the list,EVERY BREATH;by Nicholas Sparks;,THE POWER OF HABIT;by Charles Duhigg;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE BODY KEEPS THE SCORE;by Bessel van der Kolk;,THE PATS;by Glenn Stout and Richard A. Johnson;
10,PAST TENSE;by Lee Child;8 weeks on the list,LONG ROAD TO MERCY;by David Baldacci;7 weeks on the list,LESS;by Andrew Sean Greer;32 weeks on the list,FEAR;by Bob Woodward;16 weeks on the list,BEASTIE BOYS BOOK;by Michael Diamond and Adam Horovitz;9 weeks on the list,GRIT;by Angela Duckworth;18 weeks on the list,COOK LIKE A PRO;by Ina Garten;10 weeks on the list,MINECRAFT: THE ISLAND;by Max Brooks;48 weeks on the list,A DAY IN THE LIFE OF MARLON BUNDO;by Marlon Bundo with Jill Twiss. Illustrated by E.G. Keller;29 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;16 weeks on the list,THE HAZEL WOOD;by Melissa Albert;36 weeks on the list,THE NAME OF THE WIND;by Patrick Rothfuss;,WE'RE GOING TO NEED MORE WINE;by Gabrielle Union;,GRIT;by Angela Duckworth;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,BELICHICK;by Ian O'Connor;
