,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,SING YOU HOME;by Jodi Picoult;New this week,THE WISE MAN'S FEAR;by Patrick Rothfuss;New this week,WATER FOR ELEPHANTS;by Sara Gruen;110 weeks on the list,,,THE WISE MAN'S FEAR;by Patrick Rothfuss;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;6 weeks on the list,UNBROKEN;by Laura Hillenbrand;16 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;16 weeks on the list,UNBROKEN;by Laura Hillenbrand;6 weeks on the list,TELL TO WIN;by Peter Guber;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;188 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,BATMAN: THE RETURN OF BRUCE WAYNE;by Grant Morrison and various;4 weeks on the list,DAYTRIPPER;by Fabio Moon and Gabriel Ba;3 weeks on the list,"YU-GI-OH! GX, VOL. 6;by Naoyuki Kageyama;New this week",I AM NUMBER FOUR;by Pittacus Lore;13 weeks on the list,BEASTLY;by Alex Flinn;4 weeks on the list,SILVERLICIOUS;written and illustrated by Victoria Kann;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;112 weeks on the list
2,THE WISE MAN'S FEAR;by Patrick Rothfuss;New this week,SING YOU HOME;by Jodi Picoult;New this week,CUTTING FOR STONE;by Abraham Verghese;58 weeks on the list,,,SING YOU HOME;by Jodi Picoult;,UNBROKEN;by Laura Hillenbrand;6 weeks on the list,"BLOOD, BONES AND BUTTER;by Gabrielle Hamilton;New this week",INSIDE OF A DOG;by Alexandra Horowitz;22 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;6 weeks on the list,A SIMPLE GOVERNMENT;by Mike Huckabee;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;501 weeks on the list,UNBROKEN;by Laura Hillenbrand;,TRUE BLOOD: ALL TOGETHER NOW;by Alan Ball and others;3 weeks on the list,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;52 weeks on the list,"BLEACH, VOL. 34;by Tite Kubo;New this week",THE LOST HERO;by Rick Riordan;21 weeks on the list,WITCH AND WIZARD;by James Patterson and Gabrielle Charbonnet;18 weeks on the list,ASPIRING ARTIST;by Jane O'Connor. Illustrated by Robin Preiss Glasser;New this week,THE HUNGER GAMES;by Suzanne Collins;28 weeks on the list
3,RIVER MARKED;by Patricia Briggs;New this week,RIVER MARKED;by Patricia Briggs;New this week,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;2 weeks on the list,,,WATER FOR ELEPHANTS;by Sara Gruen;,"BLOOD, BONES AND BUTTER;by Gabrielle Hamilton;New this week",CLEOPATRA;by Stacy Schiff;18 weeks on the list,THE BIG SHORT;by Michael Lewis;5 weeks on the list,UNTIED;by Meredith Baxter;New this week,REVOLT!;by Dick Morris;New this week,CRAZY LOVE;by Francis Chan with Danae Yankoski;20 weeks on the list,THE BIG SHORT;by Michael Lewis;,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;19 weeks on the list","SCALPED, VOL. 7;by Jason Aaron;New this week","NARUTO, VOL. 50;by Masashi Kishimoto;5 weeks on the list","JUSTIN BIEBER, FIRST STEP 2 FOREVER;by Justin Bieber;14 weeks on the list",RED RIDING HOOD;by Sarah Blakley-Cartwright;6 weeks on the list,LEGO STAR WARS;by Simon Beecroft;63 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;191 weeks on the list
4,WATER FOR ELEPHANTS;by Sara Gruen;6 weeks on the list,MINDING FRANKIE;by Maeve Binchy;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;89 weeks on the list,,,RIVER MARKED;by Patricia Briggs;,THE BIG SHORT;by Michael Lewis;6 weeks on the list,IN THE BLINK OF AN EYE;by Michael Waltrip and Ellis Henican;5 weeks on the list,THE KING’S SPEECH;by Mark Logue and Peter Conradi;7 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;6 weeks on the list,SURVIVING YOUR SERENGETI;by Stefan Swanepoel;New this week,THE HAPPINESS PROJECT;by Gretchen Rubin;New this week,INSIDE OF A DOG;by Alexandra Horowitz;,"BRIGHTEST DAY, VOL. 1;by Geoff Johns and Peter Tomasi;13 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;68 weeks on the list","BLACK BUTLER, VOL. 4;by Yana Toboso;6 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;44 weeks on the list",THE BOOK THIEF;by Markus Zusak;182 weeks on the list,WHEN I GROW UP;by Al Yankovic. Illustrated by Wes Hargis;5 weeks on the list,MAXIMUM RIDE;by James Patterson;68 weeks on the list
5,TICK TOCK;by James Patterson and Michael Ledwidge;6 weeks on the list,TREACHERY IN DEATH;by J. D. Robb;2 weeks on the list,LITTLE BEE;by Chris Cleave;55 weeks on the list,,,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;,CLEOPATRA;by Stacy Schiff;6 weeks on the list,KNOWN AND UNKNOWN;by Donald Rumsfeld;4 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;209 weeks on the list,DECISION POINTS;by George W. Bush;6 weeks on the list,PEACE FROM BROKEN PIECES;by Iyanla Vanzant;2 weeks on the list,5 VERY GOOD REASONS TO PUNCH A DOLPHIN IN THE MOUTH;by The Oatmeal;New this week,"BLOOD, BONES AND BUTTER;by Gabrielle Hamilton;",NEMESIS;by Mark Millar and Steve McNiven;2 weeks on the list,SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;48 weeks on the list,"SOUL EATER, VOL. 5;by Atsushi Ohkubo;2 weeks on the list",DEMONGLASS;by Rachel Hawkins;New this week,FALLEN;by Lauren Kate;23 weeks on the list,A SICK DAY FOR AMOS McGEE;by Philip C. Stead. Illustrated by Erin E. Stead;8 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;118 weeks on the list
6,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;6 weeks on the list,A DISCOVERY OF WITCHES;by Deborah Harkness;4 weeks on the list,THE POSTMISTRESS;by Sarah Blake;5 weeks on the list,,,MINDING FRANKIE;by Maeve Binchy;,DECISION POINTS;by George W. Bush;6 weeks on the list,DECISION POINTS;by George W. Bush;17 weeks on the list,WHAT THE DOG SAW;by Malcolm Gladwell;12 weeks on the list,"BLOOD, BONES AND BUTTER;by Gabrielle Hamilton;New this week",WIN;by Frank I. Luntz;New this week,RADICAL;by David Platt;39 weeks on the list,THE KING’S SPEECH;by Mark Logue and Peter Conradi;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;24 weeks on the list","THE WALKING DEAD, VOL. 13;by Robert Kirkman and Charlie Adlard;14 weeks on the list","BLACK BIRD, VOL. 7;by Kanoko Sakurakoji;5 weeks on the list",HOTHEAD;by Cal Ripken Jr. and Kevin Cowherd;New this week,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;89 weeks on the list,OF THEE I SING;by Barack Obama. Illustrated by Loren Long;16 weeks on the list,THE 39 CLUES;by various authors;78 weeks on the list
7,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;6 weeks on the list,TICK TOCK;by James Patterson and Michael Ledwidge;6 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;50 weeks on the list,,,TREACHERY IN DEATH;by J. D. Robb;,UNTIED;by Meredith Baxter;New this week,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;8 weeks on the list,127 HOURS;by Aron Ralston;7 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;6 weeks on the list,THE 4-HOUR BODY;by Timothy Ferriss;12 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;117 weeks on the list,CLEOPATRA;by Stacy Schiff;,BUFFY THE VAMPIRE SLAYER: TALES;by Joss Whedon and others;6 weeks on the list,SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;40 weeks on the list,"FULLMETAL ALCHEMIST, VOL. 24;by Hiromu Arakawa;7 weeks on the list",THE GIFT;by James Patterson and Ned Rust;12 weeks on the list,THE EVOLUTION OF CALPURNIA TATE;by Jacqueline Kelly;5 weeks on the list,INTERRUPTING CHICKEN;written and illustrated by David Ezra Stein;7 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;187 weeks on the list
8,TREACHERY IN DEATH;by J. D. Robb;2 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;41 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;91 weeks on the list,,,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;6 weeks on the list,I BEAT THE ODDS;by Michael Oher with Don Yaeger;4 weeks on the list,JUST KIDS;by Patti Smith;18 weeks on the list,CLEOPATRA;by Stacy Schiff;6 weeks on the list,"STRAIGHT TALK, NO CHASER;by Steve Harvey with Denene Millner;11 weeks on the list","THE NEW ATKINS FOR A NEW YOU;by Eric C. Westman, Stephen D. Phinney and Jeff S. Volek;25 weeks on the list",IN THE BLINK OF AN EYE;by Michael Waltrip and Ellis Henican;,BLACKEST NIGHT;by Geoff Johns and Ivan Reis;26 weeks on the list,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;44 weeks on the list,"LIBRARY WARS, VOL. 4;by Hiro Arikawa;New this week",MOON OVER MANIFEST;by Clare Vanderpool;8 weeks on the list,WHEN YOU REACH ME;by Rebecca Stead;10 weeks on the list,I BROKE MY TRUNK!;by Mo Willems;4 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;40 weeks on the list
9,ALONE;by Lisa Gardner;4 weeks on the list,PALE DEMON;by Kim Harrison;2 weeks on the list,TRUE GRIT;by Charles Portis;12 weeks on the list,,,A DISCOVERY OF WITCHES;by Deborah Harkness;,THE KING’S SPEECH;by Mark Logue and Peter Conradi;New this week,LIFE;by Keith Richards with James Fox;19 weeks on the list,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;62 weeks on the list",90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;6 weeks on the list,WEIGHT WATCHERS NEW COMPLETE COOKBOOK;by the Weight Watchers staff;4 weeks on the list,MADE TO CRAVE;by Lysa TerKeurst;8 weeks on the list,KNOWN AND UNKNOWN;by Donald Rumsfeld;,DARK TOWER: TREACHERY;by Robin Furth and Peter David;4 weeks on the list,SCOTT PILGRIM’S FINEST HOUR;by Bryan Lee O’Malley;33 weeks on the list,"VAMPIRE KNIGHT, VOL. 11;by Matsuri Hino;13 weeks on the list",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;32 weeks on the list,INCARCERON;by Catherine Fisher;4 weeks on the list,MADELINE AT THE WHITE HOUSE;written and illustrated by John Bemelmans Marciano;5 weeks on the list,HOW TO TRAIN YOUR DRAGON;by Cressida Cowell;14 weeks on the list
10,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;6 weeks on the list,THE PARIS WIFE;by Paula McLain;2 weeks on the list,HOTEL ON THE CORNER OF BITTER AND SWEET;by Jamie Ford;41 weeks on the list,,,A CREED IN STONE CREEK;by Linda Lael Miller;,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;6 weeks on the list,AGAINST ALL ODDS;by Scott Brown;2 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;213 weeks on the list",MY HORIZONTAL LIFE;by Chelsea Handler;6 weeks on the list,FORTYTUDE;by Sarah Brokaw with Meimei Fox;New this week,"EAT THIS, NOT THAT! 2011;David Zinczenko with Matt Goulding;20 weeks on the list",DECISION POINTS;by George W. Bush;,THE ADVENTURES OF OOK AND GLUK;by George Beard and Harold Hutchins;24 weeks on the list,SCOTT PILGRIM VS. THE UNIVERSE;by Bryan Lee O’Malley;45 weeks on the list,"DEATH NOTE BLACK EDITION, VOL. 2;by Tsugumi Ohba and Takeshi Obata;New this week",DORK DIARIES;written and illustrated by Rachel Renée Russell;35 weeks on the list,"HUSH, HUSH;by Becca Fitzpatrick;23 weeks on the list",IT’S A BOOK;written and illustrated by Lane Smith;25 weeks on the list,HARRY POTTER;by J.K. Rowling;247 weeks on the list
11,A DISCOVERY OF WITCHES;by Deborah Harkness;4 weeks on the list,GIDEON’S SWORD;by Douglas Preston and Lincoln Child;2 weeks on the list,MAJOR PETTIGREW’S LAST STAND;by Helen Simonson;14 weeks on the list,,,CUTTING FOR STONE;by Abraham Verghese;,KNOWN AND UNKNOWN;by Donald Rumsfeld;4 weeks on the list,UNTIED;by Meredith Baxter;New this week,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;214 weeks on the list,THE BIG SHORT;by Michael Lewis;6 weeks on the list,THE SECRET;by Rhonda Byrne;,THE PURPOSE-DRIVEN LIFE;by Rick Warren;,BATTLE HYMN OF THE TIGER MOTHER;by Amy Chua;,,,,,,,
12,MINDING FRANKIE;by Maeve Binchy;New this week,THE HELP;by Kathryn Stockett;101 weeks on the list,THE CRIPPLED GOD;by Steven Erikson;New this week,,,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;,THE GLASS CASTLE;by Jeannette Walls;6 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;44 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;183 weeks on the list,TOWNIE;by Andre Dubus III;New this week,TRUE YOU;by Janet Jackson with David Ritz;,THE BOOK OF AWAKENING;by Mark Nepo;,THE GLASS CASTLE;by Jeannette Walls;,,,,,,,
13,LIVE WIRE;by Lora Leigh;New this week,ROOM;by Emma Donoghue;17 weeks on the list,THE IMPERFECTIONISTS;by Tom Rachman;9 weeks on the list,,,LIVE WIRE;by Lora Leigh;,INSIDE OF A DOG;by Alexandra Horowitz;6 weeks on the list,TOWNIE;by Andre Dubus III;New this week,MY HORIZONTAL LIFE;by Chelsea Handler;123 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;6 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,"FOOD RULES;by Michael Pollan, Illustrated by Maira Kalman;",I BEAT THE ODDS;by Michael Oher with Don Yaeger;,,,,,,,
14,CUTTING FOR STONE;by Abraham Verghese;6 weeks on the list,TWILIGHT’S DAWN;by Anne Bishop;New this week,THE ALCHEMIST;by Paulo Coelho;169 weeks on the list,,,THE SILENT SEA;by Clive Cussler and Jack Du Brul;,_____ MY DAD SAYS;by Justin Halpern;6 weeks on the list,"AUTOBIOGRAPHY OF MARK TWAIN, VOL. 1;by Mark Twain;20 weeks on the list",COMMITTED;by Elizabeth Gilbert;5 weeks on the list,MOONWALKING WITH EINSTEIN;by Joshua Foer;New this week,4-HOUR WORKWEEK;by Timothy Ferriss;,CLEAN;by Alejandro Junger with Amely Greeven;,LIFE;by Keith Richards with James Fox;,,,,,,,
