,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,BLINDSIDE;by James Patterson and James O. Born;New this week,BLINDSIDE;by James Patterson and James O. Born;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;43 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;New this week,THE SPLENDID AND THE VILE;by Erik Larson;New this week,JUST MERCY;by Bryan Stevenson;194 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;17 weeks on the list",WONDER;by R.J. Palacio;237 weeks on the list,HOW TO CATCH A UNICORN;by Adam Wallace. Illustrated by Andy Elkerton;7 weeks on the list,DOG MAN;by Dav Pilkey;131 weeks on the list,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;4 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;,ATOMIC HABITS;by James Clear;,SNUG;by Catana Chetwynd;,BLESSING IN DISGUISE;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,CODE NAME VERITY;by Elizabeth Wein;
2,THE WARSAW PROTOCOL;by Steve Berry;New this week,WHERE THE CRAWDADS SING;by Delia Owens;78 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;78 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;8 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;11 weeks on the list,SAY NOTHING;by Patrick Radden Keefe;New this week,FOOD FIX;by Mark Hyman;New this week,REFUGEE;by Alan Gratz;87 weeks on the list,PETE THE CAT: THE GREAT LEPRECHAUN CHASE;by James Dean;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;572 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;110 weeks on the list,GOLDEN IN DEATH;by J.D. Robb;,TALKING TO STRANGERS;by Malcolm Gladwell;,DARK TOWERS;by David Enrich;,GUTS;by Raina Telgemeier;,AMBUSH;by James Patterson and James O. Born;,A LONG WALK TO WATER;by Linda Sue Park;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
3,AMERICAN DIRT;by Jeanine Cummins;6 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;6 weeks on the list,THE OUTSIDER;by Stephen King;15 weeks on the list,UNKNOWN VALOR;by Martha MacCallum;New this week,UNKNOWN VALOR;by Martha MacCallum;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;71 weeks on the list,THE ULTIMATE RETIREMENT GUIDE FOR 50+;by Suze Orman;New this week,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;47 weeks on the list,HOW TO CATCH A LEPRECHAUN;by Adam Wallace. Illustrated by Andy Elkerton;15 weeks on the list,HARRY POTTER;by J.K. Rowling;571 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;13 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,BECOMING;by Michelle Obama;,DARE TO LEAD;by Brené Brown;,FGTEEV PRESENTS: INTO THE GAME!;by FGTeeV. Illustrated by Miguel Díaz Rivas;,UNSPOKEN;by Lisa Jackson;,THE UNTEACHABLES;by Gordon Korman;,ALL THE BRIGHT PLACES;by Jennifer Niven;
4,WHERE THE CRAWDADS SING;by Delia Owens;77 weeks on the list,THE WARSAW PROTOCOL;by Steve Berry;New this week,NORMAL PEOPLE;by Sally Rooney;2 weeks on the list,THE HOPE OF GLORY;by Jon Meacham;New this week,THE HOPE OF GLORY;by Jon Meacham;New this week,ON TYRANNY;by Timothy Snyder;64 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;304 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;46 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;224 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;51 weeks on the list,ONE OF US IS NEXT;by Karen M. McManus;8 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;,BORN A CRIME;by Trevor Noah;,LEADERSHIP STRATEGY AND TACTICS;by Jocko Willink;,STRANGE PLANET;by Nathan W. Pyle;,THE OYSTERVILLE SEWING CIRCLE;by Susan Wiggs;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,LONG WAY DOWN;by Jason Reynolds;
5,LITTLE FIRES EVERYWHERE;by Celeste Ng;55 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;39 weeks on the list,UNSOLVED;by James Patterson and David Ellis;3 weeks on the list,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;4 weeks on the list,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;4 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;82 weeks on the list,ATOMIC HABITS;by James Clear;17 weeks on the list,LITTLE LEADERS;by Vashti Harrison;32 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;296 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;97 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;104 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,EDUCATED;by Tara Westover;,THE RIDE OF A LIFETIME;by Robert Iger;,NEW KID;by Jerry Craft;,COUNTRY STRONG;by Linda Lael Miller;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,TURTLES ALL THE WAY DOWN;by John Green;
6,COCONUT LAYER CAKE MURDER;by Joanne Fluke;New this week,COCONUT LAYER CAKE MURDER;by Joanne Fluke;New this week,BEFORE WE WERE YOURS;by Lisa Wingate;41 weeks on the list,EDUCATED;by Tara Westover;106 weeks on the list,EDUCATED;by Tara Westover;106 weeks on the list,SAPIENS;by Yuval Noah Harari;94 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;168 weeks on the list,LITTLE LEGENDS: EXCEPTIONAL MEN IN BLACK HISTORY;by Vashti Harrison with Kwesi Johnson;10 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;167 weeks on the list,THE BAD GUYS;by Aaron Blabey;67 weeks on the list,THE HATE U GIVE;by Angie Thomas;157 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,A VERY STABLE GENIUS;by Philip Rucker and Carol Leonnig;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,BABY-SITTERS LITTLE SISTER: KAREN'S WITCH;by Ann M. Martin. Illustrated by Katy Farina;,VENDETTA ROAD;by Christine Feehan;,NEVERMOOR: THE TRIALS OF MORRIGAN CROW;by Jessica Townsend;,DEAR MARTIN;by Nic Stone;
7,THE LAST WISH;by Andrzej Sapkowski;9 weeks on the list,APEIROGON;by Colum McCann;New this week,THE OVERSTORY;by Richard Powers;47 weeks on the list,A VERY STABLE GENIUS;by Philip Rucker and Carol Leonnig;6 weeks on the list,A VERY STABLE GENIUS;by Philip Rucker and Carol Leonnig;6 weeks on the list,BORN A CRIME;by Trevor Noah;55 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;5 weeks on the list,LEGACY AND THE QUEEN;by Annie Matthew. Created by Kobe Bryant;5 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;301 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;211 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;65 weeks on the list,VALKYRIE;by Craig Alanson;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,PRINCIPLES;by Ray Dalio;,"MY HERO ACADEMIA, VOL. 23;by Kohei Horikoshi;",HUNTING FOR A HIGHLANDER;by Lynsay Sands;,OUT OF MY MIND;by Sharon M. Draper;,THE LIBRARIAN OF AUSCHWITZ;by Antonio Iturbe;
8,THE SILENT PATIENT;by Alex Michaelides;24 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;23 weeks on the list,ONE GOOD DEED;by David Baldacci;6 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;25 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;25 weeks on the list,TO SHAKE THE SLEEPING SELF;by Jedidiah Jenkins;7 weeks on the list,DARE TO LEAD;by Brené Brown;45 weeks on the list,FINDING HOME;by Karen Kingsbury and Tyler Russell;New this week,DEAR GIRL;by Amy Krouse Rosenthal and Paris Rosenthal. Illustrated by Holly Hatam;40 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;80 weeks on the list,THE QUEEN'S ASSASSIN;by Melissa de la Cruz;3 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,SAPIENS;by Yuval Noah Harari;,OUTLIERS;by Malcolm Gladwell;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,CHASING CASSANDRA;by Lisa Kleypas;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
9,THE DUTCH HOUSE;by Ann Patchett;23 weeks on the list,SUCH A FUN AGE;by Kiley Reid;9 weeks on the list,SUMMER OF '69;by Elin Hilderbrand;3 weeks on the list,SAY NOTHING;by Patrick Radden Keefe;10 weeks on the list,BECOMING;by Michelle Obama;64 weeks on the list,WHY WE SLEEP;by Matthew Walker;45 weeks on the list,YOU ARE A BADASS;by Jen Sincero;209 weeks on the list,ALI CROSS;by James Patterson;14 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;64 weeks on the list,DORK DIARIES;by Rachel Renée Russell;314 weeks on the list,INFINITY SON;by Adam Silvera;7 weeks on the list,THE SCENT KEEPER;by Erica Bauermeister;,CATCH AND KILL;by Ronan Farrow;,BAD BLOOD;by John Carreyrou;,INVESTIGATORS;by John Patrick Green;,PIECES OF HER;by Karin Slaughter;,RESTART;by Gordon Korman;,THE BOOK THIEF;by Markus Zusak;
10,THE GIVER OF STARS;by Jojo Moyes;19 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;21 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;45 weeks on the list,JUST MERCY;by Bryan Stevenson;27 weeks on the list,UNTIL THE END OF TIME;by Brian Greene;2 weeks on the list,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE;by Greta Thunberg;16 weeks on the list,MAKE YOUR BED;by William H. McRaven;85 weeks on the list,WISHTREE;by Katherine Applegate. Illustrated by Charles Santoso;91 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;170 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;523 weeks on the list,YES NO MAYBE SO;by Becky Albertalli and Aisha Saeed;4 weeks on the list,CROOKED RIVER;by Douglas Preston and Lincoln Child;,OUTLIERS;by Malcolm Gladwell;,THE INFINITE GAME;by Simon Sinek;,DRAMA;by Raina Telgemeier;,TEMPTATION'S DARLING;by Johanna Lindsey;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,THE SUN IS ALSO A STAR;by Nicola Yoon;
