,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,PLUM SPOOKY;by Janet Evanovich;New this week,THE SHACK;by William P. Young;34 weeks on the list,,OUTLIERS;by Malcolm Gladwell;8 weeks on the list,MARLEY AND ME;by John Grogan;44 weeks on the list,THE POWER OF SOUL;by Zhi Gang Sha;New this week,SUZE ORMAN’S 2009 ACTION PLAN;by Suze Orman;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;91 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;50 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;61 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;75 weeks on the list
2,THE HOST;by Stephenie Meyer;35 weeks on the list,SUNDAYS AT TIFFANY’S;by James Patterson and Gabrielle Charbonnet;New this week,,GUILTY;by Ann Coulter;New this week,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;102 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;40 weeks on the list,TWILIGHT;by Mark Cotta Vaz;13 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;52 weeks on the list,THE BOOK THIEF;by Markus Zusak;70 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;13 weeks on the list,HARRY POTTER;by J.K. Rowling;206 weeks on the list
3,BLACK OPS;by W. E. B. Griffin;2 weeks on the list,A THOUSAND SPLENDID SUNS;by Khaled Hosseini;7 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;17 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;130 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;8 weeks on the list,THE BEST LIFE DIET;by Bob Greene. Foreword by Oprah Winfrey;5 weeks on the list,ONE FALSE NOTE;by Gordon Korman;6 weeks on the list,PRIVILEGE;by Kate Brian;New this week,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;13 weeks on the list",HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;20 weeks on the list
4,SCARPETTA;by Patricia Cornwell;6 weeks on the list,REVOLUTIONARY ROAD;by Richard Yates;6 weeks on the list,,AMERICAN LION;by Jon Meacham;9 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;55 weeks on the list,THE ULTRAMIND SOLUTION;by Mark Hyman;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;393 weeks on the list,THE MAZE OF BONES;by Rick Riordan;18 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;10 weeks on the list,NAKED MOLE RAT GETS DRESSED;written and illustrated by Mo Willems;New this week,INKHEART;by Cornelia Funke;16 weeks on the list
5,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;31 weeks on the list,STILL ALICE;by Lisa Genova;New this week,,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;9 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;24 weeks on the list,THE BEST LIFE DIET COOKBOOK;by Bob Greene;New this week,SKINNY BITCH;by Kim Barnouin;79 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;18 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;New this week,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;12 weeks on the list,INHERITANCE;by Christopher Paolini;17 weeks on the list
6,CROSS COUNTRY;by James Patterson;8 weeks on the list,ONLY PLEASURE;by Lora Leigh;New this week,,WISHFUL DRINKING;by Carrie Fisher;5 weeks on the list,TIPPING POINT;by Malcolm Gladwell;223 weeks on the list,WHAT’S AGE GOT TO DO WITH IT?;by Robin McGraw;New this week,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;16 weeks on the list,HOW TO TALK TO GIRLS;by Alec Greven. Illustrated by Kei Acedera;6 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;23 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;18 weeks on the list,PRINCESS DIARIES;by Meg Cabot;47 weeks on the list
7,FIRE AND ICE;by Julie Garwood;2 weeks on the list,THE READER;by Bernhard Schlink;6 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;18 weeks on the list",I HOPE THEY SERVE BEER IN HELL;by Tucker Max;67 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;11 weeks on the list,THE BIGGEST LOSER FAMILY COOKBOOK;by Devin Alexander and The Biggest Loser Experts and Cast with Melissa Roberson;2 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;12 weeks on the list,SLAM;by Nick Hornby;14 weeks on the list,"BRAVA, STREGA NONA!;written and illustrated by Tomie dePaola;8 weeks on the list",MORGANVILLE VAMPIRES;by Rachel Caine;New this week
8,THE HOUR I FIRST BELIEVED;by Wally Lamb;9 weeks on the list,PEOPLE OF THE BOOK;by Geraldine Brooks;2 weeks on the list,,WHY WE SUCK;by Denis Leary;8 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;103 weeks on the list",THE SECRET;by Rhonda Byrne;105 weeks on the list,HE’S JUST NOT THAT INTO YOU;by Greg Behr­endt and Liz Tuccillo;New this week,IDENTICAL;by Ellen Hopkins;11 weeks on the list,JUST LISTEN;by Sarah Dessen;25 weeks on the list,WABI SABI;by Mark Reibstein. Illustrated by Ed Young;4 weeks on the list,NIGHT WORLD;by L. J. Smith;6 weeks on the list
9,ECLIPSE;by Richard North Patterson;New this week,CHANGE OF HEART;by Jodi Picoult;6 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;12 weeks on the list",BLINK;by Malcolm Gladwell;65 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;9 weeks on the list",A NEW EARTH;by Eckhart Tolle;48 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;15 weeks on the list,"MARLEY: A DOG LIKE NO OTHER;, by John Grogan;5 weeks on the list",BEE AND ME;by Elle J. McGuinness. Illustrated by Heather Brown;2 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;5 weeks on the list
10,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;17 weeks on the list,THE FRIDAY NIGHT KNITTING CLUB;by Kate Jacobs;47 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;16 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;116 weeks on the list,JOY’S LIFE DIET;by Joy Bauer;New this week,THE PURPOSE-DRIVEN LIFE;by Rick Warren;39 weeks on the list,"BURNING UP;by Joe, Kevin and Nick Jonas;8 weeks on the list",TWEAK;by Nic Sheff;New this week,ABC3D;by Marion Bataille;13 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;84 weeks on the list
