,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,THE GOLDFINCH;by Donna Tartt;13 weeks on the list,THE INVENTION OF WINGS;by Sue Monk Kidd;2 weeks on the list,LIFE AFTER LIFE;by Kate Atkinson;2 weeks on the list,,,DUTY;by Robert M. Gates;New this week,DUTY;by Robert M. Gates;New this week,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;92 weeks on the list,DUTY;by Robert M. Gates;New this week,THE POUND A DAY DIET;by Rocco DiSpirito;2 weeks on the list,"CEMETERY GIRL, BOOK 1;by Charlaine Harris, Christopher Golden and Don Kramer;2 weeks on the list",PERSEPOLIS;by Marjane Satrapi;23 weeks on the list,"NARUTO, VOL. 64;by Masashi Kishimoto;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;30 weeks on the list,DIVERGENT;by Veronica Roth;13 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,THE WOLF OF WALL STREET;by Jordan Belfort;,SUPER SHRED;by Ian K. Smith;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,SYCAMORE ROW;by John Grisham;13 weeks on the list,THE GOLDFINCH;by Donna Tartt;13 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;22 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;9 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;13 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;5 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;39 weeks on the list,SUPER SHRED;by Ian K. Smith;3 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;11 weeks on the list",FUN HOME;by Alison Bechdel;20 weeks on the list,"MONSTER MUSUME, VOL. 2;by Okayado;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;6 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;178 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,JIM CRAMER'S GET RICH CAREFULLY;by James J. Cramer;,THE DOCTOR'S DIET;by Travis Stork;,DUTY;by Robert M. Gates;,QUIET;by Susan Cain;
3,THE INVENTION OF WINGS;by Sue Monk Kidd;2 weeks on the list,FIRST LOVE;by James Patterson and Emily Raymond;New this week,FIFTY SHADES OF GREY;by E. L. James;97 weeks on the list,,,TWELVE YEARS A SLAVE;by Solomon Northup;6 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;16 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;6 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;15 weeks on the list,THE BODY BOOK;by Cameron Diaz with Sandra Bark;2 weeks on the list,"INJUSTICE: GODS AMONG US, VOL. 1;by Tom Taylor and Jheremy Raapack;7 weeks on the list","MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;42 weeks on the list","ATTACK ON TITAN, VOL. 10;by Hajime Isayama;3 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,I AM ABRAHAM LINCOLN;by Brad Meltzer. Illustrated by Christopher Eliopoulos;New this week,THE MORTAL INSTRUMENTS;by Cassandra Clare;123 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE POUND A DAY DIET;by Rocco DiSpirito;,TWELVE YEARS A SLAVE;by Solomon Northup;,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;
4,SCANDALOUS BRIDES;by Annette Blair and others;New this week,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;10 weeks on the list,A WEEK IN WINTER;by Maeve Binchy;2 weeks on the list,,,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;2 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;17 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;65 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;2 weeks on the list,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;2 weeks on the list,THE ENCYCLOPEDIA OF EARLY EARTH;by Isabel Greenberg;5 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;21 weeks on the list,"YU-GI-OH! ZEXAL, VOL. 4;by Shin Yoshida and Naohito Miyoshi;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;120 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;261 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,THINGS THAT MATTER;by Charles Krauthammer;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,FIRST LOVE;by James Patterson and Emily Raymond;New this week,SYCAMORE ROW;by John Grisham;13 weeks on the list,DARK PLACES;by Gillian Flynn;28 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;17 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;15 weeks on the list,WILD;by Cheryl Strayed;43 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;17 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;7 weeks on the list",BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;112 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;13 weeks on the list,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;32 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,I AM AMELIA EARHART;by Brad Meltzer. Illustrated by Christopher Eliopoulos;New this week,THE MAZE RUNNER;by James Dashner;67 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,OUTLIERS;by Malcolm Gladwell;,WHEAT BELLY;by William Davis;,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;,THE POWER OF HABIT;by Charles Duhigg;
6,THE HUSBAND'S SECRET;by Liane Moriarty;22 weeks on the list,THE DEAD IN THEIR VAULTED ARCHES;by Alan Bradley;New this week,THE ALCHEMIST;by Paulo Coelho;287 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;13 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;43 weeks on the list,OUTLIERS;by Malcolm Gladwell;137 weeks on the list,WILD;by Cheryl Strayed;84 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;17 weeks on the list,MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;5 weeks on the list,WATCHMEN;by Alan Moore and Dave Gibbons;122 weeks on the list,"NISEKOI: FALSE LOVE, VOL. 1;by Naoshi Komi;2 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,JOURNEY;by Aaron Becker;10 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;57 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,WHEAT BELLY 30-MINUTE (OR LESS!) COOKBOOK;by William Davis;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,MY AGE OF ANXIETY;by Scott Stossel;
7,GONE GIRL;by Gillian Flynn;69 weeks on the list,GONE GIRL;by Gillian Flynn;72 weeks on the list,DEAR LIFE;by Alice Munro;15 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;16 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;11 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;166 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;12 weeks on the list,THE DOCTOR'S DIET;by Travis Stork;2 weeks on the list,FAIRY TALE COMICS: CLASSIC TALES TOLD BY EXTRAORDINARY CARTOONISTS;by Chris Duffy and others;3 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;156 weeks on the list","POKEMON ADVENTURES, VOL. 20;by Hidenori Kusaka and Satoshi Yamamoto;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;37 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;324 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,FINANCIALLY FEARLESS;by Alexa Von Tobel;,THE DASH DIET WEIGHT LOSS SOLUTION;by Marla Heller;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,BRAINSTORM;by Daniel J. Siegel;
8,THE ROSIE PROJECT;by Graeme Simsion;2 weeks on the list,STANDUP GUY;by Stuart Woods;2 weeks on the list,TENTH OF DECEMBER;by George Saunders;2 weeks on the list,,,THE WOLF OF WALL STREET;by Jordan Belfort;4 weeks on the list,YOUR LIFE CALLING;by Jane Pauley;2 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;27 weeks on the list,TO MARRY AN ENGLISH LORD;by Gail MacColl and Carol McD. Wallace;New this week,THE GIFTS OF IMPERFECTION;by Brené Brown;17 weeks on the list,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;14 weeks on the list,"THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;8 weeks on the list","ATTACK ON TITAN, VOL. 2;by Hajime Isayama;20 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PRESS HERE;by Hervé Tullet;125 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;46 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,PEOPLE TOOLS;by Alan C. Fox;,THE FAST METABOLISM DIET COOKBOOK;by Haylie Pomroy;,UNBROKEN;by Laura Hillenbrand;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
9,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;7 weeks on the list,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;7 weeks on the list,ME BEFORE YOU;by Jojo Moyes;25 weeks on the list,,,WILD;by Cheryl Strayed;60 weeks on the list,THE LOUDEST VOICE IN THE ROOM;by Gabriel Sherman;New this week,QUIET;by Susan Cain;51 weeks on the list,THE BOY KINGS OF TEXAS;by Domingo Martinez;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;41 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;13 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;21 weeks on the list","MAXIMUM RIDE: THE MANGA, VOL. 7;by James Patterson and NaRae Lee;10 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,I'M A FROG!;by Mo Willems;7 weeks on the list,GIVER QUARTET;by Lois Lowry;29 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,ON THE EDGE;by Alison Levine;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THE BULLY PULPIT;by Doris Kearns Goodwin;,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;
10,THE POLARIS PROTOCOL;by Brad Taylor;New this week,FEAR NOTHING;by Lisa Gardner;2 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;42 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;41 weeks on the list,UNBROKEN;by Laura Hillenbrand;153 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;2 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;16 weeks on the list,JIM CRAMER'S GET RICH CAREFULLY;by James J. Cramer;3 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;102 weeks on the list",SMILE;by Raina Telgemeier;88 weeks on the list,"PSYREN, VOL. 14;by Toshiaki Iwashiro;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;12 weeks on the list,LEGEND;by Marie Lu;9 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE DOCTOR WORE PETTICOATS;by Chris Enss;
11,FEAR NOTHING;by Lisa Gardner;2 weeks on the list,THE HUSBAND'S SECRET;by Liane Moriarty;9 weeks on the list,DARK WITCH;by Nora Roberts;12 weeks on the list,,,YOUR LIFE CALLING;by Jane Pauley;New this week,MY AGE OF ANXIETY;by Scott Stossel;2 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;147 weeks on the list,QUIET;by Susan Cain;52 weeks on the list,WHEAT BELLY;by William Davis;35 weeks on the list,,,,,,,,,YOUR PERSONAL PALEO CODE;by Chris Kresser;,,
12,THE DEAD IN THEIR VAULTED ARCHES;by Alan Bradley;New this week,THE GODS OF GUILT;by Michael Connelly;7 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;42 weeks on the list",,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;11 weeks on the list,MY PROMISED LAND;by Ari Shavit;4 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;2 weeks on the list,UNBROKEN;by Laura Hillenbrand;155 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;37 weeks on the list,,,,,,,,,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;,,
