,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;15 weeks on the list,THE SHACK;by William P. Young;18 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;2 weeks on the list",THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;86 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;24 weeks on the list,A NEW EARTH;by Eckhart Tolle;34 weeks on the list,THE MAZE OF BONES;by Rick Riordan;2 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;34 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;2 weeks on the list,INHERITANCE;by Christopher Paolini;New this week
2,THE OTHER QUEEN;by Philippa Gregory;New this week,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;3 weeks on the list,,THE WAR WITHIN;by Bob Woodward;2 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;87 weeks on the list",BREAKTHROUGH;by Suzanne Somers;2 weeks on the list,SKINNY BITCH;by Kim Barnouin;63 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;75 weeks on the list,THE BOOK THIEF;by Markus Zusak;54 weeks on the list,WE THE PEOPLE;by Lynne Cheney. Illustrated by Greg Harlin;New this week,THE TWILIGHT SAGA;by Stephenie Meyer;59 weeks on the list
3,FAEFEVER;by Karen Marie Moning;New this week,WATER FOR ELEPHANTS;by Sara Gruen;55 weeks on the list,,THE LIMITS OF POWER;by Andrew Bacevich;6 weeks on the list,SARAH;by Kaylene Johnson;3 weeks on the list,THE SECRET;by Rhonda Byrne;89 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;379 weeks on the list,DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;36 weeks on the list,RULES;by Cynthia Lord;3 weeks on the list,ON A SCARY SCARY NIGHT;by Walter Wick;2 weeks on the list,THE SPIDERWICK CHRONICLES;by Tony DiTerlizzi and Holly Black;100 weeks on the list
4,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;New this week,BAREFOOT;by Elin Hilderbrand;15 weeks on the list,,ANGLER;by Barton Gellman;New this week,"CHANGE YOUR BRAIN, CHANGE YOUR LIFE;by Daniel G. Amen;15 weeks on the list",GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;New this week,THE POWER OF NOW;by Eckhart Tolle;49 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;2 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;7 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;45 weeks on the list,WARRIORS;by Erin Hunter;59 weeks on the list
5,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;8 weeks on the list,NIGHTS IN RODANTHE;by Nicholas Sparks;7 weeks on the list,,THROUGH THE STORM;by Lynne Spears with Lorilee Craker;New this week,THE AUDACITY OF HOPE;by Barack Obama;39 weeks on the list,REAL LIFE;by Phil McGraw;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;65 weeks on the list,IDENTICAL;by Ellen Hopkins;4 weeks on the list,MATH DOESN’T SUCK;by Danica McKellar;7 weeks on the list,"MY DAD, JOHN McCAIN;by Meghan McCain. Illustrated by Dan Andreasen;2 weeks on the list",PRIVATE;by Kate Brian;New this week
6,THE BOOK OF LIES;by Brad Meltzer;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;54 weeks on the list,,STORI TELLING;by Tori Spelling with Hilary Liftin;17 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;114 weeks on the list,SIX DISCIPLINES EXECUTION REVOLUTION;by Gary Harpst;5 weeks on the list,THE PURPOSE-DRIVEN LIFE;by Rick Warren;34 weeks on the list,THE DANGEROUS DAYS OF DANIEL X;by James Patterson and Michael Ledwidge;9 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;7 weeks on the list,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;3 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;4 weeks on the list
7,THE HOST;by Stephenie Meyer;20 weeks on the list,THE CHOICE;by Nicholas Sparks;5 weeks on the list,,BOYS WILL BE BOYS;by Jeff Pearlman;New this week,A LONG WAY GONE;by Ishmael Beah;7 weeks on the list,CHEF MD’S BIG BOOK OF CULINARY MEDICINE;by John La Puma and Rebecca Powell Marx;New this week,"MONEY, AND THE LAW OF ATTRACTION;by Esther and Jerry Hicks;6 weeks on the list",THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;44 weeks on the list,THE PENDERWICKS;by Jeanne Birdsall;8 weeks on the list,GINGERBREAD FRIENDS;written and illustrated by Jan Brett;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;73 weeks on the list
8,ANATHEM;by Neal Stephenson;2 weeks on the list,THE ROAD;by Cormac McCarthy;55 weeks on the list,,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;22 weeks on the list",LOOK ME IN THE EYE;by John Elder Robison;New this week,BEFORE YOU DO;by T. D. Jakes;New this week,HUNGRY GIRL;by Lisa Lillien;19 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;77 weeks on the list,THE ALCHEMYST;by Michael Scott;4 weeks on the list,TOO MANY TOYS;written and illustrated by David Shannon;3 weeks on the list,ARTEMIS FOWL;by Eoin Colfer;109 weeks on the list
9,AMERICAN WIFE;by Curtis Sittenfeld;3 weeks on the list,THE ALMOST MOON;by Alice Sebold;2 weeks on the list,,THE FOREVER WAR;by Dexter Filkins;New this week,CHANGE WE CAN BELIEVE IN;with a foreword by Barack Obama;2 weeks on the list,THE 4-HOUR WORKWEEK;by Timothy Ferriss;43 weeks on the list,"1,000 RECORDINGS TO HEAR BEFORE YOU DIE;by Tom Moon;2 weeks on the list",THE MAGICIAN;by Michael Scott;10 weeks on the list,LIFE AS WE KNEW IT;by Susan Beth Pfeffer;2 weeks on the list,GOODNIGHT GOON;written and illustrated by Michael Rex;4 weeks on the list,CHARLIE BONE;by Jenny Nimmo;28 weeks on the list
10,INDIGNATION;by Philip Roth;New this week,LOVING FRANK;by Nancy Horan;23 weeks on the list,,FLEECED;by Dick Morris and Eileen McGann;13 weeks on the list,THE NINE;by Jeffrey Toobin;New this week,THE TRUTH ABOUT CHEATING;by M. Gary Neuman;2 weeks on the list,"HELLO, CUPCAKE!;by Karen Tack;13 weeks on the list",KISS MY MATH;by Danica McKellar;7 weeks on the list,NICK AND NORAH’S INFINITE PLAYLIST;by Rachel Cohn and David Levithan;New this week,BATS AT THE LIBRARY;written and illustrated by Brian Lies;7 weeks on the list,BOOKS OF EMBER;by Jeanne DuPrau;
