,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,SHADOWS IN DEATH;by J.D. Robb;New this week,ANXIOUS PEOPLE;by Fredrik Backman;New this week,THE INSTITUTE;by Stephen King;2 weeks on the list,DISLOYAL;by Michael Cohen;New this week,DISLOYAL;by Michael Cohen;New this week,WHITE FRAGILITY;by Robin DiAngelo;106 weeks on the list,THINK LIKE A MONK;by Jay Shetty;New this week,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;6 weeks on the list,I PROMISE;by LeBron James. Illustrated by Nina Mata;5 weeks on the list,DOG MAN;by Dav Pilkey;159 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;25 weeks on the list,THE SANDMAN;by Neil Gaiman and Dirk Maggs;,CASTE;by Isabel Wilkerson;,ATOMIC HABITS;by James Clear;,NEW KID;by Jerry Craft;,CHILD'S PLAY;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,ANXIOUS PEOPLE;by Fredrik Backman;New this week,SHADOWS IN DEATH;by J.D. Robb;New this week,THEN SHE WAS GONE;by Lisa Jewell;61 weeks on the list,KILLING CRAZY HORSE;by Bill O'Reilly and Martin Dugard;New this week,KILLING CRAZY HORSE;by Bill O'Reilly and Martin Dugard;New this week,SO YOU WANT TO TALK ABOUT RACE;by Ijeoma Oluo;17 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;78 weeks on the list,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;19 weeks on the list,WILD SYMPHONY;by Dan Brown. Illustrated by Susan Batori;2 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;232 weeks on the list,THE HATE U GIVE;by Angie Thomas;185 weeks on the list,THE GUEST LIST;by Lucy Foley;,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;,EVIL GENIUSES;by Kurt Andersen;,GUTS;by Raina Telgemeier;,PARANOID;by Lisa Jackson;,A LONG WALK TO WATER;by Linda Sue Park;,DEAR MARTIN;by Nic Stone;
3,ONE BY ONE;by Ruth Ware;New this week,ONE BY ONE;by Ruth Ware;New this week,I'M THINKING OF ENDING THINGS;by Iain Reid;New this week,COMPROMISED;by Peter Strzok;New this week,EVERYTHING BEAUTIFUL IN ITS TIME;by Jenna Bush Hager;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;99 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;45 weeks on the list",WONDER;by R.J. Palacio;265 weeks on the list,THE DAY YOU BEGIN;by Jacqueline Woodson. Illustrated by Rafael López;27 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;40 weeks on the list,PUNCHING THE AIR;by Ibi Zoboi and Yusef Salaam;2 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,UNTAMED;by Glennon Doyle;,DOESN'T HURT TO ASK;by Trey Gowdy;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,GOLDEN IN DEATH;by J.D. Robb;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE BOOK THIEF;by Markus Zusak;
4,ALL THE DEVILS ARE HERE;by Louise Penny;2 weeks on the list,ALL THE DEVILS ARE HERE;by Louise Penny;2 weeks on the list,CILKA'S JOURNEY;by Heather Morris;New this week,CASTE;by Isabel Wilkerson;6 weeks on the list,LIVE FREE OR DIE;by Sean Hannity;6 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;37 weeks on the list,ATOMIC HABITS;by James Clear;44 weeks on the list,REFUGEE;by Alan Gratz;111 weeks on the list,CREEPY PAIR OF UNDERWEAR;by Aaron Reynolds. Illustrated by Peter Brown;11 weeks on the list,HARRY POTTER;by J.K. Rowling;599 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;138 weeks on the list,THE VANISHING HALF;by Brit Bennett;,LIVE FREE OR DIE;by Sean Hannity;,DARE TO LEAD;by Brené Brown;,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;,OUTFOX;by Sandra Brown;,BROWN GIRL DREAMING;by Jacqueline Woodson;,LONG WAY DOWN;by Jason Reynolds;
5,THE VANISHING HALF;by Brit Bennett;15 weeks on the list,THE VANISHING HALF;by Brit Bennett;15 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;71 weeks on the list,EVERYTHING BEAUTIFUL IN ITS TIME;by Jenna Bush Hager;New this week,CASTE;by Isabel Wilkerson;6 weeks on the list,BORN A CRIME;by Trevor Noah;83 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;324 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;74 weeks on the list,THE PIGEON HAS TO GO TO SCHOOL!;by Mo Willems;29 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;600 weeks on the list,AMERICAN ROYALS II: MAJESTY;by Katharine McGee;2 weeks on the list,CRITICAL MASS;by Craig Alanson;,BECOMING;by Michelle Obama;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE UMBRELLA ACADEMY: APOCALYPSE SUITE;by Gerard Way. Illustrated by Gabriel Bá;,THE GUARDIANS;by John Grisham;,GHOST BOYS;by Jewell Parker Rhodes;,ALL AMERICAN BOYS;by Jason Reynolds and Brendan Kiely;
6,WHERE THE CRAWDADS SING;by Delia Owens;105 weeks on the list,TRANSCENDENT KINGDOM;by Yaa Gyasi;2 weeks on the list,THE TESTAMENTS;by Margaret Atwood;2 weeks on the list,LIVE FREE OR DIE;by Sean Hannity;6 weeks on the list,COMPROMISED;by Peter Strzok;New this week,JUST MERCY;by Bryan Stevenson;222 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;23 weeks on the list",THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;74 weeks on the list,I AM ENOUGH;by Grace Byers. Illustrated by Keturah A. Bobo;21 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;247 weeks on the list,THE LOST BOOK OF THE WHITE;by Cassandra Clare and Wesley Chu;2 weeks on the list,THE SILENT WIFE;by Karin Slaughter;,HOW TO BE AN ANTIRACIST;by Ibram X. Kendi;,OUTLIERS;by Malcolm Gladwell;,THE UMBRELLA ACADEMY: HOTEL OBLIVION;by Gerard Way. Illustrated by Gabriel Bá;,THE COWBOY'S LADY;by Debbie Macomber;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,THIS BOOK IS ANTI-RACIST;by Tiffany Jewell. Illustrated by Aurélia Durand;
7,THE DARKEST EVENING;by Ann Cleeves;New this week,THE HARBINGER II;by Jonathan Cahn;2 weeks on the list,THE MIDWIFE MURDERS;by James Patterson and Richard DiLallo;5 weeks on the list,MELANIA AND ME;by Stephanie Winston Wolkoff;2 weeks on the list,MELANIA AND ME;by Stephanie Winston Wolkoff;2 weeks on the list,THE COLOR OF LAW;by Richard Rothstein;20 weeks on the list,THE HOME EDIT;by Clea Shearer and Joanna Teplin;2 weeks on the list,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;22 weeks on the list,THE WORLD NEEDS MORE PURPLE PEOPLE;by Kristen Bell and Benjamin Hart. Illustrated by Daniel Wiseman;15 weeks on the list,THE BAD GUYS;by Aaron Blabey;95 weeks on the list,BLOOD & HONEY;by Shelby Mahurin;2 weeks on the list,PRETTY THINGS;by Janelle Brown;,BREATH;by James Nestor;,THE LAZY GENIUS WAY;by Kendra Adachi;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",REDEMPTION;by David Baldacci;,THE CROSSOVER;by Kwame Alexander;,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;
8,THE HARBINGER II;by Jonathan Cahn;2 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;106 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;56 weeks on the list,SPEAKING FOR MYSELF;by Sarah Huckabee Sanders;New this week,SPEAKING FOR MYSELF;by Sarah Huckabee Sanders;New this week,STAMPED FROM THE BEGINNING;by Ibram X. Kendi;17 weeks on the list,HOW TO LEAD;by David M. Rubenstein;2 weeks on the list,THE SILVER ARROW;by Lev Grossman;New this week,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;248 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;239 weeks on the list,THE INHERITANCE GAMES;by Jennifer Lynn Barnes;2 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,WHITE FRAGILITY;by Robin DiAngelo;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",PERSEPOLIS;by Marjane Satrapi;,THE TITANIC SECRET;by Clive Cussler and Jack Du Brul;,FISH IN A TREE;by Lynda Mullaly Hunt;,THEY BOTH DIE AT THE END;by Adam Silvera;
9,THE GUEST LIST;by Lucy Foley;15 weeks on the list,THE LYING LIFE OF ADULTS;by Elena Ferrante;2 weeks on the list,THE SONG OF ACHILLES;by Madeline Miller;4 weeks on the list,UNTAMED;by Glennon Doyle;27 weeks on the list,UNTAMED;by Glennon Doyle;27 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;203 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;30 weeks on the list,A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;45 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;19 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;548 weeks on the list,THE BLACK KIDS;by Christina Hammonds Reed;New this week,THE SILENT PATIENT;by Alex Michaelides;,TALKING TO STRANGERS;by Malcolm Gladwell;,GRIT;by Angela Duckworth;,BECOMING BRIANNA;by Terri Libenson;,THE CORNWALLS VANISH;by James Patterson and Brendan DuBois;,OUT OF MY MIND;by Sharon M. Draper;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
10,SQUEEZE ME;by Carl Hiaasen;3 weeks on the list,SQUEEZE ME;by Carl Hiaasen;3 weeks on the list,HOMEGOING;by Yaa Gyasi;6 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;9 weeks on the list,TOO MUCH AND NEVER ENOUGH;by Mary L. Trump;9 weeks on the list,OUR MALADY;by Timothy Snyder;New this week,CAN'T HURT ME;by David Goggins;14 weeks on the list,LITTLE LEADERS;by Vashti Harrison;46 weeks on the list,I AM EVERY GOOD THING;by Derrick Barnes. Illustrated by Gordon C. James;2 weeks on the list,I SURVIVED;by Lauren Tarshis;59 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;27 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,FINDING FREEDOM;by Omid Scobie and Carolyn Durand;,THE BIGGEST BLUFF;by Maria Konnikova;,THE UMBRELLA ACADEMY: DALLAS;by Gerard Way. Illustrated by Gabriel Bá;,LABYRINTH;by Catherine Coulter;,THE WILD ROBOT;by Peter Brown;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
