,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,SCARPETTA;by Patricia Cornwell;New this week,THE SHACK;by William P. Young;29 weeks on the list,,OUTLIERS;by Malcolm Gladwell;3 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;125 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;35 weeks on the list,TWILIGHT;by Mark Cotta Vaz;8 weeks on the list,ONE FALSE NOTE;by Gordon Korman;New this week,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;45 weeks on the list,A VERY MARLEY CHRISTMAS;by John Grogan. Illustrated by Richard Cowdrey;3 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;70 weeks on the list
2,THE CHRISTMAS SWEATER;by Glenn Beck with Kevin Balfe and Jason Wright.;4 weeks on the list,A THOUSAND SPLENDID SUNS;by Khaled Hosseini;2 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;12 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;50 weeks on the list,THE PURPOSE OF CHRISTMAS;by Rick Warren;5 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;11 weeks on the list,"BURNING UP;by Joe, Kevin and Nick Jonas;3 weeks on the list",THE BOOK THIEF;by Markus Zusak;65 weeks on the list,BIG WORDS FOR LITTLE PEOPLE;by Jamie Lee Curtis. Illustrated by Laura Cornell;13 weeks on the list,HARRY POTTER;by J.K. Rowling;201 weeks on the list
3,CROSS COUNTRY;by James Patterson;3 weeks on the list,THE APPEAL;by John Grisham;3 weeks on the list,,AMERICAN LION;by Jon Meacham;4 weeks on the list,MARLEY AND ME;by John Grogan;39 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;6 weeks on the list,"DINERS, DRIVE-INS AND DIVES;by Guy Fieri with Ann Volkwein;3 weeks on the list",DIARY OF A WIMPY KID: RODRICK RULES;by Jeff Kinney;47 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;18 weeks on the list,GINGERBREAD FRIENDS;written and illustrated by Jan Brett;8 weeks on the list,INHERITANCE;by Christopher Paolini;12 weeks on the list
4,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;26 weeks on the list,Halo: THE COLE PROTOCOL;by Tobias S. Buckell;2 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;7 weeks on the list",THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;97 weeks on the list,GUINNESS WORLD RECORDS 2009;edited by Craig Glenday;12 weeks on the list,RACHAEL RAY’S BIG ORANGE BOOK;by Rachael Ray;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;86 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;5 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;56 weeks on the list,IF YOU GIVE . . .;by Laura Numeroff. Illustrated by Felicia Bond;28 weeks on the list
5,ARCTIC DRIFT;by Clive Cussler and Dirk Cussler;2 weeks on the list,WORLD WITHOUT END;by Ken Follett;9 weeks on the list,,A BOLD FRESH PIECE OF HUMANITY;by Bill O’Reilly;11 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;19 weeks on the list,"YOU: THE OWNER’S MANUAL FOR TEENS;by Michael F. Roizen, Mehmet C. Oz and Ellen Rome;4 weeks on the list",I CAN HAS CHEEZBURGER?;by Professor Happy­cat and icanhascheezburger.com;9 weeks on the list,THE MAZE OF BONES;by Rick Riordan;13 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;18 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;17 weeks on the list,WARRIORS;by Erin Hunter;64 weeks on the list
6,JUST AFTER SUNSET;by Stephen King;4 weeks on the list,THE BRIEF WONDROUS LIFE OF OSCAR WAO;by Junot Díaz;14 weeks on the list,,TOO FAT TO FISH;by Artie Lange with Anthony Bozza;4 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;98 weeks on the list",THE AMERICAN PATRIOT’S ALMANAC;by William J. Bennett and John T. E. Cribb.;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;390 weeks on the list,HOW TO TALK TO GIRLS;by Alec Greven. Illustrated by Kei Acedera;New this week,THE PENDERWICKS;by Jeanne Birdsall;11 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;8 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;15 weeks on the list
7,THE HOUR I FIRST BELIEVED;by Wally Lamb;4 weeks on the list,CHANGE OF HEART;by Jodi Picoult;New this week,,WHY WE SUCK;by Denis Leary;3 weeks on the list,TIPPING POINT;by Malcolm Gladwell;218 weeks on the list,THE SECRET;by Rhonda Byrne;100 weeks on the list,SKINNY BITCH;by Kim Barnouin;74 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;10 weeks on the list,PLUM FANTASTIC;by Whoopi Goldberg with Deborah Underwood. Illustrated by Maryn Roos;3 weeks on the list,ABC3D;by Marion Bataille;8 weeks on the list,INKHEART;by Cornelia Funke;11 weeks on the list
8,THE HOST;by Stephenie Meyer;30 weeks on the list,THE WHITE TIGER;by Aravind Adiga;8 weeks on the list,,THE SNOWBALL;by Alice Schroeder;10 weeks on the list,BLINK;by Malcolm Gladwell;60 weeks on the list,GIADA’S KITCHEN;by Giada De Laurentiis;10 weeks on the list,A NEW EARTH;by Eckhart Tolle;45 weeks on the list,PAULA DEEN’S MY FIRST COOKBOOK;by Paula Deen with Martha Nesbit. Illustrated by Susan Mitchell;9 weeks on the list,THE ASTONISHING LIFE OF OCTAVIAN NOTHING;by M. T. Anderson;2 weeks on the list,WABI SABI;by Mark Reibstein. Illustrated by Ed Young;3 weeks on the list,FANCY NANCY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;33 weeks on the list
9,THE CHARLEMAGNE PURSUIT;by Steve Berry;New this week,WATER FOR ELEPHANTS;by Sara Gruen;66 weeks on the list,,DO THE RIGHT THING;by Mike Huckabee;3 weeks on the list,MORTAL DANGER;by Ann Rule;2 weeks on the list,Ripley’s Believe It or Not!: PREPARE TO BE SHOCKED!;by Ripley Entertainment;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;76 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;13 weeks on the list,SLAM;by Nick Hornby;9 weeks on the list,TEN LITTLE FINGERS AND TEN LITTLE TOES;by Mem Fox. Illustrated by Helen Oxenbury;7 weeks on the list,OLIVIA;written and illustrated by Ian Falconer;18 weeks on the list
10,YOUR HEART BELONGS TO ME;by Dean Koontz;2 weeks on the list,THE ALCHEMIST;by Paulo Coelho;65 weeks on the list,,"HOT, FLAT, AND CROWDED;by Thomas L. Friedman;13 weeks on the list",90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;111 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;6 weeks on the list,THE BRO CODE;by Barney Stinson with Matt Kuhn;5 weeks on the list,THE INVENTION OF HUGO CABRET;by Brian Selznick;86 weeks on the list,KNUCKLEHEAD;by Jon Scieszka;4 weeks on the list,"BRAVA, STREGA NONA!;written and illustrated by Tomie dePaola;5 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;80 weeks on the list
