,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,THE INVENTION OF WINGS;by Sue Monk Kidd;New this week,THE INVENTION OF WINGS;by Sue Monk Kidd;New this week,LIFE AFTER LIFE;by Kate Atkinson;New this week,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;8 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;12 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;91 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;38 weeks on the list,THE DOCTOR'S DIET;by Travis Stork;New this week,"CEMETERY GIRL, BOOK 1;by Charlaine Harris, Christopher Golden and Don Kramer;New this week",PERSEPOLIS;by Marjane Satrapi;22 weeks on the list,"NARUTO, VOL. 64;by Masashi Kishimoto;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;5 weeks on the list,DIVERGENT;by Veronica Roth;12 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THINGS THAT MATTER;by Charles Krauthammer;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,THE GOLDFINCH;by Donna Tartt;12 weeks on the list,THE GOLDFINCH;by Donna Tartt;12 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;96 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;16 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;15 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;5 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;16 weeks on the list,THE POUND A DAY DIET;by Rocco DiSpirito;New this week,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;10 weeks on the list",FUN HOME;by Alison Bechdel;19 weeks on the list,"MONSTER MUSUME, VOL. 2;by Okayado;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;119 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;177 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,OUTLIERS;by Malcolm Gladwell;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,QUIET;by Susan Cain;
3,DARK WOLF;by Christine Feehan;New this week,DARK WOLF;by Christine Feehan;New this week,THE ALCHEMIST;by Paulo Coelho;286 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;12 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;16 weeks on the list,THE HAPPY WIVES CLUB;by Fawn Weaver;New this week,THE WOLF OF WALL STREET;by Jordan Belfort;11 weeks on the list,SUPER SHRED;by Ian K. Smith;2 weeks on the list,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;12 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;41 weeks on the list","YU-GI-OH! ZEXAL, VOL. 4;by Shin Yoshida and Naohito Miyoshi;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;36 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;122 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;,MISS KAY'S DUCK COMMANDER KITCHEN;by Kay Robertson with Chrys Howard;,THE BULLY PULPIT;by Doris Kearns Goodwin;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
4,FEAR NOTHING;by Lisa Gardner;New this week,STANDUP GUY;by Stuart Woods;New this week,DEAR LIFE;by Alice Munro;14 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;15 weeks on the list,BRAINSTORM;by Daniel J. Siegel;New this week,PROOF OF HEAVEN;by Eben Alexander;64 weeks on the list,WILD;by Cheryl Strayed;83 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;6 weeks on the list",BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;111 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;51 weeks on the list","ATTACK ON TITAN, VOL. 10;by Hajime Isayama;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;29 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;260 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,MIRACLES AND MASSACRES;by Glenn Beck with Kevin Balfe and Hannah Beck;,THE REASON I JUMP;by Naoki Higashida;
5,SYCAMORE ROW;by John Grisham;12 weeks on the list,SYCAMORE ROW;by John Grisham;12 weeks on the list,TENTH OF DECEMBER;by George Saunders;New this week,,,THE WOLF OF WALL STREET;by Jordan Belfort;3 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;14 weeks on the list,OUTLIERS;by Malcolm Gladwell;136 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;New this week,THE BODY BOOK;by Cameron Diaz with Sandra Bark;New this week,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;101 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;117 weeks on the list","NISEKOI: FALSE LOVE, VOL. 1;by Naoshi Komi;New this week",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PRESS HERE;by Hervé Tullet;124 weeks on the list,THE MAZE RUNNER;by James Dashner;66 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,"JAB, JAB, JAB, RIGHT HOOK;by Gary Vaynerchuk;",THE PIONEER WOMAN COOKS: FOOD FROM MY FRONTIER;by Ree Drummond;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,AN ASTRONAUT'S GUIDE TO LIFE ON EARTH;by Chris Hadfield;
6,STANDUP GUY;by Stuart Woods;New this week,HAZARDOUS DUTY;by W. E. B. Griffin and William E. Butterworth IV;2 weeks on the list,RETURN TO TRADD STREET;by Karen White;New this week,,,WILD;by Cheryl Strayed;59 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;10 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;165 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;14 weeks on the list,JIM CRAMER'S GET RICH CAREFULLY;by James J. Cramer;2 weeks on the list,"INJUSTICE: GODS AMONG US, VOL. 1;by Tom Taylor and Jheremy Raapack;6 weeks on the list","THE WALKING DEAD, VOL. 19;by Robert Kirkman and Charlie Adlard;7 weeks on the list","RUROUNI KENSHIN: RESTORATION, VOL. 2;by Nobuhiro Watsuki;New this week",WONDER;by R.J. Palacio;295 weeks on the list,MR. WUFFLES!;by David Wiesner;5 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;323 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,THE ESSENTIAL SCRATCH AND SNIFF GUIDE TO BECOMING A WINE EXPERT;by Richard Betts;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,FIVE DAYS AT MEMORIAL;by Sheri Fink;
7,AFTER THE STORM;by Maya Banks;New this week,THE PAGAN LORD;by Bernard Cornwell;New this week,DARK PLACES;by Gillian Flynn;27 weeks on the list,,,BRAINSTORM;by Daniel J. Siegel;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;42 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;26 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;120 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;16 weeks on the list,THE ENCYCLOPEDIA OF EARLY EARTH;by Isabel Greenberg;4 weeks on the list,"FABLES, VOL. 19;by Bill Willingham, Mark Buckingham and others;3 weeks on the list","PSYREN, VOL. 14;by Toshiaki Iwashiro;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT AND HIS MAGIC SUNGLASSES;by Kimberly and James Dean. Illustrated by James Dean;11 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;56 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,JERUSALEM;by Yotam Ottolenghi and Sami Tamimi;,TWELVE YEARS A SLAVE;by Solomon Northup;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
8,RIVER ROAD;by Jayne Ann Krentz;New this week,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;9 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;21 weeks on the list,,,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;New this week,LITTLE FAILURE;by Gary Shteyngart;New this week,THE POWER OF HABIT;by Charles Duhigg;New this week,UNBROKEN;by Laura Hillenbrand;154 weeks on the list,HANDS FREE MAMA;by Rachel Macy Stafford;New this week,THE BEST AMERICAN COMICS 2013;by Jeff Smith and others;13 weeks on the list,APHRODITE: GODDESS OF LOVE;by George O'Connor;New this week,"ATTACK ON TITAN, VOL. 1;by Hajime Isayama;31 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,MR. TIGER GOES WILD;by Peter Brown;4 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;45 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,THE CHEW -- WHAT'S FOR DINNER?;by the staff of “The Chew”;,UNBROKEN;by Laura Hillenbrand;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;
9,GONE GIRL;by Gillian Flynn;68 weeks on the list,FEAR NOTHING;by Lisa Gardner;New this week,DARK WITCH;by Nora Roberts;11 weeks on the list,,,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;10 weeks on the list,MY AGE OF ANXIETY;by Scott Stossel;New this week,WILD;by Cheryl Strayed;42 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;15 weeks on the list,THE GIFTS OF IMPERFECTION;by Brené Brown;16 weeks on the list,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;39 weeks on the list,BLUE IS THE WARMEST COLOR;by Julie Maroh;12 weeks on the list,"MAXIMUM RIDE: THE MANGA, VOL. 7;by James Patterson and NaRae Lee;9 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,JOURNEY;by Aaron Becker;9 weeks on the list,LEGEND;by Marie Lu;8 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,STEVE JOBS;by Walter Isaacson;,THE PIONEER WOMAN COOKS;by Ree Drummond;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,THE SPORTS GENE;by David Epstein;
10,THE HUSBAND'S SECRET;by Liane Moriarty;21 weeks on the list,RIVER ROAD;by Jayne Ann Krentz;New this week,12TH OF NEVER;by James Patterson and Maxine Paetro;3 weeks on the list,,,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;99 weeks on the list,THE BULLY PULPIT;by Doris Kearns Goodwin;10 weeks on the list,QUIET;by Susan Cain;50 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;27 weeks on the list,THE DASH DIET WEIGHT LOSS SOLUTION;by Marla Heller;2 weeks on the list,"DETECTIVE COMICS, VOL. 3;by John Layman, Jason Fabok and Andy Clarke;2 weeks on the list","SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;20 weeks on the list","BLACK BUTLER, VOL. 1;by Yana Toboso;38 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;87 weeks on the list,MAGIC TREE HOUSE;by Mary Pope Osborne. Illustrated by Sal Murdocca;274 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,EVERYTHING STORE;by Brad Stone;,THE SOUTHERNER'S HANDBOOK;by David DiBenedetto and the editors of Garden and Gun;,LONG WALK TO FREEDOM;by Nelson Mandela;,THE SIGNAL AND THE NOISE;by Nate Silver;
