,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,ECHOES IN DEATH;by J. D. Robb;New this week,NORSE MYTHOLOGY;by Neil Gaiman;New this week,A MAN CALLED OVE;by Fredrik Backman;59 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;9 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;29 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;10 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;187 weeks on the list,DOG MAN UNLEASHED;by Dav Pilkey;7 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;11 weeks on the list,RED QUEEN;by Victoria Aveyard;New this week,CARVE THE MARK;by Veronica Roth;4 weeks on the list,,TOOLS OF TITANS;by Tim Ferriss;,,,,,,,,,,,,,,,,,HIDDEN FIGURES;by Margot Lee Shetterly;,SHOE DOG;by Phil Knight;,
2,NORSE MYTHOLOGY;by Neil Gaiman;New this week,ECHOES IN DEATH;by J. D. Robb;New this week,A DOG'S PURPOSE;by W. Bruce Cameron;27 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;29 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;22 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;70 weeks on the list,YOU ARE A BADASS;by Jen Sincero;57 weeks on the list,WONDER;by R.J. Palacio;79 weeks on the list,PETE THE CAT: VALENTINE'S DAY IS COOL;by James Dean and Kimberly Dean;New this week,HARRY POTTER;by J.K. Rowling;412 weeks on the list,CARAVAL;by Stephanie Garber;2 weeks on the list,,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,,,,,,,,,,,,,,,,,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,SHAKEN;by Tim Tebow;,
3,A DOG'S PURPOSE;by W. Bruce Cameron;10 weeks on the list,NEVER NEVER;by James Patterson and Candice Fox;4 weeks on the list,MILK AND HONEY;by Rupi Kaur;44 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;22 weeks on the list,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;17 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;28 weeks on the list,THE LOSE YOUR BELLY DIET;by Travis Stork;6 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;6 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;23 weeks on the list",DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;413 weeks on the list,WINTERSONG;by S. Jae-Jones;New this week,,THE UNDOING PROJECT;by Michael Lewis;,,,,,,,,,,,,,,,,,THE UNDOING PROJECT;by Michael Lewis;,THE BOYS IN THE BOAT;by Daniel James Brown;,
4,A MAN CALLED OVE;by Fredrik Backman;38 weeks on the list,THE WHISTLER;by John Grisham;16 weeks on the list,THE SHACK;by William P. Young;140 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;59 weeks on the list,THREE DAYS IN JANUARY;by Bret Baier with Catherine Whitney;5 weeks on the list,ORIGINALS;by Adam Grant;New this week,TOOLS OF TITANS;by Tim Ferriss;10 weeks on the list,LOST IN A BOOK;by Jennifer Donnelly;2 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;156 weeks on the list,THE LAND OF STORIES;by Chris Colfer. Illustrated by Brandon Dorman;31 weeks on the list,COURAGE TO SOAR;by Simone Biles with Michelle Burford;13 weeks on the list,,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,,,,,,,,,,,,,,,,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,COURAGE TO SOAR;by Simone Biles with Michelle Burford;,
5,THE SHACK;by William P. Young;3 weeks on the list,RIGHT BEHIND YOU;by Lisa Gardner;2 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;New this week,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;17 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;17 weeks on the list,WE SHOULD ALL BE FEMINISTS;by Chimamanda Ngozi Adichie;17 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;9 weeks on the list,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;29 weeks on the list,I DISSENT;by Debbie Levy. Illustrated by Elizabeth Baddeley;3 weeks on the list,DORK DIARIES;by Rachel Renée Russell;194 weeks on the list,HEARTLESS;by Marissa Meyer;14 weeks on the list,,"THINKING, FAST AND SLOW;by Daniel Kahneman;",,,,,,,,,,,,,,,,,"THINKING, FAST AND SLOW;by Daniel Kahneman;",I GOT THIS;by Laurie Hernandez;,
6,THE HANDMAID'S TALE;by Margaret Atwood;New this week,THE UNDERGROUND RAILROAD;by Colson Whitehead;27 weeks on the list,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;43 weeks on the list,BIG AGENDA;by David Horowitz;New this week,BIG AGENDA;by David Horowitz;New this week,FURIOUSLY HAPPY;by Jenny Lawson;New this week,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;71 weeks on the list,DRAGON CAPTIVES;by Lisa McMann;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;190 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;73 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;15 weeks on the list,,SHOE DOG;by Phil Knight;,,,,,,,,,,,,,,,,,CASE AGAINST SUGAR;by Gary Taubes;,WHAT DOESN’T KILL US;by Scott Carney;,
7,RIGHT BEHIND YOU;by Lisa Gardner;2 weeks on the list,TWO BY TWO;by Nicholas Sparks;19 weeks on the list,STING;by Sandra Brown;New this week,THREE DAYS IN JANUARY;by Bret Baier with Catherine Whitney;5 weeks on the list,YOU ARE THE UNIVERSE;by Deepak Chopra and Menas Kafatos;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;123 weeks on the list",UNINVITED;by Lysa TerKeurst;21 weeks on the list,WORD OF MOUSE;by James Patterson and Chris Grabenstein. Illustrated by Joe Sutphin;9 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;72 weeks on the list,A SERIES OF UNFORTUNATE EVENTS;by Lemony Snicket;144 weeks on the list,SIX OF CROWS;by Leigh Bardugo;52 weeks on the list,,CASE AGAINST SUGAR;by Gary Taubes;,,,,,,,,,,,,,,,,,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,FURIOUS GEORGE;by George Karl with Curt Sampson;,
8,NEVER NEVER;by James Patterson and Candice Fox;4 weeks on the list,THE GIRL BEFORE;by J P Delaney;3 weeks on the list,FIFTY SHADES DARKER;by E. L. James;115 weeks on the list,YOU ARE THE UNIVERSE;by Deepak Chopra and Menas Kafatos;New this week,TEARS WE CANNOT STOP;by Michael Eric Dyson;4 weeks on the list,I AM NOT YOUR NEGRO;from texts by James Baldwin; edited by Raoul Peck;New this week,THE WHOLE30 COOKBOOK;by Melissa Hartwig;8 weeks on the list,DOG MAN;by Dav Pilkey;24 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;123 weeks on the list,HOUSE OF ROBOTS;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;4 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;39 weeks on the list,,THE POWER OF HABIT;by Charles Duhigg;,,,,,,,,,,,,,,,,,THE TELOMERE EFFECT;by Elizabeth Blackburn and Elissa Epel;,A LIFE WELL PLAYED;by Arnold Palmer;,
9,SOMEONE TO HOLD;by Mary Balogh;New this week,MY NOT SO PERFECT LIFE;by Sophie Kinsella;New this week,BRITT-MARIE WAS HERE;by Fredrik Backman;New this week,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;12 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;6 weeks on the list,DARK MONEY;by Jane Mayer;3 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;114 weeks on the list,PAX;Sara Pennypacker. Illustrated by Jon Klassen;51 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;87 weeks on the list",PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;420 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;38 weeks on the list,,GRIT;by Angela Duckworth;,,,,,,,,,,,,,,,,,THE POWER OF HABIT;by Charles Duhigg;,BARBARIAN DAYS;by William Finnegan;,
10,FIFTY SHADES DARKER;by E. L. James;65 weeks on the list,UNIVERSAL HARVESTER;by John Darnielle;New this week,BIG LITTLE LIES;by Liane Moriarty;15 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;New this week,THE UNDOING PROJECT;by Michael Lewis;10 weeks on the list,LION;by Saroo Brierley;New this week,THE LITTLE BOOK OF HYGGE;by Meik Wiking;3 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;19 weeks on the list,WAITING IS NOT EASY!;by Mo Willems;45 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;35 weeks on the list,SCYTHE;by Neal Shusterman;9 weeks on the list,,SPARK;by Angie Morgan;,,,,,,,,,,,,,,,,,QUIET;by Susan Cain;,BELICHICK AND BRADY;by Michael Holley;,
11,BIG LITTLE LIES;by Liane Moriarty;26 weeks on the list,SMALL GREAT THINGS;by Jodi Picoult;18 weeks on the list,,BLACK EDGE;by Sheelah Kolhatkar;New this week,WHEN BREATH BECOMES AIR;by Paul Kalanithi;50 weeks on the list,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,MILK AND HONEY;by Rupi Kaur;9 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;13 weeks on the list,,THE UNDOING PROJECT;by Michael Lewis;10 weeks on the list,BLACK EDGE;by Sheelah Kolhatkar;New this week,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,MY NOT SO PERFECT LIFE;by Sophie Kinsella;New this week,THE MISTRESS;by Danielle Steel;6 weeks on the list,,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;6 weeks on the list,BORN A CRIME;by Trevor Noah;13 weeks on the list,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,THE WHISTLER;by John Grisham;16 weeks on the list,COMMONWEALTH;by Ann Patchett;18 weeks on the list,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;51 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;72 weeks on the list,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,THE GIRL BEFORE;by J P Delaney;3 weeks on the list,BORN OF VENGEANCE;by Sherrilyn Kenyon;New this week,,TEARS WE CANNOT STOP;by Michael Eric Dyson;3 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;12 weeks on the list,,,,,,,,,,,,,,,,,,,,,,,,,,,
