,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,WHERE THE CRAWDADS SING;by Delia Owens;68 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;69 weeks on the list,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;69 weeks on the list,EDUCATED;by Tara Westover;97 weeks on the list,BECOMING;by Michelle Obama;55 weeks on the list,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE;by Greta Thunberg;7 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;8 weeks on the list",THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;37 weeks on the list,THE SERIOUS GOOSE;by Jimmy Kimmel;4 weeks on the list,DOG MAN;by Dav Pilkey;122 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;4 weeks on the list,THE GUARDIANS;by John Grisham;,TALKING TO STRANGERS;by Malcolm Gladwell;,THE RIDE OF A LIFETIME;by Robert Iger;,GUTS;by Raina Telgemeier;,SILENT NIGHT;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,LOOKING FOR ALASKA;by John Green;
2,THE GUARDIANS;by John Grisham;11 weeks on the list,THE GUARDIANS;by John Grisham;11 weeks on the list,THE OVERSTORY;by Richard Powers;38 weeks on the list,BECOMING;by Michelle Obama;56 weeks on the list,EDUCATED;by Tara Westover;97 weeks on the list,SAPIENS;by Yuval Noah Harari;85 weeks on the list,THE BLUE ZONES KITCHEN;by Dan Buettner;3 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;38 weeks on the list,THE CRAYONS' CHRISTMAS;by Drew Daywalt. Illustrated by Oliver Jeffers;11 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;563 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;95 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,ATOMIC HABITS;by James Clear;,STRANGE PLANET;by Nathan W. Pyle;,THE 13-MINUTE MURDER;by James Patterson;,WISH;by Barbara O'Connor;,"LET IT SNOW;by John Green, Maureen Johnson and Lauren Myracle;"
3,THE INSTITUTE;by Stephen King;16 weeks on the list,THE INSTITUTE;by Stephen King;16 weeks on the list,THE WOMAN IN THE WINDOW;by A.J. Finn;36 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;16 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;16 weeks on the list,JUST MERCY;by Bryan Stevenson;185 weeks on the list,THE PIONEER WOMAN COOKS: THE NEW FRONTIER;by Ree Drummond;10 weeks on the list,ALI CROSS;by James Patterson;5 weeks on the list,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;84 weeks on the list,HARRY POTTER;by J.K. Rowling;562 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;56 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,MAYBE YOU SHOULD TALK TO SOMEONE;by Lori Gottlieb;,DARE TO LEAD;by Brené Brown;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,THE HOUSE NEXT DOOR;by James Patterson;,A LONG WALK TO WATER;by Linda Sue Park;,GIRL IN THE BLUE COAT;by Monica Hesse;
4,THE LAST WISH;by Andrzej Sapkowski;New this week,CRISS CROSS;by James Patterson;5 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;34 weeks on the list,ME;by Elton John;11 weeks on the list,ME;by Elton John;11 weeks on the list,I HEARD YOU PAINT HOUSES;by Charles Brandt;9 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;159 weeks on the list,A TALE OF MAGIC...;by Chris Colfer;13 weeks on the list,GRUMPY MONKEY;by Suzanne Lang. Illustrated by Max Lang;18 weeks on the list,THE BAD GUYS;by Aaron Blabey;58 weeks on the list,THE HATE U GIVE;by Angie Thomas;148 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,EDUCATED;by Tara Westover;,PRINCIPLES;by Ray Dalio;,DRAMA;by Raina Telgemeier;,RUNNING SCARED;by Lisa Jackson;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THE SUN IS ALSO A STAR;by Nicola Yoon;
5,THE NIGHT FIRE;by Michael Connelly;7 weeks on the list,THE TESTAMENTS;by Margaret Atwood;15 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;32 weeks on the list,SAM HOUSTON AND THE ALAMO AVENGERS;by Brian Kilmeade;8 weeks on the list,SAM HOUSTON AND THE ALAMO AVENGERS;by Brian Kilmeade;8 weeks on the list,BORN A CRIME;by Trevor Noah;46 weeks on the list,YOU ARE A BADASS;by Jen Sincero;201 weeks on the list,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;8 weeks on the list,SULWE;by Lupita Nyong'o. Illustrated by Vashti Harrison;6 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;202 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;101 weeks on the list,THE LAST WISH;by Andrzej Sapkowski;,BECOMING;by Michelle Obama;,THE INFINITE GAME;by Simon Sinek;,SMILE;by Raina Telgemeier;,TOM CLANCY: OATH OF OFFICE;by Marc Cameron;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,TURTLES ALL THE WAY DOWN;by John Green;
6,CRISS CROSS;by James Patterson;5 weeks on the list,BLUE MOON;by Lee Child;9 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;36 weeks on the list,THE BODY;by Bill Bryson;11 weeks on the list,FINDING CHIKA;by Mitch Albom;8 weeks on the list,WHY WE SLEEP;by Matthew Walker;36 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;33 weeks on the list,DOG DIARIES HAPPY HOWLIDAYS;by James Patterson with Steven Butler. Illustrated by Richard Watson;5 weeks on the list,"GOOD NIGHT, LITTLE BLUE TRUCK;by Alice Schertle and Jill McElmurry;11 weeks on the list",DORK DIARIES;by Rachel Renée Russell;306 weeks on the list,"DEAR EVAN HANSEN: THE NOVEL;by Val Emmich with Steven Levenson, Benj Pasek & Justin Paul;40 weeks on the list",THE SILENT PATIENT;by Alex Michaelides;,CATCH AND KILL;by Ronan Farrow;,OUTLIERS;by Malcolm Gladwell;,WATCHMEN;by Alan Moore. Illustrated by Dave Gibbons;,CHRISTMAS WITH YOU;by Nora Roberts;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
7,BLUE MOON;by Lee Child;9 weeks on the list,A MINUTE TO MIDNIGHT;by David Baldacci;6 weeks on the list,THE GREAT ALONE;by Kristin Hannah;14 weeks on the list,SAPIENS;by Yuval Noah Harari;87 weeks on the list,A WARNING;by Anonymous;6 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;62 weeks on the list,7-DAY APPLE CIDER VINEGAR CLEANSE;by J.J. Smith;New this week,TRISTAN STRONG PUNCHES A HOLE IN THE SKY;by Kwame Mbalia;9 weeks on the list,PETE THE CAT'S 12 GROOVY DAYS OF CHRISTMAS;by Kimberly and James Dean;14 weeks on the list,WINGS OF FIRE;by Tui T. Sutherland;71 weeks on the list,LOKI: WHERE MISCHIEF LIES;by Mackenzi Lee;7 weeks on the list,CONVICTION;by Denise Mina;,BORN A CRIME;by Trevor Noah;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,SISTERS;by Raina Telgemeier;,BLOODY TRAIL OF THE MOUNTAIN MAN;by William W. Johnstone and J.A. Johnstone;,MALALA: MY STORY OF STANDING UP FOR GIRLS' RIGHTS;by Malala Yousafzai with Patricia McCormick. Adapted by Sarah J. Robbins;,THE LIBRARIAN OF AUSCHWITZ;by Antonio Iturbe;
8,A MINUTE TO MIDNIGHT;by David Baldacci;6 weeks on the list,THE WATER DANCER;by Ta-Nehisi Coates;13 weeks on the list,MILK AND HONEY;by Rupi Kaur;162 weeks on the list,A WARNING;by Anonymous;6 weeks on the list,TRIGGERED;by Donald Trump Jr;8 weeks on the list,THE FIFTH RISK;by Michael Lewis;4 weeks on the list,MAKE YOUR BED;by William H. McRaven;82 weeks on the list,WONDER;by R.J. Palacio;228 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;215 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;28 weeks on the list,THE FOUNTAINS OF SILENCE;by Ruta Sepetys;13 weeks on the list,BLOOD OF ELVES;by Andrzej Sapkowski;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,THE MAN WHO SOLVED THE MARKET;by Gregory Zuckerman;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",THE FIRST LADY;by James Patterson and Brendan DuBois;,MAX EINSTEIN: THE GENIUS EXPERIMENT;by James Patterson and Chris Grabenstein. Illustrated by Beverly Johnson;,THE FAULT IN OUR STARS;by John Green;
9,THE TESTAMENTS;by Margaret Atwood;14 weeks on the list,TWISTED TWENTY-SIX;by Janet Evanovich;7 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;68 weeks on the list,NO ONE IS TOO SMALL TO MAKE A DIFFERENCE;by Greta Thunberg;2 weeks on the list,THE BODY;by Bill Bryson;11 weeks on the list,KILLERS OF THE FLOWER MOON;by David Grann;72 weeks on the list,I REALLY NEEDED THIS TODAY;by Hoda Kotb with Jane Lorenzini;11 weeks on the list,A BEAUTIFUL DAY IN THE NEIGHBORHOOD;by Fred Rogers. Illustrated by Luke Flowers;31 weeks on the list,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;23 weeks on the list,THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;30 weeks on the list,WAYWARD SON;by Rainbow Rowell;13 weeks on the list,THE WATER DANCER;by Ta-Nehisi Coates;,SAPIENS;by Yuval Noah Harari;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",NATHAN HALE'S HAZARDOUS TALES: MAJOR IMPOSSIBLE;by Nathan Hale;,WINTER'S PROPOSAL;by Sherryl Woods;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,GIRLS OF PAPER AND FIRE;by Natasha Ngan;
10,THE SILENT PATIENT;by Alex Michaelides;15 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;14 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;117 weeks on the list,FINDING CHIKA;by Mitch Albom;8 weeks on the list,THE BOOK OF GUTSY WOMEN;by Hillary Rodham Clinton and Chelsea Clinton;11 weeks on the list,CALYPSO;by David Sedaris;30 weeks on the list,"GIRL, STOP APOLOGIZING;by Rachel Hollis;31 weeks on the list",A WOLF CALLED WANDER;by Rosanne Parry. Illustrated by Mónica Armiño;25 weeks on the list,CONSTRUCTION SITE ON CHRISTMAS NIGHT;by Sherri Duskey Rinker. Illustrated by A. G. Ford;17 weeks on the list,THE TRIALS OF APOLLO;by Rick Riordan;24 weeks on the list,THE SECRET COMMONWEALTH;by Philip Pullman;12 weeks on the list,A MINUTE TO MIDNIGHT;by David Baldacci;,A WARNING;by Anonymous;,RANGE;by David Epstein;,"MY HERO ACADEMIA, VOL. 22;by Kohei Horikoshi;",SEA OF GREED;by Clive Cussler and Graham Brown;,THE BOY WHO HARNESSED THE WIND;William Kamkwamba and Bryan Mealer. Illustrated by Anna Hymas;,JUST MERCY;by Bryan Stevenson;
