,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,READY PLAYER TWO;by Ernest Cline;2 weeks on the list,READY PLAYER TWO;by Ernest Cline;2 weeks on the list,HOME BODY;by Rupi Kaur;3 weeks on the list,A PROMISED LAND;by Barack Obama;3 weeks on the list,A PROMISED LAND;by Barack Obama;3 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;57 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;53 weeks on the list",THE ICKABOG;by J.K. Rowling;4 weeks on the list,5 MORE SLEEPS 'TIL CHRISTMAS;by Jimmy Fallon. Illustrated by Rich Deas;6 weeks on the list,DOG MAN;by Dav Pilkey;171 weeks on the list,THE COUSINS;by Karen M. McManus;New this week,READY PLAYER TWO;by Ernest Cline;,A PROMISED LAND;by Barack Obama;,ATOMIC HABITS;by James Clear;,A WEALTH OF PIGEONS;by Steve Martin and Harry Bliss;,LEOPARD'S RAGE;by Christine Feehan;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,WE WERE LIARS;by E. Lockhart;
2,A TIME FOR MERCY;by John Grisham;8 weeks on the list,A TIME FOR MERCY;by John Grisham;8 weeks on the list,THE QUEEN'S GAMBIT;by Walter Tevis;4 weeks on the list,GREENLIGHTS;by Matthew McConaughey;7 weeks on the list,GREENLIGHTS;by Matthew McConaughey;7 weeks on the list,MY OWN WORDS;by Ruth Bader Ginsburg with Mary Hartnett and Wendy W. Williams;20 weeks on the list,MODERN COMFORT FOOD;by Ina Garten;9 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;86 weeks on the list,THE CRAYONS' CHRISTMAS;by Drew Daywalt. Illustrated by Oliver Jeffers;15 weeks on the list,HARRY POTTER;by J.K. Rowling;611 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;149 weeks on the list,RHYTHM OF WAR;by Brandon Sanderson;,GREENLIGHTS;by Matthew McConaughey;,PAPPYLAND;by Wright Thompson;,GUTS;by Raina Telgemeier;,THE NIGHT FIRE;by Michael Connelly;,A LONG WALK TO WATER;by Linda Sue Park;,THE BOOK THIEF;by Markus Zusak;
3,DEADLY CROSS;by James Patterson;2 weeks on the list,DEADLY CROSS;by James Patterson;2 weeks on the list,THEN SHE WAS GONE;by Lisa Jewell;73 weeks on the list,BECOMING;by Michelle Obama;88 weeks on the list,BECOMING;by Michelle Obama;95 weeks on the list,BRAIDING SWEETGRASS;by Robin Wall Kimmerer;34 weeks on the list,THE HAPPY IN A HURRY COOKBOOK;by Steve and Kathy Doocy;6 weeks on the list,ROWLEY JEFFERSON'S AWESOME FRIENDLY ADVENTURE;by Jeff Kinney;18 weeks on the list,THE WORLD NEEDS WHO YOU WERE MADE TO BE;by Joanna Gaines. Illustrated by Julianna Swaney;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;612 weeks on the list,THE BLACK FRIEND;by Frederick Joseph;New this week,THE LAW OF INNOCENCE;by Michael Connelly;,THE BEST OF ME;by David Sedaris;,DARE TO LEAD;by Brené Brown;,NEW KID;by Jerry Craft;,SPY;by Danielle Steel;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,DEAR MARTIN;by Nic Stone;
4,THE RETURN;by Nicholas Sparks;10 weeks on the list,THE RETURN;by Nicholas Sparks;10 weeks on the list,THE CHICKEN SISTERS;by KJ Dell'Antonia;New this week,CASTE;by Isabel Wilkerson;18 weeks on the list,CASTE;by Isabel Wilkerson;18 weeks on the list,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;111 weeks on the list,THE MEATEATER GUIDE TO WILDERNESS SKILLS AND SURVIVAL;by Steven Rinella;New this week,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;33 weeks on the list,HOW TO CATCH A UNICORN;by Adam Wallace. Illustrated by Andy Elkerton;24 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;244 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;37 weeks on the list,A TIME FOR MERCY;by John Grisham;,CASTE;by Isabel Wilkerson;,TEN LESSONS FOR A POST-PANDEMIC WORLD;by Fareed Zakaria;,"MY HERO ACADEMIA, VOL. 1;by Kohei Horikoshi;",WHEN YOU SEE ME;by Lisa Gardner;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,THEY BOTH DIE AT THE END;by Adam Silvera;
5,DAYLIGHT;by David Baldacci;3 weeks on the list,DAYLIGHT;by David Baldacci;3 weeks on the list,MILK AND HONEY;by Rupi Kaur;168 weeks on the list,UNTAMED;by Glennon Doyle;39 weeks on the list,UNTAMED;by Glennon Doyle;39 weeks on the list,THE WARMTH OF OTHER SUNS;by Isabel Wilkerson;49 weeks on the list,IT'S NEVER TOO LATE;by Kathie Lee Gifford;New this week,THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;31 weeks on the list,THE OFFICE: A DAY AT DUNDER MIFFLIN ELEMENTARY;by Robb Pearlman. Illustrated by Melanie Demmer;10 weeks on the list,AN EMBER IN THE ASHES;by Sabaa Tahir;2 weeks on the list,THE HATE U GIVE;by Angie Thomas;197 weeks on the list,FORTUNE AND GLORY;by Janet Evanovich;,CLANLANDS;by Sam Heughan and Graham McTavish;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",CLASS ACT;by Jerry Craft;,A CHRISTMAS MESSAGE;by Debbie Macomber;,LOOK BOTH WAYS;by Jason Reynolds;,FIVE TOTAL STRANGERS;by Natalie D. Richards;
6,AMERICAN DIRT;by Jeanine Cummins;36 weeks on the list,THE VANISHING HALF;by Brit Bennett;27 weeks on the list,THE SONG OF ACHILLES;by Madeline Miller;7 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;89 weeks on the list,"DOLLY PARTON, SONGTELLER;by Dolly Parton with Robert K. Oermann;3 weeks on the list",THE TRUTHS WE HOLD;by Kamala Harris;11 weeks on the list,"MAGNOLIA TABLE, VOL. 2;by Joanna Gaines;28 weeks on the list","FOOD NETWORK MAGAZINE: THE BIG, FUN KIDS COOKBOOK;by Food Network Magazine;9 weeks on the list",PETE THE CAT'S 12 GROOVY DAYS OF CHRISTMAS;by Kimberly and James Dean;18 weeks on the list,THE BAD GUYS;by Aaron Blabey;104 weeks on the list,LEGENDBORN;by Tracy Deonn;3 weeks on the list,THE SENTINEL;by Lee Child and Andrew Child;,BECOMING;by Michelle Obama;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,HAPPY NARWHALIDAYS;by Ben Clanton;,THE MUSEUM OF DESIRE;by Jonathan Kellerman;,WISH;by Barbara O'Connor;,SIX OF CROWS;by Leigh Bardugo;
7,THE VANISHING HALF;by Brit Bennett;27 weeks on the list,THE LAW OF INNOCENCE;by Michael Connelly;4 weeks on the list,THE BLUEST EYE;by Toni Morrison;10 weeks on the list,MODERN WARRIORS;by Pete Hegseth;2 weeks on the list,IS THIS ANYTHING?;by Jerry Seinfeld;9 weeks on the list,SAPIENS;by Yuval Noah Harari;121 weeks on the list,ATOMIC HABITS;by James Clear;54 weeks on the list,ESSENTIALLY CHARLI;by Charli D’Amelio;New this week,HOW TO CATCH A MERMAID;by Adam Wallace. Illustrated by Andy Elkerton;New this week,COURT OF THORNS AND ROSES;by Sarah J. Maas;18 weeks on the list,KINGDOM OF THE WICKED;by Kerri Maniscalco;6 weeks on the list,DAYLIGHT;by David Baldacci;,UNTAMED;by Glennon Doyle;,LEADERSHIP;by Doris Kearns Goodwin;,BLADES OF FREEDOM;by Nathan Hale;,WYOMING TRUE;by Diana Palmer;,OUT OF MY MIND;by Sharon M. Draper;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
8,THE LAW OF INNOCENCE;by Michael Connelly;4 weeks on the list,THE SENTINEL;by Lee Child and Andrew Child;6 weeks on the list,THE OVERSTORY;by Richard Powers;69 weeks on the list,"DOLLY PARTON, SONGTELLER;by Dolly Parton with Robert K. Oermann;3 weeks on the list",MODERN WARRIORS;by Pete Hegseth;2 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;118 weeks on the list,SALT FAT ACID HEAT;by Samin Nosrat. Illustrated by Wendy MacNaughton;38 weeks on the list,MAX AND THE MIDKNIGHTS: BATTLE OF THE BODKINS;by Lincoln Peirce;New this week,"SHARE SOME KINDNESS, BRING SOME LIGHT;by Apryl Stott;New this week",THE LAST KIDS ON EARTH;by Max Brallier. Illustrated by Douglas Holgate;56 weeks on the list,ALL THIS TIME;by Mikki Daughtry and Rachael Lippincott;10 weeks on the list,THE GUEST LIST;by Lucy Foley;,NO TIME LIKE THE FUTURE;by Michael J. Fox;,POST CORONA;by Scott Galloway;,BABY-SITTERS LITTLE SISTER: KAREN'S ROLLER SKATES;by Ann M. Martin. Illustrated by Katy Farina;,THE RIVER MURDERS;by James Patterson and James O. Born;,BLENDED;by Sharon M. Draper;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
9,THE SENTINEL;by Lee Child and Andrew Child;6 weeks on the list,THE AWAKENING;by Nora Roberts;2 weeks on the list,READY PLAYER ONE;by Ernest Cline;65 weeks on the list,IS THIS ANYTHING?;by Jerry Seinfeld;7 weeks on the list,NO TIME LIKE THE FUTURE;by Michael J. Fox;3 weeks on the list,BORN A CRIME;by Trevor Noah;95 weeks on the list,DESSERT PERSON;by Claire Saffitz;2 weeks on the list,WONDER;by R.J. Palacio;277 weeks on the list,DASHER;by Matt Tavares;5 weeks on the list,BABY-SITTERS CLUB GRAPHIX;by Ann M. Martin; various illustrators;52 weeks on the list,THESE VIOLENT DELIGHTS;by Chloe Gong;2 weeks on the list,THE AWAKENING;by Nora Roberts;,"DOLLY PARTON, SONGTELLER;by Dolly Parton with Robert K. Oermann;",EDISON;by Edmund Morris;,SMILE;by Raina Telgemeier;,SPIRIT OF THE SEASON;by Fern Michaels;,A TALE OF MAGIC...;by Chris Colfer;,THE GRACE YEAR;by Kim Liggett;
10,THE AWAKENING;by Nora Roberts;2 weeks on the list,FORTUNE AND GLORY;by Janet Evanovich;5 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;64 weeks on the list,NO TIME LIKE THE FUTURE;by Michael J. Fox;3 weeks on the list,SAVING FREEDOM;by Joe Scarborough;2 weeks on the list,WHAT UNITES US;by Dan Rather and Elliot Kirschner;8 weeks on the list,STUFF YOU SHOULD KNOW;by Josh Clark and Chuck Bryant with Nils Parker;2 weeks on the list,BECOMING MUHAMMAD ALI;by James Patterson and Kwame Alexander;9 weeks on the list,HOW TO CATCH AN ELF;by Adam Wallace. Illustrated by Andy Elkerton;21 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;257 weeks on the list,THE INHERITANCE GAMES;by Jennifer Lynn Barnes;6 weeks on the list,WHERE THE CRAWDADS SING;by Delia Owens;,BLACKOUT;by Candace Owens;,MAKE LIFE BEAUTIFUL;by Shea McGee and Syd McGee;,"MY HERO ACADEMIA, VOL. 2;by Kohei Horikoshi;",A MACGREGOR CHRISTMAS;by Nora Roberts;,THE WILD ROBOT;by Peter Brown;,SERPENT AND DOVE;by Shelby Mahurin;
