,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Audio Fiction,Audio Nonfiction,Business,Graphic Books and Manga,Mass Market,Middle Grade Paperback,Young Adult Paperback
1,THE MIRROR & THE LIGHT;by Hilary Mantel;New this week,THE MIRROR & THE LIGHT;by Hilary Mantel;New this week,LITTLE FIRES EVERYWHERE;by Celeste Ng;45 weeks on the list,UNTAMED;by Glennon Doyle;New this week,UNTAMED;by Glennon Doyle;New this week,SAPIENS;by Yuval Noah Harari;96 weeks on the list,"THE BOY, THE MOLE, THE FOX AND THE HORSE;by Charlie Mackesy;19 weeks on the list",WINGS OF FIRE: LEGENDS: DRAGONSLAYER;by Tui T. Sutherland;2 weeks on the list,PETE THE CAT: THE GREAT LEPRECHAUN CHASE;by James Dean;3 weeks on the list,DOG MAN;by Dav Pilkey;133 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;New this week,WHERE THE CRAWDADS SING;by Delia Owens;,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;,ATOMIC HABITS;by James Clear;,SNUG;by Catana Chetwynd;,BLESSING IN DISGUISE;by Danielle Steel;,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;,CODE NAME VERITY;by Elizabeth Wein;
2,JOURNEY OF THE PHARAOHS;by Clive Cussler and Graham Brown;New this week,WHERE THE CRAWDADS SING;by Delia Owens;80 weeks on the list,NORMAL PEOPLE;by Sally Rooney;4 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;3 weeks on the list,THE SPLENDID AND THE VILE;by Erik Larson;3 weeks on the list,SAY NOTHING;by Patrick Radden Keefe;3 weeks on the list,FIND YOUR PATH;by Carrie Underwood with Eve Adamson;2 weeks on the list,DIARY OF AN AWESOME FRIENDLY KID;by Jeff Kinney;49 weeks on the list,HOW TO CATCH A LEPRECHAUN;by Adam Wallace. Illustrated by Andy Elkerton;17 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;574 weeks on the list,CHAIN OF GOLD;by Cassandra Clare;2 weeks on the list,GOLDEN IN DEATH;by J.D. Robb;,TALKING TO STRANGERS;by Malcolm Gladwell;,DARK TOWERS;by David Enrich;,GUTS;by Raina Telgemeier;,AMBUSH;by James Patterson and James O. Born;,A LONG WALK TO WATER;by Linda Sue Park;,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;
3,WHERE THE CRAWDADS SING;by Delia Owens;79 weeks on the list,JOURNEY OF THE PHARAOHS;by Clive Cussler and Graham Brown;New this week,THE TATTOOIST OF AUSCHWITZ;by Heather Morris;80 weeks on the list,THE GIFT OF FORGIVENESS;by Katherine Schwarzenegger Pratt;New this week,THE GIFT OF FORGIVENESS;by Katherine Schwarzenegger Pratt;New this week,THE BODY KEEPS THE SCORE;by Bessel van der Kolk;73 weeks on the list,GET OUT OF YOUR OWN WAY;by Dave Hollis;New this week,WONDER;by R.J. Palacio;239 weeks on the list,HOW TO CATCH A UNICORN;by Adam Wallace. Illustrated by Andy Elkerton;9 weeks on the list,HARRY POTTER;by J.K. Rowling;573 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;112 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;,BECOMING;by Michelle Obama;,DARE TO LEAD;by Brené Brown;,FGTEEV PRESENTS: INTO THE GAME!;by FGTeeV. Illustrated by Miguel Díaz Rivas;,UNSPOKEN;by Lisa Jackson;,THE UNTEACHABLES;by Gordon Korman;,ALL THE BRIGHT PLACES;by Jennifer Niven;
4,AMERICAN DIRT;by Jeanine Cummins;8 weeks on the list,AMERICAN DIRT;by Jeanine Cummins;8 weeks on the list,THE HUNTING PARTY;by Lucy Foley;2 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;10 weeks on the list,THE MAMBA MENTALITY;by Kobe Bryant;13 weeks on the list,JUST MERCY;by Bryan Stevenson;196 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;306 weeks on the list,REFUGEE;by Alan Gratz;89 weeks on the list,PETE THE CAT: BIG EASTER ADVENTURE;by James Dean and Kimberly Dean;18 weeks on the list,THE BAD GUYS;by Aaron Blabey;69 weeks on the list,A GOOD GIRL'S GUIDE TO MURDER;by Holly Jackson;6 weeks on the list,THE GIVER OF STARS;by Jojo Moyes;,BORN A CRIME;by Trevor Noah;,LEADERSHIP STRATEGY AND TACTICS;by Jocko Willink;,STRANGE PLANET;by Nathan W. Pyle;,THE OYSTERVILLE SEWING CIRCLE;by Susan Wiggs;,PAX;Sara Pennypacker. Illustrated by Jon Klassen;,LONG WAY DOWN;by Jason Reynolds;
5,LITTLE FIRES EVERYWHERE;by Celeste Ng;57 weeks on the list,A GOOD NEIGHBORHOOD;by Therese Anne Fowler;New this week,THE OUTSIDER;by Stephen King;17 weeks on the list,EDUCATED;by Tara Westover;108 weeks on the list,EDUCATED;by Tara Westover;108 weeks on the list,WHITE FRAGILITY;by Robin DiAngelo;84 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;170 weeks on the list,IF WE WERE GIANTS;by Dave Matthews and Clete Barrett Smith;2 weeks on the list,THE GOOD EGG PRESENTS: THE GREAT EGGSCAPE!;by Jory John. Illustrated by Pete Oswald;New this week,WINGS OF FIRE;by Tui T. Sutherland;82 weeks on the list,CHILDREN OF VIRTUE AND VENGEANCE;by Tomi Adeyemi;15 weeks on the list,THE DUTCH HOUSE;by Ann Patchett;,EDUCATED;by Tara Westover;,THE RIDE OF A LIFETIME;by Robert Iger;,NEW KID;by Jerry Craft;,COUNTRY STRONG;by Linda Lael Miller;,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;,TURTLES ALL THE WAY DOWN;by John Green;
6,LONG RANGE;by C.J. Box;2 weeks on the list,MY DARK VANESSA;by Kate Elizabeth Russell;New this week,THE WOMAN IN THE WINDOW;by A.J. Finn;47 weeks on the list,BORN A CRIME;by Trevor Noah;63 weeks on the list,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;6 weeks on the list,BORN A CRIME;by Trevor Noah;57 weeks on the list,ATOMIC HABITS;by James Clear;19 weeks on the list,THE COMPLETE COOKBOOK FOR YOUNG CHEFS;by America's Test Kitchen Kids;48 weeks on the list,HAIR LOVE;by Matthew A. Cherry. Illustrated by Vashti Harrison;8 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;213 weeks on the list,ONE OF US IS NEXT;by Karen M. McManus;10 weeks on the list,THE SILENT PATIENT;by Alex Michaelides;,A VERY STABLE GENIUS;by Philip Rucker and Carol Leonnig;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,BABY-SITTERS LITTLE SISTER: KAREN'S WITCH;by Ann M. Martin. Illustrated by Katy Farina;,VENDETTA ROAD;by Christine Feehan;,NEVERMOOR: THE TRIALS OF MORRIGAN CROW;by Jessica Townsend;,DEAR MARTIN;by Nic Stone;
7,MY DARK VANESSA;by Kate Elizabeth Russell;New this week,HOUSE OF EARTH AND BLOOD;by Sarah J. Maas;2 weeks on the list,BEFORE WE WERE YOURS;by Lisa Wingate;43 weeks on the list,OPEN BOOK;by Jessica Simpson with Kevin Carr O’Leary;6 weeks on the list,UNKNOWN VALOR;by Martha MacCallum;3 weeks on the list,THE GREAT INFLUENZA;by John M. Barry;New this week,DINNER IN FRENCH;by Melissa Clark;New this week,A TALE OF MAGIC...;by Chris Colfer;19 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;298 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;99 weeks on the list,THE HATE U GIVE;by Angie Thomas;159 weeks on the list,VALKYRIE;by Craig Alanson;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,PRINCIPLES;by Ray Dalio;,"MY HERO ACADEMIA, VOL. 23;by Kohei Horikoshi;",HUNTING FOR A HIGHLANDER;by Lynsay Sands;,OUT OF MY MIND;by Sharon M. Draper;,THE LIBRARIAN OF AUSCHWITZ;by Antonio Iturbe;
8,A GOOD NEIGHBORHOOD;by Therese Anne Fowler;New this week,LONG RANGE;by C.J. Box;2 weeks on the list,THE OVERSTORY;by Richard Powers;49 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;27 weeks on the list,CAPITAL AND IDEOLOGY;by Thomas Piketty;New this week,CHESAPEAKE REQUIEM;by Earl Swift;2 weeks on the list,GET OUT OF YOUR HEAD;by Jennie Allen;7 weeks on the list,CITY SPIES;by James Ponti;New this week,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;226 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;53 weeks on the list,CHILDREN OF BLOOD AND BONE;by Tomi Adeyemi;106 weeks on the list,LITTLE FIRES EVERYWHERE;by Celeste Ng;,SAPIENS;by Yuval Noah Harari;,OUTLIERS;by Malcolm Gladwell;,BEST FRIENDS;by Shannon Hale. Illustrated by LeUyen Pham;,CHASING CASSANDRA;by Lisa Kleypas;,UNICORN ACADEMY #1: SOPHIA AND RAINBOW;by Julie Sykes. Illustrated by Lucy Truman;,I AM NOT YOUR PERFECT MEXICAN DAUGHTER;by Erika L. Sánchez;
9,HOUSE OF EARTH AND BLOOD;by Sarah J. Maas;2 weeks on the list,BLINDSIDE;by James Patterson and James O. Born;3 weeks on the list,LOST ROSES;by Martha Hall Kelly;2 weeks on the list,SAPIENS;by Yuval Noah Harari;98 weeks on the list,JOHN ADAMS UNDER FIRE;by Dan Abrams and David Fisher;2 weeks on the list,OUTLIERS;by Malcolm Gladwell;317 weeks on the list,THE ULTIMATE RETIREMENT GUIDE FOR 50+;by Suze Orman;3 weeks on the list,ALI CROSS;by James Patterson;16 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;303 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;152 weeks on the list,YES NO MAYBE SO;by Becky Albertalli and Aisha Saeed;5 weeks on the list,THE SCENT KEEPER;by Erica Bauermeister;,CATCH AND KILL;by Ronan Farrow;,BAD BLOOD;by John Carreyrou;,INVESTIGATORS;by John Patrick Green;,PIECES OF HER;by Karin Slaughter;,RESTART;by Gordon Korman;,THE BOOK THIEF;by Markus Zusak;
10,IN FIVE YEARS;by Rebecca Serle;New this week,THE NUMBERS GAME;by Danielle Steel;2 weeks on the list,THE INN;by James Patterson with Candice Fox;New this week,SAY NOTHING;by Patrick Radden Keefe;12 weeks on the list,TALKING TO STRANGERS;by Malcolm Gladwell;27 weeks on the list,WHY WE SLEEP;by Matthew Walker;47 weeks on the list,THE XX BRAIN;by Lisa Mosconi;New this week,LOOK BOTH WAYS;by Jason Reynolds;7 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;169 weeks on the list,DORK DIARIES;by Rachel Renée Russell;315 weeks on the list,FIVE FEET APART;by Rachael Lippincott with Mikki Daughtry and Tobias Iaconis;67 weeks on the list,CROOKED RIVER;by Douglas Preston and Lincoln Child;,OUTLIERS;by Malcolm Gladwell;,THE INFINITE GAME;by Simon Sinek;,DRAMA;by Raina Telgemeier;,TEMPTATION'S DARLING;by Johanna Lindsey;,INSIDE OUT AND BACK AGAIN;by Thanhha Lai;,THE SUN IS ALSO A STAR;by Nicola Yoon;
