,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,PRIVATE: #1 SUSPECT;by James Patterson and Maxine Paetro;New this week,THE GIRL WITH THE DRAGON TATTOO;by Stieg Larsson;54 weeks on the list,,_____ MY DAD SAYS;by Justin Halpern;9 weeks on the list,"EAT, PRAY, LOVE;by Elizabeth Gilbert;178 weeks on the list",WOMEN FOOD AND GOD;by Geneen Roth;16 weeks on the list,THE TWILIGHT SAGA: ECLIPSE;by Mark Cotta Vaz;New this week,TWILIGHT;by Mark Cotta Vaz;16 weeks on the list,SCOTT PILGRIM: PRECIOUS LITTLE LIFE;by Bryan Lee O’Malley;17 weeks on the list,"NARUTO, VOL. 48;by Masashi Kishimoto;5 weeks on the list","THE RED PYRAMID: THE KANE CHRONICLES, BOOK ONE;by Rick Riordan and Orpheus Collar;9 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;New this week,LEGO STAR WARS;by Simon Beecroft;28 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;152 weeks on the list
2,SIZZLING SIXTEEN;by Janet Evanovich;2 weeks on the list,THE GIRL WHO PLAYED WITH FIRE;by Stieg Larsson;15 weeks on the list,,MEDIUM RAW;by Anthony Bourdain;4 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;179 weeks on the list,DELIVERING HAPPINESS;by Tony Hsieh;4 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;467 weeks on the list,COVER RUN: THE DC COMICS ART OF ADAM HUGHES;by Adam Hughes;New this week,"JACK OF FABLES, VOL. 7;by Bill Willingham and Chris Roberson;New this week","THE LAST AIRBENDER (9780345518552);by Dave Roman, Joon Choi and Alison Wilgus;New this week",THEODORE BOONE: KID LAWYER;by John Grisham;6 weeks on the list,THE BOOK THIEF;by Markus Zusak;147 weeks on the list,STAR WARS;by Rufus Butler Seder;8 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;156 weeks on the list
3,THE GIRL WHO KICKED THE HORNET’S NEST;by Stieg Larsson;6 weeks on the list,LITTLE BEE;by Chris Cleave;20 weeks on the list,,THE BIG SHORT;by Michael Lewis;16 weeks on the list,MY HORIZONTAL LIFE;by Chelsea Handler;88 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;94 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;153 weeks on the list,"SAGA OF THE SWAMP THING: BOOK THREE;by Alan Moore, Stephen R. Bissette and Rick Veitch;New this week",SCOTT PILGRIM VS. THE WORLD;by Bryan Lee O’Malley;13 weeks on the list,"VAMPIRE KNIGHT, VOL. 10;by Matsuri Hino;5 weeks on the list",CATCHING FIRE;by Suzanne Collins;44 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;75 weeks on the list,LADYBUG GIRL AT THE BEACH;by David Soman and Jacky Davis. Illustrated by David Soman;7 weeks on the list,PRETTY LITTLE LIARS;by Sara Shepard;17 weeks on the list
4,THE OVERTON WINDOW;by Glenn Beck;3 weeks on the list,ONE DAY;by David Nicholls;2 weeks on the list,,CHELSEA CHELSEA BANG BANG;by Chelsea Handler;17 weeks on the list,"ARE YOU THERE, VODKA? IT’S ME, CHELSEA;by Chelsea Handler;27 weeks on the list",SWITCH;by Chip Heath and Dan Heath;19 weeks on the list,THE BELLY FAT CURE;by Jorge Cruise;24 weeks on the list,KICK-ASS;by Mark Millar and John Romita Jr.;18 weeks on the list,SCOTT PILGRIM AND THE INFINITE SADNESS;by Bryan Lee O’Malley;5 weeks on the list,"SOUL EATER, VOL. 3;by Atsushi Ohkubo;3 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;95 weeks on the list,BEEZUS AND RAMONA;by Beverly Cleary. Illustrated by Tracy Dockray;4 weeks on the list,OOH LA LA! IT'S BEAUTY DAY;by Jane O’Connor. Illustrated by Robin Preiss Glasser;2 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;77 weeks on the list
5,THE HELP;by Kathryn Stockett;66 weeks on the list,SWIMSUIT;by James Patterson and Maxine Paetro;3 weeks on the list,,SPOKEN FROM THE HEART;by Laura Bush;9 weeks on the list,RESILIENCE;by Elizabeth Edwards;New this week,THE SECRET;by Rhonda Byrne;164 weeks on the list,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;85 weeks on the list,ARKHAM ASYLUM: MADNESS;by Sam Kieth;New this week,"FINAL CRISIS;by Grant Morrison, J. G. Jones, Carlos Pacheco and Doug Mahnke;4 weeks on the list","BLACK BUTLER, VOL. 2;by Yana Toboso;7 weeks on the list",TALES FROM A NOT-SO-POPULAR PARTY GIRL;by Rachel Renée Russell;4 weeks on the list,PINKALICIOUS AND THE PINK DRINK;written and illustrated by Victoria Kann;6 weeks on the list,THE VERY FAIRY PRINCESS: HERE COMES THE FLOWER GIRL!;by Julie Andrews and Emma Walton Hamilton. Illustrated by Christine Davenier;7 weeks on the list,THE IMMORTALS;by Alyson Noël;16 weeks on the list
6,FOREIGN INFLUENCE;by Brad Thor;New this week,BEST FRIENDS FOREVER;by Jennifer Weiner;9 weeks on the list,,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;2 weeks on the list,THE GLASS CASTLE;by Jeannette Walls;174 weeks on the list,THE MASTER YOUR METABOLISM COOKBOOK;by Jillian Michaels;3 weeks on the list,SKINNY BITCH;by Kim Barnouin;142 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;69 weeks on the list,SCOTT PILGRIM: GETS IT TOGETHER;by Bryan Lee O’Malley;9 weeks on the list,"MAID SAMA, VOL. 5;by Hiro Fujiwara;New this week",INFINITY (CHRONICLES OF NICK);by Sherrilyn Kenyon;6 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;64 weeks on the list,"CITY DOG, COUNTRY FROG;by Mo Willems. Illustrated by Jon J Muth;4 weeks on the list",GALLAGHER GIRLS;by Ally Carter;4 weeks on the list
7,THE PASSAGE;by Justin Cronin;4 weeks on the list,CUTTING FOR STONE;by Abraham Verghese;23 weeks on the list,,WAR;by Sebastian Junger;8 weeks on the list,MENNONITE IN A LITTLE BLACK DRESS;by Rhoda Janzen;12 weeks on the list,CAN AMERICA SURVIVE?;by John Hagee;New this week,"FOOD RULES;by Michael Pollan, Illustrated by Maira Kalman;27 weeks on the list","BATMAN AND ROBIN, VOL. 1;by Grant Morrison, Frank Quitely and Philip Tan;12 weeks on the list",WATCHMEN;by Alan Moore and Dave Gibbons;70 weeks on the list,"BLEACH, VOL. 31;by Tite Kubo;5 weeks on the list",FALLEN;by Lauren Kate;30 weeks on the list,SHIVER;by Maggie Stiefvater;5 weeks on the list,THE LION AND THE MOUSE;by Jerry Pinkney;35 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;96 weeks on the list
8,THE LION;by Nelson DeMille;4 weeks on the list,THE ART OF RACING IN THE RAIN;by Garth Stein;56 weeks on the list,,HOME TEAM;by Sean Payton and Ellis Henican;New this week,LIT;by Mary Karr;New this week,4-HOUR WORKWEEK;by Timothy Ferriss;72 weeks on the list,"COOK THIS, NOT THAT!;by David Zinczenko and Matt Goulding;24 weeks on the list",THE BOOK OF GENESIS: ILLUSTRATED;by R. Crumb;33 weeks on the list,"CHEW, VOL. 2;by John Layman and Rob Guillory;2 weeks on the list","HELLSING, VOL. 10;by Kohta Hirano;5 weeks on the list",BEFORE I FALL;by Lauren Oliver;10 weeks on the list,IF I STAY;by Gayle Forman;13 weeks on the list,WADDLE!;written and illustrated by Rufus Butler Seder;37 weeks on the list,THE 39 CLUES;by various authors;52 weeks on the list
9,FAMILY TIES;by Danielle Steel;2 weeks on the list,A RELIABLE WIFE;by Robert Goolrick;26 weeks on the list,,OUTLIERS;by Malcolm Gladwell;84 weeks on the list,BLINK;by Malcolm Gladwell;142 weeks on the list,EVERY OTHER MONDAY;by John Kasich with Daniel Paisner;3 weeks on the list,HUNGRY GIRL HAPPY HOUR;by Lisa Lillien;2 weeks on the list,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;2 weeks on the list",BATMAN: R. I. P.;by Grant Morrison and Tony Daniel;2 weeks on the list,"NARUTO, VOL. 47;by Masashi Kishimoto;19 weeks on the list",THE SHADOWS;by Jacqueline West. Illustrated by Poly Bernatene;New this week,SCAT;by Carl Hiaasen;10 weeks on the list,THE QUIET BOOK;by Deborah Underwood. Illustrated by Renata Liwska;8 weeks on the list,RANGER’S APPRENTICE;by John Flanagan;47 weeks on the list
10,ICE COLD;by Tess Gerritsen;New this week,SARAH’S KEY;by Tatiana de Rosnay;73 weeks on the list,,THE LAST STAND;by Nathaniel Philbrick;9 weeks on the list,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;45 weeks on the list,TRANSFORMATION;by Bill Phillips;New this week,AWKWARD FAMILY PHOTOS;by Mike Bender and Doug Chernack;6 weeks on the list,WEDNESDAY COMICS;by Various;5 weeks on the list,PRIDE AND PREJUDICE AND ZOMBIES;by Jane Austen and Seth Grahame-Smith;8 weeks on the list,"BLACK BUTLER, VOL. 1;by Yana Toboso;18 weeks on the list",BIG NATE: IN A CLASS BY HIMSELF;written and illustrated by Lincoln Peirce;14 weeks on the list,SAVVY;by Ingrid Law;14 weeks on the list,SHARK VS. TRAIN;by Chris Barton. Illustrated by Tom Lichtenheld;4 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;29 weeks on the list
