,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,"ALEX CROSS, RUN;by James Patterson;4 weeks on the list",THE STORYTELLER;by Jodi Picoult;3 weeks on the list,LIFE OF PI;by Yann Martel;24 weeks on the list,,,THE STORYTELLER;by Jodi Picoult;,LEAN IN;by Sheryl Sandberg with Nell Scovell;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;New this week,PROOF OF HEAVEN;by Eben Alexander;21 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;New this week,LIFE CODE;by Phil McGraw;5 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;294 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,KICK-ASS 2 PRELUDE: HIT-GIRL;by Mark Millar and John Romita Jr.;2 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;83 weeks on the list","ONE PIECE, VOL. 66;by Eiichiro Oda;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,EMERALDALICIOUS;by Victoria Kann;7 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;134 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;,OUTLIERS;by Malcolm Gladwell;,MY BELOVED WORLD;by Sonia Sotomayor;
2,WAIT FOR YOU;by J. Lynn;2 weeks on the list,GONE GIRL;by Gillian Flynn;41 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;53 weeks on the list,,,GONE GIRL;by Gillian Flynn;,PROOF OF HEAVEN;by Eben Alexander;21 weeks on the list,SUM IT UP;by Pat Head Summitt with Sally Jenkins;2 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;5 weeks on the list,UNTIL I SAY GOOD-BYE;by Susan Spencer-Wendel with Bret Witter;New this week,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;11 weeks on the list,EAT TO LIVE;by Joel Fuhrman;87 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;86 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;23 weeks on the list","BAKUMAN, VOL. 18;by Tsugumi Ohba;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;76 weeks on the list",BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;13 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,HITMAKER;by Tommy Mottola with Cal Fussman;,DRIVE;by Daniel H. Pink;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;
3,THE STORYTELLER;by Jodi Picoult;3 weeks on the list,"ALEX CROSS, RUN;by James Patterson;4 weeks on the list",WORLD WAR Z;by Max Brooks;38 weeks on the list,,,"ALEX CROSS, RUN;by James Patterson;",AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;24 weeks on the list,UNTIL I SAY GOOD-BYE;by Susan Spencer-Wendel with Bret Witter;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;7 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;21 weeks on the list,THE FASTDIET;by Michael Mosley and Mimi Spencer;3 weeks on the list,THE HONEST LIFE;by Jessica Alba;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,AVENGERS: SEASON ONE;by Peter David and others;New this week,"THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;14 weeks on the list","DEMON LOVE SPELL, VOL. 2;by Mayu Shinjo;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;21 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;218 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,TO SELL IS HUMAN;by Daniel H. Pink;,GROW REGARDLESS;by Joe Mechlinski;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
4,GONE GIRL;by Gillian Flynn;41 weeks on the list,A WEEK IN WINTER;by Maeve Binchy;5 weeks on the list,FIFTY SHADES DARKER;by E. L. James;50 weeks on the list,,,LIFE OF PI;by Yann Martel;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;5 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;24 weeks on the list,QUIET;by Susan Cain;7 weeks on the list,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;5 weeks on the list,THE BLOOD SUGAR SOLUTION COOKBOOK;by Mark Hyman;2 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;604 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,BATMAN: NIGHT OF THE OWLS;by Scott Snyder and others;4 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;14 weeks on the list","ROSARIO+VAMPIRE SEASON II, VOL. 11;by Akihisa Ikeda;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THE EASTER EGG;by Jan Brett;20 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;75 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,TIPPING POINT;by Malcolm Gladwell;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
5,SAFE HAVEN;by Nicholas Sparks;16 weeks on the list,BREAKING POINT;by C. J. Box;New this week,FIFTY SHADES FREED;by E. L. James;50 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,UNTIL I SAY GOOD-BYE;by Susan Spencer-Wendel with Bret Witter;New this week,SALT SUGAR FAT;by Michael Moss;3 weeks on the list,DRIFT;by Rachel Maddow;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;37 weeks on the list,THE HORMONE CURE;by Sara Gottfried;New this week,THE UNTETHERED SOUL;by Michael A. Singer;18 weeks on the list,SUM IT UP;by Pat Head Summitt with Sally Jenkins;,HAND-DRYING IN AMERICA AND OTHER STORIES;by Ben Katchor;New this week,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;146 weeks on the list","YU-GI-OH! ZEXAL, VOL. 2;by Kazuki Takahashi;9 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;49 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;24 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,BAILOUT;by Neil Barofsky;,FUTURE;by Al Gore;
6,THREE SISTERS;by Susan Mallery;New this week,THE STRIKER;by Clive Cussler and Justin Scott;2 weeks on the list,THE SILVER LININGS PLAYBOOK;by Matthew Quick;9 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,QUIET;by Susan Cain;17 weeks on the list,A HIGHER CALL;by Adam Makos with Larry Alexander;9 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;2 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;24 weeks on the list,WHEAT BELLY;by William Davis;47 weeks on the list,OBAMACARE SURVIVAL GUIDE;by Nick Tate;7 weeks on the list,QUIET;by Susan Cain;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;25 weeks on the list,DRAMA;by Raina Telgemeier;25 weeks on the list,"ALICE IN THE COUNTRY OF CLOVER: CHESHIRE CAT WALTZ, VOL. 4;by QuinRose;New this week",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;83 weeks on the list,BEYONDERS;by Brandon Mull;New this week,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,REBOOTING WORK;by Maynard Webb and Carlye Adler;,END THIS DEPRESSION NOW!;by Paul Krugman;,NO EASY DAY;by Mark Owen with Kevin Maurer;
7,A WEEK IN WINTER;by Maeve Binchy;5 weeks on the list,BLOODFIRE QUEST;by Terry Brooks;New this week,THE PARIS WIFE;by Paula McLain;16 weeks on the list,,,A WEEK IN WINTER;by Maeve Binchy;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;24 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;9 weeks on the list,OUTLIERS;by Malcolm Gladwell;93 weeks on the list,BOSSYPANTS;by Tina Fey;86 weeks on the list,SUPER IMMUNITY;by Joel Fuhrman;3 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;20 weeks on the list,UNTIL I SAY GOOD-BYE;by Susan Spencer-Wendel with Bret Witter;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;20 weeks on the list",SMILE;by Raina Telgemeier;54 weeks on the list,"NARUTO, VOL. 60;by Masashi Kishimoto;6 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,LET'S GO FOR A DRIVE!;by Mo Willems;6 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;79 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,DETROIT;by Charlie LeDuff;,BOOMERANG;by Michael Lewis;,COOLIDGE;by Amity Shlaes;
8,MIRROR IMAGE;by Sandra Brown;3 weeks on the list,CALCULATED IN DEATH;by J. D. Robb;3 weeks on the list,WOOL;by Hugh Howey;New this week,,,BREAKING POINT;by C. J. Box;,SUM IT UP;by Pat Head Summitt with Sally Jenkins;2 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;28 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;122 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;5 weeks on the list,EARN THE RIGHT TO WIN;by Tom Coughlin with David Fisher;2 weeks on the list,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;19 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,"JUSTICE LEAGUE, VOL. 2;by Geoff Johns and Jim Lee;4 weeks on the list","ADVENTURE TIME, VOL. 2;by Ryan North and Shelli Paroline;2 weeks on the list","VAMPIRE KNIGHT, VOL. 16;by Matsuri Hino;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;45 weeks on the list,MATCHED TRILOGY;by Ally Condie;12 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,UNBROKEN;by Laura Hillenbrand;
9,BREAKING POINT;by C. J. Box;New this week,FROST BURNED;by Patricia Briggs;2 weeks on the list,SAFE HAVEN;by Nicholas Sparks;26 weeks on the list,,,THE INNOCENT;by David Baldacci;,SALT SUGAR FAT;by Michael Moss;3 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;4 weeks on the list,BOSSYPANTS;by Tina Fey;63 weeks on the list,UNBROKEN;by Laura Hillenbrand;112 weeks on the list,WHAT WE TALK ABOUT WHEN WE TALK ABOUT GOD;by Rob Bell;New this week,FROM MAMA'S TABLE TO MINE;by Bobby Deen;6 weeks on the list,SALT SUGAR FAT;by Michael Moss;,THE FREDDIE STORIES;by Lynda Barry;2 weeks on the list,"ESSENTIAL CAPTAIN MARVEL, VOL. 2;by various;New this week","PANDORA HEARTS, VOL. 14;by Jun Mochizuki;3 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,TEA TIME WITH SOPHIA GRACE AND ROSIE;by Sophia Grace Brownlee and Rosie McClelland. Illustrated by Shelagh McNicholas;5 weeks on the list,DORK DIARIES;by Rachel Renée Russell;72 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE CHECKLIST MANIFESTO;by Atul Gawande;,THOMAS JEFFERSON;by Jon Meacham;
10,THE HOST;by Stephenie Meyer;2 weeks on the list,DAMASCUS COUNTDOWN;by Joel C. Rosenberg;2 weeks on the list,11TH HOUR;by James Patterson and Maxine Paetro;3 weeks on the list,,,THE STRIKER;by Clive Cussler and Justin Scott;,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;5 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;28 weeks on the list,ARGO;by Antonio Mendez and Matt Baglio;6 weeks on the list,SALT SUGAR FAT;by Michael Moss;3 weeks on the list,THE VIRGIN DIET;by J. J. Virgin;9 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;104 weeks on the list,A HIGHER CALL;by Adam Makos with Larry Alexander;,ARE YOU MY MOTHER?;by Alison Bechdel;39 weeks on the list,"AMULET: PRINCE OF THE ELVES, VOL. 5;by Kazu Kibuishi;17 weeks on the list","THE BETRAYAL KNOWS MY NAME, VOL. 5;by Hotaru Odagiri;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,OTIS AND THE PUPPY;by Loren Long;New this week,DELIRIUM;by Lauren Oliver;2 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,PREDICTABLY IRRATIONAL;by Dan Ariely;,A HIGHER CALL;by Adam Makos with Larry Alexander;
