,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,"Advice, How-To & Miscellaneous",Children’s Middle Grade Hardcover,Children’s Picture Books,Children’s Series,Young Adult Hardcover,Business,Science,Sports and Fitness
1,THE CHOSEN;by J. R. Ward;New this week,THE BLACK BOOK;by James Patterson and David Ellis;2 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;23 weeks on the list,OLD SCHOOL;by Bill O'Reilly and Bruce Feirstein;2 weeks on the list,OLD SCHOOL;by Bill O'Reilly and Bruce Feirstein;2 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;36 weeks on the list,MAKE YOUR BED;by William H. McRaven;New this week,DOG MAN UNLEASHED;by Dav Pilkey;15 weeks on the list,PETE THE CAT: BIG EASTER ADVENTURE;by James Dean and Kimberly Dean;4 weeks on the list,HARRY POTTER;by J.K. Rowling;420 weeks on the list,THE HATE U GIVE;by Angie Thomas;6 weeks on the list,UNSHAKABLE;by Tony Robbins with Peter Mallouk;,HIDDEN FIGURES;by Margot Lee Shetterly;,SHOE DOG;by Phil Knight;
2,THE BLACK BOOK;by James Patterson and David Ellis;2 weeks on the list,"ALL BY MYSELF, ALONE;by Mary Higgins Clark;New this week",MILK AND HONEY;by Rupi Kaur;52 weeks on the list,THE ZOOKEEPER’S WIFE;by Diane Ackerman;9 weeks on the list,HALLELUJAH ANYWAY;by Anne Lamott;New this week,HIDDEN FIGURES;by Margot Lee Shetterly;18 weeks on the list,YOU ARE A BADASS;by Jen Sincero;65 weeks on the list,WONDER;by R.J. Palacio;87 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;198 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;421 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;New this week,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,ATTITUDE;by Jay Wright with Michael Sheridan and Mark Dagostino;
3,BIG LITTLE LIES;by Liane Moriarty;34 weeks on the list,THE CHOSEN;by J. R. Ward;New this week,THE SHACK;by William P. Young;148 weeks on the list,HALLELUJAH ANYWAY;by Anne Lamott;New this week,THE MOST BEAUTIFUL;by Mayte Garcia;New this week,ON TYRANNY;by Timothy Snyder;6 weeks on the list,THE SUBTLE ART OF NOT GIVING A F*CK;by Mark Manson;17 weeks on the list,DOG MAN;by Dav Pilkey;32 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;80 weeks on the list,MIDDLE SCHOOL;by James Patterson and others;43 weeks on the list,"EVERYTHING, EVERYTHING;by Nicola Yoon;42 weeks on the list",TOOLS OF TITANS;by Tim Ferriss;,SAPIENS;by Yuval Noah Harari;,THE BOYS IN THE BOAT;by Daniel James Brown;
4,"ALL BY MYSELF, ALONE;by Mary Higgins Clark;New this week",THE LOST ORDER;by Steve Berry;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;New this week,HILLBILLY ELEGY;by J.D. Vance;37 weeks on the list,HILLBILLY ELEGY;by J.D. Vance;37 weeks on the list,WHITE TRASH;by Nancy Isenberg;New this week,THE TRUTH ABOUT YOUR FUTURE;by Ric Edelman;2 weeks on the list,LOST IN A BOOK;by Jennifer Donnelly;10 weeks on the list,WE'RE ALL WONDERS;by R.J. Palacio;2 weeks on the list,DORK DIARIES;by Rachel Renée Russell;202 weeks on the list,THIS IS WHERE IT ENDS;by Marieke Nijkamp;45 weeks on the list,THANK YOU FOR BEING LATE;by Thomas L. Friedman;,HOMO DEUS;by Yuval Noah Harari;,SHAKEN;by Tim Tebow;
5,THE LOST ORDER;by Steve Berry;New this week,MISSISSIPPI BLOOD;by Greg Iles;3 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;67 weeks on the list,THE MOST BEAUTIFUL;by Mayte Garcia;New this week,NEVERTHELESS;by Alec Baldwin;New this week,KILLING JESUS;by Bill O'Reilly and Martin Dugard;4 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;195 weeks on the list,THE GIRL WHO DRANK THE MOON;by Kelly Barnhill;14 weeks on the list,"MIGHTY, MIGHTY CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;8 weeks on the list",I FUNNY;by James Patterson and Chris Grabenstein. Illustrated by Laura Park;9 weeks on the list,CARVE THE MARK;by Veronica Roth;12 weeks on the list,THE UNDOING PROJECT;by Michael Lewis;,THE LOST CITY OF THE MONKEY GOD;by Douglas Preston;,THE 1997 MASTERS: MY STORY;by Tiger Woods with Lorne Rubenstein;
6,THE SHACK;by William P. Young;11 weeks on the list,NORSE MYTHOLOGY;by Neil Gaiman;9 weeks on the list,LILAC GIRLS;by Martha Hall Kelly;6 weeks on the list,HIDDEN FIGURES;by Margot Lee Shetterly;17 weeks on the list,BALLPLAYER;by Chipper Jones with Carroll Rogers Walton;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;187 weeks on the list,HASHIMOTO'S PROTOCOL;by Izabella Wentz;2 weeks on the list,JACK AND THE GENIUSES: AT THE BOTTOM OF THE WORLD;by Bill Nye and Gregory Mone. Illustrated by Nick Iluzada;New this week,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;164 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;12 weeks on the list,SHADOWCASTER;by Cinda Williams Chima;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE UNDOING PROJECT;by Michael Lewis;,A LIFE WELL PLAYED;by Arnold Palmer;
7,A MAN CALLED OVE;by Fredrik Backman;46 weeks on the list,THE WOMEN IN THE CASTLE;by Jessica Shattuck;2 weeks on the list,THE NEST;by Cynthia D'Aprix Sweeney;New this week,ON TYRANNY;by Timothy Snyder;5 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;30 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;77 weeks on the list,HEAD STRONG;by Dave Asprey;New this week,DRAGONWATCH;by Brandon Mull. Illustrated by Brandon Dorman;3 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;95 weeks on the list",RED QUEEN;by Victoria Aveyard;9 weeks on the list,THE MADDIE DIARIES;by Maddie Ziegler;5 weeks on the list,ORIGINALS;by Adam Grant;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",I GOT THIS;by Laurie Hernandez;
8,MILK AND HONEY;by Rupi Kaur;17 weeks on the list,IF NOT FOR YOU;by Debbie Macomber;3 weeks on the list,THE HANDMAID'S TALE;by Margaret Atwood;9 weeks on the list,PRINCE CHARLES;by Sally Bedell Smith;New this week,PRINCE CHARLES;by Sally Bedell Smith;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;130 weeks on the list",HOW TO BE A BAWSE;by Lilly Singh;2 weeks on the list,WOMEN IN SCIENCE;by Rachel Ignotofsky;27 weeks on the list,"ADA TWIST, SCIENTIST;by Andrea Beaty. Illustrated by David Roberts;31 weeks on the list",BIG NATE;written and illustrated by Lincoln Peirce;128 weeks on the list,CARAVAL;by Stephanie Garber;10 weeks on the list,GRIT;by Angela Duckworth;,LAB GIRL;by Hope Jahren;,BARBARIAN DAYS;by William Finnegan;
9,MISSISSIPPI BLOOD;by Greg Iles;3 weeks on the list,A GENTLEMAN IN MOSCOW;by Amor Towles;21 weeks on the list,MY GRANDMOTHER ASKED ME TO TELL YOU SHE'S SORRY;by Fredrik Backman;51 weeks on the list,NEVERTHELESS;by Alec Baldwin;New this week,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;25 weeks on the list,CORK DORK;by Bianca Bosker;2 weeks on the list,UNSHAKABLE;by Tony Robbins with Peter Mallouk;6 weeks on the list,PAX;Sara Pennypacker. Illustrated by Jon Klassen;56 weeks on the list,"GOODNIGHT, NUMBERS;by Danica McKellar. Illustrated by Alicia Padrón;2 weeks on the list",TREEHOUSE;by Andy Griffiths. illustrated by Terry Denton;2 weeks on the list,LADY MIDNIGHT;by Cassandra Clare;44 weeks on the list,RADICAL CANDOR;by Kim Scott;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,COURAGE TO SOAR;by Simone Biles with Michelle Burford;
10,THE OBSESSION;by Nora Roberts;11 weeks on the list,THE TEA GIRL OF HUMMINGBIRD LANE;by Lisa See;3 weeks on the list,ALL THE MISSING GIRLS;by Megan Miranda;6 weeks on the list,KILLING THE RISING SUN;by Bill O'Reilly and Martin Dugard;30 weeks on the list,CRAZY IS MY SUPERPOWER;by A. J. Mendez Brooks;New this week,THE LOST CITY OF Z;by David Grann;19 weeks on the list,THE KIM KARDASHIAN PRINCIPLE;by Jeetendr Sehdev;New this week,GRAVITY FALLS: JOURNAL 3;by Rob Renzetti and Alex Hirsch. Illustrated by Andy Gonsalves and Stephanie Ramirez;37 weeks on the list,THE LEGEND OF ROCK PAPER SCISSORS;by Drew Daywalt. Illustrated by Adam Rex;New this week,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;81 weeks on the list,THE SUN IS ALSO A STAR;by Nicola Yoon;22 weeks on the list,EYES WIDE OPEN;by Isaac Lidsky;,THE HIDDEN LIFE OF TREES;by Peter Wohlleben;,THE LEGENDS CLUB;by John Feinstein;
11,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;79 weeks on the list,VICIOUS CIRCLE;by C. J. Box;3 weeks on the list,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;59 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;58 weeks on the list,,,,,,,,,
12,LILAC GIRLS;by Martha Hall Kelly;5 weeks on the list,EARTHLY REMAINS;by Donna Leon;New this week,,BALLPLAYER;by Chipper Jones with Carroll Rogers Walton;New this week,BIG AGENDA;by David Horowitz;9 weeks on the list,,,,,,,,,
13,EARTHLY REMAINS;by Donna Leon;New this week,LINCOLN IN THE BARDO;by George Saunders;8 weeks on the list,,BIG AGENDA;by David Horowitz;8 weeks on the list,THE BOOK OF JOY;by the Dalai Lama and Desmond Tutu with Douglas Abrams;25 weeks on the list,,,,,,,,,
14,IT;by Stephen King;2 weeks on the list,PRUSSIAN BLUE;by Philip Kerr;New this week,,SAPIENS;by Yuval Noah Harari;7 weeks on the list,A COLONY IN A NATION;by Chris Hayes;3 weeks on the list,,,,,,,,,
15,EASY MAGIC;by Kristen Proby;New this week,THE CUTTHROAT;by Clive Cussler and Justin Scott;4 weeks on the list,,THE MAGNOLIA STORY;by Chip Gaines and Joanna Gaines with Mark Dagostino;25 weeks on the list,THE STRANGER IN THE WOODS;by Michael Finkel;5 weeks on the list,,,,,,,,,
