,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade E-Book,Children’s Middle Grade Hardcover,Children’s Middle Grade Paperback,Children’s Picture Books,Children’s Series,Young Adult E-Book,Young Adult Hardcover,Young Adult Paperback,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,MORNING STAR;by Pierce Brown;New this week,MORNING STAR;by Pierce Brown;New this week,ME BEFORE YOU;by Jojo Moyes;62 weeks on the list,,,WHEN BREATH BECOMES AIR;by Paul Kalanithi;5 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;5 weeks on the list,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;8 weeks on the list,WHEN BREATH BECOMES AIR;by Paul Kalanithi;5 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;68 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;191 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: CLAUDIA AND MEAN JANINE;by Ann M. Martin and Raina Telgemeier;3 weeks on the list,"MONSTER MUSUME, VOL. 8;by Okayado;New this week",THE SWORD OF SUMMER;by Rick Riordan;19 weeks on the list,PAX;Sara Pennypacker. Illustrated by Jon Klassen;2 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;27 weeks on the list,LOVE FROM THE VERY HUNGRY CATERPILLAR;by Eric Carle;5 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;361 weeks on the list,GLASS SWORD;by Victoria Aveyard;New this week,GLASS SWORD;by Victoria Aveyard;New this week,THE 5TH WAVE;by Rick Yancey;26 weeks on the list,H IS FOR HAWK;by Helen Macdonald;,THE BIG SHORT;by Michael Lewis;,YES PLEASE;by Amy Poehler;,THE DEVIL IN THE WHITE CITY;by Erik Larson;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,100 DEADLY SKILLS;by Clint Emerson;,THE WRIGHT BROTHERS;by David McCullough;,THE RESIDENCE;by Kate Andersen Brower;,ALWAYS HUNGRY?;by David Ludwig;,HARRY POTTER COLORING BOOK;by various illustrators;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE NAME OF GOD IS MERCY;by Pope Francis with Andrea Tornielli;,WHEN BREATH BECOMES AIR;by Paul Kalanithi;,THE BOYS IN THE BOAT;by Daniel James Brown;,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;
2,FIND HER;by Lisa Gardner;New this week,BROTHERHOOD IN DEATH;by J. D. Robb;2 weeks on the list,THE REVENANT;by Michael Punke;8 weeks on the list,,,TURNING THE TABLES;by Teresa Giudice;New this week,THE NAME OF GOD IS MERCY;by Pope Francis with Andrea Tornielli;5 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;90 weeks on the list,TURNING THE TABLES;by Teresa Giudice;New this week,SPARK JOY;by Marie Kondo;6 weeks on the list,"DC COMICS: SECRET HERO SOCIETY, VOL. 1;by Derek Fridolfs and Dustin Nguyen;3 weeks on the list",DRAMA;by Raina Telgemeier;133 weeks on the list,NARUTO: THE SEVENTH HOKAGE AND THE SCARLET SPRING;by Masashi Kishimoto;6 weeks on the list,THE ONE AND ONLY IVAN;by Katherine Applegate. Illustrated by Patricia Castelao;10 weeks on the list,WONDER;by R.J. Palacio;27 weeks on the list,OUT OF MY MIND;by Sharon M. Draper;27 weeks on the list,THE WONDERFUL THINGS YOU WILL BE;by Emily Winfield Martin;21 weeks on the list,HARRY POTTER;by J.K. Rowling;360 weeks on the list,A COURT OF THORNS AND ROSES;by Sarah J. Maas;4 weeks on the list,RED QUEEN;by Victoria Aveyard;26 weeks on the list,THE INFINITE SEA;by Rick Yancey;15 weeks on the list,THE HORSE;by Wendy Williams;,THE POWER OF BROKE;by Daymond John;,NOT MY FATHER'S SON;by Alan Cumming;,JUST MERCY;by Bryan Stevenson;,SPQR;by Mary Beard;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,ZERO FOOTPRINT;by Simon Chase and Ralph Pezzullo;,DEAD WAKE;by Erik Larson;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;,LOST OCEAN;illustrated by Johanna Basford;,ALWAYS HUNGRY?;by David Ludwig;,YES PLEASE;by Amy Poehler;,,DARING GREATLY;by Brené Brown;,H IS FOR HAWK;by Helen Macdonald;,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;,THE NEW JIM CROW;by Michelle Alexander;,THE FOUR AGREEMENTS;by Don Miguel Ruiz;,ALWAYS HUNGRY?;by David Ludwig;,CONCUSSION;by Jeanne Marie Laskas;,HUMANS OF NEW YORK: STORIES;by Brandon Stanton;
3,ME BEFORE YOU;by Jojo Moyes;2 weeks on the list,NYPD RED 4;by James Patterson and Marshall Karp;3 weeks on the list,THE MARTIAN;by Andy Weir;68 weeks on the list,,,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;31 weeks on the list,BETWEEN THE WORLD AND ME;by Ta-Nehisi Coates;31 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;322 weeks on the list,THOMAS JEFFERSON;by Christopher Hitchens;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;140 weeks on the list,PLANTS VS. ZOMBIES: GARDEN WARFARE;by Paul Tobin and Jacob Chabot;New this week,SMILE;by Raina Telgemeier;192 weeks on the list,"ASSASSINATION CLASSROOM, VOL. 8;by Yusei Matsui;2 weeks on the list",WONDER;by R.J. Palacio;23 weeks on the list,THE SWORD OF SUMMER;by Rick Riordan;19 weeks on the list,A LONG WALK TO WATER;by Linda Sue Park;27 weeks on the list,PETE THE CAT'S GROOVY GUIDE TO LOVE;by Kimberly and James Dean;2 weeks on the list,LUNAR CHRONICLES;by Marissa Meyer;22 weeks on the list,THE 5TH WAVE;by Rick Yancey;21 weeks on the list,THE SIREN;by Kiera Cass;3 weeks on the list,THE BOOK THIEF;by Markus Zusak;27 weeks on the list,WHAT THE DOG KNOWS;by Cat Warren;,A PASSION FOR LEADERSHIP;by Robert M. Gates;,WHY NOT ME?;by Mindy Kaling;,NOTORIOUS RBG;by Irin Carmon and Shana Knizhnik;,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;,THE WATER IS WIDE;by Pat Conroy;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,IN THE HEART OF THE SEA;by Nathaniel Philbrick;,RED;by Jacky Colliss Harvey;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,ENCHANTED FOREST;illustrated by Johanna Basford;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,WHY NOT ME?;by Mindy Kaling;,,MODERN ROMANCE;by Aziz Ansari with Eric Klinenberg;,THE SOUND OF GRAVEL;by Ruth Wariner;,THE BIG SHORT;by Michael Lewis;,JUST MERCY;by Bryan Stevenson;,FERVENT;by Priscilla Shirer;,THING EXPLAINER;by Randall Munroe;,UNBROKEN;by Laura Hillenbrand;,A THOUSAND DAYS IN VENICE;by Marlena de Blasi;
4,BROTHERHOOD IN DEATH;by J. D. Robb;2 weeks on the list,FIND HER;by Lisa Gardner;New this week,THE CHOICE;by Nicholas Sparks;25 weeks on the list,,,THE NAME OF GOD IS MERCY;by Pope Francis with Andrea Tornielli;5 weeks on the list,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;4 weeks on the list,THE BIG SHORT;by Michael Lewis;58 weeks on the list,THE VATICAN PIMPERNEL;by Brian Fleming;New this week,THE WHOLE30;by Melissa Hartwig and Dallas Hartwig;27 weeks on the list,"STEP ASIDE, POPS;by Kate Beaton;22 weeks on the list",SISTERS;by Raina Telgemeier;76 weeks on the list,"TOKYO GHOUL, VOL. 1;by Sui Ishida;33 weeks on the list",OUT OF MY MIND;by Sharon M. Draper;4 weeks on the list,STAR WARS: THE FORCE AWAKENS;by Greg Rucka. Illustrated by Phil Noto;8 weeks on the list,HOUSE OF ROBOTS;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;17 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;104 weeks on the list,DORK DIARIES;by Rachel Renée Russell;155 weeks on the list,THE INFINITE SEA;by Rick Yancey;15 weeks on the list,SALT TO THE SEA;by Ruta Sepetys;2 weeks on the list,LOOKING FOR ALASKA;by John Green;27 weeks on the list,THE SOUL OF AN OCTOPUS;by Sy Montgomery;,THE POWER OF HABIT;by Charles Duhigg;,FURIOUSLY HAPPY;by Jenny Lawson;,SISTERS IN LAW;by Linda Hirshman;,MY LIFE ON THE ROAD;by Gloria Steinem;,IN A DIFFERENT KEY;by John Donvan and Caren Zucker;,THE PENTAGON'S BRAIN;by Annie Jacobsen;,INTO THE WILD;by Jon Krakauer;,EMPIRE OF COTTON;by Sven Beckert;,THE PIONEER WOMAN COOKS: DINNERTIME;by Ree Drummond;,STRESS RELIEVING ANIMAL DESIGNS;by the editors of Blue Star Books;,BEING MORTAL;by Atul Gawande;,BINGE;by Tyler Oakley;,,H IS FOR HAWK;by Helen Macdonald;,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;,CITIZEN;by Claudia Rankine;,IMAGINE HEAVEN;by John Burke;,BEING MORTAL;by Atul Gawande;,WAKE UP HAPPY;by Michael Strahan with Veronica Chambers;,WILD;by Cheryl Strayed;
5,NYPD RED 4;by James Patterson and Marshall Karp;3 weeks on the list,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;93 weeks on the list,BROOKLYN;by Colm Toibin;16 weeks on the list,,,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;4 weeks on the list,TURNING THE TABLES;by Teresa Giudice;New this week,I AM MALALA;by Malala Yousafzai with Christina Lamb;37 weeks on the list,AND THEN ALL HELL BROKE LOOSE;by Richard Engel;New this week,YOU ARE A BADASS;by Jen Sincero;5 weeks on the list,THE SANDMAN;by Neil Gaiman and Dirk Maggs;14 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;82 weeks on the list","MAGIKA SWORDSMAN AND SUMMONER, VOL. 3;by Mitsuki Mihara and MonRin;New this week",THE KEEPER;by David Baldacci;18 weeks on the list,AUGGIE & ME;by R.J. Palacio;26 weeks on the list,THE CARE AND KEEPING OF YOU;by Valorie Schaefer. Illustrated by Josee Masse;27 weeks on the list,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;138 weeks on the list,MISS PEREGRINE’S PECULIAR CHILDREN;by Ransom Riggs;21 weeks on the list,RED QUEEN;by Victoria Aveyard;7 weeks on the list,THE AMAZING BOOK IS NOT ON FIRE;by Dan Howell and Phil Lester;18 weeks on the list,CRUEL CROWN;by Victoria Aveyard;5 weeks on the list,DO UNTO ANIMALS;by Tracey Stewart;,HOW TO MAKE YOUR MONEY LAST;by Jane Bryant Quinn;,BOYS IN THE TREES;by Carly Simon;,MISSOULA;by Jon Krakauer;,DOWNTON ABBEY: A CELEBRATION;by Jessica Fellowes;,MISSOULA;by Jon Krakauer;,SPY SECRETS THAT CAN SAVE YOUR LIFE;by Jason Hanson;,THE INDIFFERENT STARS ABOVE;by Daniel James Brown;,TIMELESS BEAUTY;by Christie Brinkley;,THE NEGATIVE CALORIE DIET;by Rocco DiSpirito;,SECRET GARDEN;illustrated by Johanna Basford;,THE SHRED POWER CLEANSE;by Ian K. Smith;,SELP-HELF;by Miranda Sings;,,WHY NOT ME?;by Mindy Kaling;,THE GLASS CASTLE;by Jeannette Walls;,DARK MONEY;by Jane Mayer;,AMERICA'S ORIGINAL SIN;by Jim Wallis;,THE POWER OF I AM;by Joel Osteen;,THE WRIGHT BROTHERS;by David McCullough;,LIFE IS NOT AN ACCIDENT;by Jay Williams;,THE GEOGRAPHY OF GENIUS;by Eric Weiner;
6,THE CHOICE;by Nicholas Sparks;8 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;57 weeks on the list,MY BRILLIANT FRIEND;by Elena Ferrante;24 weeks on the list,,,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;11 weeks on the list,DARK MONEY;by Jane Mayer;4 weeks on the list,ALEXANDER HAMILTON;by Ron Chernow;18 weeks on the list,"THE KENNEDY MEN, 1901-1963;by Laurence Leamer;2 weeks on the list",10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;41 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;93 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 3;by Robert Kirkman and Charlie Adlard;17 weeks on the list","DEADMAN WONDERLAND, VOL. 13;by Jinsei Kataoka and Kazuma Kondou;New this week",,ROBOTS GO WILD;by James Patterson and Chris Grabenstein. Illustrated by Juliana Neufeld;12 weeks on the list,ESCAPE FROM MR. LEMONCELLO’S LIBRARY;by Chris Grabenstein;24 weeks on the list,FINDING WINNIE;by Lindsay Mattick. Illustrated by Sophie Blackall;5 weeks on the list,PRINCESS IN BLACK;by Shannon Hale and Dean Hale. Illustrated by LeUyen Pham;New this week,,PASSENGER;by Alexandra Bracken;6 weeks on the list,PAPER TOWNS;by John Green;27 weeks on the list,DOG SONGS;by Mary Oliver;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",TROUBLEMAKER;by Leah Remini and Rebecca Paley;,THE CONFIDENCE GAME;by Maria Konnikova;,M TRAIN;by Patti Smith;,MY LIFE IN MIDDLEMARCH;by Rebecca Mead;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,THE FINEST HOURS;by Michael J. Tougias and Casey Sherman;,YOUR BEAUTY MARK;by Dita Von Teese with Rose Apodaca;,THE FOOD LAB;by J. Kenji Lopez-Alt;,ADULT COLORING BOOKS;by the staff of Coloring Books for Adults;,HOW NOT TO DIE;by Michael Greger with Gene Stone;,THIS TIME TOGETHER;by Carol Burnett;,,THE SOUND OF GRAVEL;by Ruth Wariner;,"FAT DAD, FAT KID;by Shay Butler and Gavin Butler;",I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE OTHER WES MOORE;by Wes Moore;,TROUBLEMAKER;by Leah Remini and Rebecca Paley;,WHAT IF?;by Randall Munroe;,EVERY DAY I FIGHT;by Stuart Scott with Larry Platt;,A WALK IN THE WOODS;by Bill Bryson;
7,BREAKDOWN;by Jonathan Kellerman;2 weeks on the list,MY NAME IS LUCY BARTON;by Elizabeth Strout;5 weeks on the list,FRICTION;by Sandra Brown;New this week,,,ORIGINALS;by Adam Grant;2 weeks on the list,ORIGINALS;by Adam Grant;2 weeks on the list,QUIET;by Susan Cain;128 weeks on the list,13 HOURS;by Mitchell Zuckoff with members of the Annex Security Team;9 weeks on the list,UNTANGLED;by Lisa Damour;New this week,HILO BOOK 1: THE BOY WHO CRASHED TO EARTH;by Judd Winick;4 weeks on the list,"DEADPOOL BY DANIEL WAY, VOL. 1;by Daniel Way and others;New this week","ONE-PUNCH MAN, VOL. 1;by ONE and Yusuke Murata;24 weeks on the list",,MR. LEMONCELLO'S LIBRARY OLYMPICS;by Chris Grabenstein;6 weeks on the list,THE CARE AND KEEPING OF YOU 2;by Cara Natterson. Illustrated by Josee Masse;12 weeks on the list,THE BOOK WITH NO PICTURES;by B.J. Novak;72 weeks on the list,DESCENDANTS;by various authors;21 weeks on the list,,SIX OF CROWS;by Leigh Bardugo;19 weeks on the list,THE ABSOLUTELY TRUE DIARY OF A PART-TIME INDIAN;by Sherman Alexie. Illustrated by Ellen Forney;20 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,OUTLIERS;by Malcolm Gladwell;,STRONG LOOKS BETTER NAKED;by Khloe Kardashian;,BLACK MASS;by Dick Lehr and Gerald O'Neill;,THE GEOGRAPHY OF GENIUS;by Eric Weiner;,HOW TO RAISE AN ADULT;by Julie Lythcott-Haims;,RED NOTICE;by Bill Browder;,THE INVENTION OF NATURE;by Andrea Wulf;,HOME;by Ellen DeGeneres;,THE 20/20 DIET;by Phil McGraw;,CREATIVE HAVEN CREATIVE CATS COLORING BOOK;Illustrated by Marjorie Sarnat;,FURIOUSLY HAPPY;by Jenny Lawson;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,BEFORE I FORGET;by B. Smith and Dan Gasby with Michael Shnayerson;,THE RESIDENCE;by Kate Andersen Brower;,EMPIRE OF COTTON;by Sven Beckert;,THE WITCHES;by Stacy Schiff;,THE LUCKY YEARS;by David B. Agus;,ABOVE THE LINE;by Urban Meyer with Wayne Coffey;,THE NATURAL WORLD OF WINNIE-THE-POOH;by Kathryn Aalto;
8,THE NIGHTINGALE;by Kristin Hannah;42 weeks on the list,THE NIGHTINGALE;by Kristin Hannah;50 weeks on the list,THE ALCHEMIST;by Paulo Coelho;393 weeks on the list,,,DARK MONEY;by Jane Mayer;4 weeks on the list,IN OTHER WORDS;by Jhumpa Lahiri;New this week,THE POWER OF HABIT;by Charles Duhigg;75 weeks on the list,NO SHORTCUTS TO THE TOP;by Ed Viesturs;New this week,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;100 weeks on the list,ROSALIE LIGHTNING;by Tom Hart;5 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: MARY ANNE SAVES THE DAY;by Ann M. Martin and Raina Telgemeier;17 weeks on the list,"MY HERO ACADEMIA, VOL. 3;by Kohei Horikoshi;2 weeks on the list",,CRENSHAW;by Katherine Applegate;20 weeks on the list,BAD MAGIC;by Pseudonymous Bosch;New this week,THE DAY THE CRAYONS CAME HOME;by Drew Daywalt. Illustrated by Oliver Jeffers;26 weeks on the list,THE MAZE RUNNER;by James Dashner;175 weeks on the list,,WE ALL LOOKED UP;by Tommy Wallach;13 weeks on the list,ME AND EARL AND THE DYING GIRL;by Jesse Andrews;27 weeks on the list,RESCUE ROAD;by Peter Zheutlin;,EXTREME OWNERSHIP;by Jocko Willink and Leif Babin;,BINGE;by Tyler Oakley;,RED NOTICE;by Bill Browder;,SAPIENS;by Yuval Noah Harari;,ON WRITING;by Stephen King;,FUTURE CRIMES;by Marc Goodman;,INTO THIN AIR;by Jon Krakauer;,HOW TO TIE A SCARF;by the staff of Potter Style;,THUG KITCHEN;by the staff of Thug Kitchen;,"ANIMAL KINGDOM: COLOR ME, DRAW ME;by Millie Marotta;",THE LUCKY YEARS;by David B. Agus;,BOSSYPANTS;by Tina Fey;,,CITIZEN;by Claudia Rankine;,THE COLLAPSE OF PARENTING;by Leonard Sax;,THE NEW JIM CROW;by Michelle Alexander;,GHETTOSIDE;by Jill Leovy;,FRESH START;by Joel Osteen;,QUIET;by Susan Cain;,YOGA GIRL;by Rachel Brathen;,MY SOUTHERN JOURNEY;by Rick Bragg;
9,THE GIRL ON THE TRAIN;by Paula Hawkins;54 weeks on the list,BLUE;by Danielle Steel;4 weeks on the list,A MAN CALLED OVE;by Fredrik Backman;7 weeks on the list,,,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;21 weeks on the list,KILLING REAGAN;by Bill O'Reilly and Martin Dugard;21 weeks on the list,JUST MERCY;by Bryan Stevenson;17 weeks on the list,DISEASES WITHOUT BORDERS;by Michael Savage;New this week,ALWAYS HUNGRY?;by David Ludwig;6 weeks on the list,HERE;by Richard McGuire;38 weeks on the list,THE BABY-SITTERS CLUB GRAPHIX: KRISTY'S GREAT IDEA;by Ann M. Martin and Raina Telgemeier;40 weeks on the list,"ONE PIECE, VOL. 77;by Eiichiro Oda;2 weeks on the list",,THE TERRIBLE TWO GET WORSE;by Mac Barnett and Jory John. Illustrated by Kevin Cornell;5 weeks on the list,FLORA AND ULYSSES;by Kate DiCamillo. Illustrated by K. G. Campbell;16 weeks on the list,LAST STOP ON MARKET STREET;by Matt de la Peña. Illustrated by Christian Robinson;8 weeks on the list,GIVER QUARTET;by Lois Lowry;108 weeks on the list,,ALL THE BRIGHT PLACES;by Jennifer Niven;19 weeks on the list,TO ALL THE BOYS I'VE LOVED BEFORE;by Jenny Han;2 weeks on the list,THE SHEPHERD'S LIFE;by James Rebanks;,"GET WHAT'S YOURS;by Laurence J. Kotlikoff, Philip Moeller and Paul Solman;",M TRAIN;by Patti Smith;,STARVATION HEIGHTS;by Gregg Olsen;,THE LOST CHALICE;by Vernon Silver;,HOW NOT TO BE WRONG;by Jordan Ellenberg;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",THE LOST CHALICE;by Vernon Silver;,THE KINFOLK HOME;by Nathan Williams;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,ART THERAPY: THE ART OF COLORING STAR WARS;by Catherine Saunier-Talec and Anne Vallet;,BETTER THAN BEFORE;by Gretchen Rubin;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,,BEFORE I FORGET;by B. Smith and Dan Gasby with Michael Shnayerson;,MAYO CLINIC GUIDE TO A HEALTHY PREGNANCY;by the staff of the Mayo Clinic;,MY LIFE ON THE ROAD;by Gloria Steinem;,THE SISTERS ARE ALRIGHT;by Tamara Winfrey Harris;,GRATITUDE;by Oliver Sacks;,THE POWER OF HABIT;by Charles Duhigg;,"50 YEARS, 50 MOMENTS;by Jerry Rice and Randy O. Williams;",DESTINATIONS OF A LIFETIME;by the staff of National Geographic;
10,THE WOLVES;by Alex Berenson;New this week,BREAKDOWN;by Jonathan Kellerman;2 weeks on the list,THE RUMOR;by Elin Hilderbrand;New this week,,,AND THEN ALL HELL BROKE LOOSE;by Richard Engel;New this week,THOMAS JEFFERSON AND THE TRIPOLI PIRATES;by Brian Kilmeade and Don Yaeger;15 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;108 weeks on the list,THE ROAD TO LITTLE DRIBBLING;by Bill Bryson;4 weeks on the list,PRESENCE;by Amy Cuddy;8 weeks on the list,KILLING AND DYING;by Adrian Tomine;19 weeks on the list,BERNIE;by Ted Rall;2 weeks on the list,"TOKYO GHOUL, VOL. 2;by Sui Ishida;20 weeks on the list",,THE TERRIBLE TWO;by Mac Barnett and Jory John. Illustrated by Kevin Cornell;3 weeks on the list,COUNTING BY 7s;by Holly Goldberg Sloan;21 weeks on the list,WHAT PET SHOULD I GET?;by Dr. Seuss;21 weeks on the list,WHO WAS/IS . . . ?;by Jim Gigliotti and others; various illustrators;2 weeks on the list,,CARRY ON;by Rainbow Rowell;19 weeks on the list,I WAS HERE;by Gayle Forman;2 weeks on the list,YOU NEED MORE SLEEP;by Francesco Marciuliano;,ELON MUSK;by Ashlee Vance;,THE ONLY PIRATE AT THE PARTY;by Lindsey Stirling and Brooke S. Passey;,GHETTOSIDE;by Jill Leovy;,THE RAP YEAR BOOK;by Shea Serrano and Arturo Torres;,THE ORGANIZED MIND;by Daniel J. Levitin;,THE DEVIL'S CHESSBOARD;by David Talbot;,VOICES FROM CHERNOBYL;by Svetlana Alexievich. Translated by Keith Gessen;,LOVE STYLE LIFE;by Garance Doré;,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,COLOR ME CALM;by Lacy Mucklow. Illustrated by Angela Porter.;,CONCUSSION;by Jeanne Marie Laskas;,NOT THAT KIND OF GIRL;by Lena Dunham;,,YOU AND ME FOREVER;by Francis Chan and Lisa Chan;,THE LIGHT OF THE WORLD;by Elizabeth Alexander;,CRIPPLED AMERICA;by Donald J. Trump;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,THE SOUND OF GRAVEL;by Ruth Wariner;,CONCUSSION;by Jeanne Marie Laskas;,BARBARIAN DAYS;by William Finnegan;,COCKPIT CONFIDENTIAL;by Patrick Smith;
