,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History,Science
1,INFERNO;by Dan Brown;New this week,INFERNO;by Dan Brown;New this week,BEAUTIFUL RUINS;by Jess Walter;7 weeks on the list,,,THE GUNS AT LAST LIGHT;by Rick Atkinson;New this week,THE GUNS AT LAST LIGHT;by Rick Atkinson;New this week,CONTROL;by Glenn Beck and others;3 weeks on the list,THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;2 weeks on the list,MY BEEF WITH MEAT;by Rip Esselstyn;New this week,"BATMAN INCORPORATED, VOL. 1;by Grant Morrison and Chris Burnham;New this week","THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;92 weeks on the list","NARUTO, VOL. 61;by Masashi Kishimoto;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;85 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;143 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,LEAN IN;by Sheryl Sandberg with Nell Scovell;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE GUNS AT LAST LIGHT;by Rick Atkinson;,QUIET;by Susan Cain;
2,THE HIT;by David Baldacci;4 weeks on the list,DEAD EVER AFTER;by Charlaine Harris;2 weeks on the list,WORLD WAR Z;by Max Brooks;47 weeks on the list,,,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;2 weeks on the list","HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;2 weeks on the list",PROOF OF HEAVEN;by Eben Alexander;30 weeks on the list,THE GUNS AT LAST LIGHT;by Rick Atkinson;New this week,LIFE CODE;by Phil McGraw;6 weeks on the list,"SCOTT PILGRIM COLOR, VOL. 3;by Bryan Lee O'Malley;New this week","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;32 weeks on the list","DANCE IN THE VAMPIRE BUND, VOL. 14;by Nozomu Tamaki;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"STEAM TRAIN, DREAM TRAIN;by Sherri Duskey Rinker and Tom Lichtenheld;5 weeks on the list",THE MORTAL INSTRUMENTS;by Cassandra Clare;88 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;,"BAREFOOT SPIRIT;by Michael Houlihan and Bonnie Harvey, with Rick Kushman;",BUNKER HILL;by Nathaniel Philbrick;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
3,EYES WIDE OPEN;by Raine Miller;New this week,SILKEN PREY;by John Sandford;2 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;62 weeks on the list,,,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;4 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;10 weeks on the list,WILD;by Cheryl Strayed;8 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;4 weeks on the list,IT'S ALL GOOD;by Gwyneth Paltrow and Julia Turshen;6 weeks on the list,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;31 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;23 weeks on the list","DENGEKI DAISY, VOL. 12;by Kyousuke Motomi;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THAT IS NOT A GOOD IDEA!;by Mo Willems;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;227 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;,OUTLIERS;by Malcolm Gladwell;,MY GREEK DRAMA;by Gianna Angelopoulos;,BRAIN ON FIRE;by Susannah Cahalan;
4,12TH OF NEVER;by James Patterson and Maxine Paetro;3 weeks on the list,12TH OF NEVER;by James Patterson and Maxine Paetro;3 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;7 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;10 weeks on the list,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;4 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;16 weeks on the list,"HAPPY, HAPPY, HAPPY;by Phil Robertson with Mark Schlabach;2 weeks on the list",THE FIVE LOVE LANGUAGES;by Gary Chapman;6 weeks on the list,"BATMAN, VOL. 2;by Scott Snyder and Greg Capullo;8 weeks on the list",SMILE;by Raina Telgemeier;59 weeks on the list,"BLACK BIRD, VOL. 16;by Kanoko Sakurakoji;2 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;30 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;22 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,ELEVEN RINGS;by Phil Jackson and Hugh Delehanty;,THE MILLIONAIRE DROPOUT;by Vince Stanzione;,KEEP IT PITHY;by Bill O'Reilly;,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;
5,DEAD EVER AFTER;by Charlaine Harris;2 weeks on the list,THE HIT;by David Baldacci;4 weeks on the list,ZOO;by James Patterson and Michael Ledwidge;New this week,,,PROOF OF HEAVEN;by Eben Alexander;30 weeks on the list,COOKED;by Michael Pollan;4 weeks on the list,QUIET;by Susan Cain;16 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;10 weeks on the list,THE MILLIONAIRE DROPOUT;by Vince Stanzione;New this week,"ACTION COMICS, VOL. 2;by Grant Morrison and Rags Morales;2 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;149 weeks on the list","BAKUMAN, VOL. 19;by Takeshi Obata;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,POEMS TO LEARN BY HEART;by Caroline Kennedy. Illustrated by Jon J Muth;8 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;82 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,REALITY-BASED RULES OF THE WORKPLACE;by Cy Wakeman;,DRIVE;by Daniel H. Pink;,UNBROKEN;by Laura Hillenbrand;,GULP;by Mary Roach;
6,SILKEN PREY;by John Sandford;2 weeks on the list,A DELICATE TRUTH;by John le Carre;2 weeks on the list,FIFTY SHADES DARKER;by E. L. James;59 weeks on the list,,,CONTROL;by Glenn Beck and others;3 weeks on the list,KEEP IT PITHY;by Bill O'Reilly;2 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;14 weeks on the list,IMPOSSIBLE ODDS;by Jessica Buchanan;New this week,DARING GREATLY;by Brené Brown;6 weeks on the list,"TWILIGHT: NEW MOON, VOL. 1;by Stephenie Meyer and Young Kim;3 weeks on the list",WATCHMEN;by Alan Moore and Dave Gibbons;114 weeks on the list,"NEGIMA MAGISTER NEGI MAGI, VOL. 38;by Ken Akamatsu;4 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,FANCY NANCY: FANCIEST DOLL IN THE UNIVERSE;by Jane O'Connor. Illustrated by Robin Preiss Glasser;4 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;289 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,UNSTOPPABLES;by Bill Schley;,TIPPING POINT;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,WHOLE;by T. Colin Campbell with Howard Jacobson;
7,WHISKEY BEACH;by Nora Roberts;5 weeks on the list,GONE GIRL;by Gillian Flynn;50 weeks on the list,FIFTY SHADES FREED;by E. L. James;59 weeks on the list,,,THE EIGHTY-DOLLAR CHAMPION;by Elizabeth Letts;New this week,DUCK COMMANDERS;by Willie and Korie Robertson with Mark Schlabach;7 weeks on the list,OUTLIERS;by Malcolm Gladwell;102 weeks on the list,_____ MY DAD SAYS;by Justin Halpern;24 weeks on the list,"DINERS, DRIVE-INS AND DIVES: THE FUNKY FINDS IN FLAVORTOWN;by Guy Fieri with Ann Volkwein;New this week","UNCANNY AVENGERS, VOL. 1;by Rick Remender and John Cassaday;2 weeks on the list",DRAMA;by Raina Telgemeier;31 weeks on the list,"DOUBT, VOL. 1;by Yoshiki Tonogai;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PRESS HERE;by Hervé Tullet;92 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;31 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;,THE CHECKLIST MANIFESTO;by Atul Gawande;,MY BELOVED WORLD;by Sonia Sotomayor;,THE HAPPINESS PROJECT;by Gretchen Rubin;
8,DON'T SAY A WORD;by Barbara Freethy;3 weeks on the list,WHISKEY BEACH;by Nora Roberts;5 weeks on the list,THE ALCHEMIST;by Paulo Coelho;253 weeks on the list,,,THE OUTSIDER;by Jimmy Connors;New this week,THE OUTSIDER;by Jimmy Connors;New this week,"THINKING, FAST AND SLOW;by Daniel Kahneman;7 weeks on the list",THE OUTSIDER;by Jimmy Connors;New this week,VB6;by Mark Bittman;3 weeks on the list,"SUPERMAN: EARTH ONE, VOL. 2;by J. Michael Straczynski and Shane Davis;5 weeks on the list","BATMAN, VOL. 1;by Scott Snyder and Greg Capullo;4 weeks on the list","BLACK BUTLER, VOL. 13;by Yana Toboso;4 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;58 weeks on the list,THE SECRETS OF THE IMMORTAL NICHOLAS FLAMEL;by Michael Scott;20 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,START;by Jon Acuff;,"NOTHING TO LOSE, EVERYTHING TO GAIN;by Ryan Blair;",THE NEW DIGITAL AGE;by Eric Schmidt and Jared Cohen;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
9,GONE GIRL;by Gillian Flynn;50 weeks on the list,A STEP OF FAITH;by Richard Paul Evans;2 weeks on the list,LIFE OF PI;by Yann Martel;33 weeks on the list,,,IMPOSSIBLE ODDS;by Jessica Buchanan;New this week,MY GREEK DRAMA;by Gianna Angelopoulos;New this week,BOSSYPANTS;by Tina Fey;72 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;30 weeks on the list,ONE THING;by Gary Keller with Jay Papasan;6 weeks on the list,"THE GIRL WITH THE DRAGON TATTOO, BOOK 2;by Denise Mina and Leonardo Manco;New this week",GET JIRO!;by Anthony Bourdain and Joel Rose;New this week,"SAILOR MOON, VOL. 10;by Naoko Takeuchi;7 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;51 weeks on the list,KINGDOM KEEPERS;by Ridley Pearson;9 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,RUMSFELD'S RULES;by Donald Rumsfeld;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,DIRTY WARS;by Jeremy Scahill;,THE POWER OF HABIT;by Charles Duhigg;
10,THE BET;by Rachel Van Dyken;7 weeks on the list,BEST KEPT SECRET;by Jeffrey Archer;3 weeks on the list,THE HARBINGER;by Jonathan Cahn;72 weeks on the list,,,WAITING TO BE HEARD;by Amanda Knox;3 weeks on the list,DAD IS FAT;by Jim Gaffigan;2 weeks on the list,WAKING UP IN HEAVEN;by Crystal McVea;5 weeks on the list,WAITING TO BE HEARD;by Amanda Knox;3 weeks on the list,OBAMACARE SURVIVAL GUIDE;by Nick Tate;6 weeks on the list,"THE JACK KIRBY OMNIBUS, VOL. 2;by Jack Kirby;2 weeks on the list",OLYMPIANS: POSEIDON;by George O'Connor;3 weeks on the list,"ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 2;by QuinRose and Delico Psyche;3 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,THE DARK;by Lemony Snicket. Illustrated by Jon Klassen;7 weeks on the list,MATCHED TRILOGY;by Ally Condie;14 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GIVE AND TAKE;by Adam Grant;,HOW TO RETIRE HAPPY;by Stan Hinden;,FROZEN IN TIME;by Mitchell Zuckoff;,THE AUTISTIC BRAIN;by Temple Grandin and Richard Panek;
