,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,Hardcover Nonfiction,Paperback Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Children’s Chapter Books,Children’s Paperback Books,Children’s Picture Books,Children’s Series
1,THE ASSOCIATE;by John Grisham;4 weeks on the list,THE SHACK;by William P. Young;40 weeks on the list,,THE YANKEE YEARS;by Joe Torre and Tom Verducci;3 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;108 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;4 weeks on the list",THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;22 weeks on the list,THE GRAVEYARD BOOK;by Neil Gaiman. Illustrated by Dave McKean;21 weeks on the list,CORALINE;by Neil Gaiman. Illustrated by Dave McKean;6 weeks on the list,LISTEN TO THE WIND: THE STORY OF DR. GREG AND THREE CUPS OF TEA;by Greg Mortenson and Susan L. Roth;5 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;81 weeks on the list
2,RUN FOR YOUR LIFE;by James Patterson and Michael Ledwidge;3 weeks on the list,THE READER;by Bernhard Schlink;12 weeks on the list,,OUTLIERS;by Malcolm Gladwell;14 weeks on the list,DREAMS FROM MY FATHER;by Barack Obama;136 weeks on the list,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;46 weeks on the list,SUZE ORMAN’S 2009 ACTION PLAN;by Suze Orman;8 weeks on the list,SCAT;by Carl Hiaasen;4 weeks on the list,THE BOOK THIEF;by Markus Zusak;76 weeks on the list,THE HOUSE IN THE NIGHT;by Susan Marie Swanson. Illustrated by Beth Krommes.;4 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;6 weeks on the list
3,HEART AND SOUL;by Maeve Binchy;New this week,SUNDAYS AT TIFFANY’S;by James Patterson and Gabrielle Charbonnet;7 weeks on the list,,OBAMA;with an introduction by Bill Keller and biographical text by Jill Abramson;New this week,TEAM OF RIVALS;by Doris Kearns Goodwin;30 weeks on the list,UNCOMMON;by Tony Dungy with Nathan Whitaker;4 weeks on the list,HE’S JUST NOT THAT INTO YOU;by Greg Behr­endt and Liz Tuccillo;7 weeks on the list,SEEKERS: GREAT BEAR LAKE;by Erin Hunter;2 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;5 weeks on the list,GALLOP!;written and illustrated by Rufus Butler Seder;67 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;26 weeks on the list
4,THE HOST;by Stephenie Meyer;41 weeks on the list,FIREFLY LANE;by Kristin Hannah;7 weeks on the list,,DEWEY;by Vicki Myron with Bret Witter;23 weeks on the list,THE AUDACITY OF HOPE;by Barack Obama;61 weeks on the list,THE SECRET;by Rhonda Byrne;111 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;399 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;24 weeks on the list,EVERMORE;by Alyson Noël;3 weeks on the list,"BARACK OBAMA: SON OF PROMISE, CHILD OF HOPE;by Nikki Grimes. Illustrated by Bryan Collier;19 weeks on the list",THE CLIQUE;by Lisi Harrison;5 weeks on the list
5,FOOL;by Christopher Moore;2 weeks on the list,AMERICAN WIFE;by Curtis Sittenfeld;2 weeks on the list,,THE GAMBLE;by Thomas E. Ricks;2 weeks on the list,THE MIDDLE PLACE;by Kelly Corrigan;9 weeks on the list,FLAT BELLY DIET!;by Liz Vaccariello and Cynthia Sass;14 weeks on the list,THE POWER OF NOW;by Eckhart Tolle;59 weeks on the list,THIRTEEN REASONS WHY;by Jay Asher;18 weeks on the list,THE TALE OF DESPEREAUX;by Kate DiCamillo. Illustrated by Timothy Basil Ering;56 weeks on the list,SWING!;written and illustrated by Rufus Butler Seder;19 weeks on the list,HARRY POTTER;by J.K. Rowling;212 weeks on the list
6,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY;by Mary Ann Shaffer and Annie Barrows;23 weeks on the list,PEOPLE OF THE BOOK;by Geraldine Brooks;8 weeks on the list,,THE INAUGURAL ADDRESS 2009;by Barack Obama;3 weeks on the list,I HOPE THEY SERVE BEER IN HELL;by Tucker Max;73 weeks on the list,HIGH VOLTAGE TATTOO;by Kat Von D;4 weeks on the list,SKINNY BITCH;by Kim Barnouin;85 weeks on the list,THE MAZE OF BONES;by Rick Riordan;23 weeks on the list,THE BOY IN THE STRIPED PAJAMAS;by John Boyne;16 weeks on the list,CAT;written by Matthew Van Fleet and photographed by Brian Stanton.;2 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;87 weeks on the list
7,DOG ON IT;by Spencer Quinn;New this week,REVOLUTIONARY ROAD;by Richard Yates;12 weeks on the list,,"MULTIPLE BLESSINGS;by Jon Gosselin, Kate Gosselin and Beth Carson;18 weeks on the list","EAT, PRAY, LOVE;by Elizabeth Gilbert;109 weeks on the list",THE SURVIVORS CLUB;by Ben Sherwood;4 weeks on the list,TWILIGHT;by Mark Cotta Vaz;19 weeks on the list,THREE CUPS OF TEA;by Greg Mortenson and David Oliver Relin;2 weeks on the list,WICKED: WITCH AND CURSE;by Nancy Holder and Debbie Viguié;4 weeks on the list,CHANGE HAS COME;with words by Barack Obama. Illustrated by Kadir Nelson.;5 weeks on the list,INKHEART;by Cornelia Funke;22 weeks on the list
8,THE STORY OF EDGAR SAWTELLE;by David Wroblewski;37 weeks on the list,A THOUSAND SPLENDID SUNS;by Khaled Hosseini;13 weeks on the list,,THE NEXT 100 YEARS;by George Friedman;3 weeks on the list,TIPPING POINT;by Malcolm Gladwell;229 weeks on the list,BAREFOOT CONTESSA BACK TO BASICS;by Ina Garten;16 weeks on the list,A NEW EARTH;by Eckhart Tolle;50 weeks on the list,FADE;by Lisa McMann;2 weeks on the list,BARACK OBAMA;by Roberta Edwards. Illustrated by Ken Call;7 weeks on the list,NAKED MOLE RAT GETS DRESSED;written and illustrated by Mo Willems;7 weeks on the list,VAMPIRE DIARIES;by L. J. Smith;4 weeks on the list
9,AMONG THE MAD;by Jacqueline Winspear;New this week,STILL ALICE;by Lisa Genova;7 weeks on the list,,A SLOBBERING LOVE AFFAIR;by Bernard Goldberg;4 weeks on the list,90 MINUTES IN HEAVEN;by Don Piper with Cecil Murphey;122 weeks on the list,THE GREAT DEPRESSION AHEAD;by Harry S. Dent Jr;6 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;82 weeks on the list,ONE FALSE NOTE;by Gordon Korman;11 weeks on the list,TWEAK;by Nic Sheff;5 weeks on the list,WABI SABI;by Mark Reibstein. Illustrated by Ed Young;10 weeks on the list,NIGHT WORLD;by L. J. Smith;12 weeks on the list
10,TRUE COLORS;by Kristin Hannah;3 weeks on the list,LOVING FRANK;by Nancy Horan;42 weeks on the list,,NO ANGEL;by Jay Dobyns and Nils Johnson-Shelton;2 weeks on the list,MARLEY AND ME;by John Grogan;50 weeks on the list,THE 4 DAY DIET;by Ian K. Smith;2 weeks on the list,BROKEN OPEN;by Elizabeth Lesser;5 weeks on the list,3 WILLOWS;by Ann Brashares;6 weeks on the list,THE MYSTERIOUS BENEDICT SOCIETY;by Trenton Lee Stewart. Illustrated by Carson Ellis;27 weeks on the list,BEE AND ME;by Elle J. McGuinness. Illustrated by Heather Brown;4 weeks on the list,MAXIMUM RIDE;by James Patterson;45 weeks on the list
