,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Animals,Business,Celebrities,Crime and Punishment,Culture,Education,Espionage,Expeditions,"Fashion, Manners and Customs",Food and Diet,Games and Activities,Health,Humor,Indigenous Americans,Love and Relationships,Parenthood and Family,Politics and American History,Race and Civil Rights,"Religion, Spirituality and Faith",Science,Sports and Fitness,Travel
1,THE GIRL ON THE TRAIN;by Paula Hawkins;3 weeks on the list,THE GIRL ON THE TRAIN;by Paula Hawkins;3 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;140 weeks on the list,,,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;50 weeks on the list,BEING MORTAL;by Atul Gawande;17 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;65 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;64 weeks on the list,THE LIFE-CHANGING MAGIC OF TIDYING UP;by Marie Kondo;14 weeks on the list,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;39 weeks on the list,SISTERS;by Raina Telgemeier;24 weeks on the list,"AKAME GA KILL!, VOL. 1;by Takahiro and Tetsuya Tashiro;2 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE BOOK WITH NO PICTURES;by B.J. Novak;18 weeks on the list,THE MAZE RUNNER;by James Dashner;121 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;,MONEY: MASTER THE GAME;by Tony Robbins;,YES PLEASE;by Amy Poehler;,FINDING ME;by Michelle Knight with Michelle Burford Weinstein;,PIONEER GIRL;by Laura Ingalls Wilder;,THEY SAY / I SAY;by Gerald Graff and Cathy Birkenstein;,ALAN TURING: THE ENIGMA;by Andrew Hodges;,DEEP DOWN DARK;Héctor Tobar;,THE EVERYDAY SUPERMODEL;by Molly Sims;,THE 20/20 DIET;by Phil McGraw;,MINECRAFT: CONSTRUCTION HANDBOOK;by Matthew Needler and Phil Southam;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,YES PLEASE;by Amy Poehler;,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;,THE FIVE LOVE LANGUAGES;by Gary Chapman;,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE NEW JIM CROW;by Michelle Alexander;,JESUS CALLING;by Sarah Young;,BEING MORTAL;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;,WILD;by Cheryl Strayed;
2,PRIVATE VEGAS;by James Patterson and Maxine Paetro;New this week,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;39 weeks on the list,GONE GIRL;by Gillian Flynn;41 weeks on the list,,,UNBROKEN;by Laura Hillenbrand;190 weeks on the list,PIONEER GIRL;by Laura Ingalls Wilder;New this week,UNBROKEN;by Laura Hillenbrand;27 weeks on the list,UNBROKEN;by Laura Hillenbrand;209 weeks on the list,ZILLOW TALK;by Spencer Rascoff and Stan Humphries;New this week,DEATH OF WOLVERINE;by Charles Soule and Steve McNiven;2 weeks on the list,DRAMA;by Raina Telgemeier;79 weeks on the list,"SOUL EATER, VOL. 24;by Atsushi Ohkubo;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;84 weeks on the list,LUNAR CHRONICLES;by Marissa Meyer;5 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,TEAM DOG;by Mike Ritland with Gary Brozek;,AMERICA'S BITTER PILL;by Steven Brill;,NOT THAT KIND OF GIRL;by Lena Dunham;,GHETTOSIDE;by Jill Leovy;,THE WATER IS WIDE;by Pat Conroy;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE BRIGADE;by Howard Blum;,"DON'T GIVE UP, DON'T GIVE IN;by Louis Zamperini and David Rensin;","HOW TO BE PARISIAN WHEREVER YOU ARE;by Anne Berest, Audrey Diwan, Caroline de Maigret and Sophie Mas;",ZERO BELLY DIET;by David Zinczenko;,"MINECRAFT: COMBAT HANDBOOK;by Stephanie Milton with Paul Soares, Jr.;",GHOST BOY;Martin Pistorius with Megan Lloyd Davies;,NOT THAT KIND OF GIRL;by Lena Dunham;,EMPIRE OF THE SUMMER MOON;by S.C. Gwynne;,THE ANDY COHEN DIARIES;by Andy Cohen;,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,UNBROKEN;by Laura Hillenbrand;,THE SHORT AND TRAGIC LIFE OF ROBERT PEACE;by Jeff Hobbs;,WHAT I KNOW FOR SURE;by Oprah Winfrey;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;,THE BOYS IN THE BOAT;by Daniel James Brown;,HUMANS OF NEW YORK;by Brandon Stanton;
3,FIFTY SHADES OF GREY;by E. L. James;75 weeks on the list,PRIVATE VEGAS;by James Patterson and Maxine Paetro;New this week,ORPHAN TRAIN;by Christina Baker Kline;76 weeks on the list,,,WILD;by Cheryl Strayed;98 weeks on the list,YES PLEASE;by Amy Poehler;14 weeks on the list,WILD;by Cheryl Strayed;97 weeks on the list,WILD;by Cheryl Strayed;129 weeks on the list,THE 20/20 DIET;by Phil McGraw;4 weeks on the list,SECONDS;by Bryan Lee O'Malley;29 weeks on the list,SMILE;by Raina Telgemeier;138 weeks on the list,"BLACK BUTLER, VOL. 19;by Yana Toboso;2 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;54 weeks on the list,DIVERGENT;by Veronica Roth;67 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;,THE POWER OF HABIT;by Charles Duhigg;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,ORANGE IS THE NEW BLACK;by Piper Kerman;,THE ADVENTURE OF ENGLISH;by Melvyn Bragg;,THE WATER IS WIDE;by Pat Conroy;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,INTO THE WILD;by Jon Krakauer;,EMPIRE OF COTTON;by Sven Beckert;,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;,PLAYER'S HANDBOOK;by Wizards RPG Team;,IT WAS ME ALL ALONG;by Andie Mitchell;,CAN'T WE TALK ABOUT SOMETHING MORE PLEASANT?;by Roz Chast;,SHORT NIGHTS OF THE SHADOW CATCHER;by Timothy Egan;,LEAVING BEFORE THE RAINS COME;by Alexandra Fuller;,LEAVING BEFORE THE RAINS COME;by Alexandra Fuller;,KILLING PATTON;by Bill O'Reilly and Martin Dugard;,GHETTOSIDE;by Jill Leovy;,SMALL VICTORIES;by Anne Lamott;,WHAT IF?;by Randall Munroe;,YOU CAN'T MAKE THIS UP;by Al Michaels with L. Jon Wertheim;,ALTITUDE ADJUSTMENT;by Mary Beth Baptiste;
4,ALL THE LIGHT WE CANNOT SEE;by Anthony Doerr;20 weeks on the list,GRAY MOUNTAIN;by John Grisham;15 weeks on the list,STILL ALICE;by Lisa Genova;18 weeks on the list,,,THE BOYS IN THE BOAT;by Daniel James Brown;37 weeks on the list,"GOD, GUNS, GRITS AND GRAVY;by Mike Huckabee;2 weeks on the list",THE BOYS IN THE BOAT;by Daniel James Brown;36 weeks on the list,THE WATER IS WIDE;by Pat Conroy;New this week,ZERO BELLY DIET;by David Zinczenko;4 weeks on the list,HERE;by Richard McGuire;8 weeks on the list,MARCH: BOOK TWO;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;2 weeks on the list,"FAIRY TAIL, VOL. 46;by Hiro Mashima;New this week",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;177 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;308 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,REALLY IMPORTANT STUFF MY DOG HAS TAUGHT ME;by Cynthia L. Copeland;,ZILLOW TALK;by Spencer Rascoff and Stan Humphries;,BOSSYPANTS;by Tina Fey;,"GUANTÁNAMO DIARY;by Mohamedou Ould Slahi, edited by Larry Siems;",AS YOU WISH;by Cary Elwes with Joe Layden;,A SHORT HISTORY OF THE WORLD;by Christopher Lascelles;,CYBER WAR;by Richard A. Clarke and Robert Knake;,IN THE KINGDOM OF ICE;by Hampton Sides;,MAKE UP;by Michelle Phan;,MAKE IT AHEAD!;by Ina Garten;,MINECRAFT: REDSTONE HANDBOOK;by Nick Farwell. Edited by Jane Riordan and Stephanie Milton;,AMERICA'S BITTER PILL;by Steven Brill;,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;,BURY MY HEART AT WOUNDED KNEE;by Dee Brown;,DARING GREATLY;by Brené Brown;,HOW TO TALK SO KIDS WILL LISTEN AND LISTEN SO KIDS WILL TALK;by Adele Faber and Elaine Mazlish;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,CITIZEN;by Claudia Rankine;,THE POWER OF NOW;by Eckhart Tolle;,ALAN TURING: THE ENIGMA;by Andrew Hodges;,FOXCATCHER;by Mark Schultz with David Thomas;,TWO OLD FOOLS ON A CAMEL;by Victoria Twead;
5,VIPER GAME;by Christine Feehan;New this week,SAINT ODD;by Dean Koontz;3 weeks on the list,THE ALCHEMIST;by Paulo Coelho;341 weeks on the list,,,BEING MORTAL;by Atul Gawande;17 weeks on the list,KILLING PATTON;by Bill O'Reilly and Martin Dugard;19 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;53 weeks on the list,THE BOYS IN THE BOAT;by Daniel James Brown;54 weeks on the list,MONEY: MASTER THE GAME;by Tony Robbins;11 weeks on the list,"AMERICAN VAMPIRE, VOL. 7;by Scott Snyder and Rafael Albuquerque;3 weeks on the list","SAGA, VOL. 4;by Brian K. Vaughan and Fiona Staples;7 weeks on the list","SWORD ART ONLINE: PROGRESSIVE, VOL. 1;by Reki Kawahara and Kiseki Himura;2 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;36 weeks on the list",I FUNNY;by James Patterson and Chris Grabenstein. Illustrated by Laura Park;New this week,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,GOOD DOG;by the editors of Garden and Gun Magazine;,OUTLIERS;by Malcolm Gladwell;,THE ANDY COHEN DIARIES;by Andy Cohen;,CHASING THE SCREAM;by Johann Hari;,SILVER SCREEN FIEND;by Patton Oswalt;,"EVERYTHING'S AN ARGUMENT;by Andrea A. Lunsford, John J. Ruszkiewicz and Keith Walters;",THE GOOD SPY;by Kai Bird;,PILGRIM'S WILDERNESS;by Tom Kizzia;,HOW TO TIE A SCARF;by the staff of Potter Style;,THUG KITCHEN;by the staff of Thug Kitchen;,MONSTER MANUAL;by Wizards RPG Team;,THE NEW HEALTH RULES;by Frank Lipman and Danielle Claro;,BOSSYPANTS;by Tina Fey;,SEVENTH GENERATION EARTH ETHICS;by Patty Loew;,CITIZEN;by Claudia Rankine;,PARIS IN LOVE;by Eloisa James;,41;by George W. Bush;,GATEWAY TO FREEDOM;by Eric Foner;,THE BEST YES;by Lysa TerKeurst;,THE POWER OF HABIT;by Charles Duhigg;,ON MY OWN TWO FEET;by Amy Purdy with Michelle Burford;,WALKING HOME;by Sonia Choquette;
6,GONE GIRL;by Gillian Flynn;114 weeks on the list,THE BOSTON GIRL;by Anita Diamant;8 weeks on the list,THE MARTIAN;by Andy Weir;14 weeks on the list,,,THE WATER IS WIDE;by Pat Conroy;New this week,THE REAPER;by Nicholas Irving with Gary Brozek;New this week,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;123 weeks on the list,GHOST BOY;Martin Pistorius with Megan Lloyd Davies;2 weeks on the list,MAKE IT AHEAD!;by Ina Garten;14 weeks on the list,FATHERLAND;by Nina Bunjevac;New this week,PERSEPOLIS;by Marjane Satrapi;45 weeks on the list,"NORAGAMI, VOL. 3;by Adachitoka;New this week",WONDER;by R.J. Palacio;295 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;174 weeks on the list",THE SELECTION;by Kiera Cass;25 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE GRUMPY GUIDE TO LIFE;by Grumpy Cat staff;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",CLAPTON;by Eric Clapton;,JUST MERCY;by Bryan Stevenson;,THE MEANING OF HUMAN EXISTENCE;by Edward O. Wilson;,THE SMARTEST KIDS IN THE WORLD;by Amanda Ripley;,A SPY AMONG FRIENDS;by Ben Macintyre;,WALKING HOME;by Sonia Choquette;,FRENCH WOMEN DON'T GET FACELIFTS;by Mireille Guiliano;,IT WAS ME ALL ALONG;by Andie Mitchell;,"MINECRAFT: ESSENTIAL HANDBOOK;Stephanie Milton with Paul Soares, Jr. and Jordan Maron;",THE ADRENAL RESET DIET;by Alan Christianson;,THE ANDY COHEN DIARIES;by Andy Cohen;,CODE TALKER;by Chester Nez with Judith Schiess Avila;,ALTITUDE ADJUSTMENT;by Mary Beth Baptiste;,THE GLASS CASTLE;by Jeannette Walls;,AMERICA'S BITTER PILL;by Steven Brill;,JUST MERCY;by Bryan Stevenson;,"DON'T GIVE UP, DON'T GIVE IN;by Louis Zamperini and David Rensin;",QUIET;by Susan Cain;,THE TERRIBLE AND WONDERFUL REASONS WHY I RUN LONG DISTANCES;by The Oatmeal;,HOW PARIS BECAME PARIS;by Joan DeJean;
7,BEAUTIFUL REDEMPTION;by Jamie McGuire;New this week,FIRST FROST;by Sarah Addison Allen;2 weeks on the list,FIFTY SHADES DARKER;by E. L. James;102 weeks on the list,,,GHOST BOY;Martin Pistorius with Megan Lloyd Davies;2 weeks on the list,WHAT IF?;by Randall Munroe;22 weeks on the list,THE SIXTH EXTINCTION;by Elizabeth Kolbert;2 weeks on the list,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;3 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;74 weeks on the list,MICHAEL JORDAN: BULL ON PARADE;by Wilfred Santiago;New this week,"MS. MARVEL, VOL. 1;by G. Willow Wilson and Adrian Alphona;4 weeks on the list",UNOFFICIAL HATSUNE MIX;by KEI;8 weeks on the list,REFUGEE;by Alan Gratz;129 weeks on the list,THE PIGEON NEEDS A BATH!;by Mo Willems;35 weeks on the list,GIVER QUARTET;by Lois Lowry;74 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,INSIDE OF A DOG;by Alexandra Horowitz;,THE REPUTATION ECONOMY;by Michael Fertik and David C. Thompson;,MEMORIES ARE MADE OF THIS;by Deana Martin with Wendy Holden;,LYING IN WAIT;by Ann Rule;,BAD FEMINIST;by Roxane Gay;,TEACH LIKE A CHAMPION 2. 0;by Doug Lemov;,OPERATION PAPERCLIP;by Annie Jacobsen;,THE WILD TRUTH;by Carine McCandless;,"WOMEN IN CLOTHES;by Sheila Heti, Heidi Julavits, Leanne Shapton & 639 Others;",IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,POKEMON: ESSENTIAL HANDBOOK;by Cris Silvestri and the staff of Scholastic;,GENTLE BABIES;by Debra Raybern;,AS YOU WISH;by Cary Elwes with Joe Layden;,NATION TO NATION;edited by Suzan Shown Harjo;,KEEP IT SHUT;by Karen Ehman;,THE WHOLE-BRAIN CHILD;by Daniel J. Siegel and Tina Payne Bryson;,"GOD, GUNS, GRITS AND GRAVY;by Mike Huckabee;",THE WORK;by Wes Moore;,KILLING JESUS;by Bill O'Reilly and Martin Dugard;,A BRIEF HISTORY OF TIME;by Stephen Hawking;,THE KEEPER;by Tim Howard with Ali Benjamin;,PARIS LETTERS;by Janice MacLeod;
8,THE SECRETS OF SIR RICHARD KENWORTHY;by Julia Quinn;New this week,THE ESCAPE;by David Baldacci;11 weeks on the list,DARK PLACES;by Gillian Flynn;79 weeks on the list,,,THE REAPER;by Nicholas Irving with Gary Brozek;New this week,GHETTOSIDE;by Jill Leovy;New this week,ALAN TURING: THE ENIGMA;by Andrew Hodges;4 weeks on the list,MEMORIES ARE MADE OF THIS;by Deana Martin with Wendy Holden;New this week,10-DAY GREEN SMOOTHIE CLEANSE;by J. J. Smith;19 weeks on the list,THE BEST AMERICAN COMICS 2014;by Scott McCloud and others;15 weeks on the list,ARES: BRINGER OF WAR;by George O'Connor;New this week,"ASSASSINATION CLASSROOM, VOL. 1;by Yusei Matsui;7 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,ONCE UPON AN ALPHABET;by Oliver Jeffers;11 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;90 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,DECODING YOUR DOG;by the staff of the American College of Veterinary Behaviorists;,ZERO TO ONE;by Peter Thiel with Blake Masters;,OPRAH;by Kitty Kelley;,PILGRIM'S WILDERNESS;by Tom Kizzia;,THE BEST AMERICAN ESSAYS 2014;edited by John Jeremiah Sullivan; series editor Robert Atwan;,"WITHOUT YOU, THERE IS NO US;by Suki Kim;",WORTHY FIGHTS;by Leon Panetta with Jim Newton;,CITY OF SCOUNDRELS;by Gary Krist;,THE WOMAN I WANTED TO BE;by Diane Von Furstenberg;,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,THE LEGO IDEAS BOOK;by Daniel Lipkowitz;,SOUL MIND BODY SCIENCE SYSTEM;by Zhi Gang Sha and Rulin Xiu;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,IN GERONIMO'S FOOTSTEPS;by Corine Sombrun and Harlyn Geronimo;,YOU AND ME FOREVER;by Francis Chan and Lisa Chan;,THE FIVE LOVE LANGUAGES OF CHILDREN;by Gary D. Chapman and Ross Campbell;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,THE OTHER WES MOORE;by Wes Moore;,THE MYSTERY OF THE SHEMITAH;by Jonathan Cahn;,"THINKING, FAST AND SLOW;by Daniel Kahneman;",JETER UNFILTERED;by Derek Jeter with Anthony Bozza;,LOST IN TRANSLATION;by Ella Frances Sanders;
9,BIG LITTLE LIES;by Liane Moriarty;21 weeks on the list,BIG LITTLE LIES;by Liane Moriarty;14 weeks on the list,THE STORIED LIFE OF A. J. FIKRY;by Gabrielle Zevin;6 weeks on the list,,,YES PLEASE;by Amy Poehler;14 weeks on the list,NOT THAT KIND OF GIRL;by Lena Dunham;18 weeks on the list,THE NEW JIM CROW;by Michelle Alexander;90 weeks on the list,THE REAPER;by Nicholas Irving with Gary Brozek;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;88 weeks on the list,"SAGA: DELUXE EDITION, VOL. 1;by Brian K. Vaughan and Fiona Staples;8 weeks on the list",MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;42 weeks on the list,"DEADMAN WONDERLAND, VOL. 2;by Jinsei Katoka and Kazuma Kondou;3 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,SAM & DAVE DIG A HOLE;by Mac Barnett. Illustrated by Jon Klassen;4 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;354 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,NEVER CRY WOLF;by Farley Mowat;,THE INNOVATORS;by Walter Isaacson;,SO ANYWAY . . .;by John Cleese;,SEX. MURDER. MYSTERY.;by Gregg Olsen;,SONS OF ANARCHY;by Tara Bennett;,SPARE PARTS;by Joshua Davis;,"LIAR, TEMPTRESS, SOLDIER, SPY;by Karen Abbott;",THE RIVER OF DOUBT;by Candice Millard;,BETTER THAN BEAUTY;by Helen Valentine and Alice Thompson;,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,HACKS FOR MINECRAFTERS;by Megan Miller;,THE MAN WHO COULDN'T STOP;by David Adam;,SILVER SCREEN FIEND;by Patton Oswalt;,THE SWORDFISH HUNTERS;by Bruce Bourque;,TINY BEAUTIFUL THINGS;by Cheryl Strayed;,GO THE -- TO SLEEP;by Adam Mansbach. Illustrated by Ricardo Cortés;,THE NEW JIM CROW;by Michelle Alexander;,SPARE PARTS;by Joshua Davis;,PRAYER;by Timothy Keller;,THE SIXTH EXTINCTION;by Elizabeth Kolbert;,THE GOLF BOOK;by Chris Millard;,A WALK IN THE WOODS;by Bill Bryson;
10,BOUND BY FLAMES;by Jeaniene Frost;New this week,STATION ELEVEN;by Emily St. John Mandel;8 weeks on the list,THE ROSIE PROJECT;by Graeme Simsion;21 weeks on the list,,,KILLING PATTON;by Bill O'Reilly and Martin Dugard;19 weeks on the list,DEEP DOWN DARK;Héctor Tobar;7 weeks on the list,GHOST BOY;Martin Pistorius with Megan Lloyd Davies;New this week,THE ADVENTURE OF ENGLISH;by Melvyn Bragg;New this week,THUG KITCHEN;by the staff of Thug Kitchen;17 weeks on the list,THE GIGANTIC BEARD THAT WAS EVIL;by Stephen Collins;4 weeks on the list,FUN HOME;by Alison Bechdel;27 weeks on the list,"THE SEVEN DEADLY SINS, VOL. 6;by Nakaba Suzuki;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,MY NEW FRIEND IS SO FUN!;by Mo Willems;13 weeks on the list,DORK DIARIES;by Rachel Renée Russell;122 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,THE HOMING INSTINCT;by Bernd Heinrich;,THE END OF POWER;by Moises Naim;,PADDLE YOUR OWN CANOE;by Nick Offerman;,ANNE PERRY AND THE MURDER OF THE CENTURY;by Peter Graham;,HOW PARIS BECAME PARIS;by Joan DeJean;,THE TEENAGE BRAIN;by Frances E. Jensen with Amy Ellis Nutt;,THE NAZIS NEXT DOOR;by Eric Lichtblau;,A HOUSE IN THE SKY;by Amanda Lindhout and Sara Corbett;,FLEA MARKET FABULOUS;by Lara Spencer;,THE DASH DIET YOUNGER YOU;by Marla Heller;,GUINNESS WORLD RECORDS 2015 GAMER'S EDITION;by the Guinness World Records editors;,HASHIMOTO'S THYROIDITIS;by Izabella Wentz with Marta Nowosadzka;,LET'S EXPLORE DIABETES WITH OWLS;by David Sedaris;,IF YOU POISON US;by Peter H. Eichstaedt with photos by Murrae Haynes;,PARIS IN LOVE;by Eloisa James;,THE TEENAGE BRAIN;by Frances E. Jensen with Amy Ellis Nutt;,THE REAPER;by Nicholas Irving with Gary Brozek;,EMPIRE OF COTTON;by Sven Beckert;,THE UNTETHERED SOUL;by Michael A. Singer;,THE INNOVATORS;by Walter Isaacson;,BLEEDING ORANGE;by Jim Boeheim with Jack McCallum;,TURN RIGHT AT MACHU PICCHU;by Mark Adams;
11,STILL ALICE;by Lisa Genova;4 weeks on the list,THE MIME ORDER;by Samantha Shannon;New this week,FIFTY SHADES FREED;by E. L. James;,,,THE HEART OF EVERYTHING THAT IS;by Bob Drury and Tom Clavin;3 weeks on the list,AMERICA'S BITTER PILL;by Steven Brill;4 weeks on the list,QUIET;by Susan Cain;,THE CRUSADES;by Thomas Asbridge;,IT STARTS WITH FOOD;by Dallas and Melissa Hartwig;,,,,,,,,UNLIKELY LOVES;by Jennifer Holland;,,JOHNNY CASH;by Robert Hilburn;,KITTY GENOVESE;by Catherine Pelonero;,HOW WE GOT TO NOW;by Steven Johnson;,THE LAST LECTURE;by Randy Pausch with Jeffrey Zaslow;,"THE FUTURE, DECLASSIFIED;by Mathew Burrows;",UNRULY PLACES;by Alastair Bonnett;,MADEMOISELLE;by Rhonda K. Garelick;,CLEAN SLATE;by Editors of Martha Stewart Living;,WRECK THIS JOURNAL EVERYWHERE;by Keri Smith;,,SO ANYWAY . . .;by John Cleese;,,LOVE DOES;by Bob Goff;,FALLING LEAVES;by Adeline Yen Mah;,,TWELVE YEARS A SLAVE;by Solomon Northup;,BOUNDARIES;by Henry Cloud and John Townsend;,THIS CHANGES EVERYTHING;by Naomi Klein;,"WHEN THE GAME WAS OURS;by Larry Bird, Earvin ""Magic"" Johnson and Jackie MacMullan;",THE KINDNESS OF STRANGERS;by Mike McIntyre;
12,IN HIS KEEPING;by Maya Banks;New this week,HOPE TO DIE;by James Patterson;10 weeks on the list,UNLUCKY 13;by James Patterson and Maxine Paetro;,,,PIONEER GIRL;by Laura Ingalls Wilder;New this week,41;by George W. Bush;12 weeks on the list,10% HAPPIER;by Dan Harris;,SUCH GOOD GIRLS;by R. D. Rosen;,THE SKINNYTASTE COOKBOOK;by Gina Homolka with Heather K. Jones;,,,,,,,,I KNEAD MY MOMMY;by Francesco Marciuliano;,,PUNK ROCK BLITZKRIEG;by Marky Ramone with Rich Herschlag;,AMERICAN GUN;by Chris Kyle with William Doyle;,LOST IN TRANSLATION;by Ella Frances Sanders;,HOW CHILDREN SUCCEED;by Paul Tough;,AGENT STORM;by Morton Storm with Paul Cruickshank and Tim Lister;,A HISTORY OF THE WORLD IN 12 MAPS;by Jerry Brotton;,HEALTHY HAPPY SEXY;by Katie Silcox;,THE DASH DIET WEIGHT LOSS SOLUTION;by Marla Heller;,THE ULTIMATE MINECRAFT CREATOR;by Triumph Books;,,HYPERBOLE AND A HALF;by Allie Brosh;,,THE LOVE DARE;by Stephen Kendrick and Alex Kendrick with Lawrence Kimbrough;,THE DEATH OF SANTINI;by Pat Conroy;,,"THE RADICAL KING;by Martin Luther King, Jr.and edited by Cornel West;",THE CRUSADES;by Thomas Asbridge;,IN THE KINGDOM OF ICE;by Hampton Sides;,STRONG INSIDE;by Andrew Maraniss;,COCKPIT CONFIDENTIAL;by Patrick Smith;
