,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,"Advice, How-To & Miscellaneous",Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Business,Food and Diet,Politics and American History,Science
1,THE GOLDFINCH;by Donna Tartt;15 weeks on the list,THE INVENTION OF WINGS;by Sue Monk Kidd;4 weeks on the list,WINTER'S TALE;by Mark Helprin;2 weeks on the list,,,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;11 weeks on the list,DUTY;by Robert M. Gates;3 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;94 weeks on the list,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;41 weeks on the list,THE LOVE PLAYBOOK;by La La Anthony with Karen Hunter;New this week,THE PLANETARY OMNIBUS;by Warren Ellis and John Cassaday;New this week,"LEGO NINJAGO #9, NIGHT OF THE NINDROIDS;by Greg Farshtey and Jolyon Yates;New this week","ATTACK ON TITAN, VOL. 11;by Hajime Isayama;New this week",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE DAY THE CRAYONS QUIT;by Drew Daywalt. Illustrated by Oliver Jeffers;32 weeks on the list,DIVERGENT;by Veronica Roth;15 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,THE WOLF OF WALL STREET;by Jordan Belfort;,SUPER SHRED;by Ian K. Smith;,LONE SURVIVOR;by Marcus Luttrell with Patrick Robinson;,DAVID AND GOLIATH;by Malcolm Gladwell;
2,THE INVENTION OF WINGS;by Sue Monk Kidd;4 weeks on the list,THE GOLDFINCH;by Donna Tartt;15 weeks on the list,LIFE AFTER LIFE;by Kate Atkinson;4 weeks on the list,,,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;4 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;18 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;7 weeks on the list,TWELVE YEARS A SLAVE;by Solomon Northup;17 weeks on the list,SUPER SHRED;by Ian K. Smith;5 weeks on the list,"SNOWPIERCER, VOL. 1;by Jacques Lob and Jean-Marc Rochette;New this week",PERSEPOLIS;by Marjane Satrapi;25 weeks on the list,"BLACK BUTLER, VOL. 16;by Yana Toboso;2 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,LOCOMOTIVE;by Brian Floca;New this week,THE HUNGER GAMES;by Suzanne Collins;180 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,JIM CRAMER'S GET RICH CAREFULLY;by James J. Cramer;,THE DOCTOR'S DIET;by Travis Stork;,DUTY;by Robert M. Gates;,QUIET;by Susan Cain;
3,STILL LIFE WITH BREAD CRUMBS;by Anna Quindlen;New this week,STILL LIFE WITH BREAD CRUMBS;by Anna Quindlen;New this week,A WEEK IN WINTER;by Maeve Binchy;4 weeks on the list,,,DUTY;by Robert M. Gates;3 weeks on the list,THINGS THAT MATTER;by Charles Krauthammer;15 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;67 weeks on the list,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;4 weeks on the list,THE DOCTOR'S DIET;by Travis Stork;4 weeks on the list,X-MEN: BATTLE OF THE ATOM;by Brian Michael Bendis and others;2 weeks on the list,"MAUS: A SURVIVOR’S TALE, VOL. 1;by Art Spiegelman;44 weeks on the list","SOUL EATER, VOL. 18;by Atsushi Ohkubo;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,FOUNDING MOTHERS;by Cokie Roberts. Illustrated by Diane Goode;New this week,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;263 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;,THE POUND A DAY DIET;by Rocco DiSpirito;,TWELVE YEARS A SLAVE;by Solomon Northup;,A SHORT GUIDE TO A LONG LIFE;by David B. Agus with Kristin Loberg;
4,UP FROM THE GRAVE;by Jeaniene Frost;New this week,FIRST LOVE;by James Patterson and Emily Raymond;3 weeks on the list,ORPHAN TRAIN;by Christina Baker Kline;24 weeks on the list,,,TWELVE YEARS A SLAVE;by Solomon Northup;8 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;19 weeks on the list,THE WOLF OF WALL STREET;by Jordan Belfort;8 weeks on the list,DUTY;by Robert M. Gates;3 weeks on the list,GRAIN BRAIN;by David Perlmutter with Kristin Loberg;19 weeks on the list,FAIRY TALE COMICS: CLASSIC TALES TOLD BY EXTRAORDINARY CARTOONISTS;by Chris Duffy and others;5 weeks on the list,MARCH: BOOK ONE;by John Lewis and Andrew Aydin. Illustrated by Nate Powell;23 weeks on the list,"NARUTO, VOL. 64;by Masashi Kishimoto;4 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,JOURNEY;by Aaron Becker;12 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;125 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",GRAIN BRAIN;by David Perlmutter with Kristin Loberg;,THINGS THAT MATTER;by Charles Krauthammer;,"THINKING, FAST AND SLOW;by Daniel Kahneman;"
5,SYCAMORE ROW;by John Grisham;15 weeks on the list,SYCAMORE ROW;by John Grisham;15 weeks on the list,ME BEFORE YOU;by Jojo Moyes;27 weeks on the list,,,KILLING JESUS;by Bill O'Reilly and Martin Dugard;19 weeks on the list,LEAN IN;by Sheryl Sandberg with Nell Scovell;45 weeks on the list,OUTLIERS;by Malcolm Gladwell;139 weeks on the list,KILLING JESUS;by Bill O'Reilly and Martin Dugard;19 weeks on the list,THE BODY BOOK;by Cameron Diaz with Sandra Bark;4 weeks on the list,THE ENCYCLOPEDIA OF EARLY EARTH;by Isabel Greenberg;6 weeks on the list,FUN HOME;by Alison Bechdel;22 weeks on the list,"MONSTER MUSUME, VOL. 2;by Okayado;4 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,WHAT DOES THE FOX SAY?;by Ylvis. Illustrated by Svein Nyhus;8 weeks on the list,VAMPIRE ACADEMY;by Richelle Mead;48 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,OUTLIERS;by Malcolm Gladwell;,WHEAT BELLY;by William Davis;,THE MONUMENTS MEN;by Robert M. Edsel with Bret Witter;,THE POWER OF HABIT;by Charles Duhigg;
6,LABOR DAY;by Joyce Maynard;2 weeks on the list,THE FIRST PHONE CALL FROM HEAVEN;by Mitch Albom;12 weeks on the list,THE LIGHT BETWEEN OCEANS;by M. L. Stedman;44 weeks on the list,,,DAVID AND GOLIATH;by Malcolm Gladwell;18 weeks on the list,I AM MALALA;by Malala Yousafzai with Christina Lamb;17 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;168 weeks on the list,FOLLOWING ATTICUS;by  Tom Ryan;7 weeks on the list,WHEAT BELLY;by William Davis;37 weeks on the list,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;114 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;52 weeks on the list","ATTACK ON TITAN, VOL. 1;by Hajime Isayama;34 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,MR. WUFFLES!;by David Wiesner;6 weeks on the list,UNDER THE NEVER SKY;by Veronica Rossi;New this week,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,WHEAT BELLY 30-MINUTE (OR LESS!) COOKBOOK;by William Davis;,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;,MY AGE OF ANXIETY;by Scott Stossel;
7,ONLY TIME WILL TELL;by Jeffrey Archer;New this week,GONE GIRL;by Gillian Flynn;74 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;99 weeks on the list,,,THINGS THAT MATTER;by Charles Krauthammer;15 weeks on the list,MY AGE OF ANXIETY;by Scott Stossel;4 weeks on the list,WILD;by Cheryl Strayed;45 weeks on the list,JUST KIDS;by Patti Smith;New this week,THE FIVE LOVE LANGUAGES;by Gary Chapman;43 weeks on the list,"BATMAN, VOL. 3;by Scott Snyder and Greg Capullo;13 weeks on the list",SMILE;by Raina Telgemeier;90 weeks on the list,"DURARARA: SAIKA ARC, VOL. 3;by Ryohgo Narita and Akiyo Satorigi;New this week",REFUGEE;by Alan Gratz;129 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;122 weeks on the list",THE MAZE RUNNER;by James Dashner;69 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,FINANCIALLY FEARLESS;by Alexa Von Tobel;,THE DASH DIET WEIGHT LOSS SOLUTION;by Marla Heller;,I AM MALALA;by Malala Yousafzai with Christina Lamb;,BRAINSTORM;by Daniel J. Siegel;
8,THE ROSIE PROJECT;by Graeme Simsion;4 weeks on the list,AN OFFICER AND A SPY;by Robert Harris;New this week,LABOR DAY;by Joyce Maynard;3 weeks on the list,,,THE WOLF OF WALL STREET;by Jordan Belfort;6 weeks on the list,GEORGE WASHINGTON'S SECRET SIX;by Brian Kilmeade and Don Yaeger;13 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;4 weeks on the list,PRACTICE TO DECEIVE;by Ann Rule;5 weeks on the list,"THE DANIEL PLAN;by Rick Warren, Daniel Amen, Mark Hyman and others;9 weeks on the list",MISS PEREGRINE'S HOME FOR PECULIAR CHILDREN;by Ransom Riggs and Cassandra Jean;7 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;48 weeks on the list","ATTACK ON TITAN, VOL. 10;by Hajime Isayama;5 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,"ROSIE REVERE, ENGINEER;by Andrea Beaty. Illustrated by David Roberts;6 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;59 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,PEOPLE TOOLS;by Alan C. Fox;,THE FAST METABOLISM DIET COOKBOOK;by Haylie Pomroy;,UNBROKEN;by Laura Hillenbrand;,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;
9,THE HUSBAND'S SECRET;by Liane Moriarty;24 weeks on the list,COMMAND AUTHORITY;by Tom Clancy with Mark Greaney;9 weeks on the list,DARK PLACES;by Gillian Flynn;30 weeks on the list,,,LEAN IN;by Sheryl Sandberg with Nell Scovell;43 weeks on the list,UNBROKEN;by Laura Hillenbrand;155 weeks on the list,ORANGE IS THE NEW BLACK;by Piper Kerman;29 weeks on the list,WILD;by Cheryl Strayed;86 weeks on the list,21-DAY TUMMY;by Liz Vaccariello with Kate Scarlata;New this week,THE JOKER: DEATH OF THE FAMILY;by Scott Snyder and various;15 weeks on the list,"SAGA, VOL. 2;by Brian K. Vaughan and Fiona Staples;22 weeks on the list","NO MATTER HOW I LOOK AT IT, IT'S YOU GUYS' FAULT I'M NOT POPULAR!, VOL. 2;by Nico Tanigawa;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,MR. TIGER GOES WILD;by Peter Brown;5 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;326 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,ON THE EDGE;by Alison Levine;,THE PIONEER WOMAN COOKS: A YEAR OF HOLIDAYS;by Ree Drummond;,THE BULLY PULPIT;by Doris Kearns Goodwin;,THE SECOND MACHINE AGE;by Erik Brynjolfsson and Andrew McAfee;
10,REAPER'S LEGACY;by Joanna Wylde;New this week,UNDER THE WIDE AND STARRY SKY;by Nancy Horan;2 weeks on the list,"WHERE'D YOU GO, BERNADETTE;by Maria Semple;44 weeks on the list",,,WILD;by Cheryl Strayed;62 weeks on the list,MY PROMISED LAND;by Ari Shavit;5 weeks on the list,QUIET;by Susan Cain;53 weeks on the list,DAVID AND GOLIATH;by Malcolm Gladwell;18 weeks on the list,THE POUND A DAY DIET;by Rocco DiSpirito;4 weeks on the list,"CEMETERY GIRL, BOOK 1;by Charlaine Harris, Christopher Golden and Don Kramer;4 weeks on the list",BLUE IS THE WARMEST COLOR;by Julie Maroh;15 weeks on the list,"KINGDOM HEARTS 358/2 DAYS, VOL. 2;by Shiro Amano;New this week",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,I AM ABRAHAM LINCOLN;by Brad Meltzer. Illustrated by Christopher Eliopoulos;3 weeks on the list,HARRY POTTER;by J.K. Rowling;304 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,TIPPING POINT;by Malcolm Gladwell;,GIADA'S FEEL GOOD FOOD;by Giada De Laurentiis;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,THE DOCTOR WORE PETTICOATS;by Chris Enss;
