,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,SAFE HAVEN;by Nicholas Sparks;5 weeks on the list,GONE GIRL;by Gillian Flynn;30 weeks on the list,FIFTY SHADES OF GREY;by E. L. James;42 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,PROOF OF HEAVEN;by Eben Alexander;10 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;13 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;10 weeks on the list,SERIOUSLY... I'M KIDDING;by Ellen DeGeneres;16 weeks on the list,BAREFOOT CONTESSA FOOLPROOF;by Ina Garten;9 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;12 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,BUILDING STORIES;by Chris Ware;13 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;12 weeks on the list","MAXIMUM RIDE, VOL. 6;by James Patterson;3 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,THE NIGHT BEFORE CHRISTMAS;by Clement C. Moore. Various illustrators;44 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;207 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,TAP DANCING TO WORK;by Carol J. Loomis;,OUTLIERS;by Malcolm Gladwell;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
2,GONE GIRL;by Gillian Flynn;30 weeks on the list,THE RACKETEER;by John Grisham;10 weeks on the list,LIFE OF PI;by Yann Martel;13 weeks on the list,,,GONE GIRL;by Gillian Flynn;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;13 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;7 weeks on the list,TEAM OF RIVALS;by Doris Kearns Goodwin;47 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;13 weeks on the list,WHEAT BELLY COOKBOOK;by William Davis;New this week,TO HEAVEN AND BACK;by Mary C. Neal;31 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,BATMAN: THE KILLING JOKE;by Alan Moore and Brian Bolland;92 weeks on the list,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;72 weeks on the list","BLOOD LAD, VOL. 1;by Yuuki Kodama;New this week",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;65 weeks on the list",THE HUNGER GAMES;by Suzanne Collins;123 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,ANTIFRAGILE;by Nassim Nicholas Taleb;,TIPPING POINT;by Malcolm Gladwell;,THOMAS JEFFERSON;by Jon Meacham;
3,THE COINCIDENCE OF CALLIE AND KAYDEN;by Jessica Sorensen;2 weeks on the list,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;7 weeks on the list",FIFTY SHADES DARKER;by E. L. James;39 weeks on the list,,,THE RACKETEER;by John Grisham;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;65 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;66 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;111 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;10 weeks on the list,GUINNESS WORLD RECORDS 2013;;16 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;283 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;75 weeks on the list",DRAMA;by Raina Telgemeier;16 weeks on the list,"NARUTO, VOL. 58;by Masashi Kishimoto;9 weeks on the list",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,SAFARI;by Dan Kainen and Carol Kaufmann;4 weeks on the list,HEROES OF OLYMPUS;by Rick Riordan;13 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,DRIVE;by Daniel H. Pink;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
4,FIFTY SHADES OF GREY;by E. L. James;44 weeks on the list,THE CASUAL VACANCY;by J. K. Rowling;14 weeks on the list,FIFTY SHADES FREED;by E. L. James;39 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,THOMAS JEFFERSON;by Jon Meacham;7 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;17 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;35 weeks on the list,LET'S PRETEND THIS NEVER HAPPENED;by Jenny Lawson;24 weeks on the list,"HELP, THANKS, WOW;by Anne Lamott;7 weeks on the list",EAT TO LIVE;by Joel Fuhrman;76 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,"TOTALLY MAD: 60 YEARS OF HUMOR, SATIRE, STUPIDITY AND STUPIDITY;by various;9 weeks on the list","THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;5 weeks on the list","PUELLA MAGI MADOKA MAGICA, VOL. 3;by Magica Quartet;3 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,PRESS HERE;by Hervé Tullet;72 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;275 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",BOOMERANG;by Michael Lewis;,NO EASY DAY;by Mark Owen with Kevin Maurer;
5,HOPELESS;by Colleen Hoover;New this week,THREAT VECTOR;by Tom Clancy with Mark Greaney;4 weeks on the list,THE PARIS WIFE;by Paula McLain;5 weeks on the list,,,LIFE OF PI;by Yann Martel;,NO EASY DAY;by Mark Owen with Kevin Maurer;17 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;13 weeks on the list,BOSSYPANTS;by Tina Fey;52 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;66 weeks on the list,FIFTY SHADES OF CHICKEN;by F.L. Fowler;7 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;94 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;13 weeks on the list,"THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;139 weeks on the list","NARUTO, VOL. 59;by Masashi Kishimoto;8 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;10 weeks on the list,DORK DIARIES;by Rachel Renée Russell;65 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,STEVE JOBS;by Walter Isaacson;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,AMERICA AGAIN;by Stephen Colbert and others;
6,THE RACKETEER;by John Grisham;10 weeks on the list,CROSS ROADS;by Wm. Paul Young;7 weeks on the list,CLOUD ATLAS;by David Mitchell;22 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,SERIOUSLY... I'M KIDDING;by Ellen DeGeneres;10 weeks on the list,UNBROKEN;by Laura Hillenbrand;111 weeks on the list,"FATAL FRIENDS, DEADLY NEIGHBORS;by Ann Rule;5 weeks on the list",NO EASY DAY;by Mark Owen with Kevin Maurer;17 weeks on the list,THE SMITTEN KITCHEN COOKBOOK;by Deb Perelman;9 weeks on the list,"THE CHEW;by the staff of ""The Chew"";14 weeks on the list",TEAM OF RIVALS;by Doris Kearns Goodwin;,"POGO, VOL. 2;by Walt Kelly;3 weeks on the list","SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;7 weeks on the list","YU-GI-OH! ZEXAL, VOL. 2;by Kazuki Takahashi;4 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;34 weeks on the list,MATCHED TRILOGY;by Ally Condie;7 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,"HOW WILL YOU MEASURE YOUR LIFE?;by Clayton M. Christensen, James Allworth and Karen Dillon;",THE CHECKLIST MANIFESTO;by Atul Gawande;,UNBROKEN;by Laura Hillenbrand;
7,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;7 weeks on the list",THE FORGOTTEN;by David Baldacci;6 weeks on the list,SAFE HAVEN;by Nicholas Sparks;15 weeks on the list,,,"MERRY CHRISTMAS, ALEX CROSS;by James Patterson;",TEAM OF RIVALS;by Doris Kearns Goodwin;8 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;13 weeks on the list,IS EVERYONE HANGING OUT WITHOUT ME?;by Mindy Kaling;15 weeks on the list,I SUCK AT GIRLS;by Justin Halpern;7 weeks on the list,WHEAT BELLY;by William Davis;36 weeks on the list,WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;593 weeks on the list,AMERICA AGAIN;by Stephen Colbert and others;,INTERVIEW WITH THE VAMPIRE: CLAUDIA'S STORY;by Anne Rice and Ashley Marie Witter;4 weeks on the list,THE COMPLETE CALVIN AND HOBBES;by Bill Watterson;7 weeks on the list,"ALICE IN THE COUNTRY OF HEARTS: MY FANATIC RABBIT, VOL. 1;by Quinrose;2 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,LLAMA LLAMA TIME TO SHARE;by Anna Dewdney;17 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;69 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,TOTAL MONEY MAKEOVER;by Dave Ramsey;,THREE SIMPLE STEPS;by Trevor Blake;,LAST LION;by William Manchester and Paul Reid;
8,FIFTY SHADES DARKER;by E. L. James;44 weeks on the list,NOTORIOUS NINETEEN;by Janet Evanovich;6 weeks on the list,BARED TO YOU;by Sylvia Day;29 weeks on the list,,,THE CASUAL VACANCY;by J. K. Rowling;,UNBROKEN;by Laura Hillenbrand;101 weeks on the list,BRUCE;by Peter Ames Carlin;9 weeks on the list,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;95 weeks on the list,THOMAS JEFFERSON;by Jon Meacham;7 weeks on the list,I COULD PEE ON THIS;by Francesco Marciuliano;8 weeks on the list,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;8 weeks on the list,UNBROKEN;by Laura Hillenbrand;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;13 weeks on the list",BATMAN: THE DARK KNIGHT RETURNS;by Frank Miller;36 weeks on the list,"PANDORA HEARTS, VOL. 13;by Jun Mochizuki;2 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,THE FURTHER TALE OF PETER RABBIT;by Emma Thompson. Illustrated by Eleanor Taylor;2 weeks on the list,THE TWILIGHT SAGA;by Stephenie Meyer;214 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,MASTERY;by Robert Greene;,THAT USED TO BE US;by Thomas L. Friedman and Michael Mandelbaum;,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;
9,THE FORGOTTEN;by David Baldacci;6 weeks on the list,THE TWELVE TRIBES OF HATTIE;by Ayana Mathis;3 weeks on the list,WORLD WAR Z;by Max Brooks;27 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,AMERICA AGAIN;by Stephen Colbert and others;8 weeks on the list,ROLL ME UP AND SMOKE ME WHEN I DIE;by Willie Nelson;7 weeks on the list,THE ZOMBIE SURVIVAL GUIDE;by Max Brooks;67 weeks on the list,I SHOULDN'T EVEN BE DOING THIS!;by Bob Newhart;3 weeks on the list,THE HOBBIT: AN UNEXPECTED JOURNEY;by Daniel Falconer;New this week,F IN EXAMS;by Richard Benson;12 weeks on the list,THE SIGNAL AND THE NOISE;by Nate Silver;,THE BEST AMERICAN COMICS 2012;by Françoise Mouly;5 weeks on the list,SMILE;by Raina Telgemeier;46 weeks on the list,"BLEACH, VOL. 53;by Tite Kubo;2 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,PETE THE CAT SAVES CHRISTMAS;by Eric Litwin. Illustrated by James Dean;14 weeks on the list,I AM NUMBER FOUR;by Pittacus Lore;8 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,THE BIG SHORT;by Michael Lewis;,PATRIARCH;by David Nasaw;
10,LIFE OF PI;by Yann Martel;8 weeks on the list,THE BLACK BOX;by Michael Connelly;5 weeks on the list,REFLECTED IN YOU;by Sylvia Day;10 weeks on the list,,,THREAT VECTOR;by Tom Clancy with Mark Greaney;,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;92 weeks on the list,BEHIND THE BEAUTIFUL FOREVERS;by Katherine Boo;12 weeks on the list,OUTLIERS;by Malcolm Gladwell;82 weeks on the list,OUTLAW PLATOON;by Sean Parnell with John R. Bruning;9 weeks on the list,THE CHRONICLES OF DOWNTON ABBEY;by Jessica Fellowes and Matthew Sturgis;New this week,PRACTICAL PALEO;by Diane Sanfilippo;8 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;,ARE YOU MY MOTHER?;by Alison Bechdel;30 weeks on the list,"THE WALKING DEAD, VOL. 2;by Robert Kirkman and Charlie Adlard;32 weeks on the list","BLACK BIRD, VOL. 15;by Kanoko Sakurakouji;4 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,DRAGONS LOVE TACOS;by Adam Rubin. Illustrated by Daniel Salmieri;10 weeks on the list,A SERIES OF UNFORTUNATE EVENTS;by Lemony Snicket;139 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,4-HOUR WORKWEEK;by Timothy Ferriss;,MONEYBALL;by Michael Lewis;,JOY OF HATE;by Greg Gutfeld;
