,Combined Print & E-Book Fiction,Hardcover Fiction,Paperback Trade Fiction,Paperback Mass-Market Fiction,E-Book Fiction,Combined Hardcover & Paperback Fiction,Combined Print & E-Book Nonfiction,Hardcover Nonfiction,Paperback Nonfiction,E-Book Nonfiction,Hardcover Advice & Misc.,Paperback Advice & Misc.,Combined Hardcover & Paperback Nonfiction,Hardcover Graphic Books,Paperback Graphic Books,Manga,Children’s Middle Grade,Children’s Picture Books,Children’s Series,Young Adult,Hardcover Business Books,Paperback Business Books,Politics and American History
1,"ALEX CROSS, RUN;by James Patterson;New this week","ALEX CROSS, RUN;by James Patterson;New this week",FIFTY SHADES OF GREY;by E. L. James;50 weeks on the list,,,"ALEX CROSS, RUN;by James Patterson;",AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;21 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;25 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;18 weeks on the list,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;2 weeks on the list,LIFE CODE;by Phil McGraw;2 weeks on the list,THE FIVE LOVE LANGUAGES;by Gary Chapman;291 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;,BATMAN: NIGHT OF THE OWLS;by Scott Snyder and others;New this week,"THE WALKING DEAD COMPENDIUM, VOL. 1;by Robert Kirkman and others;80 weeks on the list","NARUTO, VOL. 60;by Masashi Kishimoto;3 weeks on the list",UNCOMFORTABLE CONVERSATIONS WITH A BLACK BOY;by Emmanuel Acho;New this week,EMERALDALICIOUS;by Victoria Kann;4 weeks on the list,BEAUTIFUL CREATURES;by Kami Garcia and Margaret Stohl;10 weeks on the list,REALM BREAKER;by Victoria Aveyard;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;,OUTLIERS;by Malcolm Gladwell;,MY BELOVED WORLD;by Sonia Sotomayor;
2,SAFE HAVEN;by Nicholas Sparks;13 weeks on the list,A WEEK IN WINTER;by Maeve Binchy;2 weeks on the list,SAFE HAVEN;by Nicholas Sparks;23 weeks on the list,,,SAFE HAVEN;by Nicholas Sparks;,PROOF OF HEAVEN;by Eben Alexander;18 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;New this week,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;4 weeks on the list,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;34 weeks on the list,SHRED: THE REVOLUTIONARY DIET;by Ian K. Smith;8 weeks on the list,OBAMACARE SURVIVAL GUIDE;by Nick Tate;4 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;,"THE WALKING DEAD, BOOK 1;by Robert Kirkman, Tony Moore and Charlie Adlard;83 weeks on the list","THE WALKING DEAD COMPENDIUM, VOL. 2;by Robert Kirkman and Charlie Adlard;20 weeks on the list","SAILOR MOON, VOL. 9;by Naoko Takeuchi;4 weeks on the list",WILLA OF DARK HOLLOW;by Robert Beatty;New this week,MY BROTHER'S BOOK;by Maurice Sendak;3 weeks on the list,THE HUNGER GAMES;by Suzanne Collins;131 weeks on the list,RULE OF WOLVES;by Leigh Bardugo;6 weeks on the list,HITMAKER;by Tommy Mottola with Cal Fussman;,DRIVE;by Daniel H. Pink;,AMERICAN SNIPER;by Chris Kyle with Scott McEwen and Jim DeFelice;
3,GONE GIRL;by Gillian Flynn;38 weeks on the list,GONE GIRL;by Gillian Flynn;38 weeks on the list,FIFTY SHADES DARKER;by E. L. James;47 weeks on the list,,,FIFTY SHADES OF GREY;by E. L. James;,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;2 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;6 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;2 weeks on the list,PROOF OF HEAVEN;by Eben Alexander;18 weeks on the list,THE MELT METHOD;by Sue Hitzmann with Debbie Karch;New this week,FROM MAMA'S TABLE TO MINE;by Bobby Deen;3 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;,"THE WALKING DEAD, BOOK 2;by Robert Kirkman and Charlie Adlard;18 weeks on the list",DRAMA;by Raina Telgemeier;22 weeks on the list,"BATTLE ANGEL ALITA: LAST ORDER, VOL. 17;by Yukito Kishiro;New this week",BECOMING: ADAPTED FOR YOUNG READERS;by Michelle Obama;10 weeks on the list,THIS IS NOT MY HAT;by Jon Klassen;18 weeks on the list,DIARY OF A WIMPY KID;written and illustrated by Jeff Kinney;215 weeks on the list,CONCRETE ROSE;by Angie Thomas;17 weeks on the list,TO SELL IS HUMAN;by Daniel H. Pink;,GROW REGARDLESS;by Joe Mechlinski;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;
4,WAIT FOR ME;by Elisabeth Naughton;2 weeks on the list,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;7 weeks on the list,FIFTY SHADES FREED;by E. L. James;47 weeks on the list,,,A WEEK IN WINTER;by Maeve Binchy;,DRINKING AND TWEETING;by Brandi Glanville with Leslie Bruce;2 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;21 weeks on the list,QUIET;by Susan Cain;4 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;2 weeks on the list,"THE LEGEND OF ZELDA, HYRULE HISTORIA;by Patrick Thorpe and Michael Gombos, et al.;4 weeks on the list",WHAT TO EXPECT WHEN YOU'RE EXPECTING;by Heidi Murkoff and Sharon Mazel;601 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,"JUSTICE LEAGUE, VOL. 2;by Geoff Johns and Jim Lee;3 weeks on the list","THE WALKING DEAD, VOL. 1;by Robert Kirkman and Tony Moore;143 weeks on the list","ALICE IN THE COUNTRY OF JOKER, VOL. 1;by QuinRose;3 weeks on the list",THE ONE AND ONLY BOB;by Katherine Applegate. Illustrated by Patricia Castelao;53 weeks on the list,TEA TIME WITH SOPHIA GRACE AND ROSIE;by Sophia Grace Brownlee and Rosie McClelland. Illustrated by Shelagh McNicholas;3 weeks on the list,BIG NATE;written and illustrated by Lincoln Peirce;72 weeks on the list,FIREKEEPER'S DAUGHTER;by Angeline Boulley;8 weeks on the list,THE POWER OF HABIT;by Charles Duhigg;,TIPPING POINT;by Malcolm Gladwell;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;
5,A WEEK IN WINTER;by Maeve Binchy;2 weeks on the list,GUILT;by Jonathan Kellerman;2 weeks on the list,LIFE OF PI;by Yann Martel;21 weeks on the list,,,GONE GIRL;by Gillian Flynn;,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;21 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;74 weeks on the list,LADY ALMINA AND THE REAL DOWNTON ABBEY;by The Countess of Carnarvon;31 weeks on the list,AFTER VISITING FRIENDS;by Michael Hainey;New this week,WHEAT BELLY;by William Davis;44 weeks on the list,HOW TO TELL IF YOUR CAT IS PLOTTING TO KILL YOU;by Matthew Inman;19 weeks on the list,QUIET;by Susan Cain;,BATMAN: THE COURT OF OWLS;by Scott Snyder and Greg Capullo;23 weeks on the list,"THE WALKING DEAD, VOL. 17;by Robert Kirkman and Charlie Adlard;11 weeks on the list","MAXIMUM RIDE, VOL. 6;by James Patterson;9 weeks on the list",THE ICKABOG;by J.K. Rowling;26 weeks on the list,"GOODNIGHT, GOODNIGHT, CONSTRUCTION SITE;by Sherri Duskey Rinker and Tom Lichtenheld;73 weeks on the list",HEROES OF OLYMPUS;by Rick Riordan;21 weeks on the list,ONE OF US IS LYING;by Karen M. McManus;171 weeks on the list,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;,BAILOUT;by Neil Barofsky;,FUTURE;by Al Gore;
6,FIFTY SHADES OF GREY;by E. L. James;52 weeks on the list,TENTH OF DECEMBER;by George Saunders;7 weeks on the list,THE PARIS WIFE;by Paula McLain;13 weeks on the list,,,FIFTY SHADES DARKER;by E. L. James;,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;73 weeks on the list,COOLIDGE;by Amity Shlaes;2 weeks on the list,IN THE GARDEN OF BEASTS;by Erik Larson;43 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;21 weeks on the list,THE DASH DIET WEIGHT LOSS SOLUTION;by Marla Heller;New this week,FORKS OVER KNIVES: THE COOKBOOK;by Del Sroufe;16 weeks on the list,MY BELOVED WORLD;by Sonia Sotomayor;,GREEN LANTERN: REVENGE OF THE BLACK HAND;by Geoff Johns and Doug Mahnke;4 weeks on the list,"SUICIDE SQUAD, VOL. 2;by Adam Glass and Fernando Dagnino;New this week","YU-GI-OH! ZEXAL, VOL. 2;by Kazuki Takahashi;6 weeks on the list",WONDER;by R.J. Palacio;295 weeks on the list,PRESS HERE;by Hervé Tullet;80 weeks on the list,THE MORTAL INSTRUMENTS;by Cassandra Clare;77 weeks on the list,STAMPED;by Jason Reynolds and Ibram X. Kendi;59 weeks on the list,REBOOTING WORK;by Maynard Webb and Carlye Adler;,END THIS DEPRESSION NOW!;by Paul Krugman;,NO EASY DAY;by Mark Owen with Kevin Maurer;
7,TOUCH AND GO;by Lisa Gardner;3 weeks on the list,THE DINNER;by Herman Koch;2 weeks on the list,THE SILVER LININGS PLAYBOOK;by Matthew Quick;6 weeks on the list,,,FIFTY SHADES FREED;by E. L. James;,SOUNDTRACK OF MY LIFE;by Clive Davis with Anthony DeCurtis;New this week,FRANCONA;by Terry Francona and Dan Shaughnessy;5 weeks on the list,HEAVEN IS FOR REAL;by Todd Burpo with Lynn Vincent;119 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;74 weeks on the list,THE SECRETS OF HAPPY FAMILIES;by Bruce Feiler;New this week,EAT TO LIVE;by Joel Fuhrman;84 weeks on the list,KILLING KENNEDY;by Bill O'Reilly and Martin Dugard;,"BATWOMAN, VOL. 2;by J. H. Williams III and W. Haden Blackman;4 weeks on the list","LEGO NINJAGO #6, WARRIORS OF STONE;by Greg Farshtey and Jolyton Yates;5 weeks on the list","BLACK BUTLER, VOL. 12;by Yana Toboso;5 weeks on the list",REFUGEE;by Alan Gratz;129 weeks on the list,PETE THE CAT AND HIS FOUR GROOVY BUTTONS;by Eric Litwin. Illustrated by James Dean;42 weeks on the list,BLOODLINES;by Richelle Mead;2 weeks on the list,LORE;by Alexandra Bracken;18 weeks on the list,DETROIT;by Charlie LeDuff;,BOOMERANG;by Michael Lewis;,COOLIDGE;by Amity Shlaes;
8,RUSH;by Maya Banks;3 weeks on the list,PRIVATE BERLIN;by James Patterson and Mark Sullivan;5 weeks on the list,THE HARBINGER;by Jonathan Cahn;60 weeks on the list,,,STAY CLOSE;by Harlan Coben;,MY BELOVED WORLD;by Sonia Sotomayor;6 weeks on the list,AMERICA THE BEAUTIFUL;by Ben C. Carson and Candy Carson;New this week,PRAGUE WINTER;by Madeleine Albright with Bill Woodward;New this week,BEYOND BELIEF;by Jenna Miscavige Hill with Lisa Pulitzer;3 weeks on the list,SLIM FOR LIFE;by Jillian Michaels;2 weeks on the list,HUNGRY GIRL TO THE MAX!;by Lisa Lillien;13 weeks on the list,KILLING LINCOLN;by Bill O'Reilly and Martin Dugard;,ARE YOU MY MOTHER?;by Alison Bechdel;36 weeks on the list,"AMULET: PRINCE OF THE ELVES, VOL. 5;by Kazu Kibuishi;14 weeks on the list","BLEACH, VOL. 55;by Tite Kubo;3 weeks on the list",AMARI AND THE NIGHT BROTHERS;by B.B. Alston;14 weeks on the list,PETE THE CAT: I LOVE MY WHITE SHOES;by Eric Litwin. Illustrated by James Dean;46 weeks on the list,CAPTAIN UNDERPANTS;written and illustrated by Dav Pilkey;48 weeks on the list,THE ONES WE'RE MEANT TO FIND;by Joan He;New this week,STRENGTHS-BASED LEADERSHIP;by Tom Rath and Barry Conchie;,FREAKONOMICS;by Steven D. Levitt and Stephen J. Dubner;,UNBROKEN;by Laura Hillenbrand;
9,IF YOU STAY;by Courtney Cole;2 weeks on the list,THE SOUND OF BROKEN GLASS;by Deborah Crombie;New this week,WORLD WAR Z;by Max Brooks;35 weeks on the list,,,LIFE OF PI;by Yann Martel;,QUIET;by Susan Cain;14 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;25 weeks on the list,THE DEVIL IN THE WHITE CITY;by Erik Larson;257 weeks on the list,CUT;by Cathy Glass;4 weeks on the list,MANOLOGY;by Tyrese Gibson and Rev Run;2 weeks on the list,THE HAPPINESS PROJECT;by Gretchen Rubin;101 weeks on the list,COOLIDGE;by Amity Shlaes;,BUILDING STORIES;by Chris Ware;21 weeks on the list,SMILE;by Raina Telgemeier;52 weeks on the list,"BLUE EXORCIST, VOL. 1;by Kazue Kato;18 weeks on the list",GROUND ZERO;by Alan Gratz;10 weeks on the list,GOLDILOCKS AND THE THREE DINOSAURS;by Mo Willems;9 weeks on the list,HOUSE OF NIGHT;by P.C. Cast and Kristin Cast;149 weeks on the list,LEGENDBORN;by Tracy Deonn;9 weeks on the list,"THINKING, FAST AND SLOW;by Daniel Kahneman;",THE CHECKLIST MANIFESTO;by Atul Gawande;,THOMAS JEFFERSON;by Jon Meacham;
10,THE SILVER LININGS PLAYBOOK;by Matthew Quick;4 weeks on the list,TOUCH AND GO;by Lisa Gardner;3 weeks on the list,THE LANGUAGE OF FLOWERS;by Vanessa Diffenbaugh;38 weeks on the list,,,A MEMORY OF LIGHT;by Robert Jordan and Brandon Sanderson;,AFTER VISITING FRIENDS;by Michael Hainey;New this week,DAMN FEW;by Rorke Denver and Ellis Henican;New this week,THE IMMORTAL LIFE OF HENRIETTA LACKS;by Rebecca Skloot;103 weeks on the list,NO EASY DAY;by Mark Owen with Kevin Maurer;25 weeks on the list,WHEAT BELLY COOKBOOK;by William Davis;9 weeks on the list,"ACT LIKE A LADY, THINK LIKE A MAN;by Steve Harvey with Denene Millner;26 weeks on the list",FRANCONA;by Terry Francona and Dan Shaughnessy;,MADELEINE L'ENGLE'S A WRINKLE IN TIME;by Hope Larson;21 weeks on the list,"SAGA, VOL. 1;by Brian K. Vaughan and Fiona Staples;11 weeks on the list","STEPPING ON ROSES, VOL. 9;by Rinko Ueda;2 weeks on the list",WHEN YOU TRAP A TIGER;by Tae Keller;8 weeks on the list,EXTRA YARN;by Mac Barnett. Illustrated by Jon Klassen;9 weeks on the list,PERCY JACKSON & THE OLYMPIANS;by Rick Riordan;282 weeks on the list,CHAIN OF IRON;by Cassandra Clare;10 weeks on the list,GREAT BY CHOICE;by Jim Collins and Morten T. Hansen;,PREDICTABLY IRRATIONAL;by Dan Ariely;,A HIGHER CALL;by Adam Makos with Larry Alexander;
